Date,Open,High,Low,Close,Adj Close,Volume
2008-10-06,40.0,40.0,15.8,16.77,14.73,23501600
2008-10-07,16.0,19.0,13.93,15.02,13.2,9113400
2008-10-08,14.0,14.6,12.55,13.25,11.64,2464384
2008-10-10,12.45,12.45,10.82,11.6,10.19,1207928
2008-10-13,12.15,13.3,11.65,12.32,10.82,898692
2008-10-14,12.82,13.0,10.75,11.07,9.73,673088
2008-10-15,10.65,12.77,10.02,12.18,10.69,1126836
2008-10-16,11.02,14.62,10.8,13.25,11.64,1944000
2008-10-17,14.02,14.35,10.98,10.98,9.64,1806200
2008-10-20,11.25,11.62,9.85,10.88,9.55,722818
2008-10-21,11.4,11.48,10.55,10.85,9.53,177410
2008-10-22,10.93,11.1,10.0,10.15,8.91,328698
2008-10-23,9.15,10.12,8.15,9.5,8.34,108936
2008-10-24,8.62,9.95,8.02,8.25,7.25,122200
2008-10-27,7.62,8.48,6.75,7.3,6.41,141400
2008-10-29,9.55,9.55,8.0,8.3,7.29,120276
2008-10-31,8.6,9.3,8.35,8.62,7.57,141526
2008-11-03,8.9,9.0,8.38,8.62,7.57,109362
2008-11-04,8.5,9.75,8.25,9.07,7.97,227414
2008-11-05,9.15,9.73,7.45,9.05,7.95,233216
2008-11-06,8.57,9.4,8.55,9.0,7.9,81298
2008-11-07,8.8,10.8,8.8,10.35,9.09,490888
2008-11-10,10.6,11.18,9.82,9.95,8.74,304862
2008-11-11,10.02,10.02,9.12,9.2,8.08,71050
2008-11-12,9.2,9.43,8.77,9.23,8.1,137950
2008-11-14,9.5,9.6,9.07,9.15,8.04,48202
2008-11-17,9.1,9.23,8.65,8.88,7.79,26806
2008-11-18,8.85,9.0,8.35,8.62,7.57,26082
2008-11-19,8.57,8.82,8.25,8.32,7.31,33194
2008-11-20,8.0,8.5,8.0,8.12,7.14,19600
2008-11-21,7.9,8.18,7.65,7.97,7.0,21100
2008-11-24,7.88,8.77,7.88,8.27,7.27,34138
2008-11-25,8.4,9.95,8.12,8.52,7.49,252226
2008-11-26,8.62,8.82,8.27,8.4,7.38,22260
2008-11-27,8.4,8.4,8.4,8.4,7.38,0
2008-11-28,8.12,8.68,8.12,8.3,7.29,7086
2008-12-01,7.53,8.57,7.53,8.15,7.16,30842
2008-12-02,8.15,8.15,7.55,7.85,6.89,27134
2008-12-03,8.0,8.23,7.85,7.95,6.98,12046
2008-12-04,7.38,8.5,7.38,7.97,7.0,18264
2008-12-05,8.3,8.75,7.82,8.1,7.11,40104
2008-12-08,9.0,9.0,8.0,8.18,7.18,23222
2008-12-10,8.25,8.98,8.02,8.7,7.64,68424
2008-12-11,8.38,9.4,8.25,9.18,8.06,114544
2008-12-12,8.62,9.23,8.02,8.4,7.38,74766
2008-12-15,8.82,8.82,8.38,8.52,7.49,37698
2008-12-16,8.73,9.0,8.52,8.77,7.71,31000
2008-12-17,8.98,9.25,8.35,8.45,7.42,52140
2008-12-18,8.25,8.5,8.12,8.32,7.31,21636
2008-12-19,8.48,8.73,8.12,8.18,7.18,75652
2008-12-22,8.45,8.6,8.18,8.27,7.27,26384
2008-12-23,8.12,8.27,8.0,8.12,7.14,22350
2008-12-24,8.18,8.18,7.75,8.0,7.03,34636
2008-12-26,8.15,8.25,7.75,7.82,6.87,10050
2008-12-29,7.75,8.15,7.55,7.85,6.89,28012
2008-12-30,8.0,8.15,7.45,7.62,6.7,107000
2008-12-31,7.93,8.0,7.55,7.82,6.87,32658
2009-01-02,8.65,9.85,8.65,9.1,7.99,241044
2009-01-05,9.45,9.75,9.0,9.12,8.01,73986
2009-01-06,8.85,9.15,8.77,8.98,7.88,33086
2009-01-07,8.75,8.93,7.57,8.0,7.03,58126
2009-01-09,7.55,7.72,6.6,7.53,6.61,71160
2009-01-12,7.5,7.93,7.2,7.35,6.45,25708
2009-01-13,7.28,7.53,7.1,7.3,6.41,16718
2009-01-14,7.12,7.75,7.12,7.53,6.61,15904
2009-01-15,7.38,7.5,7.0,7.32,6.43,11726
2009-01-16,7.4,7.5,7.18,7.3,6.41,19440
2009-01-19,7.25,7.45,7.15,7.25,6.37,7536
2009-01-20,7.5,7.5,7.1,7.43,6.52,18918
2009-01-21,7.25,7.47,7.15,7.32,6.43,20000
2009-01-22,7.85,7.85,7.07,7.22,6.35,18506
2009-01-23,7.22,7.22,6.88,7.12,6.26,40752
2009-01-27,7.03,7.2,7.0,7.2,6.32,10400
2009-01-28,7.07,7.4,6.93,7.1,6.24,19490
2009-01-29,7.25,7.5,7.0,7.3,6.41,14600
2009-01-30,7.07,7.85,7.05,7.43,6.52,103630
2009-02-02,7.75,7.75,7.25,7.43,6.52,24576
2009-02-03,7.62,8.23,7.35,8.02,7.05,41320
2009-02-04,8.05,8.43,7.62,7.8,6.85,34098
2009-02-05,8.0,8.07,7.78,7.95,6.98,8178
2009-02-06,7.75,8.23,7.75,7.85,6.89,38064
2009-02-09,7.8,8.4,7.8,8.32,7.31,24126
2009-02-10,8.38,9.23,8.32,8.5,7.46,87666
2009-02-11,8.85,8.98,8.12,8.88,7.79,44522
2009-02-12,9.0,9.23,8.68,8.88,7.79,35064
2009-02-13,10.0,10.0,8.4,8.7,7.64,17236
2009-02-16,8.4,9.0,7.75,8.02,7.05,31964
2009-02-17,7.85,8.43,7.85,8.27,7.27,20574
2009-02-18,8.35,8.73,8.0,8.45,7.42,35852
