Date,Open,High,Low,Close,Adj Close,Volume
2017-11-16,243.29,243.29,231.13,231.13,231.13,44615
2017-11-17,219.57,219.57,219.57,219.57,219.57,3799
2017-11-20,208.62,208.62,208.59,208.59,208.59,1506
2017-11-21,198.19,198.19,198.19,198.19,198.19,1366
2017-11-22,188.31,188.31,188.31,188.31,188.31,1556
2017-11-23,178.91,178.91,178.91,178.91,178.91,2431
2017-11-24,169.97,169.97,169.97,169.97,169.97,1999
2017-11-27,161.48,161.48,161.48,161.48,161.48,2518
2017-11-28,153.42,153.42,153.42,153.42,153.42,2002
2017-11-29,145.76,145.76,145.76,145.76,145.76,8445
2017-11-30,131.19,131.19,131.19,131.19,131.19,7827
2017-12-01,118.09,143.97,118.09,125.57,125.57,987188
2017-12-04,119.21,129.49,113.16,113.92,113.92,437456
2017-12-05,113.37,119.61,110.09,119.61,119.61,525479
2017-12-06,125.57,125.57,125.57,125.57,125.57,16817
2017-12-07,131.83,131.83,131.83,131.83,131.83,21261
2017-12-08,138.4,138.4,138.4,138.4,138.4,11032
2017-12-11,145.3,145.3,145.3,145.3,145.3,2834
2017-12-12,152.54,152.54,152.54,152.54,152.54,126778
2017-12-13,160.15,160.15,160.15,160.15,160.15,4215
2017-12-14,168.14,168.14,168.14,168.14,168.14,7439
2017-12-15,176.54,176.54,176.54,176.54,176.54,2183
2017-12-18,185.36,185.36,185.36,185.36,185.36,34247
2017-12-19,194.6,194.6,194.6,194.6,194.6,5182
2017-12-20,204.3,204.3,204.3,204.3,204.3,999
2017-12-21,214.49,214.49,214.49,214.49,214.49,6433
2017-12-22,225.2,225.2,225.2,225.2,225.2,3035
2017-12-26,236.45,236.45,236.45,236.45,236.45,1483
2017-12-27,248.25,248.25,224.65,228.11,228.11,208041
2017-12-28,223.13,235.99,217.5,217.96,217.96,137043
2017-12-29,218.26,228.84,218.26,228.72,228.72,83429
2018-01-01,232.95,232.95,217.29,217.41,217.41,53455
2018-01-02,217.14,221.88,206.55,206.55,206.55,41425
2018-01-03,198.04,211.54,198.04,202.23,202.23,56115
2018-01-04,201.99,212.06,201.63,205.4,205.4,24954
2018-01-05,210.42,214.1,198.89,201.14,201.14,33980
2018-01-08,206.77,211.18,202.17,211.18,211.18,23090
2018-01-09,221.73,221.73,214.1,221.73,221.73,74855
2018-01-10,226.5,226.5,214.1,216.59,216.59,69834
2018-01-11,218.96,227.42,212.88,227.42,227.42,74092
2018-01-12,223.83,224.5,216.07,218.32,218.32,73834
2018-01-15,219.27,221.39,212.88,215.37,215.37,24816
2018-01-16,217.17,217.74,204.97,206.16,206.16,27134
2018-01-17,199.13,206.77,196.15,199.83,199.83,17983
2018-01-18,203.15,209.81,195.33,201.63,201.63,96946
2018-01-19,205.55,205.55,192.26,200.5,200.5,25314
2018-01-22,202.33,206.19,195.85,196.85,196.85,11282
2018-01-23,196.85,199.25,191.59,192.9,192.9,25926
2018-01-24,192.02,198.25,186.48,189.55,189.55,27876
2018-01-25,191.59,193.39,183.81,187.18,187.18,13300
2018-01-29,188.55,192.81,188.4,188.67,188.67,8148
2018-01-30,182.59,190.98,179.43,182.44,182.44,5917
2018-01-31,179.61,185.51,174.56,176.51,176.51,15153
2018-02-01,174.56,185.33,174.56,185.33,185.33,13914
2018-02-02,192.81,192.81,176.08,176.08,176.08,13891
2018-02-05,167.29,177.6,167.29,174.99,174.99,14655
2018-02-06,166.26,166.32,166.26,166.26,166.26,5060
2018-02-07,164.83,174.56,164.83,172.31,172.31,8335
2018-02-08,171.52,176.39,171.52,173.19,173.19,8062
2018-02-09,165.47,181.25,165.47,176.84,176.84,12681
2018-02-12,179.43,183.68,173.95,179.37,179.37,26156
2018-02-14,187.33,188.31,170.91,188.31,188.31,13758
2018-02-15,197.67,197.7,197.67,197.7,197.7,5968
2018-02-16,206.07,207.59,201.32,207.59,207.59,41354
2018-02-19,207.59,215.92,197.67,202.05,202.05,40986
2018-02-20,200.14,204.67,197.67,203.12,203.12,29990
2018-02-21,202.63,213.24,202.63,213.24,213.24,14032
2018-02-22,220.97,223.89,212.0,223.89,223.89,42563
2018-02-23,231.06,231.06,216.71,225.41,225.41,56982
2018-02-26,233.53,235.99,220.18,225.35,225.35,62797
2018-02-27,223.95,226.26,215.98,217.47,217.47,12728
2018-02-28,211.75,217.44,211.75,212.79,212.79,8449
2018-03-01,215.92,215.92,206.86,210.63,210.63,2998
2018-03-05,200.11,212.27,200.11,209.53,209.53,1700
2018-03-06,211.66,212.88,201.02,205.06,205.06,7051
2018-03-07,195.85,208.01,194.81,195.67,195.67,10025
2018-03-08,185.9,203.69,185.9,191.71,191.71,15334
2018-03-09,199.47,199.5,186.12,193.54,193.54,4411
2018-03-12,197.55,203.15,193.54,201.11,201.11,50940
2018-03-13,192.2,205.88,192.2,205.49,205.49,10037
2018-03-14,206.8,215.62,196.46,204.52,204.52,106646
2018-03-15,200.71,214.73,200.71,214.22,214.22,9453
2018-03-16,208.01,215.92,208.01,212.97,212.97,49767
2018-03-19,212.88,221.39,212.88,220.82,220.82,8434
2018-03-20,209.84,223.22,209.84,216.65,216.65,12475
2018-03-21,216.53,224.44,212.88,214.03,214.03,10803
2018-03-22,206.86,217.14,206.86,210.45,210.45,9121
2018-03-23,210.45,212.88,203.76,204.55,204.55,6176
2018-03-26,204.55,208.01,200.78,203.36,203.36,2329
2018-03-27,203.15,208.01,203.15,203.15,203.15,2148
2018-03-28,197.67,213.24,197.67,203.15,203.15,2005
2018-04-02,205.28,209.84,203.18,205.34,205.34,2543
2018-04-03,206.8,210.45,199.5,209.32,209.32,5733
2018-04-04,212.76,217.62,207.4,211.05,211.05,8401
2018-04-05,211.36,221.27,201.32,209.29,209.29,6078
2018-04-06,209.26,212.88,204.21,209.08,209.08,1131
2018-04-09,208.01,210.63,203.79,203.94,203.94,2959
2018-04-10,206.19,212.88,200.71,202.57,202.57,23185
2018-04-11,206.19,208.07,200.71,203.51,203.51,14825
2018-04-12,204.39,206.8,200.11,204.67,204.67,9968
2018-04-13,204.67,212.85,200.71,203.82,203.82,6236
2018-04-16,203.76,214.0,203.15,214.0,214.0,17802
2018-04-17,218.96,224.68,215.92,218.93,218.93,14609
2018-04-18,215.92,224.44,213.49,213.58,213.58,8898
2018-04-19,213.49,215.89,206.83,207.25,207.25,2724
2018-04-20,207.13,215.92,198.89,207.5,207.5,2313
2018-04-23,212.27,217.87,203.76,217.84,217.84,47694
2018-04-24,219.57,228.72,216.28,228.72,228.72,40866
2018-04-25,228.72,234.77,222.0,227.42,227.42,10905
2018-04-26,219.27,229.24,219.27,223.25,223.25,8802
2018-04-27,226.02,234.41,218.96,234.41,234.41,31734
2018-04-30,243.11,246.12,238.42,246.12,246.12,13542
2018-05-02,258.4,258.4,258.4,258.4,258.4,3128
2018-05-03,271.27,271.3,262.36,271.3,271.3,86814
2018-05-04,284.59,284.86,273.06,282.03,282.03,89792
2018-05-07,282.82,296.11,282.79,296.11,296.11,33068
2018-05-08,301.68,310.1,290.73,292.5,292.5,71629
2018-05-09,286.66,296.66,280.12,283.01,283.01,40851
2018-05-10,283.43,290.88,283.43,286.38,286.38,17814
2018-05-11,285.87,294.38,284.35,287.75,287.75,12592
2018-05-14,292.59,298.03,285.71,286.53,286.53,10420
2018-05-15,288.97,295.57,272.21,278.63,278.63,18369
2018-05-16,270.63,284.65,265.64,269.44,269.44,5371
2018-05-17,272.48,274.95,258.31,264.46,264.46,6749
2018-05-18,264.85,269.78,251.26,251.26,251.26,11987
2018-05-21,243.32,255.18,238.7,238.7,238.7,21372
2018-05-22,227.17,241.74,227.17,237.54,237.54,15334
2018-05-23,239.37,239.37,225.68,226.96,226.96,9807
2018-05-24,226.96,231.95,216.41,220.3,220.3,37303
2018-05-25,220.3,231.25,220.27,226.93,226.93,15528
2018-05-28,227.84,238.27,227.84,237.21,237.21,14902
