Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,10.83,11.22,10.69,10.88,8.32,243590.0
2002-07-02,11.09,11.1,10.72,10.82,8.27,121620.0
2002-07-03,10.9,11.2,10.73,11.11,8.5,81050.0
2002-07-04,11.11,11.36,11.08,11.18,8.55,284475.0
2002-07-05,11.25,11.52,11.2,11.29,8.63,238285.0
2002-07-08,11.32,11.43,11.08,11.17,8.54,130355.0
2002-07-09,11.24,11.27,11.0,11.02,8.43,39170.0
2002-07-10,10.96,11.1,10.72,10.77,8.23,26130.0
2002-07-11,10.76,10.91,10.48,10.55,8.07,78485.0
2002-07-12,10.54,10.72,10.49,10.62,8.12,58110.0
2002-07-15,10.68,10.72,10.48,10.58,8.09,33380.0
2002-07-16,10.8,10.8,10.4,10.48,8.01,37455.0
2002-07-17,10.6,10.64,10.41,10.53,8.05,35070.0
2002-07-18,10.48,10.64,10.48,10.59,8.1,41070.0
2002-07-19,10.44,10.76,10.44,10.59,8.1,35595.0
2002-07-22,10.52,10.64,10.47,10.61,8.11,89095.0
2002-07-23,10.76,10.76,10.32,10.58,8.09,40175.0
2002-07-24,10.52,10.74,10.52,10.57,8.08,57415.0
2002-07-25,11.0,11.0,10.76,10.92,8.35,184205.0
2002-07-26,10.8,11.2,10.61,11.1,8.49,153265.0
2002-07-29,11.3,11.46,10.92,11.17,8.54,168890.0
2002-07-30,11.36,11.44,10.88,11.02,8.42,210355.0
2002-07-31,11.24,11.24,10.52,11.08,8.47,133015.0
2002-08-01,10.6,11.24,10.6,11.02,8.42,23270.0
2002-08-02,10.61,11.2,10.6,11.0,8.41,38760.0
2002-08-05,10.86,11.28,10.86,11.21,8.57,40075.0
2002-08-06,11.28,11.28,11.06,11.22,8.58,33570.0
2002-08-07,11.16,11.32,11.16,11.27,8.62,147455.0
2002-08-08,11.26,11.36,11.16,11.32,8.65,40115.0
2002-08-09,11.32,11.48,11.14,11.41,8.72,99825.0
2002-08-12,11.4,11.72,11.36,11.56,8.84,101755.0
2002-08-13,11.48,11.59,11.2,11.41,8.73,338580.0
2002-08-14,11.24,11.56,11.22,11.45,8.75,70945.0
2002-08-15,11.45,11.45,11.45,11.45,8.75,0.0
2002-08-16,11.52,11.56,11.28,11.31,8.64,28865.0
2002-08-19,11.3,11.4,11.28,11.32,8.66,39750.0
2002-08-20,11.29,11.4,11.24,11.37,8.69,66325.0
2002-08-21,11.44,11.46,11.2,11.38,8.7,30245.0
2002-08-22,11.26,11.4,11.24,11.4,8.71,204255.0
2002-08-23,11.36,11.36,11.25,11.29,8.63,22185.0
2002-08-26,11.24,11.4,11.24,11.3,8.64,19060.0
2002-08-27,11.36,11.39,11.28,11.32,8.65,30440.0
2002-08-28,11.32,11.4,11.24,11.36,8.69,21675.0
2002-08-29,11.21,11.4,11.21,11.35,8.68,17895.0
2002-08-30,11.28,11.34,11.25,11.32,8.65,32635.0
2002-09-02,11.28,11.4,11.2,11.21,8.57,19745.0
2002-09-03,11.4,11.4,11.2,11.36,8.68,35085.0
2002-09-04,11.28,11.44,11.25,11.41,8.72,23685.0
2002-09-05,11.48,11.48,11.12,11.23,8.59,26825.0
2002-09-06,11.28,11.48,11.28,11.4,8.72,73275.0
2002-09-09,11.4,11.4,11.2,11.22,8.58,28505.0
2002-09-10,11.22,11.22,11.22,11.22,8.58,0.0
2002-09-11,11.24,11.45,11.24,11.42,8.73,55555.0
2002-09-12,11.43,11.51,11.24,11.25,8.6,51375.0
2002-09-13,11.36,11.52,11.28,11.41,8.72,38785.0
2002-09-16,11.25,11.4,11.25,11.28,8.62,17115.0
2002-09-17,11.36,11.36,11.22,11.26,8.61,9955.0
2002-09-18,11.22,11.35,11.22,11.27,8.61,19250.0
2002-09-19,11.22,11.33,11.2,11.21,8.57,24630.0
2002-09-20,11.27,11.27,11.02,11.2,8.56,362530.0
2002-09-23,11.2,11.24,11.16,11.2,8.56,19410.0
2002-09-24,11.2,11.32,11.1,11.22,8.58,31130.0
2002-09-25,11.2,11.2,11.04,11.07,8.46,18050.0
2002-09-26,11.0,11.12,10.9,11.06,8.45,1230.0
2002-09-27,11.0,11.28,11.0,11.26,8.61,12515.0
2002-09-30,11.34,11.44,11.0,11.21,8.57,114430.0
2002-10-01,11.38,11.38,11.08,11.13,8.51,32620.0
2002-10-02,11.13,11.13,11.13,11.13,8.51,0.0
2002-10-03,11.38,11.38,11.16,11.26,8.61,34070.0
2002-10-04,11.35,11.35,11.16,11.3,8.64,16395.0
2002-10-07,11.2,11.31,11.01,11.22,8.58,26540.0
2002-10-08,10.1,11.36,10.1,11.22,8.57,25375.0
2002-10-09,11.32,11.44,11.16,11.21,8.57,128260.0
2002-10-10,10.96,11.2,10.96,11.14,8.52,14435.0
2002-10-11,11.12,11.2,10.84,11.12,8.5,14450.0
2002-10-14,11.4,11.4,11.0,11.08,8.47,12960.0
2002-10-15,11.08,11.08,11.08,11.08,8.47,0.0
2002-10-16,11.08,11.15,10.81,10.93,8.36,27250.0
2002-10-17,10.9,11.12,10.9,11.05,8.44,24230.0
2002-10-18,11.12,11.12,10.92,10.94,8.37,27935.0
2002-10-21,9.3,11.19,9.3,11.1,8.48,26355.0
2002-10-22,11.45,11.45,9.0,9.66,7.38,348590.0
2002-10-23,9.4,9.56,8.8,9.04,6.91,2721945.0
2002-10-24,9.0,10.51,8.66,9.61,7.35,3313510.0
2002-10-25,9.52,9.98,9.17,9.73,7.44,1188185.0
2002-10-28,9.76,9.76,9.41,9.67,7.39,358710.0
