Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,300.0,300.0,266.0,274.0,218.56,600
2002-08-13,288.0,288.0,273.7,275.2,219.51,100
2002-08-14,252.0,280.0,252.0,274.3,218.8,700
2002-08-15,274.3,274.3,274.3,274.3,218.8,0
2002-08-16,249.85,290.0,249.85,273.05,217.8,700
2002-08-19,258.0,277.0,258.0,275.6,219.83,1300
2002-08-20,278.0,278.0,257.0,276.05,220.19,1100
2002-08-21,273.0,276.15,273.0,274.5,218.96,1300
2002-08-22,274.75,275.0,274.65,274.65,219.08,1100
2002-08-23,271.0,279.95,271.0,275.4,219.67,500
2002-08-26,275.0,278.0,275.0,276.0,220.15,400
2002-08-27,278.0,278.0,273.25,273.25,217.96,100
2002-08-28,275.05,279.0,275.05,275.65,219.87,200
2002-08-29,275.05,275.5,275.05,275.25,219.55,100
2002-08-30,272.15,277.95,272.15,275.2,219.51,87
2002-09-02,275.0,279.8,274.5,279.35,222.82,500
2002-09-03,276.2,278.0,275.35,276.6,220.63,1700
2002-09-04,271.5,279.5,271.5,276.25,220.35,100
2002-09-05,275.1,278.0,275.0,278.0,221.75,800
2002-09-06,277.05,278.75,276.0,276.1,220.23,2900
2002-09-09,275.0,275.0,272.5,275.0,219.35,1600
2002-09-10,275.0,275.0,275.0,275.0,219.35,0
2002-09-11,273.5,275.7,273.0,273.0,217.76,500
2002-09-12,275.0,275.0,271.6,272.9,217.68,400
2002-09-13,272.0,278.0,272.0,275.1,219.43,100
2002-09-16,273.5,278.0,273.15,276.0,220.15,300
2002-09-17,277.0,278.9,276.05,277.45,221.31,800
2002-09-18,275.0,275.55,273.55,275.4,219.67,100
2002-09-19,271.25,272.0,268.0,270.0,215.37,100
2002-09-20,271.0,277.0,270.0,274.9,219.28,400
2002-09-23,273.0,274.0,272.6,272.65,217.48,300
2002-09-24,266.3,274.0,266.3,269.0,214.57,900
2002-09-25,270.4,271.8,270.0,270.5,215.77,500
2002-09-26,275.0,277.5,272.4,276.0,220.15,1100
2002-09-27,275.2,279.5,271.6,275.0,219.35,1100
2002-09-30,275.5,276.9,274.15,274.15,218.68,1100
2002-10-01,274.0,274.0,272.25,272.25,217.16,65
2002-10-02,272.25,272.25,272.25,272.25,217.16,0
2002-10-03,271.1,275.0,271.0,275.0,219.35,700
2002-10-04,275.95,287.0,274.0,280.5,223.74,900
2002-10-07,277.05,280.0,277.05,278.05,221.79,90
2002-10-08,270.0,280.0,270.0,278.65,222.27,600
2002-10-09,279.0,282.5,279.0,282.2,225.1,1300
2002-10-10,280.0,282.9,278.3,282.65,225.46,400
2002-10-11,281.75,284.0,281.75,282.55,225.38,100
2002-10-14,285.0,285.0,280.0,283.95,226.49,400
2002-10-15,283.95,283.95,283.95,283.95,226.49,0
2002-10-16,294.9,294.9,282.5,284.3,226.77,300
2002-10-17,278.0,288.4,278.0,285.3,227.57,1300
2002-10-18,290.0,290.0,281.0,289.95,231.28,3300
2002-10-21,277.0,290.0,277.0,289.2,230.68,600
2002-10-22,291.9,295.0,291.5,293.7,234.27,1500
2002-10-23,290.65,295.05,290.55,294.05,234.55,1400
2002-10-24,292.8,293.7,292.4,292.45,233.27,1400
2002-10-25,292.3,293.0,291.0,292.5,233.31,2300
2002-10-28,267.0,310.0,267.0,291.3,232.36,2100
2002-10-29,286.5,290.0,286.5,290.0,231.32,1200
2002-10-30,287.25,291.0,287.25,289.0,230.52,200
2002-10-31,290.0,291.0,289.4,289.4,230.84,500
2002-11-01,292.0,292.0,289.0,289.0,230.52,12
2002-11-04,290.0,290.0,285.0,288.25,229.92,100
2002-11-05,291.0,294.0,290.0,291.25,232.32,19
2002-11-06,291.25,291.25,291.25,291.25,232.32,0
2002-11-07,292.9,292.95,285.0,290.25,231.52,500
2002-11-08,290.0,290.0,290.0,290.0,231.32,11
2002-11-11,291.95,293.75,291.95,293.5,234.11,100
2002-11-12,294.0,298.0,293.4,296.6,236.58,1400
2002-11-13,294.35,294.5,294.35,294.5,234.91,100
2002-11-14,294.5,294.5,291.0,293.9,234.43,200
2002-11-15,289.0,294.0,289.0,291.55,232.56,500
2002-11-18,289.0,296.6,289.0,291.8,232.76,200
2002-11-19,291.8,291.8,291.8,291.8,232.76,0
2002-11-20,288.0,292.9,288.0,292.4,233.23,34
2002-11-21,295.0,295.0,282.05,290.0,231.32,700
2002-11-22,286.05,290.5,286.0,290.5,231.72,600
2002-11-25,286.1,290.0,286.1,289.5,230.92,1000
2002-11-26,287.5,290.9,287.5,289.75,231.12,300
2002-11-27,270.0,295.0,270.0,290.0,231.32,1300
2002-11-28,289.5,290.0,288.0,288.0,229.72,500
2002-11-29,288.0,288.0,288.0,288.0,229.72,0
2002-12-02,285.05,290.0,285.05,289.4,230.84,1100
2002-12-03,289.1,291.0,289.1,291.0,232.12,400
2002-12-04,289.2,292.0,289.1,291.35,232.4,1700
2002-12-05,290.0,292.0,290.0,290.0,231.32,100
2002-12-06,290.0,290.0,288.25,290.0,231.32,600
2002-12-09,284.1,288.1,284.05,285.15,227.45,800
2002-12-10,287.15,289.95,287.15,287.15,229.05,5300
2002-12-11,287.1,290.0,287.1,287.25,229.13,500
2002-12-12,285.3,287.45,285.25,285.75,227.93,1600
2002-12-13,288.0,288.0,286.0,287.95,229.68,4300
2002-12-16,285.0,287.75,285.0,287.2,229.09,400
2002-12-17,284.7,284.7,284.0,284.0,226.53,100
2002-12-18,284.0,287.0,284.0,287.0,228.93,100
2002-12-19,284.1,284.1,281.0,283.1,225.82,600
2002-12-20,283.0,288.0,283.0,287.3,229.17,2700
2002-12-23,281.25,282.0,280.0,281.35,224.42,600
2002-12-24,280.05,285.0,280.0,280.5,223.74,400
2002-12-25,280.5,280.5,280.5,280.5,223.74,0
2002-12-26,280.05,280.05,278.1,278.7,222.31,1200
2002-12-27,284.95,285.0,280.0,280.5,223.74,1700
2002-12-30,281.0,281.0,280.1,280.3,223.58,500
2002-12-31,284.95,286.0,280.1,284.55,226.97,1100
2003-01-01,281.5,281.5,275.0,278.35,222.03,1000
2003-01-02,280.1,295.0,280.0,291.2,232.28,3800
2003-01-03,309.0,311.95,305.0,306.9,244.8,14900
2003-01-06,313.0,313.0,303.55,305.15,243.4,1700
2003-01-07,303.65,304.0,302.05,302.5,241.29,1800
2003-01-08,304.0,304.0,303.0,303.0,241.69,900
2003-01-09,303.1,304.0,301.0,303.4,242.01,7100
2003-01-10,302.0,306.45,301.55,304.05,242.53,1400
2003-01-13,303.2,310.0,303.2,307.75,245.48,2200
2003-01-14,305.55,307.0,305.05,306.1,244.16,1000
2003-01-15,316.5,316.5,307.5,307.8,245.52,1900
2003-01-16,310.45,310.45,306.0,307.45,245.24,1800
2003-01-17,306.5,308.5,306.1,308.35,245.96,1700
2003-01-20,307.0,310.0,306.5,307.4,245.2,4200
2003-01-21,309.0,309.5,307.0,308.2,245.84,4400
2003-01-22,307.3,308.5,305.1,307.05,244.92,2000
2003-01-23,307.9,311.0,305.6,305.6,243.76,1100
2003-01-24,306.0,306.0,303.5,303.95,242.45,1500
