Date,Open,High,Low,Close,Adj Close,Volume
2018-07-06,87.0,88.0,87.0,87.0,86.07,4800
2018-07-09,88.5,88.5,87.0,87.0,86.07,20800
2018-07-10,87.0,88.5,87.0,87.25,86.32,9600
2018-07-11,88.0,89.0,87.0,88.0,87.06,126400
2018-07-12,88.0,88.5,88.0,88.5,87.55,51200
2018-07-13,88.45,91.0,88.0,89.9,88.94,107200
2018-07-16,91.0,107.85,91.0,95.15,94.13,62400
2018-07-17,102.5,103.0,98.1,98.1,97.05,6400
2018-07-18,102.0,103.0,102.0,103.0,101.9,4800
2018-07-19,103.5,104.5,103.0,104.5,103.38,9600
2018-07-20,104.5,104.5,104.5,104.5,103.38,0
2018-07-23,96.6,96.6,92.0,92.0,91.02,6400
2018-07-24,91.0,102.2,91.0,102.2,101.11,11200
2018-07-25,102.2,102.2,102.2,102.2,101.11,0
2018-07-26,96.0,96.0,96.0,96.0,94.97,1600
2018-07-27,96.0,96.0,96.0,96.0,94.97,0
2018-07-30,96.0,96.0,96.0,96.0,94.97,0
2018-07-31,93.0,93.1,93.0,93.1,92.1,4800
2018-08-01,92.0,96.0,92.0,93.5,92.5,4800
2018-08-02,90.0,90.0,86.0,88.0,88.0,6400
2018-08-03,88.0,88.0,88.0,88.0,88.0,1600
2018-08-06,88.05,88.05,88.0,88.0,88.0,3200
2018-08-07,92.0,94.1,92.0,94.0,94.0,11200
2018-08-08,93.0,93.1,93.0,93.1,93.1,4800
2018-08-09,88.0,88.0,88.0,88.0,88.0,1600
2018-08-10,88.0,88.0,88.0,88.0,88.0,0
2018-08-13,85.0,88.0,85.0,88.0,88.0,3200
2018-08-14,100.0,100.0,89.2,89.2,89.2,4800
2018-08-16,93.9,95.0,93.9,95.0,95.0,3200
2018-08-17,88.0,94.0,87.0,92.2,92.2,24000
2018-08-20,92.2,92.2,92.2,92.2,92.2,0
2018-08-21,92.2,92.2,92.2,92.2,92.2,0
2018-08-23,86.0,91.2,85.0,91.2,91.2,8000
2018-08-24,86.0,90.0,86.0,86.0,86.0,4800
