Date,Open,High,Low,Close,Adj Close,Volume
2006-09-26,36.0,42.18,36.0,38.73,32.6,37912560
2006-09-27,39.0,41.0,38.25,40.27,33.89,15873845
2006-09-28,40.96,44.1,40.42,41.78,35.16,29829885
2006-09-29,41.96,42.55,41.11,41.6,35.01,6685010
2006-10-03,41.8,41.94,40.01,40.21,33.84,2439370
2006-10-04,40.5,40.78,38.61,38.86,32.71,3336005
2006-10-05,39.26,41.48,39.2,40.29,33.91,5176935
2006-10-06,40.56,40.56,39.0,39.1,32.91,1520235
2006-10-09,39.1,44.86,38.4,43.4,36.53,23530745
2006-10-10,43.21,45.08,42.21,42.67,35.91,14137605
2006-10-11,43.0,44.09,41.52,41.98,35.33,9157495
2006-10-12,42.34,44.33,41.65,43.64,36.73,13822905
2006-10-13,44.6,48.16,44.6,46.41,39.06,31494630
2006-10-16,46.61,47.04,44.37,44.76,37.67,9507530
2006-10-17,45.17,49.09,44.31,47.09,39.63,22703695
2006-10-18,46.8,49.6,46.2,47.44,39.93,13813000
2006-10-19,47.77,48.89,46.42,47.14,39.68,6213580
2006-10-20,47.59,48.44,47.12,47.5,39.98,4910145
2006-10-23,47.2,48.2,46.41,46.91,39.48,2713560
2006-10-26,45.4,47.39,45.4,46.39,39.04,1794890
2006-10-27,46.76,47.97,45.6,47.12,39.66,3035295
2006-10-30,46.78,47.2,45.0,45.32,38.14,1787575
2006-10-31,45.0,45.43,42.22,42.52,35.79,1787390
2006-11-01,43.0,44.56,42.8,43.99,37.02,2190490
2006-11-02,43.96,45.32,43.51,43.74,36.81,1715510
2006-11-03,44.0,44.17,42.7,43.02,36.21,1221105
2006-11-06,43.36,45.3,42.62,44.47,37.43,2630010
2006-11-07,44.99,51.98,44.58,49.05,41.28,22849825
2006-11-08,49.2,53.66,49.04,50.23,42.28,26590050
2006-11-09,50.65,52.08,49.41,50.42,42.44,12247380
2006-11-10,50.65,51.76,49.66,50.5,42.5,8176700
2006-11-13,50.57,51.34,49.27,50.1,42.17,5157080
2006-11-14,50.36,50.96,48.64,49.09,41.32,4193980
2006-11-15,48.8,49.46,47.02,47.28,39.79,2066485
2006-11-16,47.6,50.29,47.2,48.73,41.01,5142555
2006-11-17,49.26,49.77,47.04,47.72,40.16,3762755
2006-11-20,47.86,52.18,45.61,51.59,43.42,8519225
2006-11-21,51.97,54.88,51.6,52.32,44.03,9173100
2006-11-22,52.4,56.37,52.4,54.63,45.98,15292195
2006-11-23,55.04,56.98,53.08,55.38,46.61,12945950
2006-11-24,55.3,57.34,55.01,56.01,47.14,7130345
2006-11-27,56.24,58.18,55.7,56.6,47.64,8396765
2006-11-28,56.47,57.0,54.66,55.19,46.45,4378960
2006-11-29,55.67,66.23,55.54,66.23,55.74,20472290
2006-11-30,67.03,77.88,67.03,74.84,62.99,36193555
2006-12-01,73.0,76.73,72.83,73.64,61.98,17998420
2006-12-04,73.8,79.73,73.8,77.17,64.95,19906595
2006-12-05,78.15,81.54,77.84,78.68,66.22,13698275
2006-12-06,79.28,80.28,71.0,73.52,61.88,16071370
2006-12-07,74.35,76.8,73.0,75.85,63.84,15938865
2006-12-08,76.56,77.48,72.6,73.06,61.49,9549150
2006-12-11,72.94,73.33,66.07,67.32,56.66,8732985
2006-12-12,66.4,67.76,60.59,60.59,51.0,9155210
2006-12-13,58.27,62.58,57.56,61.44,51.71,10542865
2006-12-14,62.56,64.52,61.64,64.52,54.3,4949770
2006-12-15,65.2,67.18,65.2,65.95,55.51,4514600
2006-12-18,66.99,66.99,62.66,63.76,53.66,8037365
2006-12-19,63.54,65.79,61.03,61.84,52.05,9913470
2006-12-20,63.6,63.6,60.63,61.06,51.39,4834720
2006-12-21,61.2,62.78,59.01,61.09,51.42,4545680
2006-12-22,61.58,62.2,60.62,61.08,51.41,2123410
2006-12-26,61.11,62.93,60.9,61.77,51.99,2694295
2006-12-27,62.45,64.86,62.01,64.86,54.59,5560500
2006-12-28,66.16,66.38,63.22,63.61,53.54,5925725
2006-12-29,63.88,65.3,63.61,64.43,54.23,3013165
2007-01-02,64.8,67.16,64.2,65.74,55.33,5789340
2007-01-03,66.2,66.4,64.6,64.95,54.66,1866470
2007-01-04,65.34,65.34,63.34,63.64,53.56,1408925
2007-01-05,63.79,64.4,62.0,62.78,52.84,1491695
2007-01-08,63.2,63.2,61.41,61.61,51.85,1110860
2007-01-09,61.96,63.0,60.64,61.27,51.57,1214640
2007-01-10,61.0,63.8,60.0,60.87,51.23,3688135
2007-01-11,61.05,62.17,60.8,61.48,51.74,1193675
2007-01-12,61.7,63.2,61.22,61.5,51.76,1255685
2007-01-15,61.94,64.0,61.94,63.51,53.45,2562890
2007-01-16,64.2,65.6,63.71,64.17,54.01,3092995
2007-01-17,64.55,64.55,63.2,63.45,53.4,1135465
2007-01-18,63.78,64.0,61.02,61.87,52.07,958345
2007-01-19,62.38,62.4,60.61,61.16,51.47,794780
2007-01-22,61.57,61.77,60.62,60.91,51.26,579370
2007-01-23,60.8,61.1,59.05,59.55,50.12,663460
2007-01-24,60.0,60.98,59.05,59.68,50.23,634890
2007-01-25,60.3,60.93,59.26,59.57,50.14,620740
2007-01-29,59.7,60.3,58.2,58.59,49.31,702105
2007-01-31,58.74,58.98,56.32,56.58,47.62,606215
2007-02-01,57.3,57.3,55.0,55.15,46.42,524495
2007-02-02,55.58,57.34,54.62,56.36,47.43,914485
2007-02-05,56.8,56.8,55.4,55.7,46.88,470905
2007-02-06,56.0,56.16,53.81,54.2,45.62,472495
2007-02-07,54.4,54.42,52.6,52.81,44.45,473070
2007-02-08,52.76,55.45,51.2,55.45,46.67,1548470
2007-02-09,56.38,57.2,52.68,53.15,44.73,1409645
2007-02-12,53.15,53.15,47.84,48.45,40.78,727910
2007-02-13,48.02,49.6,45.0,47.1,39.64,1090505
2007-02-14,46.97,47.0,44.85,45.37,38.19,464675
2007-02-15,45.4,49.91,45.4,49.91,42.01,895080
2007-02-19,50.37,53.2,50.02,50.61,42.6,885105
2007-02-20,51.04,51.17,48.6,48.79,41.06,461675
2007-02-21,49.2,49.8,48.02,48.49,40.81,405355
2007-02-22,48.52,48.79,46.31,46.72,39.32,257530
2007-02-23,46.4,46.99,42.68,43.44,36.56,630840
2007-02-26,42.8,44.37,42.8,43.57,36.67,481495
2007-02-27,43.6,46.5,43.4,45.0,37.87,806185
2007-02-28,42.4,45.0,40.63,42.34,35.64,644150
2007-03-01,42.0,43.8,41.61,43.15,36.32,437355
2007-03-02,43.4,44.11,41.22,41.85,35.22,289795
2007-03-05,40.0,40.8,37.67,37.74,31.76,325935
2007-03-06,37.74,39.88,34.2,35.94,30.25,606555
2007-03-07,36.94,37.34,34.15,34.15,28.74,309535
2007-03-08,34.02,35.2,32.45,34.86,29.34,740660
2007-03-09,35.1,36.61,34.3,36.61,30.81,538530
2007-03-12,37.0,38.2,36.4,36.65,30.85,356920
2007-03-13,37.1,38.49,36.45,38.49,32.39,500265
2007-03-14,36.63,38.76,36.6,37.65,31.69,643965
2007-03-15,38.6,39.54,38.4,39.54,33.28,450875
2007-03-16,40.66,41.2,39.0,39.7,33.41,579375
2007-03-19,39.98,41.16,39.6,39.93,33.61,267665
2007-03-20,40.34,41.0,40.2,40.46,34.05,198165
2007-03-21,40.0,40.4,39.4,40.13,33.78,198020
2007-03-22,40.8,41.2,39.41,39.97,33.64,190120
2007-03-23,40.0,40.1,38.81,39.07,32.88,127965
2007-03-26,39.79,39.79,38.4,38.61,32.5,169635
2007-03-28,38.4,38.4,36.68,36.68,30.87,127420
2007-03-29,36.05,36.9,35.62,35.84,30.16,239280
2007-03-30,36.2,37.44,36.19,36.47,30.69,267595
2007-04-02,35.7,35.76,34.66,35.55,29.92,123615
2007-04-03,36.19,36.19,34.82,35.15,29.58,121900
2007-04-04,35.3,36.76,35.21,36.13,30.41,200710
2007-04-05,36.2,36.96,36.0,36.48,30.7,182845
2007-04-09,37.4,37.8,36.4,37.31,31.4,174190
2007-04-10,37.74,38.34,37.33,37.78,31.8,189195
2007-04-11,38.14,41.08,37.88,40.21,33.84,953760
2007-04-12,40.0,44.24,39.06,44.08,37.1,2293050
2007-04-13,44.4,45.78,43.11,43.53,36.64,1296585
2007-04-16,44.14,45.4,43.4,44.08,37.1,676075
2007-04-17,44.53,46.29,43.65,46.29,38.96,1171730
2007-04-18,48.58,48.61,47.2,48.61,40.91,1001800
2007-04-19,48.6,49.74,46.83,47.22,39.74,1157620
2007-04-20,47.9,49.0,45.3,46.09,38.79,660185
2007-04-23,47.2,47.2,45.24,46.46,39.1,572115
2007-04-24,45.4,48.68,45.35,47.36,39.86,1045880
2007-04-25,47.9,49.56,46.8,48.75,41.03,935065
2007-04-26,49.32,49.7,46.41,47.03,39.58,417830
2007-04-27,47.0,47.54,45.08,45.52,38.31,223825
2007-04-30,45.0,46.38,44.4,45.8,38.55,210590
2007-05-03,46.2,47.2,45.8,46.11,38.81,207770
2007-05-04,46.74,46.93,45.0,45.26,38.09,214445
2007-05-07,45.69,46.2,44.05,44.31,37.29,149400
2007-05-08,44.48,45.4,43.0,43.2,36.36,194330
2007-05-09,44.77,45.0,42.02,42.99,36.18,194035
2007-05-10,43.7,45.14,43.32,44.94,37.82,403290
2007-05-11,43.94,47.19,43.02,47.19,39.72,393280
2007-05-14,48.4,49.18,47.63,48.09,40.47,418920
2007-05-15,48.7,49.89,47.27,48.37,40.71,452455
2007-05-16,48.93,50.79,48.5,50.79,42.75,608760
2007-05-17,52.0,53.33,50.31,51.45,43.3,846225
2007-05-18,50.69,51.38,49.65,50.12,42.18,246815
2007-05-21,50.69,52.63,49.22,50.04,42.12,287925
2007-05-22,50.0,50.55,49.02,49.31,41.5,178185
2007-05-23,49.6,49.6,47.2,47.58,40.05,212575
2007-05-24,47.61,48.56,46.42,46.98,39.54,268470
2007-05-25,46.8,48.79,45.44,47.88,40.3,281860
2007-05-28,48.39,50.2,48.21,49.33,41.52,395230
2007-05-29,49.6,51.8,49.6,51.8,43.6,614965
2007-05-30,53.2,54.39,50.74,54.39,45.78,466135
2007-05-31,55.22,56.8,52.62,53.26,44.83,713585
2007-06-01,54.2,55.45,52.21,52.73,44.38,383890
2007-06-04,53.78,53.78,51.2,51.61,43.44,235290
2007-06-05,51.98,53.45,50.83,51.59,43.42,271255
2007-06-06,51.3,52.35,49.9,50.19,42.24,208485
2007-06-07,50.18,50.79,49.11,49.94,42.03,247265
2007-06-08,49.2,49.8,48.2,48.37,40.71,209310
2007-06-11,48.62,50.78,48.62,50.13,42.19,197700
2007-06-12,49.04,50.98,48.61,49.7,41.83,199330
2007-06-13,49.2,49.75,48.24,48.89,41.15,135470
2007-06-14,49.2,49.95,48.75,48.92,41.17,222390
2007-06-15,49.54,51.0,49.0,50.03,42.11,400200
2007-06-18,50.68,52.54,50.05,52.04,43.8,449325
2007-06-19,52.2,53.78,51.6,53.14,44.72,237285
2007-06-20,53.0,53.78,52.47,53.09,44.68,182200
2007-06-21,53.0,54.4,52.01,52.78,44.42,449325
2007-06-22,52.7,53.2,51.01,52.79,44.43,243095
2007-06-25,53.58,54.4,53.19,53.64,45.15,283550
2007-06-26,53.8,54.2,53.22,53.48,45.01,116835
2007-06-27,53.78,54.0,52.31,53.03,44.63,140630
2007-06-28,53.3,53.9,52.61,53.08,44.67,129200
2007-06-29,53.02,53.6,51.6,51.97,43.74,146070
2007-07-02,52.58,52.8,51.6,52.34,44.05,348375
2007-07-03,52.34,54.48,52.34,54.22,45.63,379580
2007-07-04,54.6,56.94,52.56,53.14,44.72,708050
2007-07-05,54.8,54.8,51.32,51.88,43.66,187560
2007-07-06,52.21,52.6,50.8,51.26,43.14,274810
2007-07-09,51.7,51.98,50.12,50.57,42.56,179160
2007-07-10,52.0,52.88,50.6,51.01,42.93,718095
2007-07-11,51.36,51.97,50.0,51.6,43.43,406835
2007-07-12,52.01,56.0,52.01,55.51,46.72,946985
2007-07-13,56.0,58.6,56.0,57.22,48.16,1870255
2007-07-16,57.28,57.28,54.6,55.29,46.53,563545
2007-07-17,55.96,58.6,53.01,57.59,48.47,866980
2007-07-18,57.85,59.4,56.4,58.47,49.21,847310
2007-07-19,58.65,59.4,56.6,57.05,48.02,240020
2007-07-20,57.6,58.0,54.8,55.06,46.34,231555
2007-07-23,54.28,60.57,54.12,60.57,50.98,803395
2007-07-24,61.8,62.76,57.04,57.54,48.43,994660
2007-07-25,56.88,61.94,56.0,60.06,50.55,959570
2007-07-26,60.0,61.2,58.41,59.91,50.42,529875
2007-07-27,59.0,59.76,55.0,59.1,49.74,619165
2007-07-30,61.0,62.4,56.6,58.33,49.09,326375
2007-07-31,58.82,59.68,57.81,58.48,49.22,167540
2007-08-01,55.04,59.4,55.04,56.47,47.53,421995
2007-08-02,56.92,58.4,55.48,56.27,47.87,180360
2007-08-03,57.96,60.6,57.7,59.91,50.96,501040
2007-08-06,59.0,65.91,56.3,64.47,54.84,4816005
2007-08-07,65.2,65.88,61.66,62.33,53.02,1058020
2007-08-08,63.18,66.96,63.18,64.56,54.92,2074250
2007-08-09,65.0,66.4,61.25,61.88,52.64,701225
2007-08-10,59.0,64.0,58.11,61.81,52.58,976705
2007-08-13,63.28,65.38,62.0,64.47,54.84,873455
2007-08-14,64.8,66.8,63.45,65.55,55.76,1072060
2007-08-16,62.99,63.59,60.2,62.31,53.01,739300
2007-08-17,62.31,64.0,58.63,61.68,52.47,445625
2007-08-20,62.2,65.0,62.2,63.45,53.98,338330
2007-08-21,64.0,64.0,60.12,60.92,51.82,583160
2007-08-22,61.4,62.0,57.4,59.42,50.55,679635
2007-08-23,61.2,61.42,56.8,57.84,49.2,472380
2007-08-24,57.02,60.39,57.02,59.29,50.44,253930
2007-08-27,60.8,64.2,59.61,63.44,53.97,337900
2007-08-28,63.6,65.0,62.36,63.08,53.66,212215
2007-08-29,60.8,64.28,60.3,62.68,53.32,195045
2007-08-30,64.0,64.0,62.02,62.48,53.15,120015
2007-08-31,62.5,63.78,62.42,63.02,53.61,174670
2007-09-03,63.78,66.78,62.61,65.07,55.35,707890
2007-09-04,63.0,65.6,63.0,64.02,54.46,165985
2007-09-05,64.21,65.4,63.2,63.55,54.06,126140
2007-09-06,63.78,65.17,62.85,64.61,54.96,244695
2007-09-07,64.6,70.02,64.6,69.25,58.91,1650325
2007-09-10,68.0,71.86,67.4,69.32,58.97,952695
2007-09-11,69.99,69.99,67.4,68.1,57.93,235635
2007-09-12,68.6,70.39,68.0,68.34,58.14,204705
2007-09-13,68.4,68.98,67.2,67.63,57.53,213545
2007-09-14,71.8,71.8,64.8,66.48,56.55,272725
2007-09-17,67.01,68.38,63.1,65.5,55.72,189300
2007-09-18,65.61,67.0,65.4,65.85,56.02,130175
