Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,242.0,248.8,233.6,235.62,233.01,24980985
2016-08-02,235.32,277.74,234.44,275.03,271.99,23090080
2016-08-03,273.43,283.66,267.0,273.96,270.93,7323380
2016-08-04,278.98,281.4,268.24,273.29,270.27,3188740
2016-08-05,275.0,292.4,272.24,284.79,281.64,7179600
2016-08-08,285.4,295.6,278.0,292.75,289.51,3860385
2016-08-09,291.2,296.8,287.23,294.24,290.99,2066600
2016-08-10,294.0,301.34,290.5,293.77,290.52,2102080
2016-08-11,289.8,290.4,275.4,280.14,277.04,1736775
2016-08-12,281.8,288.0,276.4,278.92,275.84,987040
2016-08-16,278.03,281.96,266.24,272.06,269.05,924960
2016-08-17,275.0,280.38,272.4,273.83,270.8,395625
2016-08-18,277.2,284.9,274.21,280.25,277.15,1047925
2016-08-19,280.2,282.8,276.42,278.11,275.04,506050
2016-08-22,279.0,279.71,272.0,272.47,269.46,265325
2016-08-23,273.0,277.8,262.02,264.55,261.62,570535
2016-08-24,265.6,271.8,265.2,268.18,265.21,389270
2016-08-25,267.97,272.0,266.8,269.93,266.95,459105
2016-08-26,271.6,273.48,267.16,271.1,268.1,379825
2016-08-29,271.98,271.98,254.22,259.5,256.63,1314050
2016-08-30,261.76,285.8,259.72,279.98,276.88,2623035
2016-08-31,281.6,284.98,272.0,273.3,270.28,927695
2016-09-01,275.36,277.79,270.31,274.99,271.95,553130
2016-09-02,276.0,282.96,272.2,278.9,275.82,1512040
2016-09-06,281.6,285.4,279.46,283.33,280.2,835420
2016-09-07,285.16,292.0,278.45,290.6,287.39,991295
2016-09-08,291.52,292.8,288.0,289.97,286.76,475495
2016-09-09,289.2,291.64,276.65,284.04,280.9,528990
2016-09-12,278.0,291.2,275.0,287.14,283.97,734725
2016-09-14,288.45,291.58,286.61,290.13,286.92,496915
2016-09-15,290.34,319.0,288.46,308.7,305.29,3561315
2016-09-16,311.76,330.96,311.0,323.92,320.34,3731000
2016-09-19,327.34,332.31,326.07,327.17,323.55,1137135
2016-09-20,327.52,333.2,318.2,328.25,324.62,1180995
2016-09-21,329.89,336.57,329.68,334.78,331.08,1381555
2016-09-22,338.68,341.26,336.0,340.7,336.93,1310570
2016-09-23,341.0,344.29,338.09,339.78,336.02,1021840
2016-09-26,339.2,344.3,335.02,342.32,338.54,808665
2016-09-27,342.4,345.3,339.29,344.58,340.77,777590
2016-09-28,345.2,348.85,343.6,348.45,344.6,592345
2016-09-29,348.91,349.82,303.0,332.52,328.84,962225
2016-09-30,331.0,340.0,329.03,335.52,331.81,684535
2016-10-03,337.8,345.0,337.8,343.62,339.82,374695
2016-10-04,345.2,367.8,345.2,358.46,354.5,1485445
2016-10-05,361.0,369.8,361.0,362.73,358.72,1040880
2016-10-06,364.4,367.0,355.22,358.26,354.3,465295
2016-10-07,360.38,365.0,355.0,360.93,356.94,488360
2016-10-10,361.2,389.4,359.73,365.15,361.11,3182535
2016-10-13,366.36,375.0,362.4,365.44,361.4,971700
2016-10-14,367.76,377.6,366.6,373.63,369.5,803020
2016-10-17,374.0,390.87,374.0,380.54,376.33,1645885
2016-10-18,384.1,411.94,384.1,407.93,403.42,3483755
2016-10-19,414.8,439.6,412.0,435.02,430.21,2857245
2016-10-20,447.56,463.76,441.0,449.59,444.62,2724095
2016-10-21,450.42,451.6,432.04,444.92,440.0,1371020
2016-10-24,445.37,462.0,443.1,459.42,454.34,1468025
2016-10-25,462.6,475.1,461.22,470.55,465.35,1610835
2016-10-26,471.65,473.0,408.21,428.62,423.88,1729290
2016-10-27,418.0,423.0,366.32,407.13,402.63,4498135
2016-10-28,410.38,434.0,410.38,425.43,420.73,1956630
2016-11-01,450.2,465.0,431.4,440.77,435.9,1411395
2016-11-02,434.0,438.0,410.05,420.21,415.56,1386115
2016-11-03,423.8,427.95,396.0,398.64,394.23,1337520
2016-11-04,400.0,404.0,375.2,378.08,373.9,1603490
2016-11-07,387.0,394.17,376.9,378.5,374.32,946110
2016-11-08,384.0,385.94,367.43,374.61,370.47,898515
2016-11-09,323.0,393.6,310.18,386.27,382.0,2627890
2016-11-10,401.22,409.98,392.22,400.11,395.69,944840
2016-11-11,392.8,397.98,380.22,383.01,378.78,743005
2016-11-15,392.8,396.11,366.24,371.37,367.26,801025
2016-11-16,383.6,386.79,371.22,374.51,370.37,689395
2016-11-17,375.98,375.98,362.11,370.41,366.31,509795
2016-11-18,372.6,380.0,362.0,373.9,369.77,585435
2016-11-21,377.56,380.0,363.64,365.67,361.63,429095
2016-11-22,368.0,374.0,363.37,366.68,362.63,440805
2016-11-23,370.34,385.4,365.34,382.01,377.79,665530
2016-11-24,376.4,386.98,374.0,380.59,376.38,622755
2016-11-25,384.56,397.2,382.72,394.51,390.15,910785
2016-11-28,394.0,424.0,393.06,420.02,415.38,1827205
2016-11-29,425.2,441.0,425.2,429.55,424.8,1533060
2016-11-30,433.8,437.8,418.41,428.86,424.12,1053440
2016-12-01,432.71,432.88,419.42,424.81,420.11,468750
2016-12-02,426.6,436.5,420.8,428.74,424.0,969145
2016-12-05,429.79,430.61,416.0,419.61,414.97,403950
2016-12-06,421.0,425.97,414.92,416.59,411.98,292500
2016-12-07,417.76,420.48,399.0,401.33,396.89,467430
2016-12-08,405.7,415.17,405.7,411.69,407.14,439415
2016-12-09,413.8,440.4,405.25,432.09,427.31,1493150
2016-12-12,437.0,444.25,426.0,432.5,427.72,780295
2016-12-13,431.4,433.68,418.2,420.4,415.75,364260
2016-12-14,421.88,421.88,406.0,407.46,402.95,382645
2016-12-15,399.6,426.0,396.0,415.13,410.54,708495
2016-12-16,417.94,421.6,410.0,413.41,408.84,382710
2016-12-19,413.4,415.55,403.01,405.63,401.15,281960
2016-12-20,406.88,413.97,396.2,398.42,394.01,474775
2016-12-21,401.6,406.0,395.0,396.23,391.85,309390
2016-12-22,396.8,397.26,382.2,385.86,381.59,512160
2016-12-23,385.56,392.0,378.4,382.88,378.65,611545
2016-12-26,381.96,381.96,366.2,367.0,362.94,416690
2016-12-27,370.36,392.0,364.8,389.19,384.89,1108140
2016-12-28,393.78,397.8,385.62,391.65,387.32,549540
2016-12-29,392.4,397.0,387.08,393.21,388.86,282475
2016-12-30,393.4,402.0,392.52,396.61,392.22,413030
2017-01-02,398.2,398.98,383.08,385.38,381.12,533710
2017-01-03,387.36,390.84,376.05,376.71,372.54,618025
2017-01-04,379.2,383.6,370.4,371.52,367.41,572750
2017-01-05,375.2,381.73,372.54,374.18,370.04,576535
2017-01-06,374.01,382.22,372.53,374.9,370.75,502325
2017-01-09,376.8,382.0,372.23,376.01,371.85,313660
2017-01-10,377.6,380.69,373.03,374.63,370.49,273045
2017-01-11,376.0,378.4,373.02,374.49,370.35,281405
2017-01-12,373.33,374.0,367.6,369.04,364.96,349355
2017-01-13,370.96,376.72,366.0,368.09,364.02,417165
