Date,Open,High,Low,Close,Adj Close,Volume
2005-12-14,77.4,100.34,77.4,98.3,87.61,48181430
2005-12-15,102.0,104.38,97.66,102.27,91.15,17317450
2005-12-16,102.06,118.4,99.4,113.72,101.36,21186485
2005-12-19,113.08,117.37,105.22,109.61,97.69,21584185
2005-12-20,110.0,110.0,102.42,103.72,92.44,6731395
2005-12-21,104.18,109.4,104.0,104.95,93.54,8533980
2005-12-22,105.48,108.0,104.23,104.87,93.47,3029140
2005-12-23,105.4,108.94,105.05,106.15,94.61,3757185
2005-12-26,106.54,106.58,101.21,104.32,92.98,2894265
2005-12-27,103.0,107.95,103.0,107.07,95.43,2017150
2005-12-28,106.6,106.98,104.8,105.58,94.1,1049900
2005-12-29,105.7,113.28,105.6,111.74,99.59,5737505
2005-12-30,112.4,112.69,107.26,107.84,96.12,1549785
2006-01-02,106.46,109.69,106.08,106.87,95.25,512410
2006-01-03,107.6,107.8,104.66,105.47,94.0,637245
2006-01-04,106.0,114.2,105.94,112.69,100.44,1656955
2006-01-05,113.4,118.42,108.44,116.69,104.0,4374620
2006-01-06,117.2,117.95,110.2,111.34,99.24,2300950
2006-01-09,112.4,114.76,110.46,111.24,99.15,695080
2006-01-10,113.6,124.48,110.6,119.29,106.32,8024275
2006-01-12,118.2,124.33,110.31,118.96,106.03,4008770
2006-01-13,118.9,124.34,118.9,119.66,106.65,2545960
2006-01-16,120.97,123.28,114.83,115.56,103.0,1937910
2006-01-17,116.6,118.0,110.66,112.58,100.34,1184460
2006-01-18,114.0,114.98,111.0,112.23,100.03,826820
2006-01-19,113.18,117.18,112.4,113.74,101.37,1291180
2006-01-20,114.8,115.2,111.45,112.41,100.19,549320
2006-01-23,111.88,113.68,107.4,108.69,96.87,619290
2006-01-24,110.06,121.94,109.2,118.18,105.33,3400355
2006-01-25,129.99,129.99,119.6,121.41,108.21,4336700
2006-01-27,123.2,125.4,121.0,121.92,108.67,1771205
2006-01-30,123.02,123.74,116.88,117.73,104.93,869820
2006-01-31,118.8,127.36,116.0,124.23,110.72,4027465
2006-02-01,125.34,129.16,121.51,122.79,109.44,3299655
2006-02-02,123.6,127.0,120.02,120.69,107.57,1418555
2006-02-03,121.78,122.7,117.04,118.32,105.46,810330
2006-02-06,118.0,125.0,118.0,122.7,109.36,957920
2006-02-07,123.78,125.58,121.02,122.15,108.87,737010
2006-02-08,120.2,122.58,120.0,120.64,107.52,369020
2006-02-10,121.42,123.4,120.6,121.82,108.58,428010
2006-02-13,121.9,122.6,119.4,120.42,107.33,256185
2006-02-14,120.98,121.8,118.8,119.56,106.56,207620
2006-02-15,120.98,123.98,118.43,119.82,106.79,416295
2006-02-16,120.58,121.33,117.01,117.93,105.11,239695
2006-02-17,118.88,119.49,113.2,114.06,101.66,288240
2006-02-20,114.8,114.8,110.4,111.67,99.53,273930
2006-02-21,113.0,119.34,112.1,117.25,104.5,247940
2006-02-22,117.4,118.6,113.9,114.82,102.34,131405
2006-02-23,115.58,117.0,112.26,114.73,102.26,362365
2006-02-24,115.78,115.78,112.6,113.07,100.78,98610
2006-02-27,112.2,116.6,112.2,115.64,103.07,155565
2006-02-28,117.0,118.98,111.03,116.37,103.72,314905
2006-03-01,115.99,118.94,115.0,116.19,103.56,82765
2006-03-02,117.6,122.89,116.2,117.46,104.69,305105
2006-03-03,117.46,118.7,115.6,116.49,103.83,132855
2006-03-06,117.0,119.6,115.8,116.9,104.19,96760
2006-03-07,117.94,120.49,115.6,116.67,103.99,342835
2006-03-08,117.6,117.6,114.8,115.44,102.89,162475
2006-03-09,115.0,119.0,114.2,117.31,104.56,336705
2006-03-10,117.6,131.95,117.0,129.04,115.01,1446105
2006-03-13,134.88,136.6,126.42,127.67,113.79,830865
2006-03-14,128.58,131.8,124.2,126.81,113.02,452870
2006-03-16,127.98,133.0,127.04,130.58,116.38,494590
2006-03-17,131.6,136.2,128.22,130.05,115.91,828110
2006-03-20,131.16,135.4,130.21,131.32,117.04,368135
2006-03-21,131.4,132.74,129.02,129.8,115.69,189000
2006-03-22,130.98,131.56,126.6,127.47,113.61,214320
2006-03-23,136.0,136.0,128.0,130.01,115.88,131350
2006-03-24,130.0,137.59,130.0,136.26,121.45,527295
2006-03-27,137.98,137.98,130.44,131.6,117.29,212135
2006-03-28,132.68,133.21,127.0,128.85,114.84,237840
2006-03-29,128.42,131.0,125.32,126.33,112.6,110470
2006-03-30,129.6,129.6,123.2,124.8,111.23,275260
2006-03-31,126.0,126.0,122.44,123.11,109.73,131635
2006-04-03,124.0,126.99,123.01,124.41,110.88,245695
2006-04-04,126.96,126.98,123.8,124.84,111.27,186410
2006-04-05,127.0,131.6,124.8,126.94,113.14,270645
2006-04-07,129.6,131.2,115.8,119.73,106.71,399715
2006-04-10,122.0,125.36,121.4,122.24,108.95,149500
2006-04-12,124.6,128.39,122.5,124.2,110.7,237365
2006-04-13,126.2,131.74,123.8,129.89,115.77,270790
2006-04-17,131.4,132.0,130.0,130.39,116.21,132135
2006-04-18,126.2,133.0,126.2,130.69,116.48,128160
2006-04-19,133.96,152.8,124.22,149.21,132.99,1912235
2006-04-20,147.2,156.98,142.21,152.66,136.06,1781600
2006-04-21,133.6,153.1,133.6,145.56,129.74,453205
2006-04-24,143.22,144.74,138.03,140.1,124.87,396170
2006-04-25,138.4,149.78,134.42,135.56,120.82,501420
2006-04-26,135.76,138.9,134.2,135.41,120.69,204660
2006-04-27,137.56,141.95,135.58,135.96,121.18,411465
2006-04-28,135.96,136.0,123.72,135.11,120.42,214820
2006-05-02,140.0,141.0,135.4,139.17,124.04,818830
2006-05-03,140.75,144.0,136.05,137.14,122.23,167165
2006-05-04,138.8,139.48,134.0,134.57,119.94,94810
2006-05-05,136.0,136.0,131.0,132.07,117.71,139360
2006-05-08,132.65,135.0,132.65,134.38,119.77,144710
2006-05-09,134.97,137.0,131.6,134.94,120.27,149285
2006-05-10,134.94,134.94,132.13,132.83,118.39,366105
2006-05-11,133.95,137.9,129.02,134.18,119.59,482305
2006-05-12,133.4,135.0,131.05,132.37,117.98,50645
2006-05-15,133.0,134.0,128.0,128.52,114.55,70445
2006-05-16,131.48,150.2,117.0,128.47,114.5,109520
2006-05-17,132.0,135.0,124.4,129.18,115.14,163725
2006-05-18,129.2,129.2,116.03,120.53,107.43,151975
2006-05-19,124.96,136.94,114.02,117.11,104.38,81075
2006-05-22,117.11,117.11,103.6,112.04,99.86,128050
2006-05-23,107.2,117.8,104.4,114.4,101.96,392615
2006-05-24,116.0,116.2,108.2,109.59,97.68,189575
2006-05-25,100.2,109.0,100.2,104.95,93.54,183685
2006-05-26,110.0,115.0,106.31,108.24,96.47,158415
2006-05-29,110.0,113.0,109.6,110.64,98.61,466300
2006-05-30,108.62,119.6,108.62,116.14,103.51,200510
2006-05-31,108.3,113.6,106.4,109.56,97.65,73960
2006-06-01,112.0,112.0,104.0,105.34,93.89,44530
2006-06-02,84.4,112.99,84.4,105.89,94.38,72150
2006-06-05,107.0,109.0,98.2,102.41,91.28,46905
2006-06-06,94.2,101.4,94.2,100.59,89.65,182235
2006-06-07,94.5,103.8,85.56,93.34,83.19,73740
2006-06-08,86.92,87.4,79.4,84.32,75.15,287845
2006-06-09,80.44,98.0,80.44,96.35,85.88,196370
2006-06-12,96.98,104.8,93.44,99.49,88.67,121810
2006-06-13,98.0,98.0,89.6,93.97,83.75,164070
2006-06-14,75.3,99.4,75.3,89.45,79.73,110175
2006-06-15,93.28,98.8,90.0,97.13,86.57,139515
2006-06-16,100.79,109.18,100.79,105.34,93.89,179490
2006-06-19,100.08,106.78,100.08,102.56,91.41,53320
2006-06-20,102.0,110.8,102.0,104.65,93.27,79260
2006-06-21,108.0,111.4,106.0,110.07,98.1,73870
2006-06-22,112.0,125.8,112.0,119.98,106.94,462230
2006-06-23,113.32,123.0,110.98,119.9,106.87,126935
2006-06-26,122.8,122.8,111.0,111.96,99.79,55820
2006-06-27,111.96,117.6,107.4,111.35,99.24,92505
2006-06-28,111.4,121.0,108.05,119.22,106.26,123330
2006-06-29,119.0,122.4,117.0,118.43,105.55,97940
2006-06-30,121.6,131.99,121.6,130.84,116.62,322215
2006-07-03,130.0,132.28,125.72,126.4,112.66,42925
2006-07-04,128.0,130.78,125.6,126.96,113.16,72780
2006-07-05,124.13,128.97,122.15,123.8,110.34,36150
2006-07-06,122.0,127.2,121.0,122.47,109.16,61450
2006-07-07,123.39,126.96,122.01,122.9,109.54,59450
2006-07-10,120.25,125.0,117.0,120.71,107.59,44120
2006-07-11,119.0,125.6,118.4,122.61,109.28,43075
2006-07-12,122.99,123.98,118.6,122.4,109.09,29215
2006-07-13,123.54,124.8,120.2,121.49,108.28,46700
2006-07-14,119.6,122.94,117.02,118.07,105.23,26345
2006-07-17,120.0,122.0,115.0,115.39,102.85,23170
2006-07-18,117.4,119.56,109.6,113.75,101.38,185810
2006-07-19,115.02,117.0,110.1,110.69,98.66,31240
2006-07-20,113.6,116.4,110.02,110.92,98.86,67665
2006-07-21,109.4,112.93,105.0,106.1,94.57,26185
2006-07-24,86.0,104.0,86.0,102.83,91.65,29010
2006-07-25,104.56,108.0,104.0,106.07,94.54,21280
2006-07-26,105.0,114.6,105.0,113.71,101.35,80145
2006-07-27,114.0,117.8,112.2,116.96,104.24,42440
2006-07-28,119.0,119.0,114.0,116.6,103.92,24455
2006-07-31,119.92,128.0,119.0,120.23,107.16,357080
2006-08-01,120.0,125.6,118.6,122.35,109.05,169375
2006-08-02,123.9,125.58,123.22,124.27,110.76,75765
2006-08-03,124.0,128.8,124.0,126.42,112.68,97040
2006-08-04,129.8,141.59,127.8,137.05,122.15,712950
2006-08-07,136.0,137.8,133.01,134.42,119.81,176280
2006-08-08,134.0,143.5,133.98,137.77,122.79,340280
2006-08-09,137.44,141.8,137.44,140.63,125.34,157075
2006-08-10,145.5,145.5,140.2,141.84,126.42,190250
2006-08-11,141.8,146.96,141.61,144.44,128.74,228105
2006-08-14,146.0,146.0,142.21,143.05,127.5,44540
2006-08-16,144.88,164.8,144.05,154.81,137.98,685490
2006-08-17,156.0,162.4,153.1,158.37,141.15,317810
2006-08-18,160.6,160.6,154.0,156.3,139.31,176910
2006-08-21,156.0,156.9,152.86,155.57,138.66,57480
2006-08-22,157.8,159.0,148.22,151.85,135.34,80715
2006-08-23,151.2,151.77,146.0,148.65,132.49,86950
2006-08-24,147.4,155.3,146.2,153.56,136.87,140110
2006-08-25,152.22,157.0,147.2,150.79,134.4,160290
2006-08-28,153.0,153.0,147.02,149.85,133.56,37320
2006-08-29,151.08,152.71,145.0,145.88,130.02,102985
2006-08-30,149.0,149.0,145.0,145.44,129.63,39395
2006-08-31,147.99,148.6,144.6,147.17,131.17,48955
2006-09-01,146.0,147.99,142.2,142.95,127.41,71665
2006-09-04,145.95,150.0,143.3,148.42,132.28,85955
2006-09-05,150.24,151.2,147.63,150.53,134.17,88470
2006-09-06,151.8,154.0,149.0,150.04,133.73,125760
2006-09-07,149.8,157.4,148.02,155.22,138.35,139895
2006-09-08,156.0,157.98,150.6,153.44,136.76,128520
2006-09-11,155.94,155.94,148.4,149.02,132.82,66360
2006-09-12,148.8,148.8,138.78,144.6,128.88,257070
2006-09-13,147.0,148.8,144.6,145.53,129.71,174800
