Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,20.62,20.94,20.62,20.94,20.94,19200
2018-10-11,20.94,20.94,20.94,20.94,20.94,0
2018-10-12,20.94,20.94,20.94,20.94,20.94,0
2018-10-15,20.94,20.94,20.94,20.94,20.94,0
2018-10-16,20.47,20.47,20.16,20.31,20.31,19200
2018-10-17,20.31,20.31,20.06,20.06,20.06,12800
2018-10-19,20.62,20.62,20.31,20.31,20.31,12800
2018-10-22,20.31,20.31,20.31,20.31,20.31,0
2018-10-23,20.31,20.31,20.12,20.12,20.12,12800
2018-10-24,20.44,20.44,20.38,20.38,20.38,12800
2018-10-25,20.31,20.31,20.25,20.25,20.25,12800
2018-10-26,20.38,20.38,20.31,20.31,20.31,12800
2018-10-29,20.38,20.38,20.19,20.19,20.19,12800
2018-10-30,20.19,20.19,20.19,20.19,20.19,0
2018-10-31,20.31,20.31,20.31,20.31,20.31,12800
2018-11-01,20.31,20.31,20.31,20.31,20.31,0
2018-11-02,20.31,20.31,20.31,20.31,20.31,0
2018-11-05,20.31,20.31,20.19,20.19,20.19,12800
2018-11-06,20.62,20.62,20.31,20.47,20.47,12800
2018-11-07,20.47,20.47,20.47,20.47,20.47,0
2018-11-09,20.47,20.47,20.47,20.47,20.47,0
2018-11-12,20.62,20.62,20.31,20.31,20.31,12800
2018-11-13,21.25,21.41,21.25,21.41,21.41,12800
2018-11-14,21.41,21.41,21.41,21.41,21.41,0
2018-11-15,21.25,21.25,20.12,20.12,20.12,19200
2018-11-16,20.03,20.03,20.03,20.03,20.03,12800
2018-11-19,20.31,20.31,20.0,20.0,20.0,12800
2018-11-20,20.31,20.31,20.0,20.0,20.0,12800
2018-11-21,20.0,20.0,20.0,20.0,20.0,0
2018-11-22,20.0,20.0,20.0,20.0,20.0,0
2018-11-26,20.31,20.31,20.0,20.0,20.0,25600
2018-11-27,20.0,20.0,20.0,20.0,20.0,0
2018-11-28,20.0,20.0,20.0,20.0,20.0,12800
2018-11-29,20.31,20.31,20.31,20.31,20.31,12800
2018-11-30,20.31,20.31,20.19,20.25,20.25,12800
2018-12-03,20.25,20.25,20.25,20.25,20.25,0
2018-12-04,21.25,21.5,21.25,21.5,21.5,12800
2018-12-05,20.31,20.31,20.0,20.16,20.16,12800
2018-12-06,20.16,20.16,20.16,20.16,20.16,0
2018-12-07,20.06,20.06,20.06,20.06,20.06,12800
2018-12-10,20.06,20.06,20.06,20.06,20.06,12800
2018-12-11,20.06,20.06,20.06,20.06,20.06,12800
2018-12-12,20.0,20.0,20.0,20.0,20.0,12800
2018-12-13,20.0,20.0,20.0,20.0,20.0,0
2018-12-14,20.31,20.31,20.0,20.0,20.0,19200
2018-12-17,20.0,20.0,20.0,20.0,20.0,0
2018-12-18,20.0,20.0,20.0,20.0,20.0,0
2018-12-19,20.0,20.0,20.0,20.0,20.0,0
2018-12-20,20.0,20.0,20.0,20.0,20.0,0
2018-12-21,20.12,20.31,20.0,20.0,20.0,128000
2018-12-24,20.06,20.06,20.06,20.06,20.06,12800
2018-12-26,20.31,20.31,20.12,20.12,20.12,19200
2018-12-27,20.5,20.5,20.12,20.12,20.12,19200
2018-12-28,20.5,20.5,20.12,20.12,20.12,19200
2018-12-31,20.25,20.25,20.12,20.19,20.19,19200
2019-01-01,20.19,20.19,20.19,20.19,20.19,0
2019-01-02,20.31,20.31,20.31,20.31,20.31,32000
2019-01-03,20.31,20.31,20.16,20.31,20.31,70400
2019-01-04,20.19,20.5,20.19,20.31,20.31,70400
2019-01-07,19.91,20.03,19.91,19.97,19.97,320000
2019-01-08,19.97,19.97,19.97,19.97,19.97,0
2019-01-09,19.97,19.97,19.97,19.97,19.97,0
2019-01-10,19.44,20.31,19.41,20.31,20.31,166400
2019-01-11,20.94,20.94,20.94,20.94,20.94,6400
2019-01-14,20.94,20.94,20.94,20.94,20.94,0
2019-01-15,20.94,20.94,20.94,20.94,20.94,0
2019-01-16,19.44,20.62,19.41,20.62,20.62,211200
2019-01-17,21.56,21.56,21.56,21.56,21.56,6400
2019-01-18,21.56,21.56,21.56,21.56,21.56,0
2019-01-21,22.34,22.38,22.34,22.38,22.38,12800
2019-01-22,22.38,22.38,22.38,22.38,22.38,0
2019-01-23,22.81,22.94,21.88,22.81,22.81,268800
2019-01-24,22.81,22.81,22.81,22.81,22.81,0
2019-01-25,23.12,23.12,21.56,22.0,22.0,256000
2019-01-28,22.69,22.69,22.69,22.69,22.69,147200
2019-01-29,23.09,23.09,21.56,21.56,21.56,102400
2019-01-30,21.25,21.88,21.25,21.72,21.72,236800
2019-01-31,21.72,21.72,21.72,21.72,21.72,0
2019-02-01,22.44,22.44,22.44,22.44,22.44,76800
2019-02-04,22.69,22.75,21.06,21.88,21.88,83200
2019-02-05,21.88,21.88,21.88,21.88,21.88,0
2019-02-06,21.88,21.88,21.88,21.88,21.88,0
2019-02-07,20.06,20.94,20.06,20.94,20.94,128000
2019-02-08,20.16,20.41,20.16,20.16,20.16,115200
2019-02-11,20.16,20.16,20.16,20.16,20.16,0
2019-02-12,20.16,20.16,20.16,20.16,20.16,0
2019-02-14,20.16,20.16,20.16,20.16,20.16,0
2019-02-15,20.31,20.31,20.31,20.31,20.31,12800
2019-02-18,20.31,20.31,20.31,20.31,20.31,12800
2019-02-19,20.38,20.38,20.38,20.38,20.38,12800
2019-02-20,20.38,20.38,20.38,20.38,20.38,12800
2019-02-21,20.38,20.38,20.38,20.38,20.38,0
2019-02-22,20.38,20.38,20.38,20.38,20.38,0
2019-02-25,20.62,20.62,20.31,20.31,20.31,12800
2019-02-26,20.31,20.31,20.06,20.06,20.06,12800
2019-02-27,20.31,20.31,20.19,20.25,20.25,12800
2019-02-28,20.25,20.25,20.25,20.25,20.25,0
2019-03-01,20.53,20.53,20.53,20.53,20.53,12800
2019-03-05,20.62,20.62,20.47,20.47,20.47,12800
2019-03-06,20.94,20.94,20.94,20.94,20.94,6400
2019-03-07,20.94,20.94,20.94,20.94,20.94,6400
2019-03-08,21.06,21.06,20.94,20.94,20.94,25600
2019-03-11,20.94,20.94,20.94,20.94,20.94,0
2019-03-12,20.94,20.94,20.94,20.94,20.94,0
2019-03-13,20.94,20.94,20.94,20.94,20.94,0
2019-03-14,20.94,20.94,20.94,20.94,20.94,0
2019-03-15,19.69,20.94,19.69,20.94,20.94,390400
2019-03-18,20.94,20.94,20.94,20.94,20.94,0
2019-03-19,20.94,20.94,20.94,20.94,20.94,0
2019-03-20,20.62,22.34,20.47,22.25,22.25,102400
2019-03-22,22.75,22.88,22.44,22.44,22.44,396800
2019-03-25,23.06,23.12,21.25,23.03,23.03,294400
2019-03-26,23.0,23.03,23.0,23.03,23.03,89600
2019-03-27,23.03,23.03,23.03,23.03,23.03,0
2019-03-28,23.03,23.03,23.03,23.03,23.03,0
2019-04-01,23.03,23.03,23.03,23.03,23.03,0
2019-04-02,23.03,23.03,23.03,23.03,23.03,0
2019-04-03,23.03,23.03,23.03,23.03,23.03,0
2019-04-04,23.03,23.03,23.03,23.03,23.03,0
2019-04-05,23.03,23.03,23.03,23.03,23.03,0
2019-04-08,23.03,23.03,23.03,23.03,23.03,0
2019-04-09,23.03,23.03,23.03,23.03,23.03,0
2019-04-10,23.03,23.03,23.03,23.03,23.03,0
2019-04-11,21.88,21.88,21.88,21.88,21.88,6400
2019-04-12,22.19,22.19,22.19,22.19,22.19,6400
2019-04-15,20.94,20.94,20.94,20.94,20.94,6400
2019-04-16,20.66,20.66,20.66,20.66,20.66,6400
2019-04-18,21.88,22.19,21.72,22.19,22.19,288000
2019-04-22,20.94,20.94,20.94,20.94,20.94,6400
2019-04-23,20.94,20.94,20.94,20.94,20.94,6400
2019-04-24,22.19,22.19,21.25,21.25,21.25,288000
2019-04-25,22.19,22.34,21.88,21.88,21.88,96000
2019-04-26,22.19,22.19,21.25,21.25,21.25,12800
2019-04-30,21.56,22.19,21.56,22.19,22.19,160000
2019-05-02,22.19,22.19,22.19,22.19,22.19,0
2019-05-03,22.5,22.5,22.19,22.19,22.19,147200
2019-05-06,21.25,21.25,21.25,21.25,21.25,6400
2019-05-07,20.94,20.94,20.94,20.94,20.94,6400
2019-05-08,21.56,21.56,20.94,20.94,20.94,102400
2019-05-09,20.94,20.94,20.94,20.94,20.94,0
2019-05-10,20.94,20.94,20.94,20.94,20.94,0
2019-05-13,20.94,20.94,20.94,20.94,20.94,0
2019-05-14,22.19,22.19,22.19,22.19,22.19,6400
2019-05-15,22.19,22.19,22.19,22.19,22.19,6400
2019-05-16,22.19,22.19,22.19,22.19,22.19,0
2019-05-17,22.19,22.19,22.19,22.19,22.19,0
2019-05-20,22.19,22.19,22.19,22.19,22.19,0
2019-05-21,21.5,21.5,21.25,21.25,21.25,12800
