Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,11.01,11.3,11.01,11.2,10.77,3708620
2015-07-01,11.2,11.36,11.2,11.27,10.84,2062660
2015-07-02,11.25,11.3,11.24,11.24,10.81,2542340
2015-07-03,11.35,11.35,11.1,11.3,10.86,2132440
2015-07-06,11.15,11.52,11.05,11.45,11.01,2388640
2015-07-07,11.53,11.57,11.18,11.22,10.78,2467700
2015-07-08,11.19,11.19,11.06,11.06,10.63,2087080
2015-07-09,11.08,11.1,10.79,10.87,10.45,3080660
2015-07-10,10.88,10.94,10.78,10.82,10.4,3246980
2015-07-13,10.84,10.86,10.51,10.75,10.34,3158860
2015-07-14,10.75,10.8,10.64,10.68,10.27,2340060
2015-07-15,10.7,10.8,10.65,10.76,10.34,2389680
2015-07-16,10.8,10.86,10.74,10.78,10.36,2964740
2015-07-17,10.76,10.81,10.73,10.79,10.37,2584160
2015-07-20,10.79,10.9,10.76,10.87,10.45,2519620
2015-07-21,10.87,10.9,10.76,10.83,10.41,2304720
2015-07-22,10.83,10.94,10.78,10.9,10.47,2856440
2015-07-23,10.97,10.97,10.88,10.92,10.5,3120080
2015-07-24,10.98,10.99,10.88,10.91,10.49,3717240
2015-07-27,10.9,10.99,10.82,10.83,10.41,2825680
2015-07-28,10.78,10.87,10.75,10.77,10.35,3309180
2015-07-29,10.8,10.93,10.8,10.88,10.46,3063280
2015-07-30,10.93,10.97,10.81,10.93,10.5,2719020
2015-07-31,10.99,11.2,10.9,11.17,10.79,2502640
2015-08-03,11.19,11.24,11.12,11.18,10.8,3090500
2015-08-04,11.22,11.28,11.06,11.1,10.72,3967600
2015-08-05,11.14,11.15,11.06,11.12,10.74,3591220
2015-08-06,11.13,11.19,11.08,11.16,10.78,3712480
2015-08-07,11.2,11.2,11.06,11.09,10.71,3618060
2015-08-10,11.05,11.19,11.04,11.18,10.79,4352280
2015-08-11,11.19,11.19,10.95,10.98,10.6,3412800
2015-08-12,10.99,11.05,10.8,10.85,10.47,3558620
2015-08-13,10.81,10.99,10.81,10.92,10.54,2666260
2015-08-14,10.85,11.19,10.76,11.17,10.79,3402580
2015-08-17,11.19,11.2,10.9,10.94,10.56,3292580
2015-08-18,10.96,11.11,10.9,10.95,10.58,3945940
2015-08-19,10.99,11.05,10.81,10.86,10.49,3681740
2015-08-20,10.9,10.91,10.64,10.7,10.33,3371500
2015-08-21,10.7,10.72,10.48,10.69,10.32,2637720
2015-08-24,10.28,10.35,10.06,10.09,9.74,2371220
2015-08-25,10.29,10.44,10.0,10.42,10.06,2254840
2015-08-26,10.25,10.42,10.25,10.26,9.9,2188360
2015-08-27,10.3,10.99,10.3,10.88,10.5,2345020
2015-08-28,10.99,11.1,10.76,10.94,10.57,4582260
2015-08-31,11.0,11.01,10.82,10.89,10.52,2198340
2015-09-01,10.85,10.94,10.65,10.79,10.42,3374720
2015-09-02,10.84,10.84,10.73,10.76,10.39,2758920
2015-09-03,10.8,10.95,10.75,10.93,10.55,2659480
2015-09-04,10.91,10.98,10.6,10.63,10.26,2050860
2015-09-07,10.6,10.66,10.36,10.47,10.11,2671200
2015-09-08,10.41,10.6,10.4,10.48,10.12,2508320
2015-09-09,10.55,10.73,10.53,10.7,10.33,2715040
2015-09-10,10.73,10.73,10.51,10.53,10.17,2551260
2015-09-11,10.59,10.65,10.5,10.56,10.19,3281620
2015-09-14,10.6,10.65,10.57,10.63,10.26,2734860
2015-09-15,10.64,10.64,10.35,10.5,10.14,2925220
2015-09-16,10.53,10.72,10.51,10.65,10.28,2885860
2015-09-18,10.7,10.95,10.67,10.75,10.38,3562860
2015-09-21,10.8,10.91,10.71,10.8,10.43,3207560
2015-09-22,10.81,10.86,10.6,10.65,10.28,3090300
2015-09-23,10.49,10.5,10.0,10.07,9.73,2151680
2015-09-24,10.02,10.24,10.0,10.1,9.75,2434052
2015-09-28,10.25,10.27,10.0,10.14,9.79,2048204
2015-09-29,10.0,10.23,10.0,10.15,9.8,2267356
2015-09-30,10.25,11.74,10.14,11.62,11.23,3024548
2015-10-01,11.74,12.52,11.6,12.0,11.59,2970840
2015-10-05,12.48,13.04,12.14,13.01,12.56,2329444
2015-10-06,13.11,13.25,12.35,13.06,12.61,2617520
2015-10-07,13.07,13.56,12.5,13.23,12.77,2609440
2015-10-08,13.02,13.25,12.5,12.77,12.34,2189012
2015-10-09,12.77,13.12,12.71,13.07,12.63,2037912
2015-10-12,13.11,13.11,12.77,12.9,12.46,2094368
2015-10-13,12.82,13.07,12.66,12.91,12.47,1836764
2015-10-14,12.88,13.02,12.75,12.86,12.42,1839052
2015-10-15,12.84,13.24,12.75,13.09,12.64,1754784
2015-10-16,13.07,13.2,12.77,12.93,12.48,2013848
2015-10-19,12.95,13.0,12.68,12.75,12.31,2164148
2015-10-20,12.74,13.2,12.65,12.71,12.28,2137228
2015-10-21,12.75,13.62,12.69,13.5,13.04,1944960
2015-10-23,13.66,13.84,13.51,13.75,13.28,2104864
2015-10-26,13.75,13.75,13.43,13.5,13.04,1919372
2015-10-27,13.4,13.5,13.06,13.38,12.92,2388644
2015-10-28,13.44,13.44,12.77,13.06,12.61,1953844
2015-10-29,13.23,13.23,12.96,13.05,12.6,2255552
2015-10-30,13.0,13.4,12.88,12.99,12.54,2148368
2015-11-02,12.88,13.1,12.7,13.0,12.55,2265484
2015-11-03,13.02,13.29,13.0,13.06,12.61,1943604
2015-11-04,13.1,13.46,13.1,13.31,12.85,2539724
2015-11-05,13.27,13.45,12.76,12.9,12.46,4563008
2015-11-06,12.77,12.99,12.77,12.91,12.47,2558516
2015-11-09,12.77,12.91,12.48,12.64,12.2,1624516
2015-11-10,12.62,12.65,12.04,12.12,11.71,1426956
2015-11-13,12.25,12.31,11.96,12.06,11.65,1313800
2015-11-16,12.12,12.46,11.93,12.3,11.88,2133776
2015-11-17,12.38,12.48,12.1,12.36,11.94,2032952
2015-11-18,12.39,12.55,11.8,11.91,11.5,2488352
2015-11-19,12.0,12.18,11.82,11.95,11.54,2205948
2015-11-20,11.93,12.38,11.8,12.0,11.59,1914156
2015-11-23,12.2,12.2,11.85,11.9,11.49,2282296
2015-11-24,11.98,12.23,11.86,11.91,11.5,1875068
2015-11-26,11.98,12.2,11.82,12.15,11.73,1975780
2015-11-27,12.19,12.66,12.07,12.43,12.0,2231420
2015-11-30,12.4,12.62,12.15,12.25,11.83,1806636
2015-12-01,12.48,12.68,12.26,12.27,11.85,2064212
2015-12-02,12.35,12.38,12.12,12.18,11.76,2142512
2015-12-03,12.23,12.25,11.95,11.98,11.56,2235024
2015-12-04,11.93,11.99,11.76,11.88,11.47,2593604
2015-12-07,11.82,12.15,11.79,11.91,11.5,1707264
2015-12-08,11.88,11.99,11.7,11.76,11.36,2149960
2015-12-09,11.57,11.86,11.56,11.64,11.24,1853432
2015-12-10,11.62,12.12,11.62,12.06,11.65,1930432
2015-12-11,12.0,12.2,11.88,11.91,11.5,2351656
2015-12-14,11.88,12.25,11.77,12.09,11.67,3084636
2015-12-15,12.25,12.52,11.86,12.41,11.99,1968552
2015-12-16,12.5,12.88,12.4,12.65,12.21,2115880
2015-12-17,12.75,13.09,12.39,12.96,12.52,2759260
2015-12-18,12.96,13.01,12.75,12.82,12.38,2226868
2015-12-21,12.8,13.36,12.62,13.29,12.83,1811348
2015-12-22,13.29,13.36,13.02,13.05,12.6,1733972
2015-12-23,13.02,13.6,13.01,13.57,13.11,2151032
2015-12-24,13.68,13.76,13.48,13.55,13.08,2741824
