Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,27.52,28.13,27.4,27.99,17.95,630442
2002-07-02,27.99,28.27,27.73,27.97,17.93,1007265
2002-07-03,27.77,27.98,27.4,27.56,17.67,178065
2002-07-04,27.53,27.73,27.47,27.55,17.66,199282
2002-07-05,27.47,27.97,27.36,27.57,17.68,138577
2002-07-08,28.0,28.27,27.07,27.78,17.81,216457
2002-07-09,28.0,28.27,26.95,27.2,17.44,1158427
2002-07-10,27.32,27.32,26.7,26.89,17.24,384892
2002-07-11,26.87,26.93,26.37,26.49,16.98,1189395
2002-07-12,26.47,26.93,26.41,26.51,17.0,1100752
2002-07-15,26.4,26.53,26.17,26.39,16.92,758595
2002-07-16,26.67,26.67,26.15,26.26,16.84,573555
2002-07-17,26.27,26.37,26.09,26.22,16.81,147120
2002-07-18,26.01,26.53,26.01,26.28,16.85,112065
2002-07-19,26.13,26.27,25.8,25.93,16.63,249975
2002-07-22,26.0,26.0,25.27,25.47,16.33,341497
2002-07-23,25.33,26.53,24.81,24.95,16.0,457725
2002-07-24,24.8,24.8,24.53,24.67,15.82,298410
2002-07-25,25.33,25.33,23.73,24.05,15.42,1339500
2002-07-26,24.0,24.4,23.27,23.53,15.09,1189335
2002-07-29,24.27,24.27,23.07,23.28,14.93,451492
2002-07-30,22.68,23.6,22.68,22.96,14.72,899820
2002-07-31,22.69,23.32,22.6,22.66,14.53,732465
2002-08-01,23.2,23.2,22.28,22.59,14.48,724072
2002-08-02,22.44,22.57,22.15,22.37,14.34,465982
2002-08-05,22.4,22.67,21.74,21.95,14.07,1924500
2002-08-06,22.26,22.47,21.81,22.29,14.29,1673670
2002-08-07,22.67,22.93,22.27,22.62,14.5,893827
2002-08-08,22.8,22.8,22.0,22.21,14.24,304387
2002-08-09,22.09,22.6,21.87,22.23,14.25,455310
2002-08-12,22.79,22.79,22.14,22.25,14.27,239220
2002-08-13,22.67,22.67,22.27,22.4,14.36,232672
2002-08-14,22.4,22.4,21.55,22.01,14.28,532372
2002-08-15,22.01,22.01,22.01,22.01,14.28,0
2002-08-16,22.4,22.4,21.95,21.99,14.27,960517
2002-08-19,22.27,22.31,22.07,22.13,14.36,418350
2002-08-20,22.53,22.53,21.8,21.97,14.26,1445872
2002-08-21,21.88,22.27,21.88,22.01,14.28,2020500
2002-08-22,22.13,22.37,22.1,22.13,14.36,1757707
2002-08-23,22.19,22.23,22.07,22.1,14.34,616222
2002-08-26,22.16,22.16,21.93,21.97,14.26,2135955
2002-08-27,21.88,22.0,21.75,21.86,14.18,619192
2002-08-28,22.11,22.11,21.75,21.83,14.17,567030
2002-08-29,22.0,22.0,21.73,21.83,14.17,592500
2002-08-30,22.0,22.01,21.65,21.98,14.26,1051920
2002-09-02,22.27,23.07,21.87,22.31,14.48,1408425
2002-09-03,22.33,22.33,21.95,21.99,14.27,852090
2002-09-04,22.13,22.13,21.94,22.01,14.28,283560
2002-09-05,22.13,22.53,21.64,22.35,14.5,1242217
2002-09-06,22.52,22.64,22.03,22.15,14.37,1146577
2002-09-09,21.6,22.23,21.6,22.16,14.38,454125
2002-09-10,22.16,22.16,22.16,22.16,14.38,0
2002-09-11,22.27,22.4,22.19,22.24,14.43,546210
2002-09-12,22.27,23.8,22.2,23.59,15.31,4144297
2002-09-13,23.57,24.65,23.26,23.3,15.12,820215
2002-09-16,23.33,23.87,22.94,23.05,14.96,522787
2002-09-17,23.2,23.27,23.03,23.11,15.0,185055
2002-09-18,22.9,23.2,22.9,23.06,14.96,310792
2002-09-19,22.54,23.09,22.54,22.74,14.76,312847
2002-09-20,23.25,23.25,22.33,22.71,14.74,503842
2002-09-23,22.57,23.1,22.48,22.5,14.6,430755
2002-09-24,22.72,22.72,22.05,22.34,14.5,290700
2002-09-25,22.16,22.37,22.07,22.18,14.39,330270
2002-09-26,22.15,22.33,22.07,22.11,14.35,355065
2002-09-27,22.37,22.37,22.03,22.15,14.37,684300
2002-09-30,21.83,22.19,21.73,21.81,14.15,1091782
2002-10-01,22.0,22.0,21.47,21.71,14.09,943500
2002-10-02,21.71,21.71,21.71,21.71,14.09,0
2002-10-03,21.73,22.11,21.6,21.92,14.22,745020
2002-10-04,22.0,22.07,21.53,21.75,14.11,1164862
2002-10-07,21.69,21.93,21.69,21.77,14.13,1797300
2002-10-08,21.54,22.06,21.54,21.99,14.27,851527
2002-10-09,22.0,22.17,21.88,22.12,14.35,546217
2002-10-10,22.4,22.4,22.03,22.18,14.39,508042
2002-10-11,22.4,22.62,22.01,22.53,14.62,481935
2002-10-14,23.07,23.07,22.57,22.61,14.67,376177
2002-10-15,22.61,22.61,22.61,22.61,14.67,0
2002-10-16,22.67,23.03,22.47,22.59,14.66,1161375
2002-10-17,22.73,22.73,22.27,22.39,14.53,515805
2002-10-18,22.44,22.73,22.4,22.45,14.57,397492
2002-10-21,22.43,22.8,21.73,22.66,14.7,182257
2002-10-22,22.13,23.05,22.07,22.33,14.49,323407
2002-10-23,22.51,22.51,22.07,22.16,14.38,306352
2002-10-24,22.13,22.49,22.0,22.12,14.35,200385
2002-10-25,22.27,22.47,21.27,21.51,13.96,1335150
2002-10-28,21.34,22.06,20.73,20.87,13.54,638692
2002-10-29,21.47,21.47,20.73,20.94,13.59,663480
2002-10-30,20.53,20.79,20.53,20.69,13.43,1902300
2002-10-31,20.69,23.47,20.53,20.76,13.47,1362382
2002-11-01,20.8,21.07,20.04,20.21,13.11,1417005
2002-11-04,23.86,23.86,20.27,20.47,13.28,365017
2002-11-05,20.27,20.65,20.27,20.54,13.33,762585
2002-11-06,20.54,20.54,20.54,20.54,13.33,0
2002-11-07,20.51,21.05,20.4,20.97,13.61,1556797
2002-11-08,21.2,21.2,20.94,21.07,13.67,772575
2002-11-11,20.93,21.17,20.73,20.95,13.59,492045
2002-11-12,20.8,21.19,20.8,21.13,13.71,252990
2002-11-13,21.3,21.59,21.2,21.35,13.85,810052
2002-11-14,21.59,21.6,21.35,21.53,13.97,1954672
2002-11-15,21.6,21.73,21.27,21.35,13.85,1543980
2002-11-18,21.67,21.67,21.37,21.44,13.91,1156477
2002-11-19,21.44,21.44,21.44,21.44,13.91,0
2002-11-20,21.47,21.57,21.15,21.31,13.83,1166872
2002-11-21,21.33,21.45,21.15,21.24,13.78,858802
2002-11-22,21.07,22.27,20.93,21.9,14.21,1498972
2002-11-25,21.73,22.1,21.73,21.91,14.22,551902
2002-11-26,22.24,22.24,21.87,21.91,14.22,279930
2002-11-27,22.33,22.53,21.73,21.85,14.18,502837
2002-11-28,21.9,22.1,21.82,21.89,14.2,1026690
2002-11-29,22.13,22.25,21.33,21.91,14.22,499470
2002-12-02,21.89,22.93,21.89,22.8,14.79,2044042
2002-12-03,22.8,23.05,21.33,22.19,14.4,1061527
2002-12-04,21.94,22.4,21.93,22.14,14.37,389670
2002-12-05,22.01,22.59,21.93,22.21,14.41,231885
2002-12-06,22.32,22.53,21.88,22.45,14.57,380827
2002-12-09,21.11,22.67,21.11,22.17,14.39,296535
2002-12-10,22.24,22.33,21.87,22.21,14.41,218212
2002-12-11,21.76,22.43,21.75,22.33,14.49,561045
2002-12-12,22.67,22.67,21.75,22.2,14.41,238680
2002-12-13,22.0,22.45,21.88,22.41,14.54,187260
2002-12-16,21.88,22.59,21.87,22.33,14.49,370567
2002-12-17,22.79,22.79,21.94,22.0,14.28,292140
2002-12-18,21.87,22.18,21.63,21.97,14.26,339990
2002-12-19,21.99,21.99,21.41,21.6,14.02,902842
2002-12-20,21.49,21.75,21.48,21.57,14.0,426547
2002-12-23,21.73,21.73,21.15,21.19,13.75,790687
2002-12-24,21.11,21.59,21.1,21.46,13.93,426750
2002-12-25,21.46,21.46,21.46,21.46,13.93,0
2002-12-26,21.44,21.67,21.31,21.41,13.89,869827
2002-12-27,21.41,21.63,21.41,21.54,13.98,998430
2002-12-30,21.47,21.83,21.47,21.67,14.06,676372
2002-12-31,21.93,21.93,21.63,21.78,14.13,534697
2003-01-01,21.85,22.0,21.6,21.89,14.2,294375
2003-01-02,22.13,22.65,22.03,22.33,14.49,2054430
2003-01-03,22.64,22.67,21.94,21.99,14.27,648607
2003-01-06,21.87,22.25,21.67,21.73,14.1,326100
2003-01-07,22.0,22.0,21.49,21.68,14.07,333397
2003-01-08,21.96,22.09,21.74,21.91,14.22,362917
2003-01-09,22.24,22.24,21.75,22.02,14.29,424470
2003-01-10,22.13,22.33,21.47,22.05,14.31,414427
2003-01-13,22.13,22.2,21.49,21.88,14.2,607020
2003-01-14,21.73,22.93,21.73,22.65,14.7,1949992
2003-01-15,22.8,22.93,22.42,22.5,14.6,1081155
2003-01-16,22.93,22.93,22.42,22.53,14.62,198952
2003-01-17,22.53,22.63,22.01,22.13,14.36,233932
2003-01-20,22.37,22.37,21.87,21.89,14.2,339030
2003-01-21,22.65,22.65,21.55,21.84,14.17,593055
2003-01-22,21.65,21.9,21.53,21.58,14.0,704310
2003-01-23,22.0,22.0,21.61,21.76,14.12,502162
2003-01-24,22.59,22.59,20.93,20.99,13.62,704632
2003-01-27,21.39,21.66,20.76,21.03,13.65,1777740
2003-01-28,22.45,22.8,20.67,21.33,13.84,1130715
2003-01-29,21.13,21.73,21.08,21.15,13.72,345795
2003-01-30,21.85,21.85,20.95,21.07,13.67,801562
2003-01-31,21.6,21.72,20.81,21.05,13.66,234412
2003-02-03,21.13,21.53,21.07,21.45,13.92,185925
2003-02-04,21.6,21.6,21.31,21.36,13.86,315217
2003-02-05,21.07,22.2,21.07,21.31,13.83,201180
2003-02-06,21.87,21.87,21.07,21.33,13.84,455085
2003-02-07,21.86,21.86,21.07,21.51,13.96,596017
2003-02-10,22.01,22.01,21.37,21.53,13.97,372300
2003-02-11,22.0,22.0,21.1,21.23,13.78,603225
2003-02-12,21.11,21.59,21.07,21.25,13.79,730800
2003-02-13,21.25,21.25,21.25,21.25,13.79,0
2003-02-14,21.33,21.33,20.29,20.47,13.28,2047912
2003-02-17,20.67,20.79,20.39,20.55,13.33,2252272
2003-02-18,20.67,21.25,20.6,20.91,13.57,2007472
2003-02-19,20.68,21.0,20.65,20.72,13.45,555915
2003-02-20,20.8,20.8,20.37,20.53,13.32,733560
2003-02-21,20.77,20.77,20.47,20.64,13.39,627097
2003-02-24,20.67,21.25,20.67,21.07,13.67,2312910
2003-02-25,21.33,21.33,20.96,21.07,13.67,3640665
2003-02-26,21.29,21.73,21.17,21.65,14.05,4281765
2003-02-27,21.6,21.77,21.5,21.6,14.02,1583505
2003-02-28,21.2,22.19,21.2,21.56,13.99,1594432
2003-03-03,21.72,21.93,21.53,21.59,14.01,615540
2003-03-04,21.49,21.6,21.35,21.57,14.0,345262
2003-03-05,21.33,21.59,21.21,21.47,13.93,1537065
2003-03-06,20.67,21.59,20.67,21.19,13.75,521460
2003-03-07,21.07,21.07,20.37,20.41,13.24,1203000
2003-03-10,20.52,21.06,19.82,19.99,12.97,1240177
2003-03-11,20.51,20.51,19.74,19.95,12.95,671347
2003-03-12,20.13,20.24,19.83,20.09,13.04,1326772
2003-03-13,20.0,20.37,20.0,20.25,13.14,1680210
2003-03-14,20.25,20.25,20.25,20.25,13.14,0
2003-03-17,20.13,20.6,19.65,20.31,13.18,1473907
2003-03-18,20.31,20.31,20.31,20.31,13.18,0
2003-03-19,21.07,21.07,20.49,20.7,13.43,1934962
2003-03-20,20.14,21.1,20.14,20.72,13.45,1735590
2003-03-21,20.55,20.8,20.55,20.73,13.45,1470240
2003-03-24,20.87,21.07,20.7,20.93,13.58,684817
2003-03-25,20.67,21.09,20.67,21.03,13.65,1421602
2003-03-26,21.07,21.2,20.67,21.09,13.69,2495827
2003-03-27,21.09,21.38,21.08,21.24,13.78,1626360
2003-03-28,20.93,21.4,20.93,21.33,13.84,821295
2003-03-31,21.21,21.39,21.17,21.33,13.84,541590
2003-04-01,21.33,21.8,21.08,21.7,14.08,1528822
2003-04-02,21.8,22.04,21.74,21.88,14.2,792112
2003-04-03,21.93,22.06,21.87,21.99,14.27,473032
2003-04-04,21.73,22.13,21.69,21.99,14.27,706035
2003-04-07,21.91,22.32,21.91,22.28,14.46,393877
2003-04-08,22.01,22.53,21.95,22.03,14.3,512610
2003-04-09,22.14,22.14,21.73,22.03,14.3,372592
2003-04-10,22.53,22.53,21.91,22.03,14.3,1034775
2003-04-11,22.47,22.93,21.6,21.71,14.09,881160
2003-04-15,22.13,22.45,21.89,22.08,14.33,416520
2003-04-16,22.0,22.31,22.0,22.06,14.31,324285
2003-04-17,22.47,22.47,21.87,22.03,14.3,240555
2003-04-18,22.03,22.03,22.03,22.03,14.3,0
2003-04-21,22.13,22.13,21.87,21.93,14.23,947137
2003-04-22,22.27,22.27,21.61,22.01,14.28,1189882
2003-04-23,22.05,22.19,21.97,22.04,14.3,1684755
2003-04-24,22.0,22.37,21.77,22.15,14.37,2036055
2003-04-25,22.2,22.2,21.87,21.91,14.22,238110
2003-04-28,22.47,22.47,21.5,21.99,14.27,617632
2003-04-29,22.0,22.04,21.68,21.99,14.27,828465
2003-04-30,22.0,22.33,21.89,22.21,14.41,1787047
2003-05-01,22.21,22.21,22.21,22.21,14.41,0
2003-05-02,22.13,22.2,22.03,22.13,14.36,1110705
2003-05-05,22.32,22.32,22.08,22.15,14.37,1745175
2003-05-06,20.93,23.01,20.93,22.91,14.87,4204155
2003-05-07,22.65,22.87,22.31,22.77,15.04,5231737
2003-05-08,22.8,23.5,22.74,23.16,15.3,6081292
2003-05-09,22.93,23.07,22.63,22.72,15.0,1351875
2003-05-12,22.8,23.01,22.58,22.64,14.95,907252
2003-05-13,22.67,23.2,22.67,22.91,15.13,1994302
2003-05-14,22.6,22.99,22.6,22.67,14.97,1185030
2003-05-15,22.91,22.95,22.6,22.88,15.11,1659577
2003-05-16,23.0,23.59,22.87,23.46,15.49,3327397
2003-05-19,23.47,23.97,23.07,23.73,15.67,6240112
2003-05-20,23.41,24.03,23.4,23.7,15.65,4468627
2003-05-21,23.73,23.91,23.6,23.67,15.63,3215677
2003-05-22,23.35,23.85,23.35,23.54,15.55,3530505
2003-05-23,24.0,24.0,23.08,23.24,15.35,2035575
2003-05-26,23.31,23.71,23.2,23.57,15.57,2098005
2003-05-27,23.49,23.73,23.21,23.34,15.41,1190370
2003-05-28,23.37,23.37,22.95,23.07,15.24,711990
2003-05-29,23.2,23.38,22.83,23.04,15.22,2606280
2003-05-30,23.07,24.1,23.07,23.62,15.6,4145805
2003-06-02,24.67,24.71,23.92,24.51,16.19,6160927
2003-06-03,24.57,24.73,24.2,24.43,16.13,2144325
2003-06-04,24.53,24.63,24.28,24.37,16.09,749407
2003-06-05,24.13,24.53,24.13,24.29,16.04,2057070
2003-06-06,24.27,24.87,24.27,24.66,16.29,2682922
2003-06-09,24.77,24.94,24.61,24.77,16.36,4462905
2003-06-10,24.79,25.15,24.67,24.71,16.32,3292537
2003-06-11,24.8,24.93,24.35,24.47,16.16,2655795
2003-06-12,24.57,24.73,24.17,24.34,16.07,4775002
2003-06-13,24.65,24.93,24.4,24.8,16.38,2258707
2003-06-16,24.8,25.09,24.65,24.82,16.39,2550412
2003-06-17,24.68,26.04,24.67,25.83,17.06,5703727
2003-06-18,26.67,26.68,25.8,25.94,17.13,4521727
2003-06-19,26.27,26.53,25.53,25.88,17.09,1924530
2003-06-20,25.68,26.13,25.47,25.71,16.98,985147
2003-06-23,25.87,26.27,25.67,25.81,17.05,2353875
2003-06-24,25.73,25.85,25.13,25.27,16.69,2876182
2003-06-25,25.65,25.85,25.27,25.66,16.95,2519475
2003-06-26,25.99,26.31,25.87,26.17,17.28,4990590
2003-06-27,26.4,27.51,26.27,27.33,18.05,7951215
2003-06-30,27.33,28.03,27.2,27.4,18.1,4477627
2003-07-01,27.53,27.53,25.49,26.62,17.58,1960830
2003-07-02,26.81,27.45,26.68,26.94,17.79,2473530
2003-07-03,26.93,27.6,26.93,27.19,17.96,2232060
2003-07-04,27.07,27.85,26.69,27.12,17.91,3146617
2003-07-07,27.07,27.43,26.87,26.99,17.82,2782972
2003-07-08,27.99,27.99,26.87,27.04,17.86,2833650
2003-07-09,27.19,27.19,26.07,26.29,17.36,1205640
2003-07-10,27.07,27.07,26.07,26.61,17.57,1529265
2003-07-11,26.67,26.97,26.07,26.22,17.32,1588755
2003-07-14,26.65,26.93,26.4,26.73,17.65,1714965
2003-07-15,27.33,27.4,26.33,26.79,17.69,3386362
2003-07-16,27.25,27.88,26.8,27.47,18.14,3397777
2003-07-17,27.8,28.51,27.47,27.59,18.22,6150832
2003-07-18,27.33,28.2,27.1,27.78,18.35,3896422
2003-07-21,28.0,28.85,27.87,28.13,18.58,6768472
2003-07-22,26.83,28.27,26.83,27.24,17.99,2740642
2003-07-23,27.45,27.63,26.73,27.17,17.94,1872870
2003-07-24,27.27,27.53,27.07,27.39,18.09,2535630
2003-07-25,27.99,28.7,27.47,28.49,18.82,5783430
2003-07-28,28.65,29.07,28.13,28.25,18.66,3450712
2003-07-29,28.09,29.19,27.77,28.85,19.05,4804627
2003-07-30,29.33,30.08,29.13,29.96,19.79,8142292
2003-07-31,30.08,30.92,29.87,30.27,19.99,9959167
2003-08-01,30.87,31.44,30.41,31.03,20.49,6682192
2003-08-04,30.67,31.92,30.67,31.35,20.7,4866675
2003-08-05,31.54,31.72,29.43,29.82,19.69,8040817
2003-08-06,29.23,30.39,29.23,29.97,19.79,8813850
2003-08-07,30.13,30.64,29.87,30.43,20.1,8651310
2003-08-08,30.8,31.19,30.17,30.87,20.39,4807867
2003-08-11,31.05,31.27,30.47,30.83,20.36,4235827
2003-08-12,31.07,31.13,30.28,30.57,20.19,2787750
2003-08-13,30.3,31.45,30.3,31.38,20.72,3404002
2003-08-14,31.72,31.73,30.95,31.17,20.59,4860855
2003-08-15,31.17,31.17,31.17,31.17,20.59,0
2003-08-18,30.93,31.05,30.22,30.47,20.47,5479785
2003-08-19,31.0,31.46,30.4,30.83,20.72,8036310
2003-08-20,31.27,31.52,30.61,30.75,20.66,6834847
2003-08-21,31.19,31.27,30.67,31.08,20.88,5094180
2003-08-22,31.33,31.73,30.81,31.07,20.88,5554965
2003-08-25,31.45,31.45,28.8,29.6,19.89,4830600
2003-08-26,30.28,30.49,29.6,30.34,20.39,3813210
2003-08-27,30.67,31.67,30.41,31.46,21.14,8239125
2003-08-28,31.47,31.47,29.81,30.06,20.2,13219102
2003-08-29,30.59,31.34,30.15,30.8,20.7,6918472
2003-09-01,31.33,32.52,30.71,32.07,21.55,20359657
2003-09-02,32.32,32.65,31.4,31.61,21.24,12002670
2003-09-03,31.86,32.0,30.61,30.75,20.66,6383707
2003-09-04,30.73,31.87,29.92,30.15,20.26,6920497
2003-09-05,30.31,31.27,30.22,30.93,20.78,4002825
2003-09-08,30.87,32.05,30.87,31.89,21.43,6359437
2003-09-09,32.0,32.21,30.77,31.01,20.84,4607587
2003-09-10,30.99,31.35,30.8,31.2,20.96,3773722
2003-09-11,31.33,31.39,30.67,30.78,20.68,4061745
2003-09-12,31.07,31.19,30.2,30.36,20.4,3813810
2003-09-15,29.93,30.33,28.63,28.83,19.37,3640770
2003-09-16,28.27,28.89,27.37,28.75,19.32,5911102
2003-09-17,29.12,29.29,28.33,28.73,19.3,5120280
2003-09-18,28.53,28.67,26.79,27.48,18.46,8792557
