Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,1691.54,1691.54,1691.54,1691.54,1558.28,6
1996-01-02,1691.54,1698.96,1691.54,1691.54,1558.28,53
1996-01-03,1698.96,1698.96,1698.96,1698.96,1565.11,6
1996-01-04,1698.96,1698.96,1698.96,1698.96,1565.11,0
1996-01-05,1691.54,1691.54,1691.54,1691.54,1558.28,20
1996-01-08,1680.41,1680.41,1680.41,1680.41,1548.02,6
1996-01-09,1669.28,1669.28,1652.22,1652.22,1522.05,20
1996-01-10,1661.87,1676.7,1661.87,1669.28,1537.77,60
1996-01-11,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-12,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-15,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-16,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-17,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-18,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-19,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-22,1669.28,1669.28,1669.28,1669.28,1537.77,0
1996-01-23,1409.62,1409.62,1409.62,1409.62,1298.56,6
1996-01-24,1409.62,1417.04,1409.62,1417.04,1305.4,13
1996-01-25,1409.62,1409.62,1409.62,1409.62,1298.56,40
1996-01-26,1409.62,1409.62,1409.62,1409.62,1298.56,0
1996-01-29,1409.62,1409.62,1409.62,1409.62,1298.56,0
1996-01-30,1409.62,1409.62,1409.62,1409.62,1298.56,33
1996-01-31,1409.62,1409.62,1391.07,1409.62,1298.56,33
1996-02-01,1409.62,1413.33,1409.62,1413.33,1301.98,26
1996-02-02,1409.62,1409.62,1391.07,1409.62,1298.56,33
1996-02-05,1446.71,1461.55,1446.71,1461.55,1346.41,26
1996-02-06,1461.55,1461.55,1461.55,1461.55,1346.41,13
1996-02-07,1457.84,1457.84,1457.84,1457.84,1342.99,6
1996-02-08,1457.84,1483.81,1483.81,1483.81,1366.91,6
1996-02-09,1483.81,1483.81,1483.81,1483.81,1366.91,0
1996-02-12,1446.71,1446.71,1446.71,1446.71,1332.74,128
1996-02-13,1576.55,1576.55,1465.26,1543.16,1421.59,40
1996-02-14,1520.9,1576.55,1520.9,1576.55,1452.34,40
1996-02-15,1565.42,1565.42,1520.9,1539.45,1418.17,94
1996-02-16,1502.36,1558.0,1483.81,1528.32,1407.92,94
1996-02-19,1502.39,1517.19,1483.81,1483.81,1366.91,53
1996-02-20,1483.81,1554.29,1520.9,1546.87,1425.0,47
1996-02-21,1546.87,1546.87,1546.87,1546.87,1425.0,0
1996-02-22,1532.03,1539.45,1520.16,1520.53,1400.74,67
1996-02-23,1546.87,1546.87,1546.87,1546.87,1425.0,20
1996-02-26,1546.87,1546.87,1546.87,1546.87,1425.0,0
1996-02-27,1483.81,1503.1,1483.81,1487.52,1370.33,26
1996-02-28,1487.52,1487.52,1483.81,1483.81,1366.91,13
1996-02-29,1409.62,1409.62,1372.52,1372.52,1264.39,20
1996-03-01,1261.24,1483.81,1261.24,1409.62,1298.56,53
1996-03-04,1465.26,1465.26,1428.17,1446.71,1332.74,47
1996-03-05,1446.71,1446.71,1446.71,1446.71,1332.74,0
1996-03-06,1372.52,1446.71,1372.52,1446.71,1332.74,47
1996-03-07,1446.71,1446.71,1446.71,1446.71,1332.74,26
1996-03-08,1409.62,1417.04,1395.56,1417.04,1305.4,33
1996-03-11,1409.62,1446.71,1409.62,1446.71,1332.74,148
1996-03-12,1428.17,1428.17,1376.23,1376.23,1267.81,20
1996-03-13,1376.23,1427.42,1409.62,1427.42,1314.97,33
1996-03-14,1427.42,1446.71,1417.78,1446.71,1332.74,74
1996-03-15,1316.88,1420.75,1316.88,1420.75,1308.82,26
1996-03-18,1409.62,1409.62,1391.81,1398.49,1288.31,20
1996-03-19,1353.97,1353.97,1353.97,1353.97,1247.3,13
1996-03-20,1353.97,1353.97,1353.97,1353.97,1247.3,0
1996-03-21,1353.97,1353.97,1353.97,1353.97,1247.3,0
1996-03-22,1372.52,1372.52,1372.52,1372.52,1264.39,13
1996-03-25,1335.43,1335.43,1238.98,1313.17,1209.71,53
1996-03-26,1313.17,1313.17,1205.59,1224.14,1127.7,384
1996-03-27,1298.33,1298.33,1290.91,1290.91,1189.21,87
