Date,Open,High,Low,Close,Adj Close,Volume
2021-06-04,189.9,191.25,181.0,187.7,187.7,46865
2021-06-07,195.0,197.0,170.65,172.9,172.9,35221
2021-06-08,177.95,177.95,168.9,173.55,173.55,12085
2021-06-09,174.0,174.0,161.7,163.2,163.2,15273
2021-06-10,169.95,169.95,156.1,157.5,157.5,12156
2021-06-11,165.95,165.95,155.0,160.25,160.25,32624
2021-06-14,167.0,167.0,158.5,159.95,159.95,25405
2021-06-15,159.15,162.9,157.2,158.7,158.7,25535
2021-06-16,162.0,162.0,155.0,157.25,157.25,21379
2021-06-17,161.5,161.5,154.45,157.1,157.1,32595
2021-06-18,154.7,156.9,150.0,155.15,155.15,20539
2021-06-21,159.8,159.8,140.65,153.7,153.7,22787
2021-06-22,155.1,155.3,147.3,151.1,151.1,27168
2021-06-23,154.9,155.1,141.5,146.65,146.65,30498
2021-06-24,147.0,150.95,138.1,141.35,141.35,26777
2021-06-25,149.5,149.5,140.0,140.4,140.4,28104
2021-06-28,140.0,148.45,136.0,145.35,145.35,26446
2021-06-29,148.9,159.8,144.25,154.9,154.9,30667
2021-06-30,166.0,166.0,150.25,152.95,152.95,28741
2021-07-01,147.0,166.75,147.0,162.85,162.85,29070
2021-07-02,165.2,165.2,150.25,155.5,155.5,27291
2021-07-05,160.0,164.0,154.85,160.95,160.95,25248
2021-07-06,161.5,162.0,156.3,159.1,159.1,22873
2021-07-07,160.0,160.0,154.0,158.3,158.3,23276
2021-07-08,158.45,159.0,154.0,158.65,158.65,23016
2021-07-09,156.0,161.6,155.05,158.35,158.35,26633
