Date,Open,High,Low,Close,Adj Close,Volume
2006-10-06,82.0,87.23,80.67,87.23,69.56,465309
2006-10-09,88.0,91.27,80.38,81.58,65.05,329442
2006-10-10,83.0,89.67,77.82,80.52,64.2,236871
2006-10-11,82.0,83.13,72.47,73.68,58.75,223629
2006-10-12,74.0,77.93,71.55,77.37,61.69,523047
2006-10-13,81.62,85.12,77.68,83.2,66.34,1149990
2006-10-16,82.67,83.13,76.78,80.85,64.47,344766
2006-10-17,82.33,84.6,79.37,82.33,65.65,472023
2006-10-18,82.33,83.2,80.37,80.72,64.36,86178
2006-10-19,81.12,82.57,79.32,80.05,63.83,110364
2006-10-20,81.0,86.65,80.93,84.73,67.56,426711
2006-10-23,84.33,91.0,82.83,89.18,71.11,675102
2006-10-26,89.33,98.12,88.67,97.67,77.87,1625223
2006-10-27,98.0,102.55,98.0,100.43,80.08,1523262
2006-10-30,100.67,101.17,95.67,96.1,76.63,631806
2006-10-31,97.67,98.33,92.23,93.8,74.79,344637
2006-11-01,95.0,95.33,90.67,91.48,72.94,280425
2006-11-02,91.0,96.07,91.0,96.07,76.6,663243
2006-11-03,98.0,99.3,93.67,94.48,75.34,443457
2006-11-06,94.33,97.17,94.03,94.72,75.52,231450
2006-11-07,96.23,99.0,94.67,95.03,75.78,383073
2006-11-08,96.67,99.8,94.87,99.8,79.58,1268238
2006-11-09,101.97,104.8,101.97,104.8,83.56,389955
2006-11-10,110.05,110.05,105.33,110.05,87.75,1693248
2006-11-13,113.33,115.57,113.33,115.57,92.15,1045821
2006-11-14,121.3,121.35,114.67,121.35,96.76,2080527
2006-11-15,125.57,126.5,115.28,116.43,92.84,1366746
2006-11-16,117.33,122.27,115.0,117.77,93.9,2064897
2006-11-17,118.03,119.85,111.88,113.13,90.21,768609
2006-11-20,111.67,116.33,107.48,114.5,91.3,502722
2006-11-21,115.67,118.97,112.17,113.75,90.7,830220
2006-11-22,118.33,119.45,110.7,113.02,90.11,1088835
2006-11-23,115.0,117.0,111.65,112.25,89.5,626586
2006-11-24,112.0,113.17,106.65,109.75,87.51,83040
2006-11-27,111.93,115.23,104.33,106.32,84.77,288882
2006-11-28,103.43,107.3,101.0,103.42,82.46,394713
2006-11-29,107.3,108.33,103.67,105.98,84.51,104616
2006-11-30,109.63,109.63,101.67,102.48,81.72,128187
2006-12-01,105.33,107.62,102.0,106.85,85.2,97386
2006-12-04,109.92,112.2,106.33,111.77,89.12,145449
2006-12-05,114.32,117.37,112.33,117.37,93.58,186513
2006-12-06,121.67,123.0,115.0,119.0,94.89,246195
2006-12-07,115.0,118.17,114.33,115.35,91.97,87450
2006-12-08,116.67,116.67,111.33,112.98,90.09,58446
2006-12-11,110.0,115.83,107.33,110.6,88.19,327075
2006-12-12,105.75,111.67,105.08,105.33,83.99,99249
2006-12-13,109.0,109.0,100.33,105.92,84.45,112482
2006-12-14,106.83,111.22,106.83,111.22,88.68,36600
2006-12-15,115.0,116.67,111.67,112.53,89.73,61386
2006-12-18,112.33,118.15,107.67,115.8,92.33,185205
2006-12-19,112.0,117.3,112.0,115.03,91.72,111519
2006-12-20,115.0,118.0,110.4,111.53,88.93,115158
2006-12-21,107.33,111.67,106.0,108.37,86.41,79815
2006-12-22,109.67,112.67,105.32,106.83,85.18,57675
2006-12-26,110.33,112.18,110.33,112.18,89.45,14331
2006-12-27,117.6,117.8,117.6,117.8,93.93,27675
2006-12-28,123.7,123.7,117.5,118.72,94.66,222000
2006-12-29,119.63,119.97,115.05,116.98,93.28,99723
2007-01-02,118.33,119.33,114.13,115.55,92.13,301449
2007-01-03,116.67,118.0,113.4,114.6,91.38,51504
2007-01-04,116.0,120.33,115.0,118.18,94.23,449481
2007-01-05,121.67,124.0,116.5,122.22,97.45,224625
2007-01-08,119.33,121.67,118.33,120.1,95.76,251820
2007-01-09,118.67,122.33,118.67,120.33,95.95,95997
2007-01-10,120.0,120.0,117.33,118.0,94.09,70593
2007-01-11,118.0,120.0,116.03,118.18,94.23,75027
2007-01-12,119.67,124.0,118.33,121.05,96.52,144963
2007-01-15,123.25,125.33,119.42,124.45,99.23,137370
2007-01-16,128.33,128.33,122.17,125.28,99.9,87582
2007-01-17,125.0,130.47,125.0,127.27,101.48,172098
2007-01-18,129.67,129.97,123.33,126.67,101.0,111852
2007-01-19,121.67,127.67,121.67,127.02,101.28,47724
2007-01-22,128.0,128.0,122.33,126.15,100.59,39069
2007-01-23,127.33,128.33,124.0,126.58,100.93,246126
2007-01-24,128.33,130.0,124.68,127.47,101.64,103611
2007-01-25,129.33,129.33,124.02,126.4,100.79,205908
2007-01-29,126.67,132.0,125.0,128.95,102.82,171360
2007-01-31,135.0,135.0,124.0,128.3,102.3,263769
2007-02-01,127.67,131.67,123.77,128.4,102.38,77106
