Date,Open,High,Low,Close,Adj Close,Volume
2011-12-14,31.96,31.96,28.2,29.14,25.95,477670
2011-12-15,28.01,29.0,28.01,28.4,25.29,28900
2011-12-16,28.92,29.37,27.59,28.12,25.04,18880
2011-12-19,26.41,28.7,26.41,27.41,24.41,6845
2011-12-20,27.4,28.0,27.2,27.2,24.22,2340
2011-12-21,27.7,27.7,26.6,26.71,23.78,1515
2011-12-22,26.4,26.89,26.32,26.33,23.45,19350
2011-12-23,26.89,27.9,26.62,26.64,23.72,20010
2011-12-26,27.4,27.4,26.8,27.39,24.39,630
2011-12-27,27.78,27.8,26.51,27.49,24.48,164445
2011-12-28,27.96,27.96,26.87,26.96,24.01,45
2011-12-29,27.41,28.0,26.5,27.29,24.3,725570
2011-12-30,27.2,28.8,27.2,28.09,25.01,54425
2012-01-02,27.95,27.95,27.89,27.89,24.83,3125
2012-01-03,27.9,27.95,27.11,27.5,24.49,38760
2012-01-04,27.96,29.57,27.0,27.65,24.62,5090
2012-01-05,27.97,27.97,27.27,27.8,24.75,2600
2012-01-06,26.54,27.89,26.54,27.8,24.75,970
2012-01-09,27.0,27.6,26.97,27.08,24.11,2700
2012-01-10,27.8,28.95,27.3,28.06,24.99,138325
2012-01-11,27.13,28.0,27.13,27.95,24.89,30385
2012-01-12,23.18,27.8,23.18,26.44,23.54,46950
2012-01-13,27.0,27.6,27.0,27.0,24.04,6550
2012-01-16,27.7,27.7,26.8,26.8,23.86,505
2012-01-17,26.8,26.8,26.8,26.8,23.86,0
2012-01-18,27.0,27.0,27.0,27.0,24.04,500
2012-01-19,26.41,27.15,26.41,27.11,24.14,825
2012-01-20,26.5,27.7,26.5,27.7,24.67,73065
2012-01-23,27.6,27.6,26.62,26.66,23.74,20
2012-01-24,27.6,27.6,27.0,27.29,24.3,11510
2012-01-25,25.34,31.68,25.3,29.96,26.68,173490
2012-01-27,30.6,32.85,30.6,31.92,28.42,126205
2012-01-30,31.0,31.4,29.27,31.38,27.94,22330
2012-01-31,31.0,32.0,31.0,31.77,28.29,26005
2012-02-01,31.0,31.41,29.63,31.19,27.77,2780
2012-02-02,30.6,30.8,30.22,30.4,27.07,940
2012-02-03,30.1,30.58,30.02,30.58,27.23,5000
2012-02-06,31.4,32.0,30.2,30.76,27.39,93630
2012-02-07,30.8,32.0,29.56,31.23,27.81,9890
2012-02-08,31.4,31.98,31.2,31.22,27.8,70105
2012-02-09,30.6,30.66,30.31,30.31,26.99,8235
2012-02-10,30.7,31.2,28.6,30.01,26.72,2960
2012-02-13,29.8,29.8,29.21,29.47,26.24,2255
2012-02-14,29.4,29.4,29.3,29.35,26.13,18125
2012-02-15,29.1,29.75,29.1,29.24,26.04,10910
2012-02-16,28.72,33.6,28.6,33.01,29.39,351325
2012-02-17,33.01,33.2,31.4,32.92,29.31,92705
2012-02-21,32.0,35.0,32.0,32.68,29.1,51620
2012-02-22,33.96,34.32,33.1,33.74,30.04,151715
2012-02-23,33.21,34.59,31.4,33.82,30.12,533265
2012-02-24,34.97,36.0,33.62,35.45,31.57,277025
2012-02-27,34.99,35.0,33.2,34.0,30.28,57180
2012-02-28,33.4,36.9,33.21,36.42,32.43,154030
2012-02-29,36.0,38.0,36.0,36.95,32.9,137030
2012-03-01,37.0,37.0,35.6,36.28,32.31,21470
2012-03-02,35.82,35.82,34.6,35.1,31.25,2520
2012-03-05,36.0,36.6,34.8,35.98,32.04,41020
2012-03-06,35.4,36.2,33.8,34.37,30.6,38880
2012-03-07,35.0,35.78,34.0,35.49,31.6,22630
2012-03-09,34.8,36.6,34.28,36.56,32.56,34540
2012-03-12,37.96,38.0,35.6,36.44,32.45,66215
2012-03-13,36.12,38.4,36.0,37.87,33.72,95225
2012-03-14,39.93,40.18,38.0,39.48,35.16,135265
2012-03-15,40.7,40.7,38.0,39.35,35.04,65555
2012-03-16,39.4,39.98,38.6,39.58,35.24,66910
2012-03-19,38.83,39.94,38.83,38.93,34.67,39440
2012-03-20,38.05,39.0,37.88,38.96,34.69,14045
2012-03-21,39.0,39.39,38.2,38.39,34.18,17190
2012-03-22,38.0,39.79,37.85,38.84,34.59,28595
2012-03-23,39.2,39.2,38.4,38.67,34.43,41900
2012-03-26,39.59,39.59,37.2,38.07,33.9,24790
2012-03-27,38.2,41.8,37.2,37.59,33.47,18780
2012-03-28,37.59,39.0,37.0,37.53,33.42,19940
2012-03-29,36.33,39.0,36.33,36.85,32.81,8225
2012-03-30,36.29,37.72,35.32,36.19,32.23,102380
2012-04-02,35.5,39.2,34.6,36.34,32.36,2105
2012-04-03,37.58,39.2,36.34,39.13,34.84,47520
2012-04-04,37.31,39.48,37.31,39.32,35.01,26395
2012-04-09,39.0,39.58,38.5,39.17,34.88,50860
2012-04-10,39.19,39.2,38.99,38.99,34.72,11175
2012-04-11,38.5,38.67,38.2,38.4,34.19,6075
2012-04-12,38.6,38.6,38.0,38.42,34.21,16410
2012-04-13,38.0,40.24,37.42,39.72,35.37,112745
2012-04-16,39.59,39.59,38.55,38.99,34.72,60245
2012-04-17,39.4,40.36,37.72,38.07,33.9,135675
2012-04-18,38.79,38.8,37.21,37.35,33.26,12070
2012-04-19,38.6,38.6,37.03,37.52,33.41,8875
2012-04-20,37.2,38.1,36.7,36.97,32.92,76250
2012-04-23,35.5,39.4,35.41,35.62,31.72,23975
2012-04-24,35.1,35.82,34.0,34.4,30.63,97055
2012-04-25,34.4,34.94,34.0,34.04,30.31,6790
2012-04-26,33.61,34.0,33.01,33.18,29.55,24035
2012-04-27,33.6,37.4,32.19,34.91,31.09,209910
2012-04-30,35.95,36.93,34.58,34.71,30.91,2330
2012-05-02,35.2,37.0,34.66,35.58,31.68,4680
2012-05-03,34.8,35.0,34.8,35.0,31.17,230
2012-05-04,34.22,35.88,33.68,34.35,30.59,8465
2012-05-07,33.96,35.25,33.44,34.71,30.91,6125
2012-05-08,34.0,34.2,33.4,33.66,29.97,2015
2012-05-09,32.83,33.4,32.83,33.25,29.61,560
2012-05-10,33.1,34.2,31.6,32.74,29.15,20525
2012-05-11,33.35,33.49,32.1,33.41,29.75,9970
2012-05-14,33.59,34.59,32.6,33.15,29.52,1380
2012-05-15,33.78,33.78,32.2,32.3,28.76,905
2012-05-16,32.5,33.0,31.61,32.73,29.14,14950
2012-05-17,32.6,32.9,31.36,32.39,28.84,16230
2012-05-18,31.6,33.4,31.59,33.4,29.74,630
2012-05-21,33.4,33.4,32.7,33.13,29.5,1920
2012-05-22,33.0,33.2,32.59,33.2,29.56,145
2012-05-23,32.01,32.78,31.81,31.81,28.33,3560
2012-05-24,32.99,32.99,31.35,32.12,28.6,100
2012-05-25,33.59,33.59,31.4,31.42,27.98,2815
2012-05-28,31.2,33.4,31.1,32.0,28.49,63150
2012-05-29,31.41,31.91,30.06,31.15,27.74,18835
