Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,20.54,21.5,20.2,21.11,17.36,48475
2002-08-13,21.4,21.88,19.0,21.2,17.43,39515
2002-08-14,21.11,21.38,21.0,21.28,17.5,7955
2002-08-15,21.28,21.28,21.28,21.28,17.5,0
2002-08-16,21.22,22.0,21.22,21.34,17.55,6575
2002-08-19,21.4,21.8,21.0,21.12,17.36,10480
2002-08-20,21.4,21.59,21.03,21.38,17.58,21865
2002-08-21,21.2,21.47,21.02,21.17,17.41,5010
2002-08-22,20.54,21.4,20.54,20.76,17.07,6250
2002-08-23,21.17,21.4,21.0,21.2,17.43,9975
2002-08-26,21.2,21.38,20.82,20.94,17.22,12950
2002-08-27,21.46,22.32,21.11,22.15,18.21,121670
2002-08-28,22.01,26.2,22.01,23.47,19.3,1880655
2002-08-29,23.39,23.7,22.0,22.46,18.47,940535
2002-08-30,22.4,22.8,22.05,22.28,18.32,260015
2002-09-02,22.47,22.69,22.02,22.1,18.17,59585
2002-09-03,22.02,22.34,22.02,22.08,18.15,53265
2002-09-04,21.92,22.2,21.92,21.97,18.06,47390
2002-09-05,22.38,22.72,22.09,22.43,18.44,27110
2002-09-06,22.6,22.6,22.02,22.09,18.16,37330
2002-09-09,22.03,22.39,21.62,22.1,18.17,48685
2002-09-10,22.1,22.1,22.1,22.1,18.17,0
2002-09-11,22.02,22.6,22.02,22.42,18.43,17335
2002-09-12,22.04,22.77,22.04,22.61,18.59,35745
2002-09-13,22.0,22.25,21.63,21.81,18.26,27030
2002-09-16,22.16,22.22,21.74,22.11,18.51,28325
2002-09-17,21.8,22.58,21.22,22.34,18.7,39340
2002-09-18,22.05,22.09,21.63,21.75,18.2,28075
2002-09-19,22.0,22.23,21.66,22.07,18.47,15765
2002-09-20,21.6,22.7,21.45,21.91,18.34,39555
2002-09-23,22.58,22.79,21.96,22.67,18.97,19385
2002-09-24,22.2,22.7,21.93,22.03,18.44,21255
2002-09-25,21.0,21.84,21.0,21.59,18.07,32990
2002-09-26,21.68,21.75,21.5,21.51,18.0,7750
2002-09-27,21.5,22.3,21.5,21.95,18.37,37440
