Date,Open,High,Low,Close,Adj Close,Volume
2017-11-07,17.65,17.65,17.65,17.65,17.65,100
2017-11-08,17.65,17.65,17.65,17.65,17.65,0
2017-11-09,17.65,17.65,17.65,17.65,17.65,0
2017-11-10,17.65,17.65,17.65,17.65,17.65,0
2017-11-13,17.65,17.65,17.65,17.65,17.65,0
2017-11-14,17.65,17.65,17.65,17.65,17.65,0
2017-11-15,16.85,16.85,16.8,16.8,16.8,560
2017-11-16,16.8,16.8,16.8,16.8,16.8,0
2017-11-17,16.05,16.05,16.05,16.05,16.05,1
2017-11-20,16.05,16.05,16.05,16.05,16.05,0
2017-11-21,16.05,16.05,16.05,16.05,16.05,0
2017-11-22,16.05,16.05,16.05,16.05,16.05,0
2017-11-23,16.05,16.05,16.05,16.05,16.05,0
2017-11-24,16.05,16.05,16.05,16.05,16.05,0
2017-11-27,16.05,16.05,16.05,16.05,16.05,0
2017-11-28,16.05,16.05,16.05,16.05,16.05,0
2017-11-29,16.05,16.05,16.05,16.05,16.05,0
2017-11-30,16.05,16.05,16.05,16.05,16.05,0
2017-12-01,16.05,16.05,16.05,16.05,16.05,0
2017-12-04,16.05,16.05,16.05,16.05,16.05,0
2017-12-05,16.85,16.85,16.85,16.85,16.85,90
2017-12-06,16.85,16.85,16.85,16.85,16.85,0
2017-12-07,16.85,16.85,16.85,16.85,16.85,0
2017-12-08,17.65,17.65,17.65,17.65,17.65,2
2017-12-11,17.65,17.65,17.65,17.65,17.65,0
2017-12-12,17.65,17.65,17.65,17.65,17.65,0
2017-12-13,17.65,17.65,17.65,17.65,17.65,0
2017-12-14,17.65,17.65,17.65,17.65,17.65,0
2017-12-15,17.65,17.65,17.65,17.65,17.65,0
2017-12-18,17.65,17.65,17.65,17.65,17.65,0
2017-12-19,17.65,17.65,17.65,17.65,17.65,0
2017-12-20,18.5,18.5,18.5,18.5,18.5,5
2017-12-21,19.4,19.4,19.4,19.4,19.4,1
2017-12-22,20.35,20.35,20.35,20.35,20.35,1
2017-12-26,20.35,20.35,20.35,20.35,20.35,0
2017-12-27,20.35,20.35,20.35,20.35,20.35,0
2017-12-28,20.35,20.35,20.35,20.35,20.35,0
2017-12-29,20.35,20.35,20.35,20.35,20.35,0
2018-01-01,21.35,21.35,20.5,20.5,20.5,158
2018-01-02,21.0,21.05,21.0,21.05,21.05,1530
2018-01-03,21.05,21.05,21.05,21.05,21.05,0
2018-01-04,21.05,21.05,21.05,21.05,21.05,0
2018-01-05,22.1,22.1,22.1,22.1,22.1,3420
2018-01-08,22.1,22.1,22.1,22.1,22.1,0
2018-01-09,24.3,24.3,22.05,23.1,23.1,9220
