Date,Open,High,Low,Close,Adj Close,Volume
2021-06-15,130.0,132.8,118.15,125.1,125.1,139063
2021-06-16,126.8,129.9,120.3,121.55,121.55,38297
2021-06-17,120.0,121.95,115.7,119.2,119.2,16161
2021-06-18,120.0,128.6,111.25,126.45,126.45,128088
2021-06-21,127.7,131.9,121.55,129.05,129.05,207072
2021-06-22,132.0,136.5,128.55,130.05,130.05,94861
2021-06-23,129.6,133.8,128.0,128.7,128.7,21363
2021-06-24,131.8,131.8,123.65,125.1,125.1,16377
2021-06-25,125.3,129.5,125.15,127.4,127.4,19107
2021-06-28,128.5,129.95,127.4,129.15,129.15,26518
2021-06-29,129.25,129.6,126.2,126.85,126.85,18927
2021-06-30,126.55,131.05,125.0,126.7,126.7,40859
2021-07-01,128.55,129.0,126.1,126.5,126.5,7735
2021-07-02,127.95,130.0,125.35,125.7,125.7,13796
2021-07-05,128.0,135.25,127.05,129.65,129.65,48979
2021-07-06,131.0,131.0,125.5,125.9,125.9,9464
2021-07-07,126.05,138.0,126.0,134.45,134.45,68687
2021-07-08,134.95,141.95,133.65,137.2,137.2,72340
2021-07-09,139.9,144.8,138.7,143.75,143.75,51297
