Date,Open,High,Low,Close,Adj Close,Volume
2018-02-22,60.95,66.5,60.5,62.5,62.5,752000
2018-02-23,61.0,62.0,60.9,60.9,60.9,28000
2018-02-26,61.0,61.2,60.2,60.8,60.8,128000
2018-02-27,60.05,60.35,58.0,58.0,58.0,258000
2018-02-28,56.05,56.35,56.05,56.1,56.1,98000
2018-03-01,55.05,56.0,55.05,56.0,56.0,4000
2018-03-05,56.0,56.0,56.0,56.0,56.0,0
2018-03-06,58.45,58.45,57.0,58.45,58.45,6000
2018-03-07,59.5,60.0,59.5,60.0,60.0,4000
2018-03-08,60.0,63.25,49.1,60.05,60.05,62000
2018-03-09,60.05,60.05,60.05,60.05,60.05,0
2018-03-12,60.05,60.05,60.05,60.05,60.05,0
2018-03-13,59.0,59.0,59.0,59.0,59.0,2000
2018-03-14,59.0,59.0,58.8,58.8,58.8,4000
2018-03-15,58.8,58.8,58.8,58.8,58.8,0
2018-03-16,58.8,58.8,58.8,58.8,58.8,0
2018-03-19,60.45,61.5,59.0,61.5,61.5,8000
2018-03-20,61.5,61.5,59.0,59.0,59.0,4000
2018-03-21,59.5,59.5,59.5,59.5,59.5,2000
2018-03-22,62.0,62.0,60.0,60.0,60.0,26000
2018-03-23,50.5,59.95,50.5,59.95,59.95,44000
2018-03-26,51.0,61.1,51.0,61.1,61.1,44000
2018-03-27,57.0,58.0,57.0,58.0,58.0,4000
2018-03-28,60.9,60.9,60.9,60.9,60.9,2000
2018-04-02,60.9,60.9,60.9,60.9,60.9,0
2018-04-03,57.5,57.5,57.5,57.5,57.5,2000
2018-04-04,57.5,57.5,57.5,57.5,57.5,0
2018-04-05,57.5,57.5,57.5,57.5,57.5,0
2018-04-06,57.5,57.5,57.5,57.5,57.5,0
2018-04-09,57.5,57.5,57.5,57.5,57.5,0
2018-04-10,57.5,57.5,57.5,57.5,57.5,0
2018-04-11,57.5,57.5,57.5,57.5,57.5,0
2018-04-12,57.5,57.5,57.5,57.5,57.5,0
2018-04-13,57.5,57.5,57.5,57.5,57.5,0
2018-04-16,57.5,57.5,57.5,57.5,57.5,0
2018-04-17,57.5,57.5,57.5,57.5,57.5,0
2018-04-18,57.5,57.5,57.5,57.5,57.5,0
2018-04-19,57.5,57.5,57.5,57.5,57.5,0
2018-04-20,57.5,57.5,57.5,57.5,57.5,0
2018-04-23,57.5,57.5,57.5,57.5,57.5,0
2018-04-24,57.5,57.5,57.5,57.5,57.5,0
2018-04-25,57.5,57.5,57.5,57.5,57.5,0
2018-04-26,57.5,57.5,57.5,57.5,57.5,0
2018-04-27,57.5,57.5,57.5,57.5,57.5,0
2018-04-30,57.5,57.5,57.5,57.5,57.5,0
2018-05-02,57.5,57.5,57.5,57.5,57.5,0
2018-05-03,57.5,57.5,57.5,57.5,57.5,0
2018-05-04,57.5,57.5,57.5,57.5,57.5,0
2018-05-07,57.5,57.5,57.5,57.5,57.5,0
2018-05-08,56.0,56.0,56.0,56.0,56.0,2000
2018-05-09,56.0,56.0,56.0,56.0,56.0,0
2018-05-10,56.0,56.0,56.0,56.0,56.0,0
2018-05-11,56.0,56.0,56.0,56.0,56.0,0
2018-05-14,56.0,56.0,56.0,56.0,56.0,0
2018-05-15,56.0,56.0,56.0,56.0,56.0,0
2018-05-16,56.0,56.0,56.0,56.0,56.0,0
2018-05-17,56.0,56.0,56.0,56.0,56.0,0
2018-05-18,56.0,56.0,56.0,56.0,56.0,0
2018-05-21,56.0,56.0,56.0,56.0,56.0,0
2018-05-22,56.0,56.0,56.0,56.0,56.0,0
2018-05-23,56.0,56.0,56.0,56.0,56.0,0
2018-05-24,56.0,56.0,56.0,56.0,56.0,0
2018-05-25,56.0,56.0,56.0,56.0,56.0,0
2018-05-28,56.0,56.0,56.0,56.0,56.0,0
