Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,70.81,70.81,70.8,70.8,47.75,113
2002-07-02,70.0,70.0,69.19,69.33,46.76,95
2002-07-03,70.4,70.4,70.38,70.4,47.48,148
2002-07-04,69.31,69.4,69.31,69.39,46.8,62
2002-07-05,69.42,69.42,69.02,69.13,46.62,300
2002-07-08,69.0,69.4,69.0,69.27,46.72,480
2002-07-09,70.0,71.2,68.71,70.05,47.24,157
2002-07-10,69.13,69.13,69.13,69.13,46.62,50
2002-07-11,70.0,70.78,70.0,70.36,47.45,429
2002-07-12,69.17,69.17,69.17,69.17,46.65,10
2002-07-15,70.0,70.0,70.0,70.0,47.21,100
2002-07-16,71.0,71.0,70.98,70.98,47.87,52
2002-07-17,68.22,68.22,68.22,68.22,46.01,40
2002-07-18,71.0,71.0,71.0,71.0,47.88,10
2002-07-19,70.8,70.8,70.0,70.0,47.21,100
2002-07-22,70.4,70.4,70.4,70.4,47.48,50
2002-07-23,69.01,70.98,69.01,70.98,47.87,60
2002-07-24,70.02,70.38,70.02,70.38,47.47,20
2002-07-25,71.0,71.0,71.0,71.0,47.88,10
2002-07-26,69.02,70.6,69.0,70.01,47.22,691
2002-07-29,70.01,70.01,70.01,70.01,47.22,0
2002-07-30,68.76,68.76,68.76,68.76,46.37,50
2002-07-31,72.0,72.0,70.0,70.0,47.21,365
2002-08-01,70.0,70.0,70.0,70.0,47.21,0
2002-08-02,69.2,69.2,69.2,69.2,46.67,10
2002-08-05,69.2,69.2,69.2,69.2,46.67,0
2002-08-06,73.6,73.6,73.6,73.6,49.64,5
2002-08-07,73.6,73.6,73.6,73.6,49.64,0
2002-08-08,70.03,70.52,70.03,70.52,47.56,150
2002-08-09,69.1,70.0,69.1,70.0,47.21,35
2002-08-12,70.0,71.0,70.0,71.0,47.88,535
2002-08-13,71.0,71.0,71.0,71.0,47.88,150
2002-08-14,70.32,70.32,70.32,70.32,47.42,300
2002-08-15,70.32,70.32,70.32,70.32,47.42,0
2002-08-16,70.32,70.32,70.32,70.32,47.42,0
2002-08-19,70.32,70.32,70.32,70.32,47.42,0
2002-08-20,70.84,71.0,70.83,70.83,47.77,250
2002-08-21,70.64,70.64,70.62,70.62,47.63,260
2002-08-22,70.22,70.8,70.0,70.2,47.34,400
2002-08-23,70.33,70.33,70.33,70.33,47.43,100
2002-08-26,70.8,70.8,70.8,70.8,47.75,50
2002-08-27,70.8,70.8,70.8,70.8,47.75,0
2002-08-28,69.02,71.0,69.02,71.0,47.88,201
2002-08-29,70.55,70.55,70.55,70.55,47.58,50
2002-08-30,70.99,71.0,70.99,70.99,47.88,285
2002-09-02,71.8,71.8,70.7,70.7,47.68,25
2002-09-03,70.1,70.57,70.05,70.57,47.59,275
2002-09-04,71.0,71.0,70.63,70.63,47.63,55
2002-09-05,70.63,70.63,70.63,70.63,47.63,810
2002-09-06,71.39,71.39,70.62,70.62,47.63,20
2002-09-09,69.63,70.55,69.63,70.55,47.58,100
2002-09-10,70.55,70.55,70.55,70.55,47.58,0
2002-09-11,70.05,70.35,70.05,70.35,47.44,60
2002-09-12,71.17,71.17,70.81,70.81,47.76,10
2002-09-13,70.81,70.81,70.81,70.81,47.76,0
2002-09-16,68.27,71.39,68.27,70.45,47.51,543
2002-09-17,70.74,70.74,70.74,70.74,47.71,80
2002-09-18,70.74,70.74,70.74,70.74,47.71,0
2002-09-19,71.0,71.0,70.73,70.73,47.7,28
2002-09-20,70.73,70.73,70.73,70.73,47.7,0
2002-09-23,71.2,71.2,71.2,71.2,48.02,50
2002-09-24,71.2,71.2,71.2,71.2,48.02,0
2002-09-25,70.31,70.31,70.3,70.3,47.41,10
2002-09-26,70.82,70.82,70.82,70.82,47.76,50
2002-09-27,74.0,74.8,73.25,73.32,49.45,2440
2002-09-30,73.25,73.34,73.25,73.32,49.45,430
2002-10-01,73.31,73.36,73.31,73.36,49.47,450
2002-10-02,73.36,73.36,73.36,73.36,49.47,0
2002-10-03,72.71,73.37,72.71,73.37,49.48,11
2002-10-04,73.29,73.36,73.29,73.36,49.47,200
2002-10-07,73.42,73.42,73.4,73.4,49.5,250
2002-10-08,73.42,73.42,73.42,73.42,49.52,58
2002-10-09,73.41,73.41,73.4,73.4,49.5,350
2002-10-10,73.4,73.4,73.4,73.4,49.5,0
2002-10-11,73.22,73.22,73.22,73.22,49.38,5
2002-10-14,73.3,73.3,73.3,73.3,49.43,10
2002-10-15,73.3,73.3,73.3,73.3,49.43,0
2002-10-16,73.32,73.32,73.32,73.32,49.45,100
2002-10-17,73.32,73.32,73.32,73.32,49.45,0
2002-10-18,73.32,73.32,73.32,73.32,49.45,0
2002-10-21,73.4,74.0,73.4,74.0,49.91,60
2002-10-22,74.0,74.0,73.4,73.4,49.5,2
2002-10-23,73.4,74.0,73.37,73.37,49.48,449
2002-10-24,73.4,73.4,73.4,73.4,49.5,118
2002-10-25,73.4,73.41,73.4,73.41,49.51,20
2002-10-28,73.49,73.8,73.49,73.56,49.61,325
2002-10-29,73.58,73.58,73.58,73.58,49.62,50
2002-10-30,73.0,74.4,73.0,74.4,50.18,665
