Date,Open,High,Low,Close,Adj Close,Volume
2006-09-25,35.11,41.73,35.11,38.46,35.91,64336575
2006-09-26,38.76,39.4,36.88,37.79,35.29,14177040
2006-09-27,37.98,39.38,37.62,37.94,35.43,7237110
2006-09-28,38.2,38.71,37.24,37.66,35.17,7444235
2006-09-29,37.7,38.54,36.83,37.3,34.83,5396785
2006-10-03,37.4,38.96,37.01,38.43,35.89,7084885
2006-10-04,38.66,43.32,38.0,41.37,38.63,32360235
2006-10-05,41.82,45.1,41.64,43.87,40.97,23042750
2006-10-06,44.75,45.38,43.1,43.93,41.02,13353135
2006-10-09,44.0,52.72,43.04,52.37,48.9,31905630
2006-10-10,52.6,54.74,51.73,53.43,49.89,34332385
2006-10-11,53.94,58.44,53.9,56.77,53.01,30898300
2006-10-12,57.0,62.45,56.03,62.43,58.3,37671165
2006-10-13,62.8,67.38,62.73,64.61,60.33,39651985
2006-10-16,64.8,65.88,63.38,64.9,60.61,19234495
2006-10-17,65.36,71.39,63.4,65.62,61.28,34230920
2006-10-18,64.0,66.56,62.42,65.13,60.82,15773715
2006-10-19,65.6,68.2,65.6,66.46,62.06,9285300
2006-10-20,67.0,69.79,67.0,69.1,64.53,9612150
2006-10-23,70.6,72.38,69.91,70.31,65.66,5640715
2006-10-26,70.93,72.4,70.25,70.79,66.11,5171710
2006-10-27,71.57,74.33,71.06,74.21,69.3,6762725
2006-10-30,74.6,77.92,74.6,77.88,72.73,8024560
2006-10-31,78.98,80.97,74.4,76.73,71.65,7889755
2006-11-01,77.95,80.0,73.26,73.94,69.05,6238375
2006-11-02,73.74,77.64,71.73,77.47,72.34,4576680
2006-11-03,78.0,79.6,76.53,77.64,72.5,5058975
2006-11-06,78.0,81.53,77.0,81.5,76.11,6457730
2006-11-07,83.4,85.0,81.01,81.58,76.18,5961235
2006-11-08,81.98,83.56,80.8,82.37,76.92,3012575
2006-11-09,82.6,86.49,81.85,86.49,80.77,3000375
2006-11-10,88.8,90.82,88.02,90.82,84.81,252985
2006-11-13,94.96,95.37,94.96,95.37,89.06,88150
2006-11-14,99.54,100.14,97.4,100.14,93.51,1067730
2006-11-15,105.15,105.15,103.96,105.15,98.19,347570
2006-11-16,107.22,110.41,107.22,110.41,103.1,1270285
2006-11-17,114.89,115.93,108.0,115.93,108.26,6649600
2006-11-20,118.6,121.73,117.22,121.73,113.67,4892390
2006-11-21,125.6,127.82,125.6,127.82,119.36,456645
2006-11-22,134.22,134.22,134.22,134.22,125.34,61455
2006-11-23,140.94,140.94,140.94,140.94,131.61,50155
2006-11-24,147.99,147.99,137.1,147.99,138.2,4041615
2006-11-27,155.2,155.39,148.26,155.39,145.11,3231850
2006-11-28,158.8,163.16,154.2,163.16,152.36,2747940
2006-11-29,170.73,171.32,168.0,171.32,159.98,74340
2006-11-30,179.89,179.89,175.0,179.89,167.99,1892905
2006-12-01,188.89,188.89,184.0,188.89,176.39,1450435
2006-12-04,194.0,198.34,194.0,198.34,185.22,67595
2006-12-05,208.26,208.26,206.0,208.26,194.48,427265
2006-12-06,208.26,218.68,197.85,218.68,204.21,10422690
2006-12-07,219.0,229.62,219.0,229.62,214.43,4106555
2006-12-08,239.4,241.11,234.0,241.11,225.15,2117205
2006-12-11,252.8,253.17,231.22,253.17,236.42,3900435
2006-12-12,261.0,265.83,240.52,240.53,224.61,5371430
2006-12-13,250.0,250.0,228.51,228.72,213.58,4169165
2006-12-14,228.0,240.16,227.0,239.87,224.0,3128730
2006-12-15,243.8,251.87,243.8,251.87,235.2,1486285
2006-12-18,262.93,264.47,250.66,264.2,246.72,4180315
2006-12-19,270.0,270.0,250.99,250.99,234.38,1885470
2006-12-20,242.02,254.0,238.44,238.44,222.66,578895
2006-12-21,226.52,226.52,226.52,226.52,211.53,15640
2006-12-22,215.2,215.2,215.2,215.2,200.96,13130
2006-12-26,204.44,204.44,204.44,204.44,190.91,49025
2006-12-27,194.22,213.74,194.22,195.54,182.6,4826270
2006-12-28,195.0,199.8,185.77,187.23,174.84,5700095
2006-12-29,184.03,196.6,184.03,196.6,183.59,4868595
2007-01-02,200.0,206.43,199.6,206.43,192.77,1623375
2007-01-03,211.0,213.96,200.46,204.88,191.32,1631710
2007-01-04,205.0,209.0,199.98,203.13,189.69,1137110
2007-01-05,204.8,213.2,203.0,207.48,193.75,2336795
2007-01-08,207.97,212.0,203.2,207.42,193.69,1295455
2007-01-09,210.0,217.8,210.0,217.5,203.11,2458460
2007-01-10,220.0,228.38,220.0,228.29,213.18,2867925
2007-01-11,239.6,239.71,231.0,239.71,223.85,2177170
2007-01-12,248.42,251.7,245.74,251.7,235.04,1335500
2007-01-15,259.0,264.29,259.0,264.29,246.8,1718470
2007-01-16,275.8,277.51,263.0,275.78,257.53,2769305
2007-01-17,283.97,289.2,270.4,285.72,266.81,3468600
2007-01-18,283.0,287.98,271.44,274.92,256.73,3048635
2007-01-19,270.0,277.98,263.26,269.8,251.95,1701850
2007-01-22,274.0,277.0,256.31,260.79,243.53,969585
2007-01-23,258.8,258.8,247.75,247.75,231.36,312600
2007-01-24,245.98,249.0,235.6,242.65,226.59,938950
2007-01-25,236.05,254.79,236.05,254.79,237.93,2127375
2007-01-29,257.34,257.34,242.23,248.64,232.19,1135205
2007-01-31,244.0,259.8,244.0,250.11,233.56,685715
2007-02-01,250.2,262.6,248.02,260.77,243.51,1363085
2007-02-02,263.38,267.2,256.0,259.43,242.26,965640
2007-02-05,257.0,260.0,253.05,255.48,238.57,601220
2007-02-06,257.0,268.26,254.4,257.12,240.11,665185
2007-02-07,257.0,263.0,253.05,255.47,238.56,487430
2007-02-08,251.0,258.74,248.0,251.9,235.23,460750
2007-02-09,254.37,257.4,244.51,248.45,232.01,526730
2007-02-12,245.4,249.96,223.61,223.61,208.81,403600
2007-02-13,220.0,240.6,204.52,226.82,211.81,1394070
2007-02-14,242.0,242.0,204.14,207.38,193.66,964780
2007-02-15,218.0,225.0,211.8,219.14,204.64,683225
2007-02-19,223.54,229.4,220.44,221.88,207.2,740115
2007-02-20,224.4,226.0,206.41,210.3,196.38,903555
2007-02-21,215.34,229.59,212.0,215.52,201.26,553370
2007-02-22,214.0,221.0,213.2,216.26,201.95,667785
2007-02-23,194.64,194.64,194.64,194.64,181.76,23420
2007-02-26,175.18,175.18,175.18,175.18,163.59,5970
2007-02-27,166.42,166.42,166.42,166.42,155.41,3930
2007-02-28,158.1,158.1,158.1,158.1,147.64,3640
2007-03-01,150.2,150.2,150.2,150.2,140.26,2110
2007-03-02,142.69,142.69,142.69,142.69,133.25,1030
2007-03-05,135.56,135.56,135.56,135.56,126.59,750
2007-03-06,128.79,128.79,128.79,128.79,120.27,1495
2007-03-07,122.35,122.35,122.35,122.35,114.25,1020
2007-03-08,116.24,116.24,116.24,116.24,108.55,1855
2007-03-09,110.43,110.43,110.43,110.43,103.12,920
2007-03-12,104.91,104.91,104.91,104.91,97.97,1045
2007-03-13,99.67,99.67,99.67,99.67,93.07,2770
2007-03-14,94.69,94.69,94.69,94.69,88.42,3070
2007-03-15,89.96,89.96,89.96,89.96,84.01,2590
2007-03-16,85.47,85.47,85.47,85.47,79.81,1930
2007-03-19,81.2,81.2,81.2,81.2,75.83,2025
2007-03-20,77.14,77.14,77.14,77.14,72.04,2620
2007-03-21,73.29,73.29,73.29,73.29,68.44,4460
2007-03-22,69.63,69.63,69.63,69.63,65.02,9495
2007-03-23,66.15,66.15,66.15,66.15,61.77,6005
2007-03-26,62.85,62.85,62.85,62.85,58.69,3790
2007-03-28,59.71,59.71,59.71,59.71,55.76,3000
2007-03-29,56.73,56.73,56.73,56.73,52.98,5040
2007-03-30,53.9,53.9,53.9,53.9,50.33,14075
2007-04-02,51.21,51.21,51.21,51.21,47.82,1252855
2007-04-03,48.65,48.65,48.65,48.65,45.43,48045
2007-04-04,46.22,51.09,46.22,51.09,47.71,3927890
2007-04-05,53.65,53.65,53.65,53.65,50.1,17580
2007-04-09,56.34,56.34,56.34,56.34,52.61,5070
2007-04-10,59.16,59.16,59.16,59.16,55.25,34750
2007-04-11,62.12,62.12,59.6,62.12,58.01,1236030
2007-04-12,65.23,65.23,64.0,65.23,60.91,382225
2007-04-13,68.5,68.5,68.5,68.5,63.97,11415
2007-04-16,71.93,71.93,71.93,71.93,67.17,8510
2007-04-17,75.53,75.53,75.53,75.53,70.53,10475
2007-04-18,79.31,79.31,71.76,71.76,67.01,1074005
2007-04-19,68.18,75.35,68.18,74.92,69.96,1496715
2007-04-20,78.67,78.67,75.4,78.67,73.46,1598715
2007-04-23,81.57,82.61,81.11,82.61,77.14,1227260
2007-04-24,86.6,86.74,82.0,86.74,81.0,1285275
2007-04-25,91.0,91.08,87.2,91.08,85.05,304045
2007-04-26,95.64,95.64,86.53,94.43,88.18,3743000
2007-04-27,95.0,99.0,92.0,93.62,87.42,2835800
2007-04-30,92.8,94.8,90.0,91.86,85.78,778275
2007-05-03,93.0,95.0,87.27,87.64,81.84,1144615
2007-05-04,86.42,89.4,83.26,83.28,77.77,1311735
2007-05-07,83.98,86.98,79.7,81.77,76.36,2138775
2007-05-08,83.9,84.74,78.8,80.52,75.19,932640
2007-05-09,80.0,82.0,77.32,79.76,74.48,998240
2007-05-10,80.0,82.0,77.8,78.52,73.32,762480
2007-05-11,78.4,78.52,74.6,76.2,71.16,544555
2007-05-14,77.98,78.0,73.22,74.32,69.4,626780
2007-05-15,74.41,75.58,71.8,72.25,67.47,423825
2007-05-16,72.4,75.87,71.83,75.87,70.85,561910
2007-05-17,79.67,79.67,79.67,79.67,74.4,58175
2007-05-18,83.66,83.66,78.8,79.52,74.26,1358680
2007-05-21,80.88,82.4,78.0,78.82,73.6,685665
2007-05-22,80.0,80.2,76.0,76.51,71.45,387910
2007-05-23,77.2,77.8,73.34,73.75,68.87,554625
