Date,Open,High,Low,Close,Adj Close,Volume
2013-06-26,95.5,95.5,81.0,94.0,83.4,4272
2013-06-27,80.03,92.45,80.03,92.45,82.03,92
2013-06-28,91.25,92.5,91.25,92.5,82.07,120
2013-07-01,99.32,99.32,88.5,94.4,83.76,1352
2013-07-02,99.0,99.0,95.0,97.25,86.29,5750
2013-07-03,95.0,95.0,92.8,93.4,82.87,3170
2013-07-04,97.0,97.0,92.5,96.0,88.0,380
2013-07-05,95.0,96.0,92.0,95.0,87.09,774
2013-07-08,97.0,97.0,88.03,93.95,86.12,386
2013-07-09,91.03,94.0,91.03,94.0,86.17,400
2013-07-10,97.47,97.47,94.5,95.85,87.87,4860
2013-07-11,95.0,95.05,95.0,95.0,87.09,1020
2013-07-12,95.0,96.12,95.0,95.0,87.09,2210
2013-07-15,95.5,95.5,92.62,95.38,87.43,1230
2013-07-16,92.5,94.95,92.0,93.9,86.08,1432
2013-07-17,94.97,95.0,93.0,95.0,87.09,754
2013-07-18,93.95,98.95,93.6,95.72,87.75,2656
2013-07-19,95.05,96.75,95.05,96.72,88.67,470
2013-07-22,92.05,98.97,92.05,97.25,89.15,978
2013-07-23,97.0,97.0,95.0,95.0,87.09,1214
2013-07-24,98.5,98.5,92.85,95.62,87.66,4716
2013-07-25,91.38,95.12,91.2,94.85,86.95,7042
2013-07-26,97.5,97.5,92.5,92.65,84.93,654
2013-07-29,91.55,96.5,91.55,91.75,84.11,406
2013-07-30,95.0,95.0,91.38,91.38,83.76,1064
2013-07-31,92.38,94.0,88.1,89.05,81.63,1670
2013-08-01,88.5,92.5,88.5,91.22,83.63,864
2013-08-02,91.5,92.0,88.43,92.0,84.34,1658
2013-08-05,92.38,98.5,90.03,91.0,83.42,1892
2013-08-06,90.03,90.03,85.05,86.6,79.39,2936
2013-08-07,90.0,94.22,89.75,91.5,83.88,1400
2013-08-08,92.38,92.38,83.5,84.18,77.16,7430
2013-08-12,84.18,91.0,82.05,90.05,82.55,3060
2013-08-13,89.97,89.97,86.5,87.45,80.17,1842
2013-08-14,84.53,88.97,84.5,88.38,81.01,2536
2013-08-16,88.47,88.5,84.0,84.22,77.21,1972
