Date,Open,High,Low,Close,Adj Close,Volume
2012-11-12,47.75,48.45,47.05,47.05,46.14,19587
2012-11-15,47.5,47.8,46.8,47.15,46.24,51773
2012-11-16,47.0,48.05,46.5,46.7,45.8,9611
2012-11-19,47.45,47.85,46.0,46.55,45.65,17594
2012-11-20,46.5,47.0,46.2,46.65,45.75,4644
2012-11-21,46.95,47.0,46.55,46.75,45.85,6684
2012-11-22,45.5,46.5,44.05,46.25,45.36,2773
2012-11-23,46.9,46.9,46.0,46.25,45.36,1936
2012-11-26,46.5,47.0,46.15,46.85,45.94,1546
2012-11-27,46.95,47.35,46.5,47.0,46.09,7854
2012-11-29,46.5,48.75,46.5,46.9,45.99,8094
2012-11-30,46.6,53.0,46.6,49.65,48.69,92651
2012-12-03,50.0,50.5,49.0,49.8,48.84,83799
2012-12-04,49.5,49.8,48.9,48.95,48.0,20456
2012-12-05,49.35,49.9,48.85,49.0,48.05,6741
2012-12-06,49.45,49.45,48.25,48.3,47.37,1478
2012-12-07,52.5,52.5,48.1,48.5,47.56,1280
2012-12-10,48.3,49.5,47.55,48.15,47.22,1920
2012-12-11,51.95,51.95,46.1,47.7,46.78,2930
2012-12-12,49.0,49.0,46.5,46.6,45.7,4998
2012-12-13,47.0,48.75,46.5,47.0,46.09,70909
2012-12-14,48.0,49.95,46.75,46.85,45.94,67247
2012-12-17,48.75,49.3,46.7,47.0,46.09,7843
2012-12-18,47.5,51.05,47.0,49.05,48.1,15220
2012-12-19,48.9,51.4,47.75,50.6,49.62,87527
2012-12-20,50.8,51.25,49.0,49.45,48.49,4802
2012-12-21,48.5,49.0,47.05,47.5,46.58,83474
2012-12-24,47.35,48.45,46.75,46.8,45.9,2383
2012-12-26,47.05,47.05,47.0,47.0,46.09,4200
2012-12-27,47.0,49.0,46.2,46.8,45.9,19526
2012-12-28,51.3,51.3,44.65,46.15,45.26,83380
2012-12-31,46.0,47.5,45.6,47.05,46.14,16022
2013-01-01,48.7,48.7,46.55,47.3,46.39,12926
2013-01-02,48.15,48.2,46.8,47.0,46.09,4413
2013-01-03,47.0,48.25,46.75,47.75,46.83,23032
2013-01-04,48.0,48.5,46.9,47.6,46.68,11145
2013-01-07,47.2,52.45,46.55,48.7,47.76,28008
2013-01-08,49.65,49.65,47.65,47.9,46.97,833
2013-01-09,50.0,50.0,47.0,47.05,46.14,4039
2013-01-10,47.0,49.4,47.0,48.05,47.12,577
2013-01-11,47.05,47.05,46.9,46.9,45.99,650
2013-01-14,47.5,47.95,46.3,46.55,45.65,1988
2013-01-15,47.0,47.1,46.75,46.75,45.85,1960
2013-01-16,46.7,46.95,45.05,46.5,45.6,27392
2013-01-17,49.95,49.95,46.2,46.6,45.7,590
2013-01-18,48.45,48.45,45.5,46.0,45.11,13743
2013-01-21,46.7,46.7,45.55,45.7,44.82,4802
2013-01-22,46.0,46.0,44.0,44.2,43.35,7043
2013-01-23,45.0,45.4,44.3,44.9,44.03,13280
2013-01-24,46.65,49.9,40.0,44.95,44.08,17073
2013-01-25,45.0,46.3,43.5,45.5,44.62,10464
2013-01-28,46.3,47.5,45.5,46.15,45.26,18694
2013-01-29,46.75,46.85,45.05,45.25,44.38,16731
2013-01-30,46.45,46.45,45.2,45.8,44.91,8187
2013-01-31,46.5,46.5,43.05,44.75,43.89,12608
2013-02-01,44.4,45.4,44.0,44.8,43.93,13707
2013-02-04,44.7,45.25,43.55,44.75,43.89,17466
2013-02-05,45.45,45.45,43.0,44.2,43.35,22788
2013-02-06,44.45,44.8,43.9,44.1,43.25,8187
2013-02-07,44.9,49.9,42.55,43.75,42.9,9430
2013-02-08,45.6,45.6,43.5,43.95,43.1,30743
2013-02-11,44.75,45.0,43.5,43.5,42.66,9593
2013-02-12,44.4,44.45,42.75,43.2,42.37,11468
2013-02-13,40.9,44.6,40.9,42.4,41.58,32951
2013-02-14,43.0,44.25,42.55,43.7,42.86,51105
2013-02-15,43.55,44.75,42.9,44.3,43.44,43145
2013-02-18,44.55,44.75,43.75,44.25,43.39,5503
2013-02-19,44.35,44.95,43.05,44.0,43.15,5496
2013-02-20,44.5,44.75,42.25,43.65,42.81,5955
2013-02-21,43.75,43.85,42.9,43.4,42.56,18839
2013-02-22,43.5,46.0,43.0,43.65,42.81,18870
2013-02-25,43.9,47.65,41.0,42.7,41.87,20839
2013-02-26,42.95,43.0,40.25,41.1,40.31,2462
2013-02-27,42.85,42.9,40.5,41.05,40.26,32640
2013-02-28,41.5,41.5,37.5,38.15,37.41,7494
2013-03-01,37.3,41.7,35.0,40.85,40.06,29008
2013-03-04,39.55,39.6,38.1,38.35,37.61,1850
2013-03-05,38.95,39.85,38.0,38.45,37.71,23882
2013-03-06,40.95,42.65,38.0,38.6,37.85,8593
2013-03-07,39.25,39.55,38.3,38.35,37.61,26882
2013-03-08,40.4,40.4,38.5,39.85,39.08,43931
2013-03-11,40.0,40.0,39.1,39.3,38.54,26558
2013-03-12,39.75,40.8,39.2,39.3,38.54,18346
2013-03-13,39.5,39.9,38.5,38.65,37.9,10384
2013-03-14,39.0,39.5,37.85,38.8,38.05,12996
2013-03-15,38.5,39.75,35.0,35.85,35.16,24631
2013-03-18,36.1,37.4,33.8,36.6,35.89,16832
2013-03-19,39.0,39.0,34.0,36.25,35.55,19074
2013-03-20,36.1,36.75,34.8,36.1,35.4,8450
2013-03-21,35.55,38.0,35.1,37.05,36.33,26940
2013-03-22,36.0,38.8,36.0,37.45,36.73,25712
2013-03-25,37.0,38.7,36.25,36.5,35.79,12817
2013-03-26,36.0,37.45,35.0,36.75,36.04,12511
2013-03-28,37.45,39.0,36.0,37.55,36.82,16623
2013-04-01,40.0,40.05,38.15,38.5,37.76,19950
2013-04-02,38.5,39.9,38.2,39.6,38.83,16629
2013-04-03,39.9,39.9,38.5,39.1,38.34,14755
2013-04-04,38.5,38.85,36.85,37.4,36.68,15770
2013-04-05,38.0,38.0,36.55,37.05,36.33,11432
2013-04-08,38.0,38.25,36.55,36.85,36.14,12126
2013-04-09,37.0,37.2,36.05,36.9,36.19,11168
2013-04-10,36.95,37.75,36.85,37.65,36.92,35081
2013-04-11,37.0,37.85,36.55,37.0,36.29,7948
