Date,Open,High,Low,Close,Adj Close,Volume
2007-11-02,70.21,70.21,64.64,68.07,59.36,18740
2007-11-05,65.57,68.28,65.57,68.28,59.55,3997
2007-11-06,66.35,69.52,64.4,64.98,56.67,3745
2007-11-07,65.57,72.2,64.3,72.2,62.97,17115
2007-11-08,70.06,72.01,67.52,72.01,62.8,13318
2007-11-12,64.43,70.25,64.01,65.76,57.35,5887
2007-11-13,68.1,69.07,65.48,67.33,58.72,11068
2007-11-14,68.3,72.59,64.42,71.81,62.63,10028
2007-11-15,75.71,84.69,72.19,76.69,66.88,39980
2007-11-16,79.81,80.01,74.15,74.93,65.35,11140
2007-11-19,76.58,76.58,72.21,75.91,66.2,7128
2007-11-20,75.52,77.08,74.15,74.35,64.84,16208
2007-11-21,74.67,76.11,74.07,76.11,66.37,10715
2007-11-22,75.13,77.86,73.18,73.18,63.82,10571
2007-11-23,77.47,77.47,73.18,74.13,64.65,13092
2007-11-26,75.12,78.45,75.12,77.08,67.22,6774
2007-11-27,76.11,79.03,75.91,79.03,68.92,8158
2007-11-28,79.02,79.42,75.13,75.13,65.52,9721
2007-11-29,77.86,79.81,76.31,79.03,68.92,6354
2007-11-30,78.06,82.94,76.3,79.23,69.09,12918
2007-12-03,82.74,87.81,80.34,84.13,73.36,8578
2007-12-04,83.91,87.01,83.81,85.86,74.88,3745
2007-12-05,85.47,87.81,84.31,87.42,76.24,11719
2007-12-06,87.81,96.6,85.47,86.84,75.73,52597
2007-12-07,96.6,96.6,84.89,95.62,83.39,8998
2007-12-10,95.62,96.6,85.33,87.82,76.59,11427
2007-12-11,94.64,96.21,85.28,85.86,74.88,9951
2007-12-12,85.86,90.74,83.93,89.74,78.26,3581
2007-12-13,84.91,89.77,84.89,89.18,77.77,7989
2007-12-14,89.77,93.28,88.79,90.74,79.13,11340
2007-12-17,92.66,92.69,87.42,89.02,77.64,11504
2007-12-18,92.68,92.68,85.86,90.16,78.62,11668
2007-12-19,89.38,92.69,89.02,90.25,78.71,2162
2007-12-20,90.35,93.67,85.47,88.79,77.43,32412
2007-12-24,89.04,92.89,89.04,91.72,79.98,2772
2007-12-26,88.42,101.47,80.99,98.33,85.75,30649
2007-12-27,99.51,103.43,99.51,101.47,88.49,9439
2007-12-28,103.43,120.99,103.43,118.65,103.47,159939
2007-12-31,125.71,141.25,125.71,135.82,118.44,312079
2008-01-01,146.36,146.36,133.87,134.94,117.68,90682
2008-01-02,142.26,142.26,133.67,135.23,117.93,44885
2008-01-03,133.68,135.82,126.84,130.94,114.19,23300
2008-01-04,132.5,134.65,127.82,127.82,111.47,14020
2008-01-07,131.71,131.71,121.96,123.49,107.69,43229
2008-01-08,128.77,128.77,120.01,120.11,104.75,15327
2008-01-09,122.94,124.89,117.09,117.09,102.11,50009
2008-01-10,121.96,126.91,120.62,123.92,108.06,23792
2008-01-11,120.01,125.48,117.3,123.71,107.89,22516
2008-01-14,123.92,125.87,120.01,121.57,106.02,32284
2008-01-15,124.89,125.57,119.04,120.01,104.66,16265
2008-01-16,122.74,122.93,115.33,120.01,104.66,29065
2008-01-17,122.55,122.55,117.49,118.06,102.96,7389
2008-01-18,122.94,122.94,117.28,119.09,103.85,10289
2008-01-21,113.18,117.09,107.22,108.78,94.87,12980
2008-01-22,108.3,108.3,97.9,97.9,85.38,2762
2008-01-23,93.88,98.64,88.14,96.01,83.73,24617
2008-01-24,88.12,102.25,87.81,93.67,81.69,28466
2008-01-25,91.72,94.64,88.01,93.47,81.52,14676
2008-01-28,92.69,96.6,90.74,93.67,81.69,5426
2008-01-29,95.62,100.69,93.08,100.69,87.81,7953
2008-01-30,96.01,106.74,87.42,105.38,91.9,79357
2008-01-31,91.72,102.84,90.94,97.57,85.09,8603
2008-02-01,93.89,101.47,93.89,98.45,85.86,3607
2008-02-04,104.4,109.43,99.72,109.43,95.43,17054
2008-02-05,111.23,117.87,110.26,113.18,98.7,7158
2008-02-06,109.28,112.4,107.33,107.33,93.6,10300
2008-02-07,110.84,113.18,107.42,107.91,94.11,17090
2008-02-08,107.34,113.18,97.79,103.43,90.19,10817
2008-02-11,108.89,108.89,97.57,102.45,89.34,13149
2008-02-12,102.84,102.84,92.3,92.3,80.49,6508
2008-02-13,94.7,95.62,88.01,88.79,77.43,4934
2008-02-14,97.55,97.55,90.8,94.84,82.71,4145
2008-02-15,94.45,97.77,91.72,97.77,85.26,4084
2008-02-18,97.77,100.3,95.82,99.52,86.79,2449
2008-02-19,89.77,101.8,89.77,97.0,84.59,4545
2008-02-20,100.94,100.94,96.01,96.6,84.24,7133
2008-02-21,99.13,100.5,96.81,98.36,85.78,4299
2008-02-22,97.38,98.35,95.63,95.63,83.4,4140
2008-02-25,97.57,98.54,95.82,96.6,84.24,14179
2008-02-26,97.57,98.54,96.4,98.16,85.6,11376
2008-02-27,98.68,98.74,95.63,95.63,83.4,3213
2008-02-28,97.56,97.57,96.02,97.57,85.09,33744
2008-02-29,96.6,97.57,93.68,95.62,83.39,4873
2008-03-03,95.62,95.97,92.89,92.89,81.01,2623
2008-03-04,96.6,96.6,86.85,94.43,82.35,7994
2008-03-05,94.45,94.45,84.89,87.81,76.58,4606
2008-03-07,85.86,88.78,81.06,83.91,73.18,19739
2008-03-10,83.13,86.74,79.86,86.74,75.64,6318
2008-03-11,69.47,101.84,69.47,89.86,78.37,9008
2008-03-12,100.78,100.89,87.81,87.81,76.58,10981
2008-03-13,84.13,90.82,84.13,85.71,74.74,3592
2008-03-14,84.89,86.44,82.55,84.3,73.52,2254
2008-03-17,80.01,80.01,75.37,80.01,69.77,51259
2008-03-18,69.47,79.03,69.47,74.54,65.01,5308
2008-03-19,85.86,85.86,74.15,77.08,67.22,10971
2008-03-24,74.15,75.72,70.21,71.23,62.12,20482
2008-03-25,71.23,75.13,69.67,75.13,65.52,23813
2008-03-26,75.33,75.9,71.81,73.88,64.43,14368
2008-03-27,73.18,79.81,73.18,79.03,68.92,8250
2008-03-28,78.26,81.92,78.25,79.62,69.43,17971
2008-03-31,76.35,86.62,76.35,85.86,74.88,17043
2008-04-01,88.99,88.99,81.19,81.19,70.8,5529
2008-04-02,83.13,83.91,81.37,81.37,70.96,1255
2008-04-03,80.52,80.98,80.01,80.01,69.77,2680
2008-04-04,80.4,81.57,80.01,80.07,69.82,14122
2008-04-07,77.08,80.2,77.08,80.01,69.77,3807
2008-04-08,80.22,82.55,80.01,80.01,69.77,1906
2008-04-09,80.98,81.76,80.01,80.01,69.77,2649
2008-04-10,82.35,83.01,79.62,82.94,72.33,7358
2008-04-11,80.06,84.3,80.06,80.4,70.11,1660
2008-04-15,80.2,87.42,78.27,80.4,70.11,3141
2008-04-16,82.92,82.92,80.59,81.18,70.79,3008
2008-04-17,81.96,84.3,81.35,84.3,73.52,4857
2008-04-21,85.47,85.86,82.14,83.91,73.18,4304
2008-04-22,84.78,84.79,83.13,83.53,72.85,2915
2008-04-23,83.13,85.67,83.13,83.52,72.84,4125
2008-04-24,85.67,86.84,83.52,83.52,72.84,8229
2008-04-25,85.08,85.47,83.81,85.47,74.54,1086
2008-04-28,85.28,85.28,82.94,84.89,74.03,4396
2008-04-29,83.13,89.38,83.13,89.28,77.86,8532
2008-04-30,88.79,88.79,85.88,88.01,76.75,3038
2008-05-02,88.01,88.01,84.89,84.89,74.03,2490
2008-05-05,85.08,87.41,83.91,83.91,73.18,1234
2008-05-06,85.42,91.72,84.93,88.18,76.9,7404
2008-05-07,86.47,87.93,83.91,83.91,73.18,12129
2008-05-08,82.94,85.84,82.94,83.91,73.18,3043
2008-05-09,88.79,88.79,84.72,86.25,75.22,10284
2008-05-12,85.86,95.23,85.86,89.77,78.28,28051
2008-05-13,90.35,93.47,85.08,85.08,74.2,19401
2008-05-14,89.77,93.28,86.64,92.69,80.84,14322
2008-05-15,93.47,96.21,92.3,95.93,83.66,7435
2008-05-16,96.4,97.18,93.86,94.25,82.2,5575
2008-05-20,94.25,96.4,91.72,91.96,80.2,4376
2008-05-21,93.08,96.01,89.59,96.01,83.73,1101
2008-05-22,91.13,95.34,88.79,91.72,79.98,2803
2008-05-23,97.57,97.57,90.74,92.69,80.84,4750
2008-05-26,91.91,93.47,88.79,89.57,78.11,4181
2008-05-27,91.72,94.06,87.42,88.2,76.92,55461
2008-05-28,91.52,93.75,89.77,90.75,79.14,51193
2008-05-29,93.67,94.45,89.77,94.25,82.2,28830
2008-05-30,89.81,91.68,87.14,89.77,78.28,12160
2008-06-02,90.74,92.45,87.81,87.81,76.58,6036
2008-06-03,71.93,87.62,71.93,84.89,74.03,10740
2008-06-04,83.91,85.28,83.91,85.28,74.37,2931
2008-06-05,74.15,86.43,73.18,86.43,75.37,2065
2008-06-06,86.06,88.79,83.91,83.91,73.18,5575
2008-06-09,83.91,83.91,72.25,80.01,69.77,8163
2008-06-10,74.15,93.47,73.18,91.72,79.98,11386
2008-06-11,87.81,91.69,85.31,87.52,76.33,10074
2008-06-12,83.52,87.58,83.43,84.5,73.69,4775
2008-06-13,85.86,86.84,82.95,85.86,74.88,7758
2008-06-16,84.89,87.23,78.7,84.89,74.03,27236
2008-06-17,82.97,86.82,82.97,85.28,74.37,1434
2008-06-18,86.84,86.84,82.94,82.94,72.33,5032
2008-06-19,98.54,98.54,74.75,83.52,72.84,6820
2008-06-20,89.71,89.71,80.01,82.74,72.16,4519
2008-06-23,76.11,83.52,76.11,80.4,70.11,8573
2008-06-24,81.96,82.64,77.31,77.31,67.42,7420
2008-06-25,74.15,80.77,74.15,79.42,69.26,4243
2008-06-26,78.15,84.68,78.15,79.23,69.09,10786
2008-06-27,81.47,81.47,75.62,79.46,69.3,860
2008-06-30,78.54,81.96,74.15,81.96,71.48,8060
2008-07-01,82.88,82.88,69.47,75.72,66.03,9741
2008-07-02,66.34,79.03,66.34,74.54,65.01,7184
2008-07-03,73.86,80.96,73.86,74.15,64.67,4601
2008-07-04,77.86,81.57,68.58,77.96,67.99,963
2008-07-07,80.01,84.11,78.45,81.59,71.15,5847
2008-07-08,80.2,82.74,80.01,82.55,71.99,230
2008-07-09,74.36,92.69,74.36,92.69,80.84,27543
2008-07-10,96.02,96.02,84.11,89.38,77.94,6349
2008-07-11,89.77,90.44,83.94,86.4,75.35,2188
2008-07-14,85.85,86.45,81.96,84.88,74.02,3013
2008-07-15,79.42,83.32,79.03,81.96,72.81,2321
2008-07-16,78.85,84.68,78.85,79.03,70.21,917
2008-07-17,79.07,81.96,78.48,81.96,72.81,6631
2008-07-18,81.96,87.42,78.85,87.42,77.67,5114
2008-07-21,84.89,85.19,84.89,85.19,75.68,158
2008-07-22,83.82,87.23,81.88,85.86,76.28,1593
2008-07-23,84.69,87.81,84.5,84.97,75.48,4330
2008-07-24,88.01,88.59,81.96,81.96,72.81,8414
2008-07-25,82.94,85.86,81.96,82.94,73.68,6359
2008-07-28,82.19,85.86,82.19,85.86,76.28,9869
2008-07-29,85.86,85.86,85.86,85.86,76.28,0
2008-07-30,85.86,85.86,85.86,85.86,76.28,0
2008-07-31,85.86,85.86,85.86,85.86,76.28,0
2008-08-01,85.86,85.86,85.86,85.86,76.28,0
2008-08-04,85.86,85.86,85.86,85.86,76.28,0
2008-08-05,85.86,85.86,85.86,85.86,76.28,0
2008-08-06,85.86,85.86,85.86,85.86,76.28,0
2008-08-07,85.86,85.86,85.86,85.86,76.28,0
2008-08-08,85.86,85.86,85.86,85.86,76.28,0
2008-08-11,85.86,85.86,85.86,85.86,76.28,0
