Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.62,5.66,5.33,5.65,4.97,31213
2002-07-02,5.67,5.74,5.62,5.62,4.94,8300
2002-07-03,5.66,5.82,5.57,5.82,5.12,22367
2002-07-04,5.83,6.11,5.83,6.11,5.38,121797
2002-07-05,6.4,6.42,5.87,6.33,5.56,653723
2002-07-08,6.16,6.42,6.16,6.3,5.54,131246
2002-07-09,6.55,6.55,6.18,6.18,5.44,56079
2002-07-10,6.17,6.19,6.0,6.02,5.3,56825
2002-07-11,6.08,6.1,5.95,5.95,5.24,21029
2002-07-12,5.76,5.76,5.74,5.76,5.07,8762
2002-07-15,5.66,6.04,5.66,5.68,4.99,10455
2002-07-16,5.39,6.07,5.39,5.66,4.98,46535
2002-07-17,5.36,5.64,5.36,5.4,4.75,13285
2002-07-18,5.57,5.57,5.4,5.4,4.75,13700
2002-07-19,5.4,5.4,5.4,5.4,4.75,0
2002-07-22,5.4,5.4,5.4,5.4,4.75,0
2002-07-23,5.07,5.46,5.07,5.19,4.57,124082
2002-07-24,4.98,5.15,4.98,5.13,4.51,19928
2002-07-25,5.02,5.02,4.92,4.92,4.33,4156
2002-07-26,4.77,4.77,4.43,4.45,3.91,37370
2002-07-29,4.32,4.43,4.27,4.33,3.81,13783
2002-07-30,4.48,4.64,4.31,4.35,3.82,11793
2002-07-31,4.38,4.48,4.38,4.48,3.94,4985
2002-08-01,4.48,4.48,4.48,4.48,3.94,0
2002-08-02,4.16,4.16,4.15,4.16,3.65,5813
2002-08-05,4.31,4.39,4.27,4.27,3.76,11059
2002-08-06,4.47,4.47,4.47,4.47,3.93,4985
2002-08-07,4.56,4.61,4.45,4.6,4.05,14694
2002-08-08,4.48,4.64,4.48,4.64,4.08,2226
2002-08-09,5.07,5.07,5.07,5.07,4.46,11
2002-08-12,5.02,5.02,4.64,4.64,4.08,6181
2002-08-13,4.73,5.04,4.73,4.98,4.38,11367
2002-08-14,4.86,5.05,4.83,4.83,4.25,12148
2002-08-15,4.83,4.83,4.83,4.83,4.25,0
2002-08-16,4.9,4.9,4.9,4.9,4.31,1657
2002-08-19,4.9,4.9,4.9,4.9,4.31,0
2002-08-20,4.97,5.07,4.97,5.07,4.46,33202
2002-08-21,5.57,5.57,5.45,5.57,4.9,80839
2002-08-22,5.74,6.13,5.24,5.51,4.84,290841
2002-08-23,5.53,5.54,5.13,5.14,4.52,68500
2002-08-26,5.28,5.28,5.07,5.2,4.58,24428
2002-08-27,5.22,5.39,5.11,5.13,4.51,17465
2002-08-28,5.23,5.32,5.23,5.25,4.62,20769
2002-08-29,5.08,5.28,5.08,5.1,4.49,5979
2002-08-30,5.24,5.24,5.07,5.07,4.46,15772
2002-09-02,5.07,5.11,4.9,4.93,4.34,21171
2002-09-03,4.9,5.07,4.9,5.06,4.45,17430
2002-09-04,4.91,5.02,4.9,4.96,4.36,19774
2002-09-05,4.9,4.9,4.73,4.85,4.26,10289
2002-09-06,4.77,4.86,4.77,4.86,4.28,8300
2002-09-09,5.14,5.14,4.89,4.89,4.3,1989
2002-09-10,4.89,4.89,4.89,4.89,4.3,0
2002-09-11,4.89,4.9,4.84,4.84,4.26,11616
2002-09-12,4.81,4.81,4.75,4.76,4.19,4985
2002-09-13,4.96,4.96,4.77,4.8,4.22,47
2002-09-16,4.98,4.98,4.75,4.75,4.17,3647
2002-09-17,4.75,4.86,4.75,4.75,4.17,2794
2002-09-18,4.75,4.88,4.75,4.88,4.29,3137
2002-09-19,4.75,4.75,4.56,4.58,4.03,34919
2002-09-20,4.52,4.52,4.51,4.51,3.97,674
2002-09-23,4.51,4.51,4.51,4.51,3.97,0
2002-09-24,4.51,4.51,4.51,4.51,3.97,0
2002-09-25,4.48,4.48,4.47,4.48,3.94,19928
2002-09-26,4.39,4.39,4.39,4.39,3.86,1397
2002-09-27,4.43,4.43,4.4,4.4,3.87,6607
2002-09-30,4.56,4.56,4.56,4.56,4.01,1397
2002-10-01,4.41,4.42,4.41,4.42,3.88,3007
2002-10-02,4.42,4.42,4.42,4.42,3.88,0
2002-10-03,4.69,4.69,4.69,4.69,4.12,94
2002-10-04,4.4,4.4,4.39,4.39,3.86,9958
2002-10-07,4.56,4.56,4.48,4.56,4.01,8762
2002-10-08,4.73,4.9,4.73,4.9,4.31,36115
2002-10-09,5.07,5.19,4.96,4.98,4.38,29922
2002-10-10,4.94,4.94,4.9,4.9,4.31,1657
2002-10-11,4.9,4.9,4.81,4.81,4.23,8134
2002-10-14,4.77,4.9,4.73,4.73,4.16,17832
2002-10-15,4.73,4.73,4.73,4.73,4.16,0
2002-10-16,4.73,4.73,4.73,4.73,4.16,0
2002-10-17,4.73,4.73,4.69,4.69,4.12,2486
2002-10-18,4.73,5.07,4.64,5.07,4.46,429606
2002-10-21,5.06,5.07,4.98,4.98,4.38,11900
2002-10-22,4.9,4.9,4.77,4.77,4.2,8466
2002-10-23,4.73,4.9,4.73,4.9,4.31,16601
2002-10-24,5.07,5.07,4.75,4.75,4.17,18827
2002-10-25,4.73,4.73,4.57,4.64,4.08,17844
2002-10-28,4.56,4.57,4.56,4.57,4.02,4156
2002-10-29,4.73,5.02,4.73,5.02,4.42,38566
2002-10-30,5.02,5.24,5.02,5.23,4.6,24072
2002-10-31,5.07,5.07,4.9,4.9,4.31,11923
2002-11-01,4.94,4.94,4.9,4.9,4.31,4783
2002-11-04,4.9,4.9,4.9,4.9,4.31,0
2002-11-05,4.9,4.9,4.9,4.9,4.31,0
2002-11-06,4.9,4.9,4.9,4.9,4.31,0
2002-11-07,4.73,4.73,4.73,4.73,4.16,4120
2002-11-08,4.74,4.74,4.73,4.73,4.16,994
2002-11-11,4.73,4.73,4.73,4.73,4.16,0
2002-11-12,4.73,4.73,4.73,4.73,4.16,1243
2002-11-13,4.73,4.73,4.56,4.56,4.01,9958
2002-11-14,4.56,4.56,4.56,4.56,4.01,0
2002-11-15,4.56,4.56,4.56,4.56,4.01,1030
2002-11-18,4.56,4.56,4.56,4.56,4.01,0
2002-11-19,4.56,4.56,4.56,4.56,4.01,0
2002-11-20,4.56,4.98,4.56,4.92,4.33,50360
2002-11-21,5.11,5.11,4.78,4.97,4.37,38838
2002-11-22,4.94,4.96,4.73,4.73,4.16,11154
2002-11-25,4.73,4.73,4.56,4.57,4.02,17394
2002-11-26,4.73,4.73,4.58,4.58,4.03,9011
2002-11-27,4.58,4.58,4.58,4.58,4.03,0
2002-11-28,4.77,4.77,4.59,4.59,4.03,1657
2002-11-29,4.59,4.59,4.59,4.59,4.03,0
2002-12-02,4.57,4.57,4.56,4.56,4.01,343
2002-12-03,4.57,4.63,4.56,4.61,4.06,5813
2002-12-04,4.56,4.56,4.42,4.49,3.95,793
2002-12-05,4.49,4.49,4.49,4.49,3.95,0
2002-12-06,4.79,4.79,4.79,4.79,4.21,828
2002-12-09,4.76,4.77,4.73,4.73,4.16,5813
2002-12-10,4.67,4.69,4.67,4.69,4.12,4653
2002-12-11,4.67,4.67,4.67,4.67,4.11,1160
2002-12-12,4.67,4.67,4.67,4.67,4.11,0
2002-12-13,4.73,4.73,4.73,4.73,4.16,2012
2002-12-16,4.58,4.69,4.58,4.69,4.12,1823
2002-12-17,4.81,4.81,4.59,4.75,4.17,6110
2002-12-18,4.64,4.64,4.64,4.64,4.08,1657
2002-12-19,4.59,4.59,4.59,4.59,4.03,8300
2002-12-20,4.57,4.81,4.57,4.67,4.11,1740
2002-12-23,4.67,4.67,4.67,4.67,4.11,0
2002-12-24,4.57,4.64,4.56,4.56,4.01,20840
2002-12-25,4.56,4.56,4.56,4.56,4.01,0
2002-12-26,4.54,4.54,4.54,4.54,4.0,236
2002-12-27,4.42,4.73,4.42,4.73,4.16,11426
2002-12-30,4.9,5.07,4.9,5.04,4.43,17501
2002-12-31,5.05,5.28,5.05,5.13,4.52,11024
2003-01-01,5.16,5.16,4.91,4.92,4.32,10064
2003-01-02,4.98,4.98,4.9,4.9,4.31,16766
2003-01-03,4.76,4.9,4.76,4.9,4.31,19727
2003-01-06,5.07,5.07,4.98,4.98,4.38,3315
2003-01-07,4.97,4.97,4.84,4.84,4.26,18507
2003-01-08,4.9,4.9,4.81,4.88,4.29,5316
2003-01-09,4.9,4.9,4.78,4.9,4.31,9034
2003-01-10,4.97,4.98,4.82,4.87,4.29,9958
2003-01-13,4.86,4.86,4.78,4.78,4.2,2285
2003-01-14,4.96,4.96,4.82,4.95,4.35,6607
2003-01-15,4.81,4.98,4.81,4.84,4.26,4215
2003-01-16,5.02,5.02,4.86,5.02,4.41,5446
2003-01-17,4.85,5.02,4.85,4.95,4.35,4215
2003-01-20,4.98,4.98,4.85,4.88,4.29,32077
2003-01-21,4.9,4.98,4.9,4.92,4.32,22746
2003-01-22,4.92,4.95,4.92,4.94,4.34,8703
2003-01-23,4.9,4.94,4.9,4.9,4.31,6642
2003-01-24,4.9,4.9,4.75,4.81,4.23,16719
2003-01-27,4.82,4.82,4.82,4.82,4.24,1574
2003-01-28,4.74,4.88,4.74,4.88,4.29,10455
2003-01-29,4.81,4.95,4.81,4.94,4.34,9461
2003-01-30,4.98,5.04,4.97,4.99,4.39,10929
2003-01-31,4.97,5.07,4.97,5.01,4.4,17962
2003-02-03,5.01,5.01,4.81,4.87,4.29,100116
2003-02-04,4.97,5.06,4.97,5.02,4.42,9200
2003-02-05,4.64,4.9,4.64,4.88,4.58,16838
2003-02-06,4.7,4.98,4.7,4.98,4.68,18424
2003-02-07,5.07,5.08,5.07,5.08,4.76,2486
2003-02-10,4.91,5.15,4.91,5.13,4.82,88808
2003-02-11,5.11,5.19,5.03,5.19,4.87,20094
2003-02-12,5.07,5.24,5.07,5.17,4.85,25339
2003-02-13,5.17,5.17,5.17,5.17,4.85,0
2003-02-14,4.9,5.18,4.9,4.92,4.62,28785
2003-02-17,5.14,5.18,5.01,5.11,4.8,13309
2003-02-18,5.24,5.62,5.15,5.62,5.27,48797
2003-02-19,5.66,5.67,5.56,5.56,5.22,18945
2003-02-20,5.66,5.73,5.66,5.66,5.31,6891
2003-02-21,5.66,5.74,5.66,5.67,5.32,15275
2003-02-24,5.66,5.8,5.66,5.8,5.45,2983
2003-02-25,5.66,5.7,5.66,5.66,5.31,5825
2003-02-26,5.78,5.87,5.66,5.66,5.31,12291
2003-02-27,5.68,6.16,5.68,6.16,5.79,28501
2003-02-28,6.16,6.25,5.96,6.0,5.63,129304
