Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,126.95,148.0,125.8,128.3,128.3,831565
2021-03-05,129.35,132.3,120.0,121.9,121.9,111875
2021-03-08,120.5,121.15,113.95,116.95,116.95,75602
2021-03-09,121.75,124.8,115.15,117.95,117.95,75555
2021-03-10,122.9,122.9,114.75,119.85,119.85,41477
2021-03-12,121.3,122.0,115.2,116.25,116.25,39530
2021-03-15,116.25,117.9,114.3,114.75,114.75,25765
2021-03-16,117.0,117.6,113.05,113.25,113.25,27683
2021-03-17,111.0,114.8,107.0,108.3,108.3,40194
2021-03-18,107.15,110.5,102.0,103.65,103.65,57911
2021-03-19,100.55,103.65,98.25,100.6,100.6,63988
2021-03-22,102.0,117.85,100.75,114.2,114.2,122895
2021-03-23,115.2,119.9,112.25,114.2,114.2,49724
2021-03-24,114.0,114.0,107.65,109.15,109.15,22920
2021-03-25,110.4,110.4,103.25,104.35,104.35,46232
2021-03-26,109.7,109.7,102.5,103.8,103.8,21341
2021-03-30,109.1,113.0,104.45,106.4,106.4,30310
2021-03-31,108.35,108.75,105.5,107.1,107.1,19207
2021-04-01,106.05,109.75,106.0,106.65,106.65,38945
2021-04-05,108.0,108.0,98.0,101.3,101.3,87290
2021-04-06,102.8,105.95,102.05,103.55,103.55,53768
2021-04-07,103.0,107.0,103.0,103.7,103.7,22040
2021-04-08,103.1,119.7,103.1,117.25,117.25,144257
2021-04-09,121.4,127.45,114.6,125.15,125.15,435805
2021-04-12,122.9,125.75,108.0,109.4,109.4,306628
2021-04-13,110.2,122.7,109.55,118.7,118.7,397943
2021-04-15,120.0,130.0,116.8,126.45,126.45,988331
2021-04-16,129.0,134.35,126.6,131.15,131.15,902482
2021-04-19,126.15,126.5,117.1,122.95,122.95,138458
2021-04-20,123.4,127.15,120.1,120.7,120.7,123096
2021-04-22,120.8,124.4,115.95,121.9,121.9,136574
2021-04-23,122.85,124.05,120.0,120.75,120.75,69377
2021-04-26,123.9,123.9,119.5,119.9,119.9,68420
2021-04-27,121.0,124.25,120.55,122.45,122.45,57028
2021-04-28,124.4,126.95,121.0,121.6,121.6,85306
2021-04-29,121.65,124.75,119.0,120.3,120.3,56741
2021-04-30,120.5,125.9,118.65,121.35,121.35,173273
2021-05-03,121.35,128.95,120.05,125.55,125.55,175196
2021-05-04,125.0,129.9,122.0,122.45,122.45,165431
2021-05-05,124.45,124.9,121.45,122.2,122.2,50980
2021-05-06,123.6,128.0,120.25,126.0,126.0,133000
2021-05-07,127.95,131.65,123.5,125.0,125.0,237098
2021-05-10,126.1,145.0,125.2,140.95,140.95,694852
2021-05-11,143.0,155.4,138.0,146.6,146.6,706211
2021-05-12,148.7,151.55,141.1,143.8,143.8,254510
2021-05-14,147.0,147.8,131.55,136.3,136.3,226227
2021-05-17,138.2,141.95,137.8,141.1,141.1,76123
2021-05-18,141.25,150.95,140.25,146.6,146.6,139543
2021-05-19,148.2,150.65,142.05,142.8,142.8,68307
2021-05-20,144.5,145.55,139.15,139.75,139.75,88851
2021-05-21,138.0,158.9,138.0,155.45,155.45,639514
2021-05-24,160.0,164.2,156.25,160.2,160.2,588780
2021-05-25,161.0,163.95,156.6,158.75,158.75,140506
2021-05-26,159.6,159.6,152.8,154.6,154.6,79580
2021-05-27,155.5,155.95,149.65,150.3,150.3,104284
2021-05-28,150.3,153.5,147.0,147.6,147.6,57873
2021-05-31,150.75,171.0,150.75,165.3,165.3,793319
2021-06-01,167.9,172.6,157.4,168.75,168.75,347316
2021-06-02,171.0,172.5,165.35,167.55,167.55,111957
2021-06-03,171.1,185.0,170.05,181.25,181.25,737887
2021-06-04,182.95,183.8,177.0,179.6,179.6,138867
2021-06-07,186.9,186.9,179.0,180.75,180.75,191343
2021-06-08,182.0,186.4,174.4,182.65,182.65,250937
2021-06-09,186.0,201.0,184.0,190.35,190.35,993749
2021-06-10,192.0,210.05,192.0,198.2,198.2,585263
2021-06-11,200.0,206.4,196.0,197.4,197.4,235576
2021-06-14,198.5,198.5,185.0,194.4,194.4,159605
2021-06-15,194.95,196.2,185.1,187.35,187.35,189440
2021-06-16,188.75,192.35,183.6,186.9,186.9,131877
2021-06-17,186.0,223.8,184.95,218.35,218.35,1317979
2021-06-18,225.0,230.0,198.7,215.3,215.3,798457
2021-06-21,209.0,235.05,205.7,229.7,229.7,600822
2021-06-22,230.1,237.0,223.0,225.15,225.15,224960
2021-06-23,223.7,232.6,223.7,227.45,227.45,184942
2021-06-24,229.2,231.6,220.3,224.0,224.0,154698
2021-06-25,224.6,259.0,224.05,254.5,254.5,1131462
2021-06-28,259.0,272.0,254.95,258.8,258.8,525414
2021-06-29,258.9,269.75,258.8,264.7,264.7,191149
2021-06-30,266.45,276.6,265.0,269.05,269.05,258075
2021-07-01,269.9,279.0,266.1,276.1,276.1,197232
2021-07-02,279.0,289.7,272.95,280.0,280.0,324918
2021-07-05,284.1,286.0,250.05,265.15,265.15,225722
2021-07-06,269.8,269.8,250.5,253.0,253.0,312596
2021-07-07,254.9,259.2,243.05,253.2,253.2,407357
2021-07-08,256.8,279.0,256.55,273.0,273.0,620463
2021-07-09,280.0,281.0,263.1,267.7,267.7,229182
