Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,27.17,28.25,25.83,26.06,22.62,16348
2016-03-03,26.51,27.34,26.5,26.77,23.24,1800
2016-03-04,26.5,28.1,26.5,27.7,24.04,872
2016-03-08,26.51,27.74,26.5,27.0,23.43,5500
2016-03-09,25.55,27.06,21.73,26.58,23.06,13692
2016-03-10,28.75,28.75,25.77,27.06,23.49,6072
2016-03-11,31.0,31.0,26.74,27.16,23.57,6308
2016-03-14,26.19,28.23,25.5,27.12,23.54,11444
2016-03-15,27.5,27.88,27.25,27.73,24.06,8712
2016-03-16,27.88,28.0,27.5,27.5,23.87,21600
2016-03-17,28.38,28.62,27.75,27.75,24.08,13880
2016-03-18,27.5,27.58,27.5,27.58,23.93,780
2016-03-21,29.25,29.45,28.88,29.19,25.33,14416
2016-03-22,30.75,30.75,30.01,30.75,26.69,8576
2016-03-23,31.0,31.73,31.0,31.73,27.53,1000
2016-03-28,31.0,32.75,30.25,30.79,26.72,4060
2016-03-29,30.56,31.38,30.26,31.25,27.12,400
2016-03-30,31.25,33.5,30.81,32.66,28.35,24864
2016-03-31,32.65,36.11,32.65,34.96,30.34,58000
2016-04-01,35.75,36.75,35.0,35.7,30.98,30776
2016-04-04,36.62,36.62,34.78,35.49,30.8,35944
2016-04-05,35.75,41.12,35.5,40.14,34.83,155244
2016-04-06,41.72,45.85,41.12,45.19,39.22,332096
2016-04-07,45.75,45.75,40.75,43.38,37.64,90652
2016-04-08,42.51,43.94,41.5,41.9,36.36,29636
2016-04-11,41.56,44.19,41.56,43.12,37.43,43032
2016-04-12,45.45,45.45,41.75,41.91,36.37,21824
2016-04-13,41.88,42.8,40.25,40.31,34.99,47000
2016-04-18,37.71,42.12,37.71,39.42,34.22,15700
2016-04-20,39.74,39.74,36.5,37.28,32.35,43564
2016-04-21,37.0,39.25,36.95,38.75,33.63,38544
2016-04-22,39.36,42.0,39.25,41.86,36.33,66732
2016-04-25,42.0,42.01,40.25,41.19,35.75,14524
2016-04-26,41.17,41.17,40.0,40.74,35.35,21496
2016-04-27,40.72,41.17,40.0,40.41,35.07,8728
2016-04-28,40.4,41.75,40.01,40.76,35.38,46768
2016-04-29,40.12,41.25,40.12,40.97,35.56,22068
2016-05-02,39.88,42.85,39.88,42.65,37.01,25144
2016-05-03,40.12,43.75,40.12,41.06,35.64,11236
2016-05-04,40.25,41.75,40.25,41.5,36.02,4160
2016-05-05,40.34,41.29,40.3,40.53,35.17,528
2016-05-06,40.5,41.0,40.0,40.42,35.08,8168
2016-05-09,40.53,40.64,36.78,38.5,33.41,12892
2016-05-10,38.55,40.2,37.5,39.81,34.55,7128
2016-05-11,39.81,39.88,37.89,38.7,33.59,20520
2016-05-12,39.0,39.5,38.5,38.91,33.77,3476
2016-05-13,37.5,38.25,37.01,38.21,33.16,20516
2016-05-16,38.0,39.0,37.53,38.5,33.41,10788
2016-05-17,38.16,38.88,38.08,38.25,33.2,6616
2016-05-18,38.25,38.75,38.12,38.24,33.18,7600
2016-05-19,37.75,38.25,37.75,38.17,33.13,700
2016-05-20,37.08,38.49,37.08,37.62,32.65,1256
2016-05-23,37.16,37.95,37.16,37.86,32.86,5496
2016-05-24,38.25,38.5,37.0,38.39,33.32,4436
2016-05-25,37.75,38.38,37.75,38.0,32.98,2960
2016-05-26,37.78,38.47,37.78,37.92,32.91,18344
2016-05-27,37.16,38.2,37.16,37.51,32.56,5380
2016-05-30,37.51,38.25,37.0,37.41,32.47,13068
2016-05-31,37.03,38.11,37.03,37.09,32.19,1876
2016-06-01,37.49,37.75,36.9,37.33,32.39,2360
2016-06-02,36.55,38.0,36.03,37.25,32.33,3576
2016-06-03,37.5,39.17,37.5,38.47,33.39,15132
2016-06-06,38.47,39.99,38.47,39.76,34.51,7368
2016-06-07,41.21,41.25,38.25,39.38,34.17,3204
2016-06-08,38.64,39.46,38.64,39.08,33.91,3108
2016-06-09,38.38,39.92,38.35,39.2,34.02,3556
2016-06-10,39.5,39.5,38.29,38.55,33.46,17288
2016-06-13,38.75,39.99,36.64,38.29,33.23,27728
2016-06-14,39.71,45.94,39.25,45.29,39.3,796476
2016-06-15,46.62,53.35,46.62,50.29,43.64,1946372
2016-06-16,50.0,51.72,46.75,49.11,42.62,320484
2016-06-17,50.49,52.74,47.01,47.56,41.28,317716
2016-06-20,46.5,49.51,43.28,48.86,42.41,208092
2016-06-21,48.75,51.12,47.76,48.44,42.04,62700
