Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,15.63,16.3,15.38,15.98,15.03,831759.0
2002-07-02,15.38,16.34,15.38,16.3,15.33,664008.0
2002-07-03,16.53,16.53,16.05,16.14,15.18,564071.0
2002-07-04,16.41,16.64,16.18,16.53,15.54,1127138.0
2002-07-05,16.09,16.27,15.61,15.7,14.77,886627.0
2002-07-08,15.72,15.93,15.49,15.61,14.68,561511.0
2002-07-09,15.75,15.77,15.36,15.4,14.49,645430.0
2002-07-10,15.7,15.82,15.31,15.36,14.44,824759.0
2002-07-11,15.61,15.61,14.92,14.97,14.08,1085298.0
2002-07-12,15.24,15.24,14.67,14.74,13.86,1190587.0
2002-07-15,14.69,14.85,14.53,14.6,13.73,601900.0
2002-07-16,14.21,14.69,14.21,14.58,13.71,481133.0
2002-07-17,14.51,14.67,14.25,14.35,13.49,481361.0
2002-07-18,14.74,14.81,14.46,14.51,13.64,242271.0
2002-07-19,14.64,14.67,14.46,14.51,13.64,268673.0
2002-07-22,14.6,14.64,14.23,14.44,13.58,422784.0
2002-07-23,14.46,14.46,14.03,14.28,13.43,476780.0
2002-07-24,14.32,14.32,14.0,14.14,13.3,245518.0
2002-07-25,14.46,14.69,14.3,14.32,13.47,386192.0
2002-07-26,14.05,14.23,13.84,14.0,13.17,429509.0
2002-07-29,14.46,14.46,13.89,14.0,13.17,482230.0
2002-07-30,14.46,14.46,13.93,13.98,13.15,458984.0
2002-07-31,14.0,14.51,13.45,14.39,13.54,930917.0
2002-08-01,14.23,14.28,13.73,13.89,13.06,605368.0
2002-08-02,13.82,13.91,13.68,13.84,13.02,275205.0
2002-08-05,13.91,14.0,13.82,13.86,13.04,130495.0
2002-08-06,13.93,13.93,13.73,13.77,12.95,265438.0
2002-08-07,13.98,14.03,13.68,13.77,12.95,289381.0
2002-08-08,13.93,13.93,13.7,13.77,12.95,179076.0
2002-08-09,13.75,13.86,13.7,13.77,12.95,220985.0
2002-08-12,13.77,13.91,13.68,13.89,13.06,162112.0
2002-08-13,13.84,14.0,13.77,13.93,13.1,69346.0
2002-08-14,13.84,14.0,13.84,13.91,13.08,80766.0
2002-08-15,13.91,13.91,13.91,13.91,13.08,0.0
2002-08-16,14.0,14.58,13.89,14.39,13.54,323878.0
2002-08-19,14.32,14.92,14.14,14.81,13.92,373866.0
2002-08-20,15.06,15.43,14.74,15.2,14.29,650490.0
2002-08-21,15.49,15.49,14.69,15.26,14.36,272707.0
2002-08-22,15.38,15.38,14.76,14.83,13.95,186360.0
2002-08-23,14.92,15.15,14.74,14.94,14.05,168751.0
2002-08-26,15.06,15.15,14.78,14.85,13.97,95105.0
2002-08-27,14.85,14.94,14.71,14.74,13.86,127986.0
2002-08-28,14.83,14.83,14.44,14.67,13.8,175578.0
2002-08-29,14.69,14.74,14.25,14.28,13.43,130440.0
2002-08-30,14.23,15.1,14.16,14.92,14.03,466436.0
2002-09-02,15.15,15.54,14.99,15.13,14.23,451535.0
2002-09-03,15.04,15.04,14.74,14.9,14.01,206689.0
2002-09-04,14.69,15.43,14.69,15.1,14.21,387018.0
2002-09-05,15.29,15.38,15.1,15.15,14.25,245348.0
2002-09-06,15.38,15.38,14.83,14.92,14.03,228774.0
2002-09-09,14.74,15.1,14.58,14.62,13.75,438962.0
2002-09-10,14.62,14.62,14.62,14.62,13.75,0.0
2002-09-11,14.97,14.97,14.55,14.64,13.77,84131.0
2002-09-12,14.69,15.75,14.6,14.92,14.03,552709.0
2002-09-13,15.13,15.84,14.92,15.63,14.7,2765639.0
2002-09-16,15.7,16.23,14.9,15.72,14.79,1075285.0
2002-09-17,15.95,16.09,15.61,16.0,15.05,2606142.0
2002-09-18,16.02,16.18,15.68,15.75,14.81,424551.0
2002-09-19,15.43,16.07,14.07,14.42,13.56,7020799.0
2002-09-20,14.46,15.68,14.23,15.47,14.55,1248116.0
2002-09-23,15.54,15.56,14.92,14.99,14.1,169851.0
2002-09-24,14.92,14.92,14.23,14.3,13.45,1028804.0
2002-09-25,14.23,14.97,14.19,14.53,13.67,738351.0
2002-09-26,14.46,14.74,14.32,14.39,13.54,329894.0
2002-09-27,14.64,14.85,14.35,14.69,13.82,292975.0
2002-09-30,14.69,14.69,14.32,14.37,13.51,201494.0
2002-10-01,14.46,14.76,14.39,14.71,13.84,396596.0
2002-10-02,14.71,14.71,14.71,14.71,13.84,0.0
2002-10-03,14.78,14.78,14.35,14.69,13.82,269156.0
2002-10-04,14.78,14.78,14.58,14.71,13.84,235505.0
2002-10-07,14.67,14.74,14.46,14.62,13.75,294753.0
2002-10-08,14.71,16.96,14.37,14.69,13.82,614325.0
2002-10-09,14.78,14.87,14.48,14.51,13.64,178468.0
2002-10-10,14.46,14.55,14.37,14.42,13.56,94548.0
2002-10-11,14.62,14.62,14.3,14.37,13.51,118828.0
2002-10-14,14.64,14.64,14.23,14.28,13.43,82539.0
2002-10-15,14.28,14.28,14.28,14.28,13.43,0.0
2002-10-16,14.44,14.46,13.86,13.96,13.13,483916.0
2002-10-17,13.93,14.0,13.7,13.75,12.93,291252.0
2002-10-18,13.77,13.86,13.66,13.68,12.87,325071.0
2002-10-21,13.63,13.77,13.54,13.61,12.8,144270.0
2002-10-22,13.54,13.63,13.2,13.31,12.52,186449.0
2002-10-23,13.27,13.36,12.62,12.76,12.0,303869.0
2002-10-24,12.85,12.85,12.62,12.65,11.9,225041.0
2002-10-25,12.51,12.62,11.98,12.17,11.44,413250.0
2002-10-28,12.17,12.17,11.06,11.43,10.75,758382.0
2002-10-29,11.59,11.68,11.13,11.52,10.84,792700.0
2002-10-30,10.97,12.4,10.97,11.96,11.25,835260.0
2002-10-31,12.17,12.17,11.64,11.91,11.2,296341.0
2002-11-01,11.71,12.05,11.61,11.89,11.18,125918.0
2002-11-04,11.94,12.26,11.84,12.01,11.29,61526.0
2002-11-05,11.84,11.87,11.61,11.68,10.99,149267.0
2002-11-06,11.68,11.68,11.68,11.68,10.99,0.0
2002-11-07,11.66,11.8,11.5,11.55,10.86,146468.0
2002-11-08,11.52,11.52,11.36,11.43,10.75,155727.0
2002-11-11,11.48,11.48,11.16,11.27,10.6,666415.0
2002-11-12,11.29,11.34,11.2,11.22,10.56,79744.0
2002-11-13,11.48,11.48,11.2,11.27,10.6,163284.0
2002-11-14,11.59,11.59,10.93,10.95,10.3,392551.0
2002-11-15,11.02,11.13,10.51,10.56,9.93,1098339.0
2002-11-18,11.25,11.25,10.31,10.49,9.87,802184.0
2002-11-19,10.49,10.49,10.49,10.49,9.87,0.0
2002-11-20,10.77,10.83,10.44,10.49,9.87,661877.0
2002-11-21,10.47,10.6,10.17,10.21,9.61,684459.0
2002-11-22,10.01,10.54,10.01,10.31,9.69,476844.0
2002-11-25,10.35,10.79,10.33,10.63,10.0,859480.0
2002-11-26,10.79,11.18,10.77,11.04,10.38,972076.0
2002-11-27,11.11,11.13,10.88,11.0,10.34,481610.0
2002-11-28,11.13,11.2,11.04,11.09,10.43,302906.0
2002-11-29,11.13,11.59,10.67,11.45,10.77,1302801.0
2002-12-02,11.59,11.89,11.48,11.64,10.95,575369.0
2002-12-03,11.87,11.87,11.39,11.5,10.82,519116.0
2002-12-04,11.41,11.41,11.11,11.18,10.51,191030.0
2002-12-05,11.39,11.39,11.04,11.09,10.43,319434.0
2002-12-06,11.39,11.41,11.02,11.04,10.38,414178.0
2002-12-09,11.09,11.2,10.79,10.86,10.21,300832.0
2002-12-10,11.22,11.22,10.81,10.97,10.32,227352.0
2002-12-11,11.02,11.22,10.81,10.9,10.25,203141.0
2002-12-12,11.02,11.02,10.38,10.49,9.87,643646.0
2002-12-13,10.56,10.65,10.12,10.21,9.61,625381.0
2002-12-16,10.51,10.67,10.44,10.56,9.93,485818.0
2002-12-17,10.51,10.88,10.51,10.72,10.08,635172.0
2002-12-18,11.34,11.59,10.97,11.52,10.84,1772285.0
2002-12-19,11.52,12.03,11.48,11.78,11.08,1624923.0
2002-12-20,11.89,11.89,11.25,11.36,10.69,753757.0
2002-12-23,11.39,11.39,10.67,10.88,10.23,436074.0
2002-12-24,11.59,11.59,10.6,11.02,10.36,660965.0
2002-12-25,11.02,11.02,11.02,11.02,10.36,0.0
2002-12-26,11.13,11.16,10.67,10.77,10.13,689983.0
2002-12-27,10.97,11.02,10.12,10.33,9.72,1620850.0
2002-12-30,10.44,10.7,10.33,10.4,9.78,936915.0
2002-12-31,10.49,10.56,10.33,10.47,9.84,744456.0
2003-01-01,10.72,10.72,10.35,10.4,9.78,183173.0
2003-01-02,10.56,10.67,10.33,10.4,9.78,598304.0
2003-01-03,10.65,11.02,10.33,10.35,9.74,582614.0
2003-01-06,10.44,10.56,10.15,10.19,9.59,292522.0
2003-01-07,10.17,10.28,10.12,10.15,9.54,366967.0
2003-01-08,10.49,10.49,9.89,9.94,9.35,422011.0
2003-01-09,9.69,10.1,9.69,9.87,9.28,385519.0
2003-01-10,9.89,9.92,9.48,9.53,8.96,491765.0
2003-01-13,9.71,9.99,9.64,9.8,9.22,809176.0
2003-01-14,9.96,10.05,9.69,9.76,9.18,1478799.0
2003-01-15,9.76,10.08,9.76,9.96,9.37,657127.0
2003-01-16,9.85,9.94,9.55,9.78,9.2,538840.0
2003-01-17,10.08,10.08,9.64,9.82,9.24,297778.0
2003-01-20,9.99,11.48,9.82,11.43,10.75,6783684.0
2003-01-21,11.68,12.51,10.74,11.16,10.49,6826817.0
2003-01-22,11.0,11.8,11.0,11.52,10.84,1607524.0
2003-01-23,11.71,11.71,11.06,11.13,10.47,660762.0
2003-01-24,10.74,11.16,10.74,10.97,10.32,836399.0
2003-01-27,11.18,12.12,11.18,11.61,10.92,3116183.0
2003-01-28,11.91,12.49,11.71,12.37,11.64,2435433.0
2003-01-29,12.62,13.68,12.62,13.34,12.54,4939419.0
2003-01-30,13.31,13.77,12.85,13.08,12.31,1516075.0
2003-01-31,14.28,14.28,12.49,12.76,12.0,882399.0
2003-02-03,12.62,14.46,12.62,14.07,13.23,1903333.0
2003-02-04,14.46,14.46,13.38,13.57,12.76,1406260.0
2003-02-05,14.21,14.53,13.31,13.36,12.56,654125.0
2003-02-06,13.54,13.59,13.29,13.47,12.67,351458.0
2003-02-07,13.59,13.63,13.08,13.15,12.37,391152.0
2003-02-10,13.15,14.14,13.15,13.7,12.89,1878922.0
2003-02-11,13.73,13.89,13.54,13.8,12.97,572405.0
2003-02-12,14.07,14.07,13.36,13.52,12.72,401000.0
2003-02-13,13.52,13.52,13.52,13.52,12.72,0.0
2003-02-14,13.77,13.77,12.88,12.99,12.22,406334.0
2003-02-17,13.18,13.34,12.85,13.08,12.31,1005743.0
2003-02-18,13.31,13.31,12.97,13.27,12.48,571871.0
2003-02-19,13.24,13.36,13.02,13.08,12.31,491135.0
2003-02-20,13.29,13.31,12.83,12.95,12.18,457499.0
2003-02-21,12.85,13.29,12.85,13.04,12.26,358893.0
2003-02-24,13.29,13.29,12.85,12.85,12.09,376053.0
2003-02-25,12.92,12.97,12.72,12.9,12.13,289693.0
2003-02-26,12.95,12.95,12.62,12.85,12.09,199688.0
2003-02-27,12.88,12.9,12.69,12.76,12.0,377591.0
2003-02-28,13.13,14.55,12.46,12.56,11.81,3218017.0
2003-03-03,12.83,12.83,12.4,12.42,11.68,835528.0
2003-03-04,12.4,12.56,12.26,12.42,11.68,228689.0
2003-03-05,12.4,12.74,12.3,12.4,11.66,1293781.0
2003-03-06,12.4,12.49,12.35,12.4,11.66,195900.0
2003-03-07,12.35,12.53,12.21,12.44,11.7,664091.0
2003-03-10,11.98,12.51,11.98,12.42,11.68,292330.0
2003-03-11,12.58,12.58,12.23,12.42,11.68,255484.0
2003-03-12,12.56,12.69,12.3,12.42,11.68,684659.0
2003-03-13,12.4,12.44,12.28,12.33,11.59,197689.0
2003-03-14,12.33,12.33,12.33,12.33,11.59,0.0
2003-03-17,12.17,12.44,12.17,12.4,11.66,714909.0
2003-03-18,12.4,12.4,12.4,12.4,11.66,0.0
2003-03-19,12.4,12.56,12.37,12.44,11.7,849671.0
2003-03-20,12.35,13.38,12.35,13.31,12.52,493344.0
2003-03-21,13.2,13.5,13.08,13.22,12.44,697467.0
2003-03-24,12.9,12.9,12.62,12.72,11.96,110560.0
2003-03-25,12.62,13.08,12.44,12.95,12.18,294855.0
2003-03-26,13.13,13.57,12.88,13.43,12.63,767171.0
2003-03-27,13.15,13.86,13.15,13.66,12.85,622868.0
2003-03-28,13.22,13.75,13.22,13.68,12.87,362890.0
2003-03-31,13.5,13.5,12.44,12.95,12.18,467388.0
2003-04-01,13.06,13.5,12.85,13.36,12.56,208854.0
2003-04-02,13.66,15.26,13.31,14.87,13.99,1423464.0
2003-04-03,15.1,15.15,14.05,14.23,13.39,2092013.0
2003-04-04,14.19,14.99,14.09,14.78,13.9,2065491.0
2003-04-07,14.97,15.15,14.19,15.01,14.12,743138.0
2003-04-08,15.04,15.04,14.42,14.83,13.95,346547.0
2003-04-09,14.81,15.82,14.58,15.4,14.49,687293.0
2003-04-10,15.38,15.72,15.15,15.52,14.59,765493.0
2003-04-11,14.92,15.72,14.81,15.36,14.44,356978.0
2003-04-15,15.49,15.49,14.32,14.87,13.99,515788.0
2003-04-16,14.74,15.26,14.74,15.06,14.16,595842.0
2003-04-17,15.06,16.46,14.81,15.36,14.44,1279163.0
2003-04-18,15.36,15.36,15.36,15.36,14.44,0.0
2003-04-21,15.61,15.82,15.08,15.54,14.62,709735.0
2003-04-22,15.75,15.98,15.38,15.47,14.55,821040.0
2003-04-23,15.61,16.71,15.2,15.33,14.42,3040873.0
2003-04-24,15.15,15.43,14.05,14.85,13.97,1223927.0
2003-04-25,14.92,14.92,14.28,14.39,13.54,251484.0
2003-04-28,14.48,14.92,14.23,14.69,13.82,408656.0
2003-04-29,14.87,14.87,14.58,14.69,13.82,311142.0
2003-04-30,14.85,15.84,14.85,15.52,14.59,2028926.0
2003-05-01,15.52,15.52,15.52,15.52,14.59,0.0
2003-05-02,15.43,16.16,15.43,15.65,14.72,1567137.0
2003-05-05,15.63,15.82,15.38,15.49,14.57,725935.0
2003-05-06,15.33,15.65,15.33,15.54,14.62,2227277.0
2003-05-07,15.61,15.61,15.22,15.38,14.46,203982.0
2003-05-08,15.22,15.49,15.17,15.43,14.51,132865.0
2003-05-09,13.84,15.33,13.84,15.1,14.21,258511.0
2003-05-12,14.83,15.15,14.74,15.04,14.14,185889.0
2003-05-13,14.92,15.65,14.67,15.43,14.51,1351576.0
2003-05-14,15.38,16.07,15.38,15.93,14.98,1548043.0
2003-05-15,16.07,16.07,15.61,15.61,14.68,210682.0
2003-05-16,15.91,16.11,15.2,15.7,14.77,481403.0
2003-05-19,15.91,15.93,15.61,15.63,14.7,352053.0
2003-05-20,16.02,16.05,15.65,15.95,15.0,442948.0
2003-05-21,16.05,16.3,15.86,15.98,15.03,763670.0
2003-05-22,16.27,16.3,15.84,16.07,15.11,442802.0
2003-05-23,16.11,16.16,15.95,16.07,15.11,1886215.0
2003-05-26,16.07,17.63,16.07,17.15,16.13,1107220.0
2003-05-27,17.35,18.27,16.73,16.8,15.8,1975326.0
2003-05-28,17.33,17.45,16.94,17.19,16.17,389641.0
2003-05-29,17.45,18.5,17.45,18.0,16.93,2039640.0
2003-05-30,18.32,18.32,17.08,17.49,16.45,660884.0
2003-06-02,17.79,18.23,17.12,17.95,16.88,645192.0
2003-06-03,18.32,19.19,18.32,19.03,17.9,2070251.0
2003-06-04,19.28,19.42,19.05,19.19,18.05,1113008.0
2003-06-05,19.28,19.28,18.87,19.24,18.09,858207.0
2003-06-06,18.94,19.24,18.52,18.78,17.66,761760.0
2003-06-09,19.24,19.28,18.82,19.01,17.88,301662.0
2003-06-10,18.82,19.03,18.09,18.23,17.14,336355.0
2003-06-11,18.39,19.05,18.32,18.87,17.75,569192.0
2003-06-12,18.82,19.14,18.32,18.39,17.29,671834.0
2003-06-13,18.71,20.2,18.71,19.33,18.18,1570187.0
2003-06-16,19.28,19.28,18.82,18.94,17.81,420626.0
2003-06-17,19.4,19.51,19.03,19.08,17.94,668353.0
2003-06-18,19.24,19.24,18.66,18.98,17.85,959162.0
2003-06-19,19.03,19.03,18.18,18.43,17.34,1067023.0
2003-06-20,18.43,18.59,17.81,17.97,16.9,297765.0
2003-06-23,18.18,18.25,16.85,16.94,15.93,833750.0
2003-06-24,17.35,17.45,16.92,17.01,16.0,407230.0
2003-06-25,16.99,17.63,16.76,17.33,16.3,660830.0
2003-06-26,17.42,17.79,17.42,17.54,16.49,757471.0
2003-06-27,17.77,18.04,16.53,17.67,16.62,816338.0
2003-06-30,17.81,18.07,17.67,17.93,16.86,706607.0
2003-07-01,18.13,18.13,17.67,17.95,16.88,221170.0
2003-07-02,17.9,18.07,17.45,17.81,16.75,369823.0
2003-07-03,18.0,18.09,17.84,17.95,16.88,391457.0
2003-07-04,17.9,17.9,17.15,17.61,16.56,410037.0
2003-07-07,17.22,17.56,16.87,16.99,15.98,1450419.0
2003-07-08,17.1,17.22,16.53,16.8,15.8,1606195.0
2003-07-09,17.22,17.22,16.57,16.64,15.65,562330.0
2003-07-10,16.89,17.45,16.55,16.96,15.95,546198.0
2003-07-11,16.78,17.35,16.78,17.15,16.13,288327.0
2003-07-14,17.4,17.56,17.17,17.42,16.39,692266.0
2003-07-15,17.67,18.04,17.17,17.28,16.26,3644943.0
2003-07-16,17.45,17.58,17.17,17.42,16.39,1658662.0
2003-07-17,17.35,19.35,17.35,18.25,17.16,6944465.0
2003-07-18,18.36,19.33,18.02,18.94,17.81,6779885.0
