Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.73,5.88,5.73,5.88,4.5,1501500
1996-01-02,5.88,5.62,5.62,5.62,4.3,1500
1996-01-03,5.62,5.7,5.6,5.7,4.36,4500
1996-01-04,5.7,5.6,5.6,5.6,4.28,1500
1996-01-05,5.6,5.7,5.53,5.7,4.36,1438500
1996-01-08,5.7,5.62,5.62,5.62,4.3,1500
1996-01-09,5.62,5.67,5.6,5.6,4.28,4500
1996-01-10,5.53,5.53,5.5,5.5,4.21,9000
1996-01-11,5.5,5.5,5.5,5.5,4.21,0
1996-01-12,5.54,5.54,5.53,5.53,4.23,3000
1996-01-15,5.53,5.47,5.47,5.47,4.18,3000
1996-01-16,5.4,5.53,5.4,5.53,4.23,4500
1996-01-17,5.27,5.27,5.27,5.27,4.03,1500
1996-01-18,5.27,5.27,5.07,5.27,4.03,3000
1996-01-19,5.27,5.33,5.22,5.22,3.99,3000
1996-01-22,5.22,5.2,5.2,5.2,3.98,3000
1996-01-23,5.27,5.27,5.27,5.27,4.03,1500
1996-01-24,5.27,5.27,5.2,5.2,3.98,4500
1996-01-25,5.13,5.13,5.13,5.13,3.93,1500
1996-01-26,5.13,5.13,5.13,5.13,3.93,0
1996-01-29,5.13,5.13,5.13,5.13,3.93,1500
1996-01-30,5.13,5.4,5.4,5.4,4.13,3000
1996-01-31,5.33,5.33,5.2,5.2,3.98,4500
1996-02-01,5.2,5.4,5.4,5.4,4.13,4500
1996-02-02,5.4,5.85,5.78,5.85,4.47,9000
1996-02-05,5.62,5.62,5.62,5.62,4.3,1500
1996-02-06,5.62,5.68,5.6,5.6,4.28,4500
1996-02-07,5.6,5.6,5.6,5.6,4.28,1500
1996-02-08,5.67,5.72,5.67,5.67,4.33,751500
1996-02-09,6.1,6.47,6.07,6.47,4.95,24000
1996-02-12,6.53,7.15,6.53,7.15,5.47,18000
1996-02-13,7.15,7.87,7.13,7.43,5.69,771000
1996-02-14,7.43,8.22,7.74,8.0,6.12,118500
1996-02-15,8.0,8.13,7.71,8.0,6.12,40500
1996-02-16,8.0,7.67,7.37,7.5,5.74,18000
1996-02-19,7.5,7.65,7.33,7.65,5.85,48000
1996-02-20,7.65,7.6,7.33,7.49,5.73,114000
1996-02-21,7.49,7.49,7.49,7.49,5.73,0
1996-02-22,7.49,7.47,7.43,7.47,5.71,81000
1996-02-23,7.47,8.0,7.4,7.87,6.02,1713000
1996-02-26,7.75,7.97,7.74,7.87,6.02,40500
1996-02-27,7.87,8.13,7.8,8.06,6.17,130500
1996-02-28,8.06,7.98,7.69,7.69,5.88,67500
1996-02-29,7.69,7.54,7.07,7.33,5.61,22500
1996-03-01,7.33,7.67,7.27,7.67,5.86,51000
1996-03-04,7.67,8.07,7.66,7.95,6.08,15033000
1996-03-05,7.95,7.95,7.95,7.95,6.08,0
1996-03-06,7.95,7.82,7.73,7.78,5.95,45000
1996-03-07,7.78,7.87,7.47,7.68,5.88,45000
1996-03-08,7.68,7.67,7.5,7.67,5.86,18000
1996-03-11,7.6,7.6,7.53,7.53,5.76,12000
1996-03-12,7.53,7.6,7.2,7.34,5.61,100500
1996-03-13,7.34,7.47,7.46,7.47,5.71,10500
1996-03-14,7.47,7.57,7.47,7.53,5.76,10500
1996-03-15,7.53,7.6,7.57,7.6,5.81,67500
1996-03-18,7.6,7.34,7.34,7.34,5.62,1500
1996-03-19,7.34,7.4,7.22,7.4,5.66,36000
1996-03-20,7.4,7.4,7.4,7.4,5.66,0
1996-03-21,7.4,7.33,7.33,7.33,5.61,1500
1996-03-22,7.33,7.73,7.33,7.72,5.91,40500
1996-03-25,7.72,7.7,7.59,7.67,5.86,69000
1996-03-26,7.67,7.87,7.67,7.87,6.02,88500
1996-03-27,7.87,8.0,7.84,7.91,6.05,247500
1996-03-28,7.91,8.67,8.06,8.44,6.46,1524000
1996-03-29,8.44,8.4,8.03,8.04,6.15,397500
1996-04-01,8.04,8.33,8.2,8.25,6.31,3781500
1996-04-02,8.26,9.06,8.1,8.77,6.71,666000
1996-04-03,9.47,9.67,9.23,9.36,7.16,547500
1996-04-04,9.8,9.8,9.17,9.37,7.17,2467500
1996-04-05,9.37,9.37,9.37,9.37,7.17,0
1996-04-08,10.13,10.33,9.98,10.19,7.79,354000
1996-04-09,10.19,10.52,9.8,10.13,7.75,697500
1996-04-10,10.13,10.25,9.95,10.05,7.69,106500
1996-04-11,10.05,10.2,10.0,10.16,7.77,142500
1996-04-12,10.16,10.37,10.17,10.22,7.82,111000
1996-04-15,10.22,10.43,10.27,10.27,7.85,66000
1996-04-16,10.27,10.51,10.23,10.41,7.96,315000
1996-04-17,10.41,10.67,10.33,10.4,7.96,42000
1996-04-18,10.4,10.8,10.53,10.6,8.11,76500
1996-04-19,11.4,11.4,10.55,10.59,8.1,105000
1996-04-22,10.59,10.99,10.13,10.53,8.06,91500
1996-04-23,10.53,10.88,10.34,10.84,8.29,150000
1996-04-24,10.84,11.53,10.93,11.5,8.79,276000
1996-04-25,11.5,11.8,11.23,11.25,8.61,193500
1996-04-26,11.25,11.79,11.27,11.74,8.98,90000
1996-04-29,11.74,11.6,11.48,11.56,8.84,60000
1996-04-30,11.56,12.13,11.34,11.99,9.17,240000
1996-05-01,11.99,12.25,11.95,12.09,9.25,85500
1996-05-02,12.09,12.47,11.99,12.33,9.43,201000
1996-05-03,12.33,12.6,12.4,12.46,9.53,100500
1996-05-06,12.46,12.23,11.87,12.09,9.25,109500
1996-05-07,12.09,12.33,11.87,12.31,9.42,133500
1996-05-08,12.31,12.73,11.83,12.41,9.5,262500
1996-05-09,12.41,12.63,12.14,12.24,9.37,819000
1996-05-10,12.24,12.27,11.73,12.08,9.24,171000
1996-05-13,12.08,12.4,12.0,12.4,9.49,70500
1996-05-14,12.4,12.8,12.37,12.67,9.69,268500
1996-05-15,12.67,12.68,11.95,12.41,9.49,96000
1996-05-16,12.41,12.67,12.4,12.58,9.63,118500
1996-05-17,12.58,12.6,12.36,12.53,9.59,34500
1996-05-20,11.67,12.45,11.67,12.45,9.52,27000
1996-05-21,12.45,12.44,12.28,12.37,9.47,90000
1996-05-22,12.37,12.43,12.2,12.3,9.41,34500
1996-05-23,12.3,12.2,12.07,12.13,9.28,24000
1996-05-24,12.13,12.63,12.2,12.35,9.45,48000
1996-05-27,12.35,12.33,12.03,12.1,9.26,25500
1996-05-28,12.1,12.0,11.74,11.8,9.03,58500
1996-05-29,11.8,12.13,11.9,12.1,9.26,100500
1996-05-30,12.1,12.33,12.07,12.12,9.27,54000
1996-05-31,12.12,12.12,11.87,11.9,9.1,78000
1996-06-03,11.9,12.23,11.67,11.77,9.0,115500
1996-06-04,11.77,11.8,11.14,11.51,8.8,88500
1996-06-05,11.47,11.47,10.82,11.11,8.5,105000
1996-06-06,11.46,11.46,11.15,11.33,8.67,514500
1996-06-07,11.22,11.41,11.13,11.25,8.61,486000
1996-06-10,11.22,11.45,11.22,11.45,8.76,109500
1996-06-11,11.37,11.53,11.27,11.51,8.81,99000
1996-06-12,11.47,11.53,11.46,11.5,8.8,618000
1996-06-13,12.13,12.6,12.0,12.05,9.22,229500
1996-06-14,12.33,12.67,12.27,12.35,9.44,504000
1996-06-17,12.93,12.93,12.15,12.3,9.41,405000
1996-06-18,12.11,12.5,12.0,12.17,9.31,556500
1996-06-19,12.27,12.28,12.17,12.21,9.34,79500
1996-06-20,12.09,12.33,12.09,12.33,9.43,37500
1996-06-21,12.15,12.2,12.0,12.04,9.21,22500
1996-06-24,12.2,12.2,11.93,12.0,9.18,10500
1996-06-25,12.0,12.07,11.8,12.0,9.18,492000
1996-06-26,11.88,11.88,11.67,11.77,9.0,25500
1996-06-27,11.73,11.8,11.65,11.8,9.03,49500
1996-06-28,11.93,12.13,11.8,11.99,9.17,31500
1996-07-01,11.72,11.83,11.72,11.83,9.05,9000
1996-07-02,11.93,12.0,11.82,11.85,9.06,99000
1996-07-03,11.83,11.83,11.67,11.67,8.92,21000
1996-07-04,11.35,11.98,11.34,11.8,9.03,34500
1996-07-05,12.0,12.01,11.77,11.83,9.05,81000
1996-07-08,11.93,12.0,11.93,11.97,9.15,12000
1996-07-09,11.93,12.02,11.67,11.7,8.95,40500
1996-07-10,11.67,11.83,11.6,11.79,9.02,117000
1996-07-11,11.33,11.86,11.33,11.73,8.98,991500
1996-07-12,11.62,11.87,11.62,11.75,8.99,12000
1996-07-15,11.73,11.93,11.73,11.79,9.02,22500
1996-07-16,11.86,12.0,11.8,11.84,9.06,249000
1996-07-17,11.97,12.11,11.93,11.96,9.15,1648500
1996-07-18,11.97,12.02,11.83,12.01,9.19,523500
1996-07-19,11.87,12.06,11.87,12.06,9.23,394500
1996-07-22,12.07,12.07,12.07,12.07,9.23,1500
1996-07-23,12.07,12.07,11.5,11.73,8.98,715500
1996-07-24,11.2,12.07,11.2,12.0,9.18,5574000
1996-07-25,11.77,11.96,11.77,11.96,9.15,7500
1996-07-26,11.93,11.93,11.69,11.69,8.94,1447500
1996-07-29,11.69,11.73,11.67,11.73,8.98,30000
1996-07-30,10.67,11.4,10.67,11.4,8.72,30000
1996-07-31,11.33,11.53,11.17,11.47,8.77,28500
1996-08-01,11.67,11.67,11.37,11.37,8.7,19500
1996-08-02,11.33,11.53,11.33,11.53,8.82,3000
1996-08-05,11.2,11.67,11.2,11.61,8.88,93000
1996-08-06,11.49,11.52,11.37,11.48,8.78,33000
1996-08-07,11.53,11.53,11.46,11.47,8.77,12000
1996-08-08,11.47,11.47,11.4,11.47,8.77,12000
1996-08-09,11.47,11.47,11.4,11.4,8.72,3000
1996-08-12,11.22,11.33,11.21,11.33,8.67,9000
1996-08-13,11.07,11.37,11.0,11.15,8.53,133500
1996-08-14,11.53,11.53,11.0,11.08,8.47,280500
1996-08-15,11.08,11.08,11.08,11.08,8.47,0
1996-08-16,10.94,10.94,10.67,10.76,8.23,333000
1996-08-19,10.6,10.6,10.04,10.14,7.76,669000
1996-08-20,10.12,10.22,9.87,10.1,7.73,933000
1996-08-21,10.33,10.8,10.22,10.71,8.2,1599000
1996-08-22,10.73,10.86,10.47,10.56,8.08,811500
1996-08-23,10.55,11.11,10.43,11.03,8.44,2029500
1996-08-26,10.95,11.03,10.83,10.86,8.31,598500
1996-08-27,10.82,10.87,10.67,10.85,8.3,619500
1996-08-28,10.93,11.2,10.88,11.14,8.52,829500
1996-08-29,11.17,11.33,11.07,11.13,8.52,894000
1996-08-30,11.2,11.75,11.2,11.67,8.93,4566000
1996-09-02,11.73,12.23,11.73,12.19,9.32,3655500
1996-09-03,12.13,12.38,11.47,11.81,9.04,4435500
1996-09-04,11.73,12.12,11.69,11.95,9.14,1977000
1996-09-05,12.06,12.4,12.06,12.33,9.43,5995500
1996-09-06,12.37,12.57,12.27,12.45,9.52,4350000
1996-09-09,12.35,12.37,11.9,12.04,9.21,4752000
1996-09-10,11.93,11.93,11.71,11.8,9.03,4090500
1996-09-11,11.83,12.0,11.57,11.63,8.89,4762500
1996-09-12,11.53,11.89,11.49,11.79,9.02,4617000
1996-09-13,11.75,11.84,11.67,11.78,9.01,2185500
1996-09-16,11.71,12.33,11.7,12.07,9.23,5901000
1996-09-17,12.28,12.53,12.09,12.39,9.48,7417500
1996-09-18,11.87,12.05,11.55,12.01,9.19,1561500
1996-09-19,11.87,12.09,11.82,11.94,9.13,810000
1996-09-20,11.91,11.96,11.87,11.93,9.13,324000
1996-09-23,11.77,12.07,11.77,11.97,9.16,712500
1996-09-24,12.05,12.13,11.74,12.0,9.18,985500
1996-09-25,11.83,12.02,11.8,11.89,9.1,219000
1996-09-26,11.84,11.84,11.22,11.66,8.92,2167500
1996-09-27,11.76,11.93,11.6,11.71,8.96,1180500
1996-09-30,11.68,11.93,11.68,11.9,9.1,532500
1996-10-01,11.75,11.96,11.7,11.83,9.05,1377000
1996-10-02,11.83,11.83,11.83,11.83,9.05,0
1996-10-03,11.6,11.72,11.41,11.63,8.89,588000
1996-10-04,11.6,11.73,11.02,11.26,8.61,1311000
1996-10-07,11.27,11.27,10.48,10.76,8.23,1021500
1996-10-08,10.67,11.5,10.65,11.14,8.52,955500
1996-10-09,11.2,11.2,10.53,11.12,8.51,924000
1996-10-10,11.25,11.58,11.25,11.46,8.76,849000
1996-10-11,11.58,12.17,11.55,11.9,9.1,8074500
1996-10-14,12.07,12.13,11.85,12.01,9.18,670500
1996-10-15,11.92,12.37,11.92,12.2,9.34,2634000
1996-10-16,12.2,12.27,12.01,12.09,9.25,574500
1996-10-17,12.0,12.09,11.83,12.02,9.19,303000
1996-10-18,12.05,12.18,11.95,12.06,9.22,136500
1996-10-21,12.06,12.06,12.06,12.06,9.22,0
1996-10-22,12.2,12.6,11.94,12.15,9.29,463500
1996-10-23,12.34,12.87,12.34,12.75,9.75,963000
1996-10-24,12.92,12.92,12.4,12.48,9.55,447000
1996-10-25,12.93,12.93,12.55,12.75,9.75,1425000
1996-10-28,12.87,13.4,12.82,13.02,9.96,1039500
1996-10-29,13.16,13.2,12.42,12.59,9.63,618000
1996-10-30,12.59,12.59,12.59,12.59,9.63,0
1996-10-31,12.53,12.53,12.01,12.28,9.4,1522500
1996-11-01,12.33,12.36,12.27,12.27,9.38,219000
1996-11-04,12.13,12.27,11.6,12.23,9.36,2077500
1996-11-05,12.03,12.2,11.88,12.06,9.23,219000
1996-11-06,11.87,12.07,11.74,11.91,9.11,463500
1996-11-07,11.93,12.13,11.93,12.01,9.19,208500
1996-11-08,12.16,12.28,12.13,12.22,9.35,1767000
1996-11-11,12.13,12.2,11.93,12.15,9.29,225000
1996-11-12,18.23,18.23,18.23,18.23,13.94,0
1996-11-13,12.13,12.33,12.13,12.31,9.42,343500
1996-11-14,12.17,12.53,12.15,12.41,9.5,379500
1996-11-15,12.39,12.53,12.37,12.42,9.5,102000
1996-11-18,12.47,12.59,12.39,12.44,9.52,120000
1996-11-19,12.4,12.73,12.33,12.52,9.58,319500
1996-11-20,12.34,12.72,12.34,12.61,9.65,198000
1996-11-21,12.49,12.67,12.13,12.47,9.54,163500
1996-11-22,12.4,12.53,12.33,12.43,9.51,210000
1996-11-25,12.27,12.66,12.2,12.57,9.61,459000
1996-11-26,12.57,12.67,12.42,12.56,9.61,106500
1996-11-27,12.6,12.6,12.2,12.54,9.59,558000
1996-11-28,12.58,13.05,12.58,12.73,9.74,1150500
1996-11-29,12.73,13.23,12.67,12.94,9.9,2059500
1996-12-02,13.0,13.13,12.83,12.94,9.9,301500
1996-12-03,12.89,13.27,12.53,13.07,10.0,994500
1996-12-04,12.67,12.88,12.47,12.73,9.74,613500
1996-12-05,12.67,13.02,12.67,12.97,9.92,582000
1996-12-06,13.03,13.16,12.97,13.06,9.99,780000
1996-12-09,13.13,13.98,13.13,13.76,10.52,2593500
1996-12-10,14.27,14.71,14.11,14.66,11.22,6025500
1996-12-11,14.67,15.17,14.53,15.12,11.56,6435000
1996-12-12,15.19,15.27,14.33,14.55,11.13,4437000
1996-12-13,14.4,14.8,14.14,14.69,11.24,5698500
1996-12-16,14.83,15.0,14.65,14.97,11.45,3607500
1996-12-17,14.97,15.09,14.62,14.93,11.42,4681500
1996-12-18,15.04,15.4,14.94,15.13,11.57,2539500
1996-12-19,15.03,15.3,14.97,15.11,11.56,1533000
1996-12-20,15.2,15.27,14.85,15.03,11.5,1524000
1996-12-23,15.13,15.13,14.13,14.66,11.21,1566000
1996-12-24,14.57,14.67,13.64,13.73,10.5,1777500
1996-12-25,13.73,13.73,13.73,13.73,10.5,0
1996-12-26,13.87,14.67,13.67,14.47,11.07,1753500
1996-12-27,14.47,14.47,14.47,14.47,11.07,0
1996-12-30,14.47,14.47,14.47,14.47,11.07,0
1996-12-31,14.53,14.62,13.87,14.12,10.8,2422500
1997-01-01,14.33,14.91,14.33,14.45,11.05,852000
1997-01-02,14.5,14.6,14.21,14.33,10.96,717000
1997-01-03,14.22,15.08,14.2,15.04,11.5,4381500
1997-01-06,15.13,15.6,14.67,15.31,11.71,4926000
1997-01-07,15.14,15.46,14.87,15.14,11.58,3696000
1997-01-08,15.57,15.57,15.22,15.34,11.74,2458500
1997-01-09,15.33,15.46,15.3,15.38,11.77,2008500
1997-01-10,15.67,15.74,15.54,15.68,12.0,2134500
1997-01-13,15.47,15.58,15.2,15.26,11.67,592500
1997-01-14,15.27,15.46,14.74,14.86,11.36,1146000
1997-01-15,15.26,15.9,15.17,15.84,12.12,3829500
1997-01-16,16.0,16.2,15.03,15.16,11.6,3106500
1997-01-17,15.0,15.28,14.54,14.96,11.45,817500
1997-01-20,14.85,14.87,14.33,14.39,11.01,546000
