Date,Open,High,Low,Close,Adj Close,Volume
2016-09-02,30.0,31.5,28.6,31.5,30.81,28586
2016-09-06,32.0,32.0,32.0,32.0,31.3,1840
2016-09-07,33.6,33.6,33.6,33.6,32.86,1160
2016-09-08,33.7,35.25,33.7,35.25,34.48,1789
2016-09-09,36.05,37.0,36.0,37.0,36.19,7202
2016-09-12,37.5,38.85,35.15,36.1,35.31,13568
2016-09-14,37.5,37.5,34.3,36.5,35.7,8385
2016-09-15,36.3,36.3,34.6,36.2,35.6,2803
2016-09-16,35.5,36.0,35.1,35.55,34.96,1732
2016-09-19,36.0,36.5,36.0,36.0,35.41,8752
2016-09-20,37.5,43.2,36.0,43.2,42.49,95754
2016-09-21,44.5,51.5,42.0,48.0,47.21,199006
2016-09-22,46.0,48.5,45.0,45.45,44.7,60863
2016-09-23,45.05,46.75,42.5,44.7,43.96,25766
2016-09-26,43.65,53.6,43.65,53.5,52.62,290588
2016-09-27,53.25,53.45,48.15,48.2,47.41,154096
2016-09-28,48.0,49.85,46.0,46.1,45.34,44853
2016-09-29,46.05,46.95,41.5,42.6,41.9,46679
2016-09-30,41.75,46.75,39.65,45.7,44.95,66172
2016-10-03,45.5,48.8,43.65,46.05,45.29,29196
2016-10-04,46.5,47.0,45.5,46.05,45.29,33968
2016-10-05,46.0,50.5,46.0,50.2,49.37,59778
2016-10-06,50.7,51.9,50.0,50.3,49.47,51341
2016-10-07,50.5,54.1,50.0,52.1,51.24,55895
2016-10-10,53.0,56.5,53.0,55.0,54.09,51064
2016-10-13,55.6,60.0,55.0,58.85,57.88,77383
2016-10-14,60.15,61.75,60.0,61.15,60.14,66040
2016-10-17,62.0,64.2,60.6,64.15,63.09,102864
2016-10-18,64.5,66.95,62.0,66.4,65.31,97644
2016-10-19,66.5,69.0,65.5,68.7,67.57,104422
2016-10-20,68.7,70.5,68.5,69.65,68.5,60366
2016-10-21,71.4,72.6,68.75,72.05,70.86,74942
2016-10-24,73.9,74.5,71.6,72.0,70.81,149819
2016-10-25,72.5,74.4,68.6,70.7,69.53,188786
2016-10-26,71.0,72.65,69.0,69.55,68.4,58176
2016-10-27,70.4,70.4,67.5,67.95,66.83,80190
2016-10-28,67.0,68.0,64.6,64.6,63.53,33384
2016-11-01,58.35,58.35,58.35,58.35,57.39,1369
2016-11-02,55.45,55.45,55.45,55.45,54.54,1725
2016-11-03,52.7,52.7,52.7,52.7,51.83,8256
2016-11-04,53.0,53.0,50.1,50.1,49.27,389
2016-11-07,48.0,51.0,47.4,48.05,47.49,104049
2016-11-08,45.75,50.45,45.75,50.45,49.87,27689
2016-11-09,47.95,47.95,47.95,47.95,47.4,740
2016-11-10,45.6,47.95,45.6,45.6,45.07,34167
2016-11-11,45.0,45.0,43.35,43.35,42.85,1712
2016-11-15,41.2,41.35,41.2,41.2,40.72,2773
2016-11-16,42.95,42.95,39.15,39.15,38.7,821
2016-11-17,37.2,37.25,37.2,37.2,36.77,29766
2016-11-18,35.35,38.0,35.35,35.7,35.29,68061
2016-11-21,34.25,36.9,34.25,35.1,34.69,7631
2016-11-22,36.4,36.4,35.1,36.35,35.93,1082
2016-11-23,37.9,37.95,36.0,37.25,36.82,7118
2016-11-24,38.3,38.3,36.3,36.8,36.37,6869
2016-11-25,36.75,38.6,36.75,38.6,38.15,3930
2016-11-28,39.0,40.5,39.0,40.5,40.03,4109
2016-11-29,42.0,42.5,41.0,42.35,41.86,11346
2016-11-30,43.6,44.45,42.0,43.75,43.24,9213
2016-12-01,45.9,45.9,44.15,45.3,44.78,7625
2016-12-02,44.0,45.0,43.75,44.15,43.64,5590
2016-12-05,45.0,46.35,44.35,46.3,45.77,9869
2016-12-06,46.1,48.6,46.1,48.6,48.04,6602
2016-12-07,49.0,50.9,48.55,49.15,48.58,6581
2016-12-08,50.0,51.0,49.5,49.95,49.37,5632
2016-12-09,51.5,51.5,49.5,49.5,48.93,8908
2016-12-12,50.5,50.5,48.5,48.5,47.94,7574
2016-12-13,50.5,50.75,46.5,47.1,46.56,18282
2016-12-14,49.0,49.0,47.5,47.5,46.95,13832
2016-12-15,48.0,49.85,47.55,49.85,49.27,13116
2016-12-16,49.75,52.3,49.5,51.9,51.3,19670
2016-12-19,52.3,52.75,51.0,51.5,50.9,12335
2016-12-20,51.55,52.35,48.95,48.95,48.38,16408
2016-12-21,49.5,49.5,48.75,48.85,48.29,20323
2016-12-22,49.0,49.0,47.0,47.2,46.65,22494
