Date,Open,High,Low,Close,Adj Close,Volume
2004-04-07,35.42,42.22,35.42,40.34,35.18,57671472
2004-04-08,40.75,48.41,40.58,48.41,42.22,85470720
2004-04-09,48.41,48.41,48.41,48.41,42.22,0
2004-04-12,51.67,58.09,50.0,57.96,50.55,47399796
2004-04-13,59.17,65.0,50.47,51.84,45.21,117545316
2004-04-14,51.84,51.84,51.84,51.84,45.21,0
2004-04-15,53.67,56.25,52.21,53.95,47.05,57408636
2004-04-16,54.92,55.87,53.47,53.83,46.95,26430564
2004-04-19,52.92,55.31,50.67,51.04,44.52,47196216
2004-04-20,51.67,51.92,49.61,50.08,43.68,45861048
2004-04-21,50.17,51.96,49.2,50.57,44.11,60827148
2004-04-22,50.83,54.42,50.67,53.47,46.64,46714800
2004-04-23,54.17,55.58,52.92,53.38,46.56,44848512
2004-04-27,51.5,52.5,49.67,50.05,43.65,25438272
2004-04-28,50.08,52.33,49.81,51.24,44.69,37803924
2004-04-29,51.2,51.66,50.55,50.75,44.27,15108780
2004-04-30,50.83,51.37,49.45,49.96,43.57,10851828
2004-05-03,49.83,50.23,48.0,48.87,42.62,17351400
2004-05-04,49.0,50.81,49.0,49.33,43.02,17596932
2004-05-05,49.66,50.25,49.26,49.62,43.28,10820712
2004-05-06,50.33,51.23,49.77,50.04,43.64,12630420
2004-05-07,50.17,50.33,48.75,48.89,42.64,7446744
2004-05-10,48.33,48.74,46.67,46.92,40.93,9599916
2004-05-11,46.48,46.48,43.02,43.75,38.16,10376844
2004-05-12,44.14,44.56,41.67,42.6,37.15,22535232
2004-05-13,41.25,46.16,39.17,45.28,39.49,35768352
2004-05-14,47.75,48.97,42.6,43.49,37.93,31560048
2004-05-17,43.56,43.75,34.83,41.53,36.22,15442212
2004-05-18,41.76,49.08,41.33,44.67,38.96,15858624
2004-05-19,45.75,47.5,45.25,46.0,40.12,9958164
2004-05-20,46.39,47.83,42.92,43.3,37.77,15869076
2004-05-21,43.33,43.75,42.09,43.35,37.8,12549348
2004-05-24,43.88,45.56,43.5,45.0,39.25,10686732
2004-05-25,45.42,45.42,43.75,43.99,38.36,7816740
2004-05-26,44.17,45.16,44.17,44.35,38.68,5352324
2004-05-27,44.08,44.42,43.5,43.92,38.3,3673356
2004-05-28,43.75,44.25,42.36,42.55,37.11,6532728
2004-05-31,42.25,42.25,39.88,40.45,35.28,6738672
2004-06-01,40.89,41.92,40.26,40.45,35.28,5255664
2004-06-02,40.5,41.5,40.5,41.12,35.86,3581196
2004-06-03,41.57,42.57,40.44,40.68,35.48,8971560
2004-06-04,40.42,41.0,39.17,40.21,35.07,8077416
2004-06-07,40.61,41.07,39.83,40.11,34.98,6854460
2004-06-08,40.58,41.96,40.33,41.05,35.81,13796052
2004-06-09,41.5,44.05,41.5,43.75,38.15,37345248
2004-06-10,43.89,45.0,43.33,44.32,38.65,21663984
2004-06-11,44.48,44.55,43.03,43.31,37.77,10238628
2004-06-14,43.33,43.33,41.28,41.44,36.14,9853896
2004-06-15,41.33,42.82,41.33,42.52,37.08,12637344
2004-06-16,42.75,43.41,42.29,42.46,37.03,12143280
2004-06-17,42.47,42.67,41.01,41.33,36.05,12555228
2004-06-18,41.64,41.64,40.42,40.73,35.52,8554272
2004-06-21,40.83,41.49,40.08,40.26,35.11,7147176
2004-06-22,40.22,40.41,39.17,39.3,34.28,7788276
2004-06-23,39.67,40.33,39.28,39.47,34.42,9310692
2004-06-24,39.82,39.99,38.86,39.6,34.54,7138668
2004-06-25,39.79,41.16,39.44,40.71,35.5,12376476
2004-06-28,40.9,42.44,40.88,42.16,36.77,10406388
2004-06-29,42.25,43.0,41.88,42.25,36.85,10527600
2004-06-30,42.62,42.75,41.59,41.75,36.41,6202884
2004-07-01,41.83,42.21,41.31,41.86,36.58,7488828
2004-07-02,41.65,42.56,41.38,42.04,36.74,8287536
2004-07-05,42.13,43.17,42.08,42.5,37.14,7759584
2004-07-06,42.48,43.22,42.48,43.03,37.6,5923020
