Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,89.5,93.9,85.1,87.4,84.16,66230
2016-06-16,89.0,91.2,85.0,85.98,82.79,23520
2016-06-17,87.0,87.5,86.5,87.2,83.97,52040
2016-06-20,87.5,89.15,87.0,89.11,85.8,61480
2016-06-21,89.2,89.3,88.88,89.3,85.99,103880
2016-06-22,89.3,92.6,89.3,92.53,89.1,108820
2016-06-23,92.7,93.2,92.7,93.19,89.74,103160
2016-06-24,93.19,93.19,91.47,92.05,88.64,85060
2016-06-27,91.9,92.8,91.88,92.79,89.35,108290
2016-06-28,92.85,93.8,92.85,93.79,90.31,66990
2016-06-29,93.85,94.6,93.85,94.59,91.08,100020
2016-06-30,94.6,96.0,94.6,95.97,92.42,136880
2016-07-01,96.2,96.85,95.35,96.85,93.26,120760
2016-07-04,97.2,99.0,96.75,98.99,95.32,92990
2016-07-05,99.0,99.45,97.6,97.65,94.03,100140
2016-07-07,97.0,98.25,96.8,98.0,94.36,125130
2016-07-08,97.8,98.2,97.39,97.96,94.32,89850
2016-07-11,102.7,102.7,98.8,99.82,96.12,87010
2016-07-12,99.8,100.0,98.8,98.82,95.16,93290
2016-07-13,98.5,98.65,98.12,98.18,94.54,37990
2016-07-14,98.4,98.55,98.1,98.1,94.46,88810
2016-07-15,101.9,101.9,98.0,98.0,94.37,23800
2016-07-18,98.0,98.3,97.1,97.99,94.36,21210
2016-07-19,99.9,99.9,96.18,96.51,92.93,35410
2016-07-20,96.5,96.6,95.0,95.4,91.86,42730
2016-07-21,95.4,95.9,95.3,95.71,92.17,90380
2016-07-22,95.6,95.8,95.35,95.76,92.21,68100
2016-07-25,95.7,96.0,95.6,96.0,92.44,75350
2016-07-26,96.2,96.8,96.2,96.78,93.19,78360
2016-07-27,96.23,96.6,96.2,96.6,93.02,83040
2016-07-28,96.65,97.7,96.6,97.7,94.08,92110
2016-07-29,97.2,97.5,92.82,92.82,89.37,73930
2016-08-01,92.9,96.0,88.2,95.72,92.17,78820
2016-08-02,98.0,99.89,97.5,99.06,95.38,107830
2016-08-03,99.35,99.4,98.3,98.54,94.89,73560
2016-08-04,99.4,100.0,99.3,99.61,95.92,132960
2016-08-05,99.8,99.85,99.0,99.35,95.67,88940
2016-08-08,99.9,99.9,98.0,98.29,94.64,89730
2016-08-09,98.1,98.3,94.4,97.09,93.49,78160
2016-08-10,97.0,97.1,96.3,96.5,92.92,64020
2016-08-11,96.5,96.8,96.5,96.8,93.21,34620
2016-08-12,97.0,97.8,97.0,97.45,93.84,79560
2016-08-16,98.0,98.3,97.6,97.6,93.98,37290
2016-08-17,97.3,97.7,97.3,97.5,93.89,57700
2016-08-18,98.0,98.7,98.0,98.62,94.96,76820
2016-08-19,98.0,98.59,97.89,98.12,94.48,66330
2016-08-22,97.35,97.67,97.15,97.58,93.97,63750
2016-08-23,96.8,97.07,96.67,96.8,93.21,55530
2016-08-24,97.0,97.5,96.74,97.45,93.84,65000
2016-08-25,96.65,97.07,96.15,97.05,93.45,75080
2016-08-26,96.3,96.78,96.2,96.78,93.19,77250
2016-08-29,96.2,96.5,96.03,96.5,92.92,81200
2016-08-30,96.55,96.9,96.55,96.7,93.12,50720
2016-08-31,96.8,97.0,96.75,97.0,93.4,52570
2016-09-01,97.1,97.2,96.93,97.11,93.51,21520
2016-09-02,97.1,97.29,97.1,97.15,93.55,40310
