Date,Open,High,Low,Close,Adj Close,Volume
2020-07-22,217.0,217.0,206.15,206.15,206.15,43238
2020-07-23,195.85,195.85,195.85,195.85,195.85,2587
2020-07-24,186.1,186.1,186.1,186.1,186.1,2077
2020-07-27,176.8,176.8,176.8,176.8,176.8,1969
2020-07-28,168.0,168.0,168.0,168.0,168.0,891
2020-07-29,159.6,159.6,159.6,159.6,159.6,3086
2020-07-30,151.65,164.0,151.65,151.65,151.65,240504
2020-07-31,148.3,159.0,144.1,144.4,144.4,173098
2020-08-03,140.0,144.0,137.2,137.35,137.35,57848
2020-08-04,131.0,144.2,131.0,144.2,144.2,65631
2020-08-05,151.4,151.4,148.0,151.4,151.4,72921
2020-08-06,157.5,158.95,151.4,158.95,158.95,111118
2020-08-07,164.0,164.0,154.0,161.15,161.15,89081
2020-08-10,164.9,169.0,160.0,166.55,166.55,120888
2020-08-11,169.8,169.8,160.0,160.7,160.7,54453
2020-08-12,159.4,160.0,154.0,156.5,156.5,51352
2020-08-13,156.5,160.0,151.05,154.7,154.7,32003
2020-08-14,154.7,158.9,151.5,152.35,152.35,40062
2020-08-17,144.75,150.5,144.75,144.75,144.75,101413
2020-08-18,144.8,151.95,138.0,150.85,150.85,80687
2020-08-19,151.0,156.5,145.1,154.4,154.4,56361
2020-08-20,151.5,160.0,148.5,158.95,158.95,72437
2020-08-21,162.0,166.85,157.55,166.85,166.85,165086
2020-08-24,175.15,175.15,175.15,175.15,175.15,48782
2020-08-25,183.9,183.9,167.25,173.25,173.25,206658
2020-08-26,175.1,175.15,168.05,173.5,173.5,85857
2020-08-27,177.5,177.5,166.0,168.15,168.15,43360
2020-08-28,174.0,174.0,162.0,168.3,168.3,43811
2020-08-31,170.1,170.7,159.9,159.9,159.9,49954
2020-09-01,159.8,161.0,152.0,154.9,154.9,23173
2020-09-02,158.85,162.6,154.0,161.85,161.85,28457
2020-09-03,161.85,165.9,153.8,161.75,161.75,24055
2020-09-04,163.0,163.0,153.7,157.25,157.25,24521
2020-09-07,153.0,160.0,153.0,154.8,154.8,29355
2020-09-08,151.0,156.5,151.0,151.75,151.75,57097
2020-09-09,150.1,151.95,146.5,150.25,150.25,34292
2020-09-10,149.5,154.0,149.5,152.2,152.2,26065
2020-09-11,148.0,156.6,148.0,153.1,153.1,17634
2020-09-14,155.1,160.75,153.25,160.2,160.2,61641
2020-09-15,164.0,164.0,160.0,161.9,161.9,37062
2020-09-16,162.1,163.0,157.1,161.35,161.35,46251
2020-09-17,161.55,162.9,156.0,157.95,157.95,30730
2020-09-18,159.0,161.5,154.05,155.5,155.5,20120
2020-09-21,154.55,159.0,148.5,149.15,149.15,33065
2020-09-22,154.0,154.0,145.5,148.5,148.5,38522
2020-09-23,148.1,155.9,142.0,146.0,146.0,45792
2020-09-24,145.0,147.8,140.25,144.4,144.4,18652
2020-09-25,145.0,145.0,140.4,142.55,142.55,44276
2020-09-28,147.0,149.65,143.0,148.8,148.8,21429
2020-09-29,150.1,154.8,145.0,146.7,146.7,36899
2020-09-30,149.9,149.9,145.1,148.0,148.0,8700
2020-10-01,151.0,153.0,145.1,149.55,149.55,14499
2020-10-05,152.4,152.4,146.0,148.2,148.2,12576
2020-10-06,145.3,149.0,145.0,146.65,146.65,11138
2020-10-07,145.1,148.1,144.05,144.9,144.9,7802
2020-10-08,147.45,147.45,140.3,141.3,141.3,23965
2020-10-09,141.3,146.9,139.0,139.5,139.5,29466
2020-10-12,139.3,140.0,136.0,137.05,137.05,24350
2020-10-13,136.0,138.0,131.2,134.1,134.1,20696
2020-10-14,136.0,139.5,130.0,136.0,136.0,53808
2020-10-15,139.9,140.1,134.0,135.3,135.3,31851
2020-10-16,135.1,138.9,133.05,134.65,134.65,12371
2020-10-19,138.0,141.35,135.0,141.35,141.35,25617
2020-10-20,145.8,148.4,142.55,148.4,148.4,52684
2020-10-21,153.7,155.8,150.1,151.1,151.1,82277
2020-10-22,153.0,153.0,148.0,148.4,148.4,14367
2020-10-23,147.0,150.0,144.0,149.4,149.4,20059
2020-10-26,149.5,150.0,141.95,143.2,143.2,20373
2020-10-27,143.0,150.3,140.0,149.4,149.4,39886
2020-10-28,149.4,150.05,144.0,146.2,146.2,20935
2020-10-29,145.0,145.0,141.25,143.35,143.35,8026
2020-10-30,140.1,148.9,140.1,143.6,143.6,9260
2020-11-02,141.5,145.4,141.0,141.65,141.65,17722
2020-11-03,141.1,146.0,140.95,142.15,142.15,17503
2020-11-04,144.5,144.95,139.0,140.55,140.55,7498
2020-11-05,140.55,143.3,140.55,141.95,141.95,9149
2020-11-06,143.0,144.5,141.3,142.9,142.9,15245
2020-11-09,144.0,144.0,141.0,142.95,142.95,16974
2020-11-10,142.95,146.0,142.1,142.9,142.9,24442
2020-11-11,144.4,146.9,141.25,143.7,143.7,16495
2020-11-12,143.5,150.1,143.5,149.2,149.2,51109
2020-11-13,150.1,154.7,146.0,149.05,149.05,41577
2020-11-17,155.0,160.4,149.95,160.4,160.4,71258
2020-11-18,162.2,167.45,158.0,158.45,158.45,47447
2020-11-19,161.8,161.8,151.0,152.1,152.1,53433
2020-11-20,151.15,156.0,148.8,153.75,153.75,28970
2020-11-23,154.0,159.8,153.0,158.15,158.15,91743
2020-11-24,158.5,160.5,154.2,156.1,156.1,148351
2020-11-25,159.0,160.15,152.1,152.8,152.8,70855
2020-11-26,155.9,158.9,152.5,158.35,158.35,90047
2020-11-27,158.95,161.7,156.25,158.4,158.4,123709
2020-12-01,159.3,166.3,158.0,166.3,166.3,89998
2020-12-02,174.6,174.6,168.4,171.05,171.05,488579
2020-12-03,172.55,175.8,167.0,168.05,168.05,176103
2020-12-04,169.05,170.65,162.0,165.8,165.8,118504
2020-12-07,168.0,181.0,166.45,173.15,173.15,302269
2020-12-08,176.7,180.05,167.0,169.9,169.9,172492
2020-12-09,170.15,175.3,167.35,168.9,168.9,129705
2020-12-10,167.9,169.95,163.0,163.7,163.7,87677
2020-12-11,165.0,173.0,162.0,168.95,168.95,144625
2020-12-14,172.7,185.8,171.5,185.8,185.8,278148
2020-12-15,199.35,204.35,188.8,195.2,195.2,1343829
2020-12-16,193.85,198.6,188.3,191.85,191.85,296750
2020-12-17,194.1,197.9,172.7,177.0,177.0,459630
