Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,51.77,53.46,50.7,51.72,50.43,43738
2018-05-28,51.58,53.71,50.73,52.36,51.04,40637
2018-05-29,54.09,54.28,51.68,52.88,51.55,60654
2018-05-30,53.15,57.85,53.15,56.4,54.98,791242
2018-05-31,56.61,56.61,54.09,54.89,53.51,102961
2018-06-01,55.35,55.35,53.15,53.3,51.97,73484
2018-06-04,54.72,54.72,50.1,51.54,50.25,100878
2018-06-05,52.71,52.71,48.43,48.95,47.72,142072
2018-06-06,49.36,50.63,47.93,49.76,48.51,130609
2018-06-07,50.82,51.58,49.69,51.21,49.93,97651
2018-06-08,50.7,51.64,50.38,50.72,49.45,86983
2018-06-11,51.57,52.58,51.2,51.4,50.11,83994
2018-06-12,52.26,53.97,52.26,53.3,51.96,136826
2018-06-13,52.33,55.6,52.08,55.31,53.92,120752
2018-06-14,55.35,57.61,54.48,57.08,55.65,203299
2018-06-15,57.6,58.81,55.66,57.15,55.72,293860
2018-06-18,58.35,58.67,54.8,55.78,54.38,190835
2018-06-19,66.93,66.93,62.02,63.52,61.93,7845717
2018-06-20,64.09,64.78,61.65,62.47,60.9,2247888
2018-06-21,62.9,62.9,58.62,59.17,57.68,1738931
2018-06-22,58.81,59.92,58.07,58.65,57.18,821053
2018-06-25,58.61,60.69,58.43,59.52,58.03,743053
2018-06-26,59.69,59.85,58.72,58.96,57.48,286832
2018-06-27,58.98,59.61,57.54,57.84,56.39,297469
2018-06-28,57.87,58.49,56.73,57.01,55.58,370334
2018-06-29,57.79,58.56,57.18,57.95,56.49,200581
2018-07-02,57.95,60.07,57.95,58.58,57.11,285783
2018-07-03,58.81,59.36,58.23,58.8,57.33,246115
2018-07-04,58.8,60.32,58.6,59.63,58.14,352384
2018-07-05,59.75,60.88,59.31,59.48,57.99,377154
2018-07-06,59.61,61.32,59.5,61.05,59.52,397696
2018-07-09,62.71,64.4,61.64,63.49,61.9,806378
2018-07-10,64.16,65.35,63.6,64.66,63.04,551359
2018-07-11,64.28,65.85,64.28,65.35,64.33,571106
2018-07-12,65.92,71.83,65.61,68.79,67.72,2923021
2018-07-13,69.11,70.94,67.95,68.79,67.72,989184
2018-07-16,70.38,71.07,67.25,67.75,66.69,490196
2018-07-17,68.37,69.12,67.68,68.78,67.71,292413
2018-07-18,69.44,70.13,68.46,68.97,67.89,347662
2018-07-19,67.74,70.07,67.51,68.5,67.44,465076
2018-07-20,68.13,69.38,68.12,69.03,67.95,245177
2018-07-23,69.88,72.32,69.19,70.82,69.72,919642
2018-07-24,72.33,74.39,71.7,73.51,72.37,1371665
2018-07-25,74.85,76.11,72.96,73.76,72.61,1557985
2018-07-26,74.22,74.53,71.87,73.25,72.11,720874
2018-07-27,73.89,73.89,71.2,71.73,70.62,472596
2018-07-30,71.77,75.41,71.59,74.36,73.21,1304731
2018-07-31,74.82,77.05,74.66,75.97,74.79,1418265
2018-08-01,77.08,77.08,73.29,74.02,72.87,1285732
2018-08-02,73.46,88.81,70.7,85.88,84.54,4645497
2018-08-03,87.28,97.57,87.05,93.86,92.4,4496174
2018-08-06,95.57,100.13,94.85,96.42,94.92,1452253
2018-08-07,97.11,97.97,90.85,91.97,90.54,802877
2018-08-08,90.82,90.82,86.17,87.02,85.67,637965
2018-08-09,88.31,94.12,87.21,91.54,90.12,1179328
2018-08-10,89.06,89.31,80.97,83.54,82.24,2175345
2018-08-13,81.75,81.77,76.26,77.39,76.19,1320912
2018-08-14,76.42,80.76,76.42,78.46,77.24,920835
2018-08-16,78.62,80.07,77.38,77.78,76.57,493741
2018-08-17,78.41,79.38,77.24,77.54,76.33,353091
2018-08-20,77.92,78.5,76.37,76.65,75.45,392735
2018-08-21,76.73,77.44,73.48,74.65,73.49,670895
2018-08-23,75.15,75.83,73.46,73.8,72.66,427594
2018-08-24,73.97,73.97,71.45,71.55,70.44,480148
2018-08-27,72.11,77.89,70.65,75.94,74.76,1512546
2018-08-28,76.68,77.72,73.29,73.7,72.56,690825
2018-08-29,73.72,75.98,73.3,74.34,73.19,418352
2018-08-30,73.74,89.21,73.74,86.33,84.99,7334808
2018-08-31,86.77,89.31,83.28,84.97,83.65,5023904
