Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,66.9,73.4,66.9,72.15,72.15,386411
2002-07-02,72.0,73.6,70.15,70.95,70.95,312871
2002-07-03,71.5,72.5,69.7,70.55,70.55,159069
2002-07-04,71.7,74.5,70.1,73.65,73.65,214393
2002-07-05,75.0,85.4,74.5,83.75,83.75,714568
2002-07-08,84.9,86.8,82.0,82.75,82.75,488601
2002-07-09,83.1,84.0,80.1,80.75,80.75,148408
2002-07-10,81.4,81.4,76.5,77.75,77.75,93052
2002-07-11,78.0,80.65,75.05,75.45,75.45,230346
2002-07-12,76.0,78.0,73.05,74.35,74.35,112481
2002-07-15,75.25,75.35,70.0,71.75,71.75,83854
2002-07-16,70.0,72.9,68.8,69.8,69.8,99679
2002-07-17,69.4,71.1,68.0,68.85,68.85,66132
2002-07-18,69.5,72.15,69.3,69.55,69.55,77854
2002-07-19,69.7,69.7,67.1,67.7,67.7,45607
2002-07-22,66.0,67.0,63.3,63.75,63.75,45468
2002-07-23,62.75,65.9,61.6,64.65,64.65,75318
2002-07-24,62.1,64.3,62.1,63.0,63.0,30422
2002-07-25,65.7,65.7,61.05,61.5,61.5,73789
2002-07-26,59.5,60.6,56.0,56.45,56.45,56196
2002-07-29,56.6,57.2,52.9,55.05,55.05,84084
2002-07-30,56.0,57.5,54.0,54.7,54.7,40688
2002-07-31,53.1,54.9,51.6,53.75,53.75,50364
2002-08-01,53.5,54.45,43.15,53.35,53.35,73422
2002-08-02,52.95,53.35,52.1,52.55,52.55,24079
2002-08-05,53.9,55.5,53.2,54.5,54.5,36771
2002-08-06,54.0,57.2,53.6,56.5,56.5,48179
2002-08-07,59.0,59.0,56.8,57.15,57.15,46488
2002-08-08,58.05,58.05,54.55,55.1,55.1,27072
2002-08-09,55.5,55.7,54.0,54.7,54.7,22487
2002-08-12,55.85,56.0,55.0,55.75,55.75,16048
2002-08-13,56.8,56.8,55.6,55.95,55.95,6026
2002-08-14,56.0,56.25,54.15,55.95,55.95,8258
2002-08-15,55.95,55.95,55.95,55.95,55.95,0
2002-08-16,57.0,57.0,53.6,53.95,53.95,30162
2002-08-19,54.8,54.95,54.15,54.4,54.4,8775
2002-08-20,55.75,55.75,54.4,55.15,55.15,12817
2002-08-21,55.9,56.3,54.0,54.25,54.25,17169
2002-08-22,55.0,56.9,53.8,54.15,54.15,68065
2002-08-23,54.95,55.45,54.25,54.6,54.6,20615
2002-08-26,55.0,55.6,54.15,54.5,54.5,11048
2002-08-27,54.95,54.95,51.0,52.2,52.2,31721
2002-08-28,52.15,53.0,52.1,52.9,52.9,24061
2002-08-29,52.65,52.75,50.2,50.75,50.75,32140
2002-08-30,51.65,51.75,50.9,51.5,51.5,17199
2002-09-02,52.1,52.95,51.1,51.45,51.45,27703
2002-09-03,52.0,52.0,50.8,51.1,51.1,22177
2002-09-04,50.2,52.5,50.15,50.35,50.35,21488
2002-09-05,51.1,51.7,50.8,51.05,51.05,12299
2002-09-06,48.7,51.95,48.7,50.15,50.15,10034
2002-09-09,50.05,50.75,49.6,50.05,50.05,15404
2002-09-10,50.05,50.05,50.05,50.05,50.05,0
2002-09-11,50.5,51.25,50.0,50.9,50.9,13501
2002-09-12,51.0,51.8,50.9,51.05,51.05,16464
2002-09-13,51.0,51.6,50.55,50.75,50.75,15547
2002-09-16,51.0,51.0,50.2,50.45,50.45,10560
2002-09-17,50.8,50.95,49.75,50.0,50.0,13230
2002-09-18,50.0,50.5,49.0,49.25,49.25,10369
2002-09-19,49.0,49.95,48.5,48.85,48.85,7826
2002-09-20,48.5,48.7,47.7,48.3,48.3,10642
2002-09-23,48.5,49.35,48.0,48.2,48.2,11989
2002-09-24,47.1,47.9,46.3,46.8,46.8,10707
2002-09-25,46.5,47.35,46.2,46.65,46.65,8219
2002-09-26,47.25,47.6,46.9,47.05,47.05,4946
2002-09-27,47.1,47.3,46.5,46.9,46.9,3919
2002-09-30,46.05,47.4,44.5,44.85,44.85,18063
2002-10-01,44.5,46.4,44.1,46.15,46.15,12362
2002-10-02,46.15,46.15,46.15,46.15,46.15,0
2002-10-03,46.1,46.5,45.2,45.65,45.65,5462
2002-10-04,46.1,46.1,45.0,45.25,45.25,9149
2002-10-07,46.0,46.45,45.75,45.95,45.95,6121
2002-10-08,46.0,46.5,45.5,45.95,45.95,8477
2002-10-09,46.5,46.5,44.75,45.1,45.1,15265
2002-10-10,45.6,45.6,44.45,44.65,44.65,6486
2002-10-11,45.5,45.85,44.5,44.65,44.65,8245
2002-10-14,45.15,45.4,44.75,44.9,44.9,8757
2002-10-15,44.9,44.9,44.9,44.9,44.9,0
2002-10-16,45.6,46.0,43.5,43.9,43.9,14490
2002-10-17,44.0,44.45,43.7,43.9,43.9,10773
2002-10-18,44.4,45.45,43.7,43.9,43.9,10495
2002-10-21,44.25,44.85,43.4,43.6,43.6,21094
2002-10-22,43.95,44.25,43.35,43.5,43.5,5384
2002-10-23,43.9,43.95,42.95,43.2,43.2,4477
2002-10-24,43.95,43.95,42.0,42.6,42.6,7829
2002-10-25,43.0,43.0,42.25,42.55,42.55,7115
2002-10-28,43.0,43.0,41.5,41.65,41.65,8424
2002-10-29,39.2,42.6,39.2,42.15,42.15,6052
2002-10-30,42.7,43.0,42.35,42.85,42.85,7933
2002-10-31,43.0,43.0,42.6,42.9,42.9,7370
2002-11-01,42.6,43.5,42.55,43.45,43.45,4507
2002-11-04,44.0,44.75,43.95,44.6,44.6,4827
2002-11-05,44.0,45.4,44.0,44.65,44.65,6151
2002-11-06,44.65,44.65,44.65,44.65,44.65,0
2002-11-07,45.0,45.75,44.5,44.8,44.8,14834
2002-11-08,46.9,46.9,44.3,44.75,44.75,5276
2002-11-11,44.5,44.95,43.6,43.85,43.85,4117
2002-11-12,43.9,44.05,42.5,43.0,43.0,7925
2002-11-13,43.4,43.45,42.75,42.9,42.9,3721
2002-11-14,42.65,43.35,42.65,43.05,43.05,3539
2002-11-15,43.15,44.0,42.0,43.35,43.35,9319
2002-11-18,44.0,44.0,43.0,43.3,43.3,8257
2002-11-19,43.3,43.3,43.3,43.3,43.3,0
2002-11-20,44.0,45.5,43.6,45.15,45.15,17328
2002-11-21,45.5,47.7,45.5,46.25,46.25,22000
2002-11-22,46.1,47.5,46.1,46.9,46.9,13903
2002-11-25,46.5,47.9,46.25,47.2,47.2,16850
2002-11-26,47.45,48.15,47.05,47.15,47.15,13962
2002-11-27,47.85,47.85,46.0,46.35,46.35,10636
2002-11-28,45.95,46.65,45.8,46.35,46.35,13851
2002-11-29,45.9,52.5,45.2,51.3,51.3,118601
2002-12-02,52.0,52.9,51.15,51.65,51.65,50508
2002-12-03,51.0,51.85,48.5,48.9,48.9,19242
2002-12-04,45.95,49.45,44.65,48.5,48.5,10890
2002-12-05,49.0,50.85,48.25,49.65,49.65,15778
2002-12-06,49.1,50.2,49.1,49.4,49.4,10024
2002-12-09,50.0,50.5,47.75,48.25,48.25,17817
2002-12-10,46.15,48.0,46.15,47.45,47.45,12088
2002-12-11,48.9,49.0,47.7,48.0,48.0,9426
2002-12-12,48.7,48.7,46.25,47.3,47.3,8175
2002-12-13,47.1,48.65,47.0,47.95,47.95,16942
2002-12-16,48.0,51.2,47.45,48.25,48.25,59075
2002-12-17,47.2,49.0,46.65,47.2,47.2,15724
2002-12-18,48.15,48.15,46.85,47.0,47.0,11152
2002-12-19,47.0,47.5,46.5,46.65,46.65,7574
2002-12-20,46.3,47.5,45.7,46.1,46.1,12310
2002-12-23,46.25,47.15,45.75,45.85,45.85,49407
2002-12-24,46.05,46.05,45.5,45.75,45.75,14248
2002-12-25,45.75,45.75,45.75,45.75,45.75,0
2002-12-26,45.6,46.8,45.6,46.15,46.15,13589
2002-12-27,47.15,47.4,45.4,45.45,45.45,43960
2002-12-30,45.2,45.8,45.0,45.45,45.45,13804
2002-12-31,45.2,47.1,45.2,46.4,46.4,30038
2003-01-01,47.25,47.25,45.8,46.25,46.25,11243
2003-01-02,46.0,46.35,45.35,45.65,45.65,6674
2003-01-03,45.5,46.5,45.0,45.1,45.1,16829
2003-01-06,44.9,45.2,44.25,44.75,44.75,11113
2003-01-07,44.6,44.6,43.8,43.95,43.95,6820
2003-01-08,44.0,44.45,43.75,43.95,43.95,5278
2003-01-09,45.75,45.75,43.7,44.35,44.35,4772
2003-01-10,44.3,44.4,43.2,43.6,43.6,11104
2003-01-13,43.75,44.1,43.05,43.35,43.35,7125
2003-01-14,43.7,43.95,42.8,43.0,43.0,7982
2003-01-15,43.7,43.8,43.0,43.1,43.1,3101
2003-01-16,43.2,43.5,43.0,43.2,43.2,7367
2003-01-17,43.0,44.95,40.0,44.1,44.1,41159
2003-01-20,44.2,45.5,43.1,43.55,43.55,19492
2003-01-21,44.2,44.2,42.5,42.55,42.55,10769
2003-01-22,42.95,43.8,42.5,42.65,42.65,10899
2003-01-23,41.7,43.25,41.7,42.25,42.25,14076
2003-01-24,44.0,45.95,41.65,42.1,42.1,33344
2003-01-27,43.85,43.85,37.5,37.95,37.95,52161
2003-01-28,38.6,39.5,37.0,39.2,39.2,28104
2003-01-29,39.0,40.25,38.55,39.1,39.1,23484
2003-01-30,39.0,39.75,38.25,38.35,38.35,6323
2003-01-31,38.0,38.6,37.5,37.55,37.55,12330
2003-02-03,38.2,38.7,37.5,38.2,38.2,19470
2003-02-04,38.5,39.5,37.7,38.2,38.2,17332
2003-02-05,38.65,38.65,37.25,37.5,37.5,11873
2003-02-06,38.45,38.45,37.6,37.9,37.9,5553
2003-02-07,38.25,38.25,37.25,37.85,37.85,7425
2003-02-10,37.5,37.5,35.6,35.8,35.8,17414
2003-02-11,35.6,35.9,34.05,34.45,34.45,14689
2003-02-12,33.5,34.8,33.5,33.7,33.7,17282
2003-02-13,33.7,33.7,33.7,33.7,33.7,0
2003-02-14,33.1,34.25,32.85,33.0,33.0,14875
2003-02-17,33.5,37.2,33.0,36.4,36.4,30887
2003-02-18,37.45,37.45,35.0,35.1,35.1,13616
2003-02-19,35.75,35.75,34.55,35.35,35.35,23737
2003-02-20,35.0,35.4,34.5,34.65,34.65,6348
2003-02-21,34.0,35.8,34.0,34.95,34.95,8957
2003-02-24,35.45,35.5,35.0,35.2,35.2,11256
2003-02-25,35.5,35.5,34.15,34.2,34.2,10501
2003-02-26,34.0,34.5,33.8,33.85,33.85,8931
2003-02-27,34.8,34.8,34.2,34.65,34.65,7643
2003-02-28,38.9,38.9,34.15,34.7,34.7,36124
2003-03-03,34.4,35.0,33.75,33.85,33.85,9892
2003-03-04,34.0,34.0,33.1,33.3,33.3,10926
2003-03-05,33.5,33.5,31.65,32.3,32.3,13873
2003-03-06,32.0,32.2,30.0,30.95,30.95,22170
2003-03-07,30.1,31.15,30.1,30.6,30.6,9976
2003-03-10,30.5,30.7,29.3,29.55,29.55,38253
2003-03-11,28.2,29.85,28.2,29.6,29.6,36397
2003-03-12,29.2,30.15,29.2,29.4,29.4,33978
2003-03-13,29.65,29.65,28.5,28.55,28.55,58135
2003-03-14,28.55,28.55,28.55,28.55,28.55,0
2003-03-17,28.75,28.95,28.0,28.6,28.6,98396
2003-03-18,28.6,28.6,28.6,28.6,28.6,0
2003-03-19,28.75,29.1,28.05,28.5,28.5,53320
2003-03-20,28.25,29.3,28.25,28.95,28.95,8955
2003-03-21,28.25,28.9,28.2,28.6,28.6,8346
2003-03-24,29.0,29.0,26.7,27.1,27.1,12644
2003-03-25,27.95,27.95,26.5,27.15,27.15,16137
2003-03-26,26.65,27.1,25.5,26.0,26.0,12562
2003-03-27,25.55,26.65,25.5,26.45,26.45,7939
2003-03-28,26.0,26.5,25.65,26.0,26.0,9348
2003-03-31,25.95,25.95,23.75,24.3,24.3,12650
2003-04-01,24.7,25.25,24.45,24.75,24.75,6962
2003-04-02,25.1,25.55,24.8,25.2,25.2,9592
2003-04-03,26.0,26.85,25.8,26.15,26.15,15530
2003-04-04,25.9,27.95,25.8,27.6,27.6,11616
2003-04-07,27.1,29.65,26.1,28.15,28.15,23498
2003-04-08,28.2,28.8,28.0,28.2,28.2,7934
2003-04-09,28.0,28.45,27.05,27.5,27.5,10635
2003-04-10,27.1,27.45,26.0,26.45,26.45,9860
2003-04-11,26.15,27.0,26.0,26.55,26.55,7346
2003-04-15,27.45,28.35,26.35,26.55,26.55,3953
2003-04-16,26.45,26.85,25.4,25.8,25.8,9954
2003-04-17,25.75,26.1,25.6,26.0,26.0,7345
2003-04-18,26.0,26.0,26.0,26.0,26.0,0
2003-04-21,24.5,26.1,24.5,24.9,24.9,17421
2003-04-22,24.5,26.0,24.5,25.25,25.25,19471
2003-04-23,25.95,25.95,24.15,24.4,24.4,11888
2003-04-24,24.5,25.5,24.3,24.55,24.55,5584
2003-04-25,24.75,24.75,23.75,23.95,23.95,13198
2003-04-28,26.4,26.4,23.8,25.15,25.15,8343
2003-04-29,25.65,25.65,24.55,24.7,24.7,8599
2003-04-30,24.95,24.95,24.5,24.55,24.55,2820
2003-05-01,24.55,24.55,24.55,24.55,24.55,0
2003-05-02,24.5,24.95,22.65,23.25,23.25,30959
2003-05-05,24.0,24.8,23.7,23.9,23.9,30130
2003-05-06,24.6,24.6,23.65,23.85,23.85,18854
2003-05-07,24.0,24.0,22.55,22.9,22.9,45786
2003-05-08,23.85,23.85,22.9,23.0,23.0,19127
2003-05-09,23.0,23.15,22.5,22.7,22.7,26393
2003-05-12,23.5,23.5,22.3,22.45,22.45,47644
2003-05-13,22.25,23.0,22.05,22.7,22.7,33420
2003-05-14,22.8,25.9,22.25,25.6,25.6,84246
2003-05-15,25.95,28.85,25.95,28.4,28.4,196687
2003-05-16,28.85,30.4,28.05,28.45,28.45,169272
2003-05-19,28.75,28.75,27.25,27.6,27.6,41200
2003-05-20,27.1,27.25,26.5,26.95,26.95,31057
2003-05-21,27.0,28.35,27.0,27.25,27.25,44566
2003-05-22,27.5,28.0,27.35,27.6,27.6,26969
2003-05-23,30.85,30.85,27.25,27.5,27.5,46053
2003-05-26,28.0,29.8,28.0,29.25,29.25,84903
2003-05-27,29.9,30.9,28.65,29.1,29.1,83557
2003-05-28,29.0,29.5,28.55,28.9,28.9,30302
2003-05-29,29.5,29.5,28.5,29.05,29.05,24813
2003-05-30,28.75,29.35,28.1,28.4,28.4,21762
2003-06-02,29.0,29.5,28.25,28.8,28.8,30056
2003-06-03,28.75,29.4,28.6,28.9,28.9,18666
2003-06-04,27.65,34.7,27.65,34.7,34.7,312960
2003-06-05,35.9,36.3,32.55,33.05,33.05,306945
2003-06-06,33.45,35.5,32.85,33.9,33.9,188252
2003-06-09,34.45,34.75,33.5,33.9,33.9,58601
2003-06-10,34.0,36.25,32.55,33.2,33.2,145230
2003-06-11,33.7,34.35,32.8,33.05,33.05,54725
2003-06-12,33.65,33.7,31.8,32.15,32.15,39135
2003-06-13,33.0,33.0,32.05,32.35,32.35,34128
2003-06-16,32.5,32.75,31.5,31.6,31.6,21677
2003-06-17,32.25,32.7,31.8,32.05,32.05,21649
2003-06-18,32.25,33.85,32.25,32.95,32.95,47086
2003-06-19,33.0,33.5,32.25,32.5,32.5,23985
2003-06-20,32.4,32.8,31.1,31.55,31.55,27094
2003-06-23,32.3,32.45,31.1,31.4,31.4,33147
2003-06-24,31.1,32.85,31.0,32.3,32.3,50205
2003-06-25,32.6,34.45,32.6,33.4,33.4,69793
2003-06-26,33.5,34.4,32.5,32.75,32.75,64085
2003-06-27,33.3,33.75,32.75,33.1,33.1,28518
2003-06-30,32.95,34.8,32.7,34.1,34.1,79241
2003-07-01,34.35,34.5,33.5,34.0,34.0,33859
2003-07-02,33.5,36.75,33.5,35.35,35.35,227257
2003-07-03,36.65,36.7,35.0,35.35,35.35,84741
2003-07-04,35.05,36.8,35.0,35.4,35.4,108457
2003-07-07,35.4,38.35,35.25,37.4,37.4,191184
2003-07-08,38.0,38.2,36.0,36.25,36.25,65695
2003-07-09,37.0,37.0,34.1,34.3,34.3,41813
2003-07-10,33.7,34.5,33.0,33.6,33.6,39590
2003-07-11,36.0,36.0,33.5,33.7,33.7,26122
2003-07-14,35.5,40.45,35.3,40.45,40.45,271376
2003-07-15,41.0,44.0,38.7,39.3,39.3,364873
2003-07-16,40.4,43.2,39.35,41.25,41.25,221230
2003-07-17,42.0,42.6,39.6,39.95,39.95,134931
2003-07-18,39.5,40.0,37.75,38.55,38.55,63664
2003-07-21,39.0,46.3,38.65,46.3,46.3,605120
2003-07-22,46.4,46.4,41.1,42.15,42.15,386990
2003-07-23,43.5,48.7,43.1,44.75,44.75,461905
2003-07-24,46.4,46.4,43.1,43.45,43.45,133932
2003-07-25,43.95,45.2,42.55,42.8,42.8,138054
2003-07-28,43.2,44.45,41.2,42.25,42.25,121240
2003-07-29,42.0,42.85,40.9,41.15,41.15,59895
2003-07-30,41.5,42.8,40.5,40.8,40.8,53102
2003-07-31,41.6,42.3,40.25,40.6,40.6,43529
2003-08-01,40.25,41.7,40.15,40.45,40.45,50644
2003-08-04,41.0,44.5,40.25,41.55,41.55,140608
2003-08-05,42.2,42.5,40.0,40.3,40.3,69972
2003-08-06,40.85,40.95,37.9,38.35,38.35,74934
2003-08-07,39.5,40.9,39.1,39.65,39.65,79599
2003-08-08,39.5,41.5,39.5,39.7,39.7,110221
2003-08-11,40.7,40.8,39.0,39.7,39.7,64025
2003-08-12,40.45,41.8,39.05,39.6,39.6,218170
2003-08-13,40.1,40.7,39.5,39.7,39.7,70917
2003-08-14,39.5,42.6,39.5,41.45,41.45,199948
2003-08-15,41.45,41.45,41.45,41.45,41.45,0
2003-08-18,42.7,43.6,41.75,42.2,42.2,189814
2003-08-19,43.4,43.45,40.5,40.85,40.85,118569
2003-08-20,40.2,41.3,39.3,39.7,39.7,72676
2003-08-21,40.45,45.0,40.0,42.7,42.7,355337
2003-08-22,43.7,44.65,41.8,43.85,43.85,260821
2003-08-25,44.9,46.4,40.7,41.45,41.45,391098
2003-08-26,42.0,46.2,41.1,45.4,45.4,332952
2003-08-27,45.75,49.9,45.7,47.65,47.65,954662
2003-08-28,47.8,48.95,45.65,46.7,46.7,274292
2003-08-29,47.8,47.9,44.3,44.7,44.7,157181
2003-09-01,47.5,47.5,44.6,44.85,44.85,84534
2003-09-02,45.0,45.85,43.55,44.4,44.4,104941
2003-09-03,45.4,45.5,42.6,43.05,43.05,93495
2003-09-04,45.45,49.1,41.75,42.1,42.1,83075
2003-09-05,42.0,44.8,42.0,42.65,42.65,49995
2003-09-08,44.7,45.9,42.9,45.15,45.15,237202
2003-09-09,45.55,45.75,42.5,42.75,42.75,131903
2003-09-10,42.1,44.0,42.0,42.9,42.9,103389
2003-09-11,43.0,46.1,42.15,44.2,44.2,217258
2003-09-12,45.2,46.0,42.3,42.9,42.9,170863
2003-09-15,43.9,43.9,41.1,41.5,41.5,62225
2003-09-16,42.45,42.45,39.7,40.7,40.7,140807
2003-09-17,41.25,42.4,40.1,40.5,40.5,129335
2003-09-18,40.5,40.75,39.0,39.2,39.2,59639
2003-09-19,40.0,40.35,37.6,38.55,38.55,51536
2003-09-22,38.75,39.7,38.15,38.3,38.3,29644
2003-09-23,37.25,38.8,37.25,38.3,38.3,22135
2003-09-24,38.9,39.15,38.1,38.7,38.7,27407
2003-09-25,38.95,39.4,38.5,38.75,38.75,35288
2003-09-26,39.5,40.85,39.3,39.85,39.85,69226
2003-09-29,39.0,40.9,39.0,39.95,39.95,49634
2003-09-30,40.75,40.95,39.7,39.8,39.8,31517
2003-10-01,39.8,39.9,38.7,38.95,38.95,32583
2003-10-02,38.95,38.95,38.95,38.95,38.95,0
2003-10-03,38.8,40.55,38.75,39.9,39.9,59865
2003-10-06,40.1,42.15,40.0,41.9,41.9,120880
2003-10-07,42.45,47.0,41.35,41.75,41.75,136642
2003-10-08,42.3,42.75,41.15,41.55,41.55,60560
2003-10-09,42.5,42.5,41.0,41.25,41.25,69144
2003-10-10,41.95,42.0,40.7,41.0,41.0,53610
2003-10-13,41.0,42.0,41.0,41.45,41.45,77555
2003-10-14,42.0,42.4,39.75,40.2,40.2,72557
2003-10-15,40.5,40.7,39.15,39.8,39.8,52193
2003-10-16,40.4,40.8,39.5,39.7,39.7,40604
2003-10-17,41.0,41.1,39.1,39.4,39.4,58445
2003-10-20,39.75,39.85,38.25,38.7,38.7,41338
2003-10-21,39.25,39.25,37.75,37.95,37.95,34393
2003-10-22,37.15,38.45,36.05,36.4,36.4,42711
2003-10-23,36.5,36.85,35.65,36.0,36.0,36300
2003-10-24,35.85,36.35,35.15,35.9,35.9,21091
2003-10-27,36.8,37.7,36.0,36.3,36.3,20318
2003-10-28,37.25,37.35,35.6,35.9,35.9,18033
