Date,Open,High,Low,Close,Adj Close,Volume
2017-09-18,205.0,218.9,195.35,208.45,205.51,34611381
2017-09-19,204.3,209.0,186.6,194.5,191.76,2735123
2017-09-20,188.6,192.55,178.6,184.55,181.95,3101554
2017-09-21,183.4,191.0,181.0,184.8,182.2,923300
2017-09-22,184.0,191.5,182.0,189.05,186.39,1879394
2017-09-25,190.75,191.5,182.05,189.85,187.18,517459
2017-09-26,189.0,199.65,187.0,194.85,192.11,851443
2017-09-27,194.05,197.9,186.25,190.15,187.47,167309
2017-09-28,190.25,194.0,185.4,188.2,185.55,140913
2017-09-29,187.5,188.0,177.25,179.2,176.68,745714
2017-10-03,180.2,182.5,173.5,174.45,171.99,727195
2017-10-04,174.45,175.8,171.25,174.05,171.6,446758
2017-10-05,174.0,178.8,174.0,175.35,172.88,388053
2017-10-06,175.5,180.95,175.35,179.7,177.17,211120
2017-10-09,179.0,181.6,178.35,179.85,177.32,171181
2017-10-10,179.0,182.25,179.0,181.7,179.14,69788
2017-10-11,181.75,183.55,178.0,180.7,178.16,69066
2017-10-12,181.35,183.1,181.0,182.1,179.54,66508
2017-10-13,182.9,183.0,180.0,181.55,178.99,52272
2017-10-16,183.0,183.1,177.1,177.7,175.2,122164
2017-10-17,178.3,178.5,176.0,176.55,174.06,54015
2017-10-18,173.05,182.0,173.05,177.8,175.3,162245
2017-10-19,178.0,181.55,177.5,178.9,176.38,18330
2017-10-23,181.05,181.05,174.55,176.15,173.67,112848
2017-10-24,176.3,178.0,174.0,174.85,172.39,138388
2017-10-25,179.0,187.75,175.0,176.45,173.96,162368
2017-10-26,177.85,180.0,176.0,176.8,174.31,142323
2017-10-27,178.3,184.0,175.1,176.05,173.57,340113
2017-10-30,181.0,181.0,170.0,172.25,169.82,1396050
2017-10-31,175.0,180.5,173.45,178.65,176.13,841371
2017-11-01,179.0,179.8,176.5,178.3,175.79,65526
2017-11-02,176.9,181.0,176.9,180.65,178.11,466071
2017-11-03,184.45,184.45,178.0,178.85,176.33,132180
2017-11-06,180.0,180.0,171.7,174.8,172.34,150586
2017-11-07,176.75,176.75,172.5,174.0,171.55,332354
2017-11-08,173.65,174.75,171.1,172.05,169.63,186398
2017-11-09,173.55,173.55,170.0,172.15,169.73,30808
2017-11-10,172.0,185.0,170.35,178.95,176.43,1402076
2017-11-13,178.95,189.0,176.75,185.05,182.44,680543
2017-11-14,182.0,186.0,180.1,180.95,178.4,261817
2017-11-15,180.25,181.9,175.3,178.15,175.64,24219
2017-11-16,178.15,187.35,176.85,183.65,181.57,68207
2017-11-17,183.95,186.0,181.1,182.65,180.58,40154
2017-11-20,182.0,190.0,181.15,186.65,184.54,357716
