Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.43,5.43,5.3,5.35,2.9,247747
2002-07-02,5.32,5.45,5.19,5.35,2.9,296944
2002-07-03,5.33,5.59,5.33,5.53,3.0,648016
2002-07-04,5.63,5.81,5.45,5.48,2.97,1194752
2002-07-05,5.53,5.56,5.38,5.43,2.94,412958
2002-07-08,5.55,5.58,5.36,5.38,2.92,373008
2002-07-09,5.38,5.41,5.22,5.25,2.85,285809
2002-07-10,5.28,5.33,4.91,4.97,2.69,449069
2002-07-11,4.98,4.98,4.74,4.84,2.63,687693
2002-07-12,4.96,4.97,4.67,4.8,2.6,492703
2002-07-15,4.82,4.82,4.51,4.57,2.48,245090
2002-07-16,4.54,4.8,4.45,4.53,2.46,443436
2002-07-17,4.51,4.6,4.32,4.39,2.38,475863
2002-07-18,4.44,4.69,4.44,4.61,2.5,384076
2002-07-19,4.51,4.51,4.35,4.43,2.4,298697
2002-07-22,4.35,4.35,3.99,4.11,2.23,387911
2002-07-23,4.07,4.26,3.34,3.56,1.93,1146289
2002-07-24,3.54,3.85,3.38,3.55,1.92,1536288
2002-07-25,3.79,3.85,3.42,3.52,1.91,935547
2002-07-26,3.42,3.42,3.11,3.2,1.73,603736
2002-07-29,3.26,3.26,2.8,2.88,1.56,671275
2002-07-30,3.05,3.05,2.5,2.56,1.39,765028
2002-07-31,2.49,2.52,2.15,2.42,1.31,1362877
2002-08-01,2.54,2.7,2.39,2.49,1.35,1531018
2002-08-02,2.24,2.7,2.24,2.57,1.39,1181039
2002-08-05,2.63,2.79,2.59,2.69,1.46,1208110
2002-08-06,2.66,2.76,2.58,2.73,1.48,671332
2002-08-07,2.87,3.28,2.77,3.28,1.78,2057323
2002-08-08,3.31,3.59,3.1,3.17,1.72,6607199
2002-08-09,3.26,3.8,3.14,3.63,1.97,5373112
2002-08-12,3.65,3.87,3.51,3.68,2.0,4752654
2002-08-13,3.7,3.99,3.68,3.93,2.13,3701138
2002-08-14,3.89,3.9,3.66,3.74,2.03,5013288
2002-08-15,3.74,3.74,3.74,3.74,2.03,0
2002-08-16,3.81,3.98,3.77,3.87,2.1,4470455
2002-08-19,3.94,3.94,3.79,3.88,2.1,2447393
2002-08-20,3.92,4.18,3.86,4.08,2.21,5038756
2002-08-21,4.1,4.21,4.0,4.07,2.2,3168547
2002-08-22,4.14,4.14,3.93,3.97,2.15,1665332
2002-08-23,3.99,4.07,3.89,3.95,2.14,2271778
2002-08-26,3.98,4.12,3.92,3.97,2.15,1864119
2002-08-27,4.0,4.06,3.73,3.79,2.05,1352964
2002-08-28,3.82,3.82,3.65,3.74,2.03,1755649
2002-08-29,3.73,3.85,3.68,3.76,2.04,1408949
2002-08-30,3.79,3.96,3.75,3.89,2.11,2068378
2002-09-02,3.96,4.06,3.89,3.91,2.12,1299785
2002-09-03,3.9,3.93,3.71,3.75,2.03,697145
2002-09-04,3.7,3.88,3.58,3.85,2.09,1274432
2002-09-05,3.91,3.98,3.8,3.85,2.09,1385295
2002-09-06,3.78,3.85,3.59,3.63,1.97,813886
