Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,21.04,21.12,21.04,21.12,18.4,300
2002-07-02,22.89,23.1,22.89,22.98,20.02,380
2002-07-03,21.46,22.09,21.46,21.88,19.06,700
2002-07-04,23.23,23.99,23.23,23.99,20.9,1101
2002-07-05,23.99,26.39,22.3,26.39,22.99,1381
2002-07-08,26.09,27.56,25.25,25.88,22.55,1302
2002-07-09,25.92,25.92,24.66,24.66,21.48,205
2002-07-10,26.09,26.93,23.65,26.85,23.39,1900
2002-07-11,27.35,27.35,24.41,25.25,22.0,372
2002-07-12,25.25,25.25,23.65,24.41,21.26,205
2002-07-15,24.49,24.66,21.97,22.72,19.79,1215
2002-07-16,22.05,22.56,21.97,22.56,19.65,525
2002-07-17,21.21,21.92,20.62,21.34,18.59,794
2002-07-18,22.35,22.39,22.35,22.35,19.47,100
2002-07-19,23.36,23.36,23.36,23.36,20.35,84
2002-07-22,23.36,23.36,23.36,23.36,20.35,900
2002-07-23,22.3,22.35,22.3,22.35,19.47,100
2002-07-24,21.88,21.88,21.88,21.88,19.06,193
2002-07-25,21.97,21.97,21.88,21.88,19.06,200
2002-07-26,21.04,21.04,21.04,21.04,18.33,100
2002-07-29,21.04,21.04,21.04,21.04,18.33,0
2002-07-30,21.04,21.04,21.04,21.04,18.33,0
2002-07-31,21.04,21.04,21.04,21.04,18.33,0
2002-08-01,21.04,21.04,21.04,21.04,18.33,0
2002-08-02,20.03,20.03,19.99,19.99,17.41,150
2002-08-05,19.99,19.99,19.99,19.99,17.41,0
2002-08-06,19.99,19.99,19.99,19.99,17.41,0
2002-08-07,19.4,20.87,19.4,20.87,18.18,450
2002-08-08,20.03,21.63,19.95,21.63,18.84,225
2002-08-09,22.72,22.72,21.04,21.04,18.33,300
2002-08-12,21.04,21.04,21.04,21.04,18.33,0
2002-08-13,20.2,21.04,20.2,21.04,18.33,400
2002-08-14,21.04,21.04,21.04,21.04,18.33,0
2002-08-15,21.04,21.04,21.04,21.04,18.33,0
2002-08-16,20.62,20.62,20.62,20.62,17.96,732
2002-08-19,21.88,21.88,19.65,19.65,17.12,12
2002-08-20,19.65,19.65,19.65,19.65,17.12,0
2002-08-21,20.2,20.2,19.44,19.44,16.94,600
2002-08-22,19.44,19.44,19.44,19.44,16.94,0
2002-08-23,20.83,20.83,19.36,19.36,16.87,110
2002-08-26,20.2,20.87,20.2,20.54,17.89,569
2002-08-27,20.11,20.2,20.11,20.2,17.6,150
2002-08-28,20.2,20.2,20.2,20.2,17.6,0
2002-08-29,20.2,20.2,20.2,20.2,17.6,0
2002-08-30,20.2,20.2,20.2,20.2,17.6,0
2002-09-02,20.2,20.2,20.2,20.2,17.6,0
2002-09-03,18.18,18.18,18.18,18.18,15.84,200
2002-09-04,17.76,17.76,17.42,17.67,15.39,110
2002-09-05,16.83,16.83,16.75,16.75,14.59,176
2002-09-06,15.7,15.7,15.19,15.53,13.53,430
2002-09-09,15.53,15.53,15.53,15.53,13.53,0
2002-09-10,15.53,15.53,15.53,15.53,13.53,0
2002-09-11,16.37,16.79,16.37,16.79,14.63,100
2002-09-12,17.25,17.25,16.83,16.87,14.7,100
2002-09-13,18.1,18.1,16.83,16.83,14.66,725
2002-09-16,18.26,18.52,16.83,16.96,14.77,106
2002-09-17,18.43,18.43,16.2,16.2,14.11,105
2002-09-18,16.2,16.2,16.2,16.2,14.11,0
2002-09-19,15.7,15.7,15.15,15.15,13.2,180
2002-09-20,15.15,15.15,15.15,15.15,13.2,0
2002-09-23,15.15,15.15,15.15,15.15,13.2,0
2002-09-24,14.39,14.39,14.39,14.39,12.54,350
2002-09-25,15.15,15.86,14.39,15.57,13.56,195
2002-09-26,16.66,16.83,14.56,16.83,14.66,400
2002-09-27,16.87,18.52,16.87,18.43,16.06,27
2002-09-30,16.96,16.96,16.83,16.83,14.66,10
2002-10-01,16.83,16.83,16.83,16.83,14.66,295
2002-10-02,16.83,16.83,16.83,16.83,14.66,0
2002-10-03,18.52,18.52,17.67,18.52,16.13,110
2002-10-04,17.25,17.25,16.83,16.83,14.66,500
2002-10-07,16.83,16.83,16.83,16.83,14.66,150
2002-10-08,16.83,16.83,16.83,16.83,14.66,100
2002-10-09,15.99,15.99,15.99,15.99,13.93,1
2002-10-10,15.99,15.99,15.99,15.99,13.93,0
2002-10-11,15.57,17.59,15.57,17.59,15.32,405
2002-10-14,16.83,19.15,16.2,19.15,16.68,436
2002-10-15,19.15,19.15,19.15,19.15,16.68,0
2002-10-16,19.15,19.15,19.15,19.15,16.68,0
2002-10-17,19.95,19.95,19.9,19.9,17.34,2
2002-10-18,19.9,19.9,19.9,19.9,17.34,0
2002-10-21,18.94,18.94,18.94,18.94,16.5,50
2002-10-22,18.94,18.94,18.94,18.94,16.5,0
2002-10-23,18.94,18.94,18.94,18.94,16.5,0
2002-10-24,18.94,18.94,18.94,18.94,16.5,0
2002-10-25,18.94,18.94,18.94,18.94,16.5,0
2002-10-28,18.94,18.94,18.94,18.94,16.5,0
2002-10-29,18.94,18.94,18.94,18.94,16.5,0
2002-10-30,18.94,18.94,18.94,18.94,16.5,0
2002-10-31,18.94,18.94,18.94,18.94,16.5,0
2002-11-01,18.94,18.94,18.94,18.94,16.5,0
2002-11-04,18.94,18.94,18.94,18.94,16.5,0
2002-11-05,18.94,18.94,18.94,18.94,16.5,0
2002-11-06,18.94,18.94,18.94,18.94,16.5,0
2002-11-07,18.94,18.94,18.94,18.94,16.5,0
2002-11-08,18.94,18.94,18.94,18.94,16.5,0
2002-11-11,18.94,18.94,18.94,18.94,16.5,0
2002-11-12,18.94,18.94,18.94,18.94,16.5,0
2002-11-13,18.94,18.94,18.94,18.94,16.5,0
2002-11-14,18.94,18.94,18.94,18.94,16.5,0
2002-11-15,20.11,20.11,19.36,19.36,16.87,430
2002-11-18,19.36,19.36,19.36,19.36,16.87,0
2002-11-19,19.36,19.36,19.36,19.36,16.87,0
2002-11-20,19.36,19.36,19.36,19.36,16.87,0
2002-11-21,19.36,19.36,19.36,19.36,16.87,0
2002-11-22,18.52,18.52,18.52,18.52,16.13,100
