Date,Open,High,Low,Close,Adj Close,Volume
2020-10-05,1420.0,1489.0,1371.0,1401.4,1388.86,638095
2020-10-06,1410.0,1441.85,1401.25,1419.4,1406.7,542573
2020-10-07,1421.0,1423.65,1355.75,1381.45,1369.09,283115
2020-10-08,1385.0,1389.95,1325.2,1334.9,1322.95,287027
2020-10-09,1326.1,1371.2,1295.0,1336.8,1324.84,617512
2020-10-12,1342.0,1347.5,1305.75,1311.0,1299.27,406272
2020-10-13,1300.0,1328.0,1295.05,1309.2,1297.48,177612
2020-10-14,1308.0,1354.45,1308.0,1345.4,1333.36,231831
2020-10-15,1346.95,1360.55,1329.05,1332.25,1320.33,152760
2020-10-16,1328.0,1349.0,1325.85,1341.45,1329.45,74693
2020-10-19,1345.0,1350.0,1329.05,1340.6,1328.6,73734
2020-10-20,1335.0,1345.05,1330.0,1335.8,1323.85,51810
2020-10-21,1335.8,1354.0,1334.0,1337.4,1325.43,76661
2020-10-22,1332.0,1346.3,1320.0,1327.15,1315.27,158798
2020-10-23,1333.65,1373.7,1328.05,1352.45,1340.35,143025
2020-10-26,1345.0,1352.7,1325.0,1343.7,1331.68,47806
2020-10-27,1330.1,1344.95,1327.05,1335.45,1323.5,224439
2020-10-28,1332.05,1340.8,1294.8,1318.0,1306.21,177457
2020-10-29,1303.05,1314.9,1295.0,1299.6,1287.97,286045
2020-10-30,1301.95,1320.0,1293.0,1296.85,1285.24,38534
2020-11-02,1302.0,1320.0,1290.95,1299.1,1287.47,194552
2020-11-03,1302.0,1308.85,1261.5,1265.65,1254.32,279604
2020-11-04,1269.95,1288.3,1260.0,1267.45,1256.11,159282
2020-11-05,1275.0,1295.0,1267.4,1290.25,1278.7,51937
2020-11-06,1299.9,1299.9,1278.0,1280.0,1268.55,201372
2020-11-09,1289.65,1297.95,1278.0,1293.6,1282.02,107173
2020-11-10,1298.9,1298.95,1279.55,1291.7,1280.14,225620
2020-11-11,1296.0,1298.7,1275.0,1285.2,1273.7,138462
2020-11-12,1289.8,1319.0,1289.0,1305.35,1293.67,245795
2020-11-13,1304.95,1314.1,1299.0,1300.9,1289.26,127037
2020-11-17,1315.95,1370.0,1315.95,1360.3,1348.13,514752
2020-11-18,1370.0,1376.9,1351.5,1357.0,1344.86,159255
2020-11-19,1359.0,1384.9,1344.05,1376.0,1370.5,216180
2020-11-20,1377.25,1399.5,1355.0,1388.85,1383.3,244030
2020-11-23,1399.95,1460.0,1390.0,1449.1,1443.31,466959
2020-11-24,1468.9,1471.4,1422.0,1438.45,1432.7,155863
2020-11-25,1440.0,1498.7,1428.45,1479.45,1473.54,640300
2020-11-26,1490.0,1490.0,1456.05,1479.55,1473.64,153673
2020-11-27,1478.9,1478.9,1436.65,1445.15,1439.38,64131
2020-12-01,1444.0,1471.0,1436.7,1450.35,1444.56,110134
2020-12-02,1450.0,1468.9,1425.65,1457.8,1451.98,102564
2020-12-03,1451.1,1467.95,1441.0,1445.6,1439.83,48322
2020-12-04,1452.0,1470.0,1441.65,1463.05,1457.21,77127
2020-12-07,1469.6,1480.0,1436.25,1455.2,1449.39,201898
2020-12-08,1460.0,1479.0,1457.15,1463.8,1457.95,82535
2020-12-09,1464.95,1485.0,1462.0,1470.35,1464.48,313925
2020-12-10,1470.35,1524.65,1458.25,1504.75,1498.74,605787
2020-12-11,1517.0,1524.0,1474.85,1499.1,1493.11,146974
2020-12-14,1505.55,1533.0,1490.0,1509.75,1503.72,240597
2020-12-15,1510.0,1518.0,1495.0,1509.4,1503.37,152371
2020-12-16,1509.0,1538.0,1495.05,1509.35,1503.32,102512
2020-12-17,1514.5,1532.6,1505.0,1509.5,1503.47,68814
2020-12-18,1510.7,1624.0,1495.05,1601.1,1594.7,741937
2020-12-21,1618.45,1752.0,1610.25,1687.85,1681.11,1699343
2020-12-22,1740.0,1740.0,1550.0,1676.9,1670.2,619219
2020-12-23,1694.0,1720.0,1654.0,1673.15,1666.47,314154
2020-12-24,1688.0,1733.5,1676.0,1695.1,1688.33,257655
2020-12-28,1704.0,1749.0,1680.05,1726.05,1719.15,228668
2020-12-29,1737.95,1865.0,1723.65,1835.75,1828.42,823821
2020-12-30,1888.0,1890.0,1752.45,1796.35,1789.17,830410
2020-12-31,1782.85,1839.0,1770.1,1805.7,1798.49,391078
2021-01-01,1791.0,1855.0,1752.0,1789.25,1782.1,308193
2021-01-04,1796.5,1849.9,1760.0,1825.45,1818.16,297889
2021-01-05,1810.0,1856.85,1790.0,1802.6,1795.4,118804
2021-01-06,1811.95,1822.05,1761.1,1783.9,1776.77,101368
2021-01-07,1800.1,1826.0,1768.0,1807.45,1800.23,118012
2021-01-08,1822.5,1823.0,1776.95,1786.95,1779.81,75264
2021-01-11,1794.65,1807.95,1781.0,1795.75,1788.58,73679
2021-01-12,1804.0,1828.0,1787.1,1802.65,1795.45,164883
2021-01-13,1817.95,1865.0,1796.05,1840.75,1833.4,199541
2021-01-14,1850.0,1854.0,1803.0,1811.45,1804.21,49784
2021-01-15,1815.0,1826.0,1800.0,1808.2,1800.98,38152
2021-01-18,1805.0,1830.0,1755.0,1811.65,1804.41,81468
2021-01-19,1820.0,1822.35,1801.0,1808.75,1801.52,25430
2021-01-20,1809.0,1818.0,1790.0,1794.6,1787.43,28155
2021-01-21,1809.75,1837.9,1779.15,1790.9,1783.75,80497
2021-01-22,1789.95,1811.65,1767.25,1780.5,1773.39,42799
2021-01-25,1795.0,1809.7,1764.05,1783.95,1776.82,42983
2021-01-27,1780.1,1805.0,1780.1,1798.15,1790.97,48426
2021-01-28,1785.1,1830.0,1785.0,1801.5,1794.3,70587
2021-01-29,1810.4,1836.0,1758.0,1776.75,1769.65,110295
2021-02-01,1780.0,1823.45,1770.1,1797.05,1789.87,110133
2021-02-02,1801.0,1821.95,1800.0,1809.55,1802.32,44588
2021-02-03,1815.0,1823.95,1803.7,1812.8,1805.56,36467
2021-02-04,1813.0,1919.0,1810.0,1855.95,1848.54,210401
2021-02-05,1864.95,1874.0,1811.15,1822.45,1815.17,66705
2021-02-08,1834.75,1870.45,1826.0,1853.5,1846.1,267384
2021-02-09,1866.5,1980.0,1855.0,1869.6,1862.13,349201
2021-02-10,1886.0,1946.6,1855.0,1873.1,1865.62,242790
2021-02-11,1879.95,2008.0,1879.95,1978.85,1970.94,293161
2021-02-12,2005.0,2023.3,1910.0,1930.35,1922.64,194527
2021-02-15,1952.75,1970.0,1900.0,1914.55,1906.9,160252
2021-02-16,1929.85,1933.65,1889.95,1902.5,1894.9,106453
2021-02-17,1899.9,1919.95,1880.9,1894.15,1894.15,66659
2021-02-18,1903.25,1914.0,1870.0,1883.15,1883.15,72720
2021-02-19,1883.15,1892.5,1810.0,1822.0,1822.0,110825
2021-02-22,1821.0,1821.0,1701.0,1717.4,1717.4,274208
2021-02-23,1730.95,1795.45,1730.95,1759.8,1759.8,246882
