Date,Open,High,Low,Close,Adj Close,Volume
2010-10-12,114.7,125.9,101.1,105.0,104.41,26928536
2010-10-13,105.0,108.0,94.5,100.7,100.13,9211537
2010-10-14,102.55,112.4,102.55,108.35,107.74,5005586
2010-10-15,109.25,109.8,100.0,100.8,100.23,964433
2010-10-18,101.1,102.4,96.1,97.8,97.25,733890
2010-10-19,99.8,103.6,97.4,98.3,97.74,1214104
2010-10-20,98.3,101.4,95.1,95.75,95.21,443500
2010-10-21,97.1,98.5,94.35,95.0,94.46,389467
2010-10-22,95.25,95.9,92.7,92.95,92.42,378726
2010-10-25,93.1,95.0,91.15,91.5,90.98,294500
2010-10-26,91.6,93.6,90.85,91.35,90.83,329311
2010-10-27,91.5,91.95,86.1,87.15,86.66,228498
2010-10-28,88.2,88.25,81.0,81.8,81.34,262787
2010-10-29,81.8,81.8,74.0,76.2,75.77,816867
2010-11-01,77.15,77.15,69.15,70.9,70.5,825798
2010-11-02,70.9,75.0,68.6,73.2,72.79,697952
2010-11-03,73.8,74.25,70.35,70.9,70.5,222219
2010-11-04,70.0,73.6,70.0,71.35,70.95,240103
2010-11-08,72.0,75.25,70.7,73.05,72.64,310992
2010-11-09,73.4,75.7,72.0,74.4,73.98,232038
2010-11-10,74.8,75.3,73.55,74.4,73.98,157985
2010-11-11,72.1,76.8,72.1,74.15,73.73,203094
2010-11-12,74.45,75.3,72.55,73.3,72.89,117228
2010-11-15,73.0,74.2,71.0,72.7,72.29,73239
2010-11-16,72.5,72.8,67.5,68.35,67.96,108180
2010-11-18,69.0,70.3,67.0,68.35,67.96,111270
2010-11-19,68.5,71.6,67.0,67.9,67.52,190495
2010-11-22,68.5,75.8,68.1,74.8,74.38,458382
2010-11-23,74.8,76.9,71.25,73.7,73.28,228241
2010-11-24,73.1,74.35,70.2,71.4,71.0,95739
2010-11-25,71.7,72.15,67.25,68.25,67.86,89706
2010-11-26,68.35,68.55,61.5,63.8,63.44,82417
2010-11-29,63.5,65.0,62.9,63.3,62.94,52031
2010-11-30,63.05,63.95,62.0,62.7,62.35,65260
2010-12-01,63.25,66.7,62.7,64.65,64.28,102618
2010-12-02,65.9,67.45,65.0,66.6,66.22,68477
2010-12-03,66.0,68.5,66.0,67.05,66.67,74221
2010-12-06,67.2,67.5,65.7,66.75,66.37,69401
2010-12-07,66.5,67.5,65.25,67.2,66.82,30781
2010-12-08,66.1,66.9,62.0,64.6,64.23,56994
2010-12-09,65.2,65.4,55.0,56.15,55.83,178483
2010-12-10,54.0,57.45,52.1,55.65,55.34,37558
2010-12-13,56.0,57.0,55.05,56.5,56.18,37788
2010-12-14,56.7,63.8,55.0,60.85,60.51,176806
2010-12-15,62.0,62.0,58.6,59.25,58.91,23467
2010-12-16,57.0,60.0,57.0,59.25,58.91,20103
2010-12-20,60.5,61.0,58.5,59.3,58.96,28960
2010-12-21,59.25,61.4,59.1,60.85,60.51,50421
2010-12-22,60.0,62.4,59.75,61.45,61.1,39043
2010-12-23,60.0,61.0,58.6,58.95,58.62,35446
2010-12-24,58.1,59.55,58.1,58.9,58.57,13620
2010-12-27,58.0,61.5,57.5,59.75,59.41,49438
2010-12-28,59.55,60.6,59.5,60.15,59.81,16740
2010-12-29,59.95,60.35,59.5,59.65,59.31,25804
2010-12-30,59.9,59.9,58.0,58.25,57.92,29905
2010-12-31,58.25,60.4,58.0,58.5,58.17,57192
2011-01-03,59.5,63.25,59.5,61.5,61.15,102237
2011-01-04,62.0,66.45,61.75,63.65,63.29,143518
2011-01-05,63.0,66.8,62.0,63.35,62.99,55729
2011-01-06,63.0,65.05,60.25,60.6,60.26,31988
2011-01-07,60.0,61.7,58.7,59.2,58.87,58123
2011-01-10,58.7,59.15,54.7,55.4,55.09,31040
2011-01-11,56.05,57.4,54.35,56.15,55.83,44257
2011-01-12,55.15,57.65,54.0,56.65,56.33,32876
2011-01-13,56.0,58.65,55.0,55.45,55.14,36741
2011-01-14,55.05,56.65,54.0,54.45,54.14,23553
2011-01-17,54.0,55.25,53.0,54.25,53.94,27463
2011-01-18,55.3,56.3,52.05,54.2,53.89,117544
2011-01-19,55.45,58.7,54.05,54.55,54.24,18387
2011-01-20,54.1,55.5,54.0,54.25,53.94,31490
2011-01-21,54.05,54.5,53.4,54.0,53.69,17744
2011-01-24,54.2,55.1,52.9,53.2,52.9,11256
2011-01-25,53.15,57.85,53.1,55.15,54.84,267215
2011-01-27,55.25,56.35,54.4,54.5,54.19,34562
2011-01-28,54.5,55.15,52.55,52.65,52.35,32038
2011-01-31,53.0,53.5,50.5,50.7,50.41,38628
2011-02-01,50.05,51.5,48.1,48.2,47.93,55441
2011-02-02,49.1,49.1,47.55,47.75,47.48,13960
2011-02-03,47.55,50.75,47.05,50.3,50.02,73902
2011-02-04,50.0,51.5,46.75,47.3,47.03,32887
2011-02-07,48.0,48.1,47.0,47.3,47.03,14113
2011-02-08,47.1,49.0,44.7,45.1,44.84,30870
2011-02-09,45.1,45.1,39.3,39.95,39.72,33837
2011-02-10,43.0,43.0,32.25,37.4,37.19,84258
2011-02-11,36.2,37.8,36.0,37.0,36.79,22042
2011-02-14,40.65,41.65,36.8,39.95,39.72,41736
2011-02-15,40.4,44.7,39.15,43.35,43.1,73998
2011-02-16,44.0,44.0,42.15,42.95,42.71,11881
2011-02-17,41.5,43.95,41.5,42.55,42.31,9752
2011-02-18,45.4,45.4,40.4,40.75,40.52,85305
2011-02-21,43.85,44.65,39.0,39.7,39.48,14058
2011-02-22,39.7,41.5,39.2,41.05,40.82,40542
2011-02-23,42.75,42.75,40.5,41.95,41.71,28040
2011-02-24,40.15,40.85,39.5,39.7,39.48,13246
2011-02-25,39.1,41.3,37.9,40.9,40.67,21739
2011-02-28,40.4,43.65,37.85,39.75,39.53,102406
2011-03-01,39.6,41.0,39.1,40.5,40.27,19214
2011-03-03,40.3,42.5,39.7,40.3,40.07,20627
2011-03-04,41.0,41.0,40.0,40.0,39.77,17930
2011-03-07,40.0,42.0,40.0,41.6,41.36,29000
2011-03-08,41.1,42.25,41.0,41.0,40.77,17885
2011-03-09,41.1,41.45,40.5,41.0,40.77,18060
2011-03-10,41.2,41.45,40.0,40.15,39.92,12199
2011-03-11,40.0,41.1,40.0,40.15,39.92,11544
2011-03-14,40.05,40.85,40.0,40.05,39.82,9847
2011-03-15,40.0,40.75,39.9,40.15,39.92,9381
2011-03-16,40.2,40.9,40.0,40.3,40.07,5140
2011-03-17,39.0,40.9,39.0,39.45,39.23,5843
2011-03-18,40.9,40.9,39.0,39.0,38.78,9202
2011-03-21,39.0,39.8,39.0,39.05,38.83,19508
2011-03-22,39.0,39.4,38.0,38.55,38.33,46318
2011-03-23,38.2,38.65,38.0,38.2,37.98,21757
2011-03-24,38.5,41.8,38.0,40.1,39.87,43678
2011-03-25,39.7,42.0,39.2,40.4,40.17,33137
2011-03-28,40.5,40.75,38.15,38.55,38.33,42066
2011-03-29,38.9,39.7,36.8,37.7,37.49,37945
2011-03-30,37.7,38.9,36.1,38.1,37.88,20062
2011-03-31,38.9,39.2,38.2,38.45,38.23,19463
2011-04-01,38.05,39.6,38.05,39.5,39.28,11599
2011-04-04,40.7,42.0,39.5,41.55,41.31,32548
2011-04-05,41.5,43.3,41.05,42.65,42.41,32341
2011-04-06,42.4,43.4,42.4,42.95,42.71,12893
2011-04-07,43.45,48.9,43.1,46.05,45.79,161274
2011-04-08,46.8,48.2,43.0,43.4,43.15,47266
2011-04-11,45.25,45.95,42.7,43.1,42.86,19524
2011-04-13,43.0,44.8,43.0,43.75,43.5,19280
2011-04-15,43.4,44.05,42.05,42.75,42.51,23932
2011-04-18,43.0,43.9,41.85,41.9,41.66,5029
2011-04-19,42.0,42.3,41.05,41.75,41.51,6144
2011-04-20,41.5,43.7,41.2,41.4,41.17,26890
2011-04-21,42.0,42.4,41.1,41.3,41.07,6430
2011-04-25,40.6,42.35,40.55,40.95,40.72,8940
2011-04-26,41.25,42.1,40.35,40.7,40.47,8063
2011-04-27,40.75,41.3,40.0,40.2,39.97,13209
2011-04-28,40.55,41.25,40.1,40.45,40.22,5194
2011-04-29,40.5,42.5,39.0,39.3,39.08,23952
2011-05-02,39.1,39.6,38.6,39.05,38.83,17355
2011-05-03,39.0,39.5,38.5,38.75,38.53,9446
2011-05-04,37.1,38.5,37.1,37.75,37.54,5694
2011-05-05,37.0,38.0,37.0,37.0,36.79,9991
2011-05-06,37.0,40.15,37.0,37.75,37.54,3937
2011-05-09,37.0,38.75,37.0,38.0,37.79,19450
2011-05-10,37.1,39.7,37.0,37.4,37.19,27634
2011-05-11,37.3,37.8,37.0,37.4,37.19,8244
2011-05-12,37.0,37.9,37.0,37.25,37.04,4494
2011-05-13,35.55,37.95,35.55,36.7,36.49,7767
2011-05-16,37.0,37.6,36.05,37.2,36.99,14058
2011-05-17,38.5,38.5,37.0,37.05,36.84,9120
2011-05-18,36.8,37.7,36.8,37.25,37.04,10065
2011-05-19,37.3,39.25,37.3,37.6,37.39,19289
2011-05-20,37.5,37.9,37.1,37.4,37.19,5442
2011-05-23,37.0,38.7,37.0,38.0,37.79,42732
2011-05-24,37.35,38.2,37.35,38.0,37.79,45242
2011-05-25,37.5,38.1,37.1,37.45,37.24,3754
2011-05-26,37.15,37.5,37.0,37.0,36.79,3478
2011-05-27,37.0,37.7,36.85,37.1,36.89,11995
2011-05-30,39.95,39.95,36.7,36.75,36.54,15644
2011-05-31,37.05,37.5,36.2,36.65,36.44,4816
2011-06-01,36.1,37.5,36.1,36.75,36.54,15636
2011-06-02,36.5,37.35,36.2,36.65,36.44,8061
2011-06-03,36.65,38.0,35.0,35.2,35.0,41956
2011-06-06,35.0,36.3,33.85,34.5,34.3,19900
2011-06-07,34.4,34.95,31.7,32.85,32.66,47962
2011-06-08,33.4,33.95,33.2,33.6,33.41,7792
2011-06-09,34.45,35.2,33.1,35.0,34.8,54670
2011-06-10,34.0,35.3,34.0,34.55,34.35,36985
2011-06-13,34.0,36.6,33.65,35.85,35.65,39047
2011-06-14,35.9,37.45,35.85,36.75,36.54,54872
2011-06-15,36.0,38.4,36.0,36.85,36.64,69633
2011-06-16,36.05,37.25,35.7,36.25,36.04,36779
2011-06-17,36.3,36.7,34.5,34.75,34.55,40436
2011-06-20,35.85,35.9,31.0,31.5,31.32,77137
2011-06-21,32.0,33.35,31.65,32.0,31.82,39185
2011-06-22,32.0,32.5,30.75,31.05,30.87,31023
2011-06-23,30.5,31.4,30.5,31.15,30.97,7858
2011-06-24,31.0,32.6,31.0,31.3,31.12,22643
2011-06-27,31.2,31.95,30.75,30.9,30.73,25824
2011-06-28,31.7,31.75,30.2,30.5,30.33,16669
2011-06-29,30.2,31.2,30.2,31.0,30.82,6279
2011-06-30,30.0,32.15,30.0,31.1,30.92,8277
2011-07-01,31.0,31.95,30.8,31.85,31.67,23671
2011-07-04,31.85,33.15,31.5,32.85,32.66,28169
2011-07-05,33.0,33.5,32.5,32.85,32.66,24393
2011-07-06,32.85,34.1,32.85,33.7,33.51,24751
2011-07-07,34.1,34.1,33.0,33.15,32.96,29472
2011-07-08,33.05,33.7,32.75,33.15,32.96,8550
2011-07-11,32.7,34.75,32.55,33.65,33.46,29479
2011-07-12,33.45,33.9,32.75,32.9,32.71,9935
2011-07-13,32.9,33.5,32.2,32.55,32.37,10081
2011-07-14,32.85,33.15,32.2,32.35,32.17,8931
2011-07-15,32.5,32.75,31.55,31.85,31.67,4727
2011-07-18,33.15,33.9,31.7,32.3,32.12,3802
