Date,Open,High,Low,Close,Adj Close,Volume
2014-06-23,34.2,36.2,34.2,35.8,34.38,2190
2014-06-24,35.4,36.4,35.24,35.64,34.22,11465
2014-06-25,35.64,36.4,35.64,36.25,34.81,3730
2014-06-26,36.6,37.0,34.8,35.95,34.52,15960
2014-06-27,35.46,39.54,35.41,39.54,37.97,24055
2014-06-30,43.49,43.49,43.49,43.49,41.76,4300
2014-07-01,47.83,47.83,46.22,47.83,45.93,53680
2014-07-02,48.41,50.22,48.0,50.22,48.22,21120
2014-07-03,52.58,52.73,51.5,52.73,50.63,31620
2014-07-04,55.36,55.36,55.36,55.36,53.16,10890
2014-07-07,57.2,58.0,52.6,55.87,53.65,104340
2014-07-08,55.28,55.28,53.08,53.08,50.97,38495
2014-07-09,52.8,52.8,50.43,50.78,48.76,24675
2014-07-10,52.39,53.31,49.62,53.07,50.96,33675
2014-07-11,53.2,55.6,53.0,53.05,50.94,23270
2014-07-14,54.6,54.6,50.4,50.84,48.82,19805
2014-07-15,50.84,53.38,50.84,53.38,51.26,3215
2014-07-16,56.04,56.04,56.04,56.04,53.81,12145
2014-07-17,58.84,58.84,56.0,58.52,56.19,82685
2014-07-18,60.0,61.44,56.45,61.44,59.0,34555
2014-07-21,63.8,64.51,63.2,64.51,61.94,37735
2014-07-22,67.19,67.73,66.21,67.73,65.03,18815
2014-07-23,71.11,71.11,66.02,67.79,65.09,231295
2014-07-24,67.79,67.79,64.41,64.41,61.85,42280
2014-07-25,61.21,64.41,61.21,63.19,60.68,48000
2014-07-28,63.0,66.34,62.8,66.1,63.47,34250
2014-07-30,68.2,69.4,64.2,69.4,66.64,109355
2014-07-31,72.2,72.87,70.85,72.87,69.97,55885
2014-08-01,76.2,76.51,70.0,73.98,71.04,229685
2014-08-04,75.2,75.54,70.29,72.67,69.78,52745
2014-08-05,73.8,74.76,71.05,73.44,70.52,43225
2014-08-06,73.0,75.7,70.41,70.9,68.08,25610
2014-08-07,71.0,71.98,68.06,70.16,67.37,44715
2014-08-08,69.0,69.95,67.1,67.69,65.0,25225
2014-08-11,71.0,71.0,68.2,69.18,66.43,11430
2014-08-12,69.2,69.82,68.2,68.63,65.9,7400
2014-08-13,68.63,72.06,68.63,72.0,69.13,78880
2014-08-14,74.8,75.6,68.4,74.93,71.95,72140
2014-08-18,76.8,78.67,72.6,77.44,74.36,146350
2014-08-19,77.4,80.98,74.0,79.91,76.73,138675
2014-08-20,80.88,83.9,80.54,83.9,80.56,67115
2014-08-21,86.8,88.09,85.31,88.09,84.58,82405
2014-08-22,92.49,92.49,83.69,85.25,81.86,184960
2014-08-25,88.88,88.88,83.02,84.04,80.7,67290
2014-08-26,83.2,83.2,79.84,79.84,76.66,33835
2014-08-27,75.87,83.83,75.85,83.83,80.49,212345
2014-08-28,87.96,88.02,86.07,88.02,84.52,42310
2014-09-01,91.8,92.42,86.61,88.79,85.26,107930
2014-09-02,90.0,91.2,87.6,88.53,85.01,64915
2014-09-03,90.9,90.9,85.99,86.22,82.79,72675
2014-09-04,86.8,89.0,86.62,88.14,84.63,39315
2014-09-05,88.8,92.54,88.08,89.91,86.33,57355
2014-09-08,93.71,94.4,90.0,94.4,90.64,44600
2014-09-09,99.12,99.12,97.11,99.12,95.18,73940
2014-09-10,101.88,104.07,101.87,104.07,99.93,43935
2014-09-11,109.27,109.27,99.0,102.68,98.59,125655
2014-09-12,102.0,102.0,98.0,100.69,96.68,54785
2014-09-15,104.97,105.72,99.2,105.72,101.51,84415
2014-09-16,109.96,111.0,100.44,101.01,96.99,174655
2014-09-17,103.0,105.67,96.24,97.36,93.49,190995
2014-09-18,97.0,101.93,97.0,100.29,96.3,42170
2014-09-19,101.99,104.79,97.6,98.47,94.55,40715
2014-09-22,98.0,98.4,93.55,95.3,91.51,63580
2014-09-23,95.7,98.15,92.4,93.07,89.37,41335
2014-09-24,93.0,94.6,88.42,88.65,85.12,43970
2014-09-25,89.75,89.76,84.22,84.22,80.87,47415
2014-09-26,80.2,85.0,80.01,80.45,77.25,75205
2014-09-29,84.4,84.4,78.65,79.05,75.9,58850
2014-09-30,78.65,83.0,76.6,83.0,79.7,92420
2014-10-01,85.6,87.15,83.0,86.95,83.49,168890
2014-10-07,86.2,89.6,82.62,83.57,80.24,98360
2014-10-08,85.66,85.66,75.6,77.0,73.94,81540
2014-10-09,76.4,81.2,76.4,78.6,75.47,62645
2014-10-10,77.82,79.8,75.64,76.19,73.16,45160
2014-10-13,63.0,79.0,63.0,76.93,73.87,31680
2014-10-14,76.16,77.81,74.0,74.69,71.72,42875
2014-10-15,74.69,74.69,74.69,74.69,71.72,0
2014-10-16,81.2,81.2,69.05,70.13,67.34,63070
2014-10-17,72.98,72.98,68.01,69.56,66.79,35655
2014-10-20,70.0,72.34,67.03,68.22,65.51,37980
2014-10-21,68.0,80.78,67.0,77.87,74.77,221260
2014-10-22,78.95,88.56,78.32,86.97,83.51,399245
2014-10-27,85.0,87.85,84.0,84.59,81.22,87315
2014-10-28,83.74,85.15,79.31,80.47,77.27,38720
2014-10-29,80.0,85.39,78.84,82.08,78.81,62115
2014-10-30,81.26,84.98,80.8,82.01,78.75,41580
2014-10-31,81.15,82.78,79.2,80.39,77.19,35990
2014-11-03,79.93,83.0,79.8,80.27,77.08,33185
2014-11-05,80.24,82.0,79.01,80.93,77.71,41190
2014-11-07,80.4,81.99,80.4,80.64,77.43,29195
2014-11-10,80.4,93.4,80.4,90.76,87.15,170510
2014-11-11,92.0,94.89,87.64,88.63,85.1,142925
2014-11-12,88.63,89.39,86.79,87.28,83.81,46510
2014-11-13,89.6,94.6,85.42,87.11,83.64,125790
2014-11-14,89.18,91.6,83.3,86.66,83.21,83080
2014-11-17,91.98,91.98,84.05,84.8,81.43,47465
2014-11-18,84.22,86.97,81.06,81.87,78.61,56960
2014-11-19,83.53,88.79,81.06,84.29,80.94,112445
2014-11-20,84.19,86.91,82.46,83.21,79.9,58090
2014-11-21,84.97,86.59,84.04,84.57,81.2,46050
2014-11-24,87.76,87.76,82.2,83.1,79.79,27565
2014-11-25,83.41,85.2,82.0,82.23,78.96,46120
2014-11-26,82.24,84.2,82.21,82.85,79.55,38885
2014-11-27,84.0,85.0,83.02,83.65,80.32,35205
2014-11-28,82.82,89.8,82.82,87.76,84.27,104265
2014-12-01,89.23,93.02,87.82,88.54,85.02,95700
2014-12-02,88.82,89.77,86.6,87.0,83.54,24365
2014-12-03,87.4,89.4,85.61,87.01,83.55,50115
2014-12-04,85.62,89.19,85.62,88.27,84.76,53575
2014-12-05,87.97,87.97,86.0,86.21,82.78,37405
