Date,Open,High,Low,Close,Adj Close,Volume
2007-11-02,78.97,79.47,70.07,70.75,63.68,15084
2007-11-05,74.45,77.5,70.0,70.5,63.46,1576
2007-11-06,69.0,71.0,68.05,71.0,63.91,360
2007-11-07,68.12,75.0,68.0,75.0,67.51,600
2007-11-08,69.5,75.0,69.5,74.35,66.92,138
2007-11-12,74.85,74.85,61.38,73.75,66.38,424
2007-11-13,65.75,74.85,65.75,74.85,67.37,74
2007-11-14,75.0,75.0,70.5,70.5,63.46,126
2007-11-15,70.0,75.0,70.0,75.0,67.51,332
2007-11-16,71.95,71.95,67.62,67.62,60.87,698
2007-11-19,70.0,70.0,68.25,70.0,63.01,356
2007-11-20,74.95,76.0,70.25,76.0,68.41,11088
2007-11-21,70.12,74.0,70.12,74.0,66.61,2000
2007-11-22,62.55,75.0,62.55,75.0,67.51,1800
2007-11-23,74.95,74.95,74.95,74.95,67.46,20
2007-11-26,74.0,74.0,74.0,74.0,66.61,20
2007-11-27,66.0,73.5,66.0,73.47,66.14,500
2007-11-28,72.5,72.5,72.5,72.5,65.26,10
2007-11-29,72.5,72.5,72.5,72.5,65.26,2
2007-11-30,72.5,72.5,72.5,72.5,65.26,2
2007-12-03,58.05,74.97,58.05,72.0,64.81,800
2007-12-04,69.0,72.0,69.0,70.85,63.77,510
2007-12-05,73.72,73.72,73.72,73.72,66.36,4
2007-12-06,72.0,85.0,72.0,76.03,68.43,2400
2007-12-07,80.0,80.0,70.05,72.5,65.26,5600
2007-12-10,75.0,75.0,71.0,71.0,63.91,246
2007-12-11,77.5,77.5,71.05,74.97,67.49,1638
2007-12-12,71.05,76.0,71.05,75.85,68.27,1750
2007-12-13,79.47,84.95,75.5,82.5,74.26,9600
2007-12-14,89.45,96.45,87.5,90.38,81.35,10436
2007-12-17,105.0,105.0,81.03,84.97,76.49,6800
2007-12-18,89.0,89.95,80.0,85.5,76.96,7600
2007-12-19,73.5,97.5,73.5,75.0,67.51,11800
2007-12-20,62.0,85.0,62.0,85.0,76.51,6200
2007-12-24,89.97,90.0,81.62,86.57,77.93,4372
2007-12-26,86.0,92.5,81.05,86.6,77.95,2384
2007-12-27,93.0,93.9,85.12,85.55,77.0,4060
2007-12-28,89.95,89.95,84.03,84.85,76.37,3328
2007-12-31,92.5,101.82,92.5,101.5,91.36,22000
2008-01-01,105.0,114.5,103.5,109.5,98.56,26506
2008-01-02,105.1,112.95,105.05,107.3,96.58,5930
2008-01-03,110.0,112.0,103.65,105.3,94.78,4922
2008-01-04,109.0,109.0,103.0,104.12,93.72,3536
2008-01-07,100.0,104.5,100.0,100.0,90.01,1072
2008-01-08,100.0,101.15,86.55,94.75,85.29,2080
2008-01-09,110.0,110.0,85.05,92.75,83.49,3776
2008-01-10,98.43,98.43,88.0,88.57,79.73,2050
2008-01-11,84.0,89.0,82.1,85.18,76.67,666
2008-01-14,85.0,85.0,83.28,84.62,76.17,546
2008-01-15,81.03,83.4,81.03,83.12,74.82,48
2008-01-16,85.0,85.5,84.0,85.05,76.55,356
2008-01-17,98.5,98.5,81.5,85.5,76.96,252
2008-01-18,85.0,95.22,83.07,85.45,76.91,590
2008-01-21,75.0,85.05,71.38,71.93,64.74,552
2008-01-22,60.1,74.5,59.5,74.5,67.06,622
2008-01-23,67.5,74.5,67.5,70.05,63.05,416
2008-01-24,66.1,77.25,66.1,69.78,62.81,8168
2008-01-25,75.0,83.75,70.5,83.75,75.38,1284
2008-01-28,74.05,84.0,67.5,75.25,67.73,8168
2008-01-29,77.5,77.5,72.1,72.1,64.9,58
2008-01-30,75.0,75.0,68.5,68.5,61.66,364
2008-01-31,68.5,70.25,68.5,70.25,63.23,258
2008-02-01,78.5,78.5,66.03,72.65,65.39,264
2008-02-05,72.5,82.45,72.5,74.0,66.61,322
2008-02-06,88.5,88.75,73.45,73.6,66.25,328
2008-02-07,84.5,85.9,72.5,73.12,65.82,1242
2008-02-08,73.5,73.5,72.5,72.5,65.26,260
2008-02-11,73.5,73.5,71.0,71.0,63.91,582
2008-02-12,64.0,69.0,63.0,63.0,56.71,8
2008-02-13,74.0,74.0,58.28,58.28,52.45,1586
2008-02-14,63.0,68.95,58.0,61.08,54.97,776
2008-02-15,63.25,69.0,61.0,66.5,59.86,864
2008-02-18,70.0,70.0,62.15,63.6,57.25,232
2008-02-19,67.5,67.5,65.0,67.5,60.76,1258
2008-02-20,67.5,67.5,67.5,67.5,60.76,2
2008-02-22,61.0,67.0,61.0,65.0,58.51,202
2008-02-25,64.9,69.95,63.0,67.97,61.19,108
2008-02-26,80.0,80.0,55.03,66.2,59.59,3422
2008-02-27,65.75,66.0,62.5,64.43,57.99,1420
2008-02-28,68.5,68.5,61.5,64.5,58.06,6706
2008-02-29,61.5,61.5,61.5,61.5,55.36,18
2008-03-03,66.0,67.0,59.0,59.15,53.24,16984
2008-03-04,59.0,60.45,59.0,60.45,54.41,170
2008-03-05,58.03,61.9,57.25,57.5,51.76,17172
2008-03-07,61.5,61.5,53.08,53.5,48.16,390
2008-03-10,51.0,64.0,51.0,58.28,52.45,18902
2008-03-11,65.0,65.0,55.5,60.0,54.01,550
2008-03-12,55.5,67.5,55.5,60.0,54.01,56
2008-03-13,55.5,60.75,55.5,60.75,54.68,12000
2008-03-14,57.0,64.0,56.6,59.0,53.11,8696
2008-03-17,60.0,60.0,57.5,59.0,53.11,30022
2008-03-18,67.5,67.5,53.0,55.0,49.51,12602
2008-03-19,55.0,55.0,55.0,55.0,49.51,186
2008-03-24,59.0,59.0,55.0,55.3,49.78,282
2008-03-25,59.5,59.5,55.0,57.1,51.4,1004
2008-03-26,58.5,58.5,55.0,55.6,50.05,550
2008-03-27,55.5,57.33,55.0,55.12,49.62,364
2008-03-28,55.0,55.0,55.0,55.0,49.51,390
2008-04-01,56.0,61.97,55.0,60.5,54.46,86
2008-04-02,58.0,60.0,58.0,60.0,54.01,96
2008-04-03,56.75,57.75,55.72,56.22,50.61,596
2008-04-07,55.0,59.0,55.0,59.0,53.11,12
2008-04-08,62.0,62.0,62.0,62.0,55.81,4
2008-04-09,55.5,61.5,55.0,56.55,50.9,2338
2008-04-10,58.5,59.0,57.0,59.0,53.11,280
2008-04-11,56.5,56.5,56.1,56.15,50.54,108
2008-04-15,64.5,64.5,58.55,58.55,52.7,458
2008-04-16,56.0,60.0,56.0,60.0,54.01,598
2008-04-17,59.0,62.5,59.0,60.8,54.73,614
2008-04-21,60.8,61.75,57.6,60.15,54.14,976
