Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,34.1,34.5,33.1,34.15,18.62,38315
2002-07-02,34.25,35.3,34.05,34.35,18.73,64233
2002-07-03,34.25,35.25,33.75,33.9,18.48,96633
2002-07-04,34.05,34.25,33.85,34.0,18.53,32032
2002-07-05,33.85,34.5,33.55,33.7,18.37,31215
2002-07-08,34.5,34.5,33.25,34.05,18.56,43654
2002-07-09,34.25,34.95,33.75,33.95,18.51,49515
2002-07-10,34.25,34.5,33.7,33.8,18.43,43025
2002-07-11,33.75,34.0,33.25,33.35,18.18,36255
2002-07-12,33.55,33.9,32.65,33.3,18.15,59566
2002-07-15,33.2,33.65,33.1,33.35,18.18,32744
2002-07-16,36.0,36.0,33.8,33.95,18.51,215648
2002-07-17,37.0,37.0,33.35,33.9,18.48,87626
2002-07-18,34.0,34.45,33.5,33.75,18.4,43138
2002-07-19,34.0,34.25,33.25,33.4,18.21,69984
2002-07-22,34.0,34.0,32.25,32.3,17.61,44167
2002-07-23,32.1,32.5,31.9,32.35,17.64,27996
2002-07-24,31.4,32.3,31.05,31.75,17.31,32322
2002-07-25,31.75,32.4,31.65,31.75,17.31,24105
2002-07-26,31.2,32.05,31.0,31.1,16.95,25947
2002-07-29,31.0,31.5,29.5,30.25,16.49,62893
2002-07-30,30.5,30.9,29.6,29.85,16.27,34192
2002-07-31,29.2,29.9,28.75,29.15,15.89,28369
2002-08-01,30.4,30.5,29.2,29.55,16.11,26592
2002-08-02,29.5,29.7,28.9,29.25,15.95,18030
2002-08-05,30.15,30.15,29.55,29.9,16.3,17037
2002-08-06,30.0,30.3,29.65,30.15,16.44,22041
2002-08-07,30.85,30.85,30.15,30.25,16.49,22402
2002-08-08,30.45,30.5,29.8,30.0,16.35,21227
2002-08-09,29.95,30.0,29.6,29.9,16.3,9836
2002-08-12,29.8,30.6,29.75,30.55,16.65,11297
2002-08-13,30.05,30.95,30.05,30.35,16.54,7708
2002-08-14,31.75,31.75,30.05,30.6,16.68,18805
2002-08-15,30.6,30.6,30.6,30.6,16.68,0
2002-08-16,30.75,30.85,30.4,30.5,16.63,14053
2002-08-19,30.85,33.45,30.75,32.3,17.61,166434
2002-08-20,32.8,33.5,32.65,32.9,17.93,60083
2002-08-21,33.0,33.0,32.25,32.45,17.69,17682
2002-08-22,32.5,32.9,32.2,32.45,17.69,24133
2002-08-23,32.65,32.65,31.8,32.15,17.53,20141
2002-08-26,32.55,32.7,31.55,31.65,17.25,30270
