Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.65,7.82,7.64,7.77,4.31,87475
2002-07-02,7.66,7.82,7.53,7.62,4.23,69055
2002-07-03,7.73,7.73,7.34,7.48,4.15,134400
2002-07-04,7.57,7.82,7.4,7.44,4.13,129465
2002-07-05,7.49,7.62,7.43,7.48,4.15,236325
2002-07-08,7.65,7.92,7.53,7.68,4.26,330565
2002-07-09,7.78,7.98,7.69,7.89,4.37,247270
2002-07-10,8.07,8.19,7.75,7.81,4.33,524445
2002-07-11,7.05,7.15,6.76,6.8,4.33,173015
2002-07-12,6.8,6.97,6.7,6.82,4.34,82790
2002-07-15,6.95,6.99,6.5,6.57,4.18,159125
2002-07-16,6.55,6.55,6.32,6.35,4.04,93500
2002-07-17,6.49,6.49,6.16,6.29,4.0,56785
2002-07-18,6.34,6.57,6.25,6.49,4.13,78065
2002-07-19,6.59,6.59,6.45,6.45,4.1,69875
2002-07-22,6.32,6.38,6.16,6.27,3.99,55505
2002-07-23,6.31,6.4,6.19,6.35,4.04,115300
2002-07-24,6.27,6.4,6.26,6.39,4.06,16470
2002-07-25,6.46,6.63,6.45,6.49,4.13,111670
2002-07-26,6.45,6.6,6.42,6.48,4.12,60100
2002-07-29,6.49,6.49,6.03,6.21,3.95,54445
2002-07-30,6.21,6.65,6.21,6.42,4.08,90465
2002-07-31,6.32,6.32,6.01,6.12,3.89,105365
2002-08-01,6.19,6.44,6.07,6.11,3.88,99435
2002-08-02,5.99,6.11,5.91,6.03,3.83,92175
2002-08-05,6.17,6.25,6.07,6.08,3.87,45820
2002-08-06,6.22,6.22,6.04,6.11,3.88,46710
2002-08-07,6.32,6.32,6.13,6.15,3.91,39640
2002-08-08,6.16,6.25,6.05,6.11,3.88,27890
2002-08-09,6.01,6.23,5.82,6.22,3.96,15875
2002-08-12,6.16,6.21,6.07,6.19,3.93,23785
2002-08-13,6.16,6.2,6.1,6.12,3.89,7550
2002-08-14,6.09,6.22,6.09,6.2,3.94,21770
2002-08-15,6.2,6.2,6.2,6.2,3.94,0
2002-08-16,6.24,6.36,6.22,6.35,4.04,33930
2002-08-19,6.35,6.45,6.33,6.34,4.03,17690
2002-08-20,6.39,6.4,6.32,6.37,4.05,25900
2002-08-21,6.37,6.44,6.32,6.35,4.04,12815
2002-08-22,6.4,6.44,6.34,6.4,4.07,14375
2002-08-23,6.32,6.45,6.32,6.38,4.06,19290
2002-08-26,6.48,6.48,6.27,6.31,4.02,25190
2002-08-27,6.32,6.35,6.28,6.35,4.04,16260
2002-08-28,6.32,6.44,6.32,6.41,4.08,20850
2002-08-29,6.33,6.42,6.32,6.38,4.06,13770
2002-08-30,6.36,6.4,6.32,6.33,4.03,6700
2002-09-02,6.4,6.51,6.32,6.47,4.12,36055
2002-09-03,6.4,6.6,6.4,6.49,4.13,98710
2002-09-04,6.45,6.61,6.45,6.59,4.19,43165
2002-09-05,6.49,6.7,6.45,6.67,4.24,53535
