Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,5.0,5.13,5.0,5.1,2.07,32928
2002-07-02,5.16,5.29,5.11,5.2,2.11,44968
2002-07-03,5.18,5.45,5.18,5.38,2.19,83361
2002-07-04,4.7,5.55,4.7,5.4,2.19,29338
2002-07-05,5.41,5.45,5.3,5.38,2.19,35346
2002-07-08,5.45,5.98,5.45,5.91,2.4,128712
2002-07-09,6.14,6.14,5.75,5.79,2.35,113633
2002-07-10,5.87,5.87,5.72,5.75,2.34,55224
2002-07-11,5.49,5.62,5.3,5.36,2.7,49070
2002-07-12,5.47,5.47,5.29,5.36,2.69,16502
2002-07-15,5.26,5.41,5.23,5.28,2.66,22120
2002-07-16,5.23,5.29,5.13,5.17,2.6,25740
2002-07-17,5.15,5.15,4.87,4.91,2.47,32323
2002-07-18,5.03,5.1,4.96,5.09,2.56,24179
2002-07-19,5.15,5.29,5.1,5.18,2.6,24830
2002-07-22,5.19,5.19,4.96,4.96,2.5,21171
2002-07-23,4.96,5.02,4.93,4.99,2.51,14803
2002-07-24,5.05,5.05,4.9,4.9,2.46,27792
2002-07-25,5.42,5.42,4.9,4.9,2.46,33525
2002-07-26,5.02,5.02,4.9,4.9,2.46,63146
2002-07-29,4.87,4.87,4.62,4.71,2.37,34191
2002-07-30,4.7,4.82,4.7,4.76,2.39,14864
2002-07-31,4.7,4.7,4.57,4.6,2.31,13846
2002-08-01,4.61,4.7,4.57,4.59,2.31,28442
2002-08-02,4.57,4.57,4.47,4.56,2.29,14466
2002-08-05,4.48,4.57,4.48,4.51,2.27,6062
2002-08-06,4.57,4.58,4.49,4.57,2.3,20704
2002-08-07,4.57,4.6,4.57,4.58,2.3,1270
2002-08-08,4.57,4.63,4.53,4.55,2.29,14007
2002-08-09,4.44,4.64,4.44,4.53,2.28,14948
2002-08-12,4.58,4.64,4.58,4.64,2.33,6865
2002-08-13,4.7,4.7,4.58,4.64,2.34,5579
2002-08-14,4.66,4.66,4.59,4.6,2.31,1936
2002-08-15,4.6,4.6,4.6,4.6,2.31,0
2002-08-16,5.23,5.52,5.06,5.39,2.71,348470
2002-08-19,5.48,5.75,5.43,5.49,2.76,342355
2002-08-20,5.55,5.55,5.45,5.52,2.78,49828
2002-08-21,5.59,5.59,5.42,5.47,2.75,52392
2002-08-22,5.55,5.88,5.49,5.66,2.84,278840
2002-08-23,5.75,5.75,5.46,5.55,2.79,214086
2002-08-26,5.39,5.55,5.31,5.34,2.68,61164
2002-08-27,5.36,5.38,5.34,5.36,2.69,17428
2002-08-28,5.32,5.36,5.23,5.26,2.64,49698
2002-08-29,5.29,5.34,5.25,5.25,2.64,12713
2002-08-30,5.55,5.55,5.16,5.38,2.7,32706
2002-09-02,5.34,5.55,5.34,5.44,2.74,46904
2002-09-03,5.49,5.49,5.36,5.43,2.73,24118
2002-09-04,5.49,5.49,5.37,5.49,2.76,40475
2002-09-05,5.41,5.45,5.4,5.43,2.73,13371
