Date,Open,High,Low,Close,Adj Close,Volume
2004-08-30,108.0,132.93,100.17,129.73,81.73,5247286
2004-08-31,128.0,128.57,123.47,124.6,78.5,1026229
2004-09-01,124.9,126.67,120.9,121.5,76.54,598189
2004-09-02,122.67,124.5,117.43,118.2,74.46,523156
2004-09-03,118.67,121.33,117.7,118.17,74.44,415473
2004-09-06,119.3,120.07,114.43,114.8,72.32,415330
2004-09-07,115.83,117.27,114.67,115.53,72.78,294726
2004-09-08,116.0,116.47,113.57,114.03,71.84,197554
2004-09-09,114.93,115.2,110.83,111.3,70.12,222369
2004-09-10,112.27,113.93,110.0,112.63,70.96,274642
2004-09-13,112.67,122.5,112.67,119.47,75.26,895534
2004-09-14,120.0,122.63,118.0,120.1,75.66,470773
2004-09-15,120.93,121.2,116.67,117.5,74.02,273729
2004-09-16,113.4,117.67,113.4,114.53,72.15,241155
2004-09-17,115.97,115.97,114.67,114.93,72.41,143002
2004-09-20,116.67,116.67,114.0,114.17,71.92,86542
2004-09-21,114.6,116.6,114.2,115.53,72.78,154992
2004-09-22,115.33,117.0,114.67,115.0,72.45,154593
2004-09-23,114.0,114.87,112.23,112.53,70.89,129078
2004-09-24,111.0,113.13,110.83,111.33,70.14,110235
2004-09-27,112.33,112.67,110.8,111.37,70.16,57156
2004-09-28,112.67,112.67,109.33,109.5,68.98,83604
2004-09-29,110.67,111.73,109.03,110.03,69.32,75864
2004-09-30,112.67,112.67,110.67,111.1,69.99,107227
2004-10-01,111.0,112.5,110.0,111.83,70.45,95635
2004-10-04,113.27,115.93,112.0,112.2,70.68,122553
2004-10-05,112.73,114.9,112.43,112.93,71.15,131635
2004-10-06,112.0,116.67,112.0,112.87,71.1,254674
2004-10-07,114.0,114.0,112.13,112.63,70.96,75004
2004-10-08,112.33,115.53,112.33,113.3,71.38,178470
2004-10-11,120.0,120.0,112.13,112.43,70.83,116698
2004-10-12,114.53,114.67,110.73,111.17,70.03,79743
2004-10-13,111.17,111.17,111.17,111.17,70.03,0
2004-10-14,111.33,114.0,110.93,113.03,71.21,128548
2004-10-15,113.67,115.33,110.77,111.1,69.99,118698
2004-10-18,113.33,113.33,109.67,110.0,69.3,62530
2004-10-19,111.97,111.97,108.4,108.67,68.46,82269
2004-10-20,109.37,110.0,108.0,109.37,68.9,70453
2004-10-21,109.33,111.93,108.7,109.23,68.82,96997
2004-10-22,109.23,109.23,109.23,109.23,68.82,0
2004-10-25,110.0,110.0,106.37,107.1,67.47,81042
2004-10-26,107.2,107.73,105.33,105.77,66.63,66223
2004-10-27,108.0,114.07,105.7,110.8,69.8,271074
2004-10-28,114.6,115.9,109.67,110.17,69.4,276549
2004-10-29,111.83,111.83,107.13,107.87,67.95,99714
2004-11-01,108.67,108.67,106.67,106.97,67.39,64830
2004-11-02,108.0,108.33,105.37,105.83,66.67,76801
2004-11-03,106.0,110.0,106.0,108.2,68.16,140844
2004-11-04,108.77,109.87,105.4,106.13,66.86,120274
2004-11-05,107.33,107.33,103.47,104.0,65.52,96591
2004-11-08,104.53,106.0,103.4,103.8,65.39,79849
2004-11-09,105.5,106.37,103.57,104.13,65.6,71670
2004-11-10,105.13,105.13,103.37,103.57,65.25,55392
2004-11-11,103.43,105.27,102.7,103.3,65.08,99331
2004-11-12,103.43,103.93,101.73,102.5,64.57,45907
2004-11-15,102.5,102.5,102.5,102.5,64.57,0
2004-11-16,102.33,102.33,97.93,98.77,62.22,181674
