Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,28.4,29.3,28.28,28.28,23.82,2785
2010-10-04,28.8,29.7,28.8,29.7,25.02,5220
2010-10-05,30.3,31.19,30.3,31.19,26.28,2750
2010-10-06,31.7,32.75,30.85,32.75,27.59,915
2010-10-07,33.0,34.39,33.0,33.6,28.31,2715
2010-10-08,33.6,35.28,33.6,35.28,29.72,5855
2010-10-11,36.0,37.05,36.0,37.05,31.21,8820
2010-10-12,37.4,38.19,37.0,37.15,31.3,2240
2010-10-13,36.82,36.82,35.3,35.3,29.74,7530
2010-10-14,37.0,37.0,33.54,33.54,28.26,45475
2010-10-15,35.11,35.2,31.87,34.37,28.96,3945
2010-10-18,34.58,34.6,32.94,34.5,29.07,25800
2010-10-19,34.58,34.69,33.0,33.01,27.81,9345
2010-10-20,34.6,34.6,33.2,33.75,28.43,12540
2010-10-22,33.4,33.4,33.4,33.4,28.14,250
2010-10-25,34.0,35.07,34.0,34.97,29.46,101725
2010-10-26,33.45,35.0,33.26,33.6,28.31,28895
2010-10-27,33.0,33.8,33.0,33.7,28.39,55250
2010-10-28,33.94,34.8,33.0,33.93,28.58,45675
2010-10-29,32.6,34.4,32.6,33.81,28.48,115280
2010-11-01,33.0,35.5,32.99,35.5,29.91,273525
2010-11-02,35.98,37.28,35.98,37.28,31.41,151615
2010-11-03,38.59,39.13,37.8,38.64,32.55,80480
2010-11-04,37.41,38.79,36.84,38.24,32.22,8235
2010-11-08,40.58,44.4,40.58,43.73,36.84,265420
2010-11-09,43.1,45.6,43.0,44.76,37.71,588195
2010-11-10,44.96,45.51,41.0,42.53,35.83,23900
2010-11-11,42.2,43.15,39.86,40.94,34.49,185130
2010-11-12,40.82,44.51,40.82,43.43,36.59,46825
2010-11-15,43.43,47.78,43.4,47.78,40.25,1407460
2010-11-16,49.16,49.79,46.8,47.48,40.0,734070
2010-11-18,46.6,48.93,44.0,47.26,39.81,587850
2010-11-19,47.2,47.74,42.54,46.76,39.39,924645
2010-11-22,47.6,48.2,44.2,47.2,39.76,59000
2010-11-23,45.01,47.6,45.01,46.72,39.36,158120
2010-11-24,47.4,51.4,46.0,46.9,39.51,7730
2010-11-25,47.73,47.73,46.02,46.37,39.07,26915
2010-11-26,44.0,44.0,41.74,43.06,36.28,58620
2010-11-29,39.02,44.0,39.02,43.87,36.96,20175
2010-11-30,42.82,47.38,42.8,46.09,38.83,873090
2010-12-01,46.8,47.97,46.8,47.7,40.19,93100
2010-12-02,48.8,49.6,47.8,48.19,40.6,263815
2010-12-03,45.78,47.5,45.78,47.0,39.6,28750
2010-12-06,45.0,46.88,44.65,45.4,38.25,43120
2010-12-07,43.13,43.13,43.13,43.13,36.34,75
2010-12-08,43.2,44.54,40.98,40.98,34.52,81805
2010-12-10,39.4,39.4,38.93,39.4,33.19,36780
2010-12-14,39.8,39.8,39.8,39.8,33.53,50
2010-12-15,39.79,39.79,39.79,39.79,33.52,30
2010-12-16,41.6,41.6,39.22,41.38,34.86,1175
2010-12-20,42.8,42.8,42.8,42.8,36.06,5
2010-12-21,40.8,40.8,40.7,40.8,34.37,16600
2010-12-22,41.6,41.6,40.2,40.2,33.87,1700
2010-12-24,39.98,39.98,38.2,38.8,32.69,5210
2010-12-27,40.4,40.4,40.4,40.4,34.04,125
2010-12-28,40.4,40.4,38.4,38.4,32.35,90
2010-12-29,38.0,40.28,38.0,40.28,33.93,165
2010-12-30,41.58,41.58,38.4,38.58,32.5,3555
2010-12-31,40.0,40.17,39.9,40.17,33.84,30520
2011-01-03,38.17,40.0,38.17,38.18,32.17,50250
2011-01-04,40.0,40.09,40.0,40.09,33.77,1390
2011-01-05,42.1,42.1,42.1,42.1,35.47,7725
2011-01-06,44.21,44.21,42.2,44.21,37.25,810
2011-01-07,44.21,46.15,44.21,46.15,38.88,130
2011-01-10,48.0,48.0,43.85,43.85,36.94,13125
2011-01-11,41.66,42.0,41.66,41.66,35.1,28530
2011-01-12,42.8,42.8,39.58,39.58,33.34,690
2011-01-13,37.6,41.56,37.6,41.5,34.96,55
2011-01-14,42.8,42.8,42.8,42.8,36.06,5
2011-01-17,40.66,40.66,40.66,40.66,34.25,5
2011-01-18,38.63,38.63,38.63,38.63,32.54,5
2011-01-19,36.7,40.4,36.7,37.35,31.47,85
2011-01-20,35.49,38.0,35.49,38.0,32.01,2290
2011-01-21,39.9,39.9,39.9,39.9,33.61,5
2011-01-24,39.9,39.9,39.9,39.9,33.61,75
2011-01-25,39.7,40.19,39.7,39.86,33.58,11135
2011-01-27,39.4,41.0,37.87,41.0,34.54,130
2011-01-28,42.0,42.0,42.0,42.0,35.38,5
2011-01-31,40.8,40.82,39.9,40.16,33.83,1035
2011-02-01,38.24,40.6,38.16,38.39,32.34,1165
2011-02-02,36.47,36.47,36.47,36.47,30.72,310
2011-02-03,34.65,38.3,34.65,38.1,32.1,36755
2011-02-04,39.6,40.01,38.68,39.29,33.1,15005
2011-02-07,39.6,39.79,39.6,39.79,33.52,3500
2011-02-09,38.69,38.69,37.88,37.88,31.91,50250
2011-02-10,35.99,35.99,35.99,35.99,30.32,50
2011-02-11,34.37,34.37,34.37,34.37,28.96,25
2011-02-14,33.0,33.0,32.66,33.0,27.8,2220
2011-02-15,34.4,34.6,33.96,34.6,29.15,45475
2011-02-16,36.0,36.0,36.0,36.0,30.33,5005
2011-02-17,37.58,37.58,34.3,34.3,28.9,8055
2011-02-18,36.0,36.02,32.59,36.0,30.33,4535
2011-02-21,36.0,37.4,34.4,34.4,28.98,5305
2011-02-22,34.41,35.94,34.41,35.94,30.28,5005
2011-02-23,36.03,36.03,34.6,34.6,29.15,890
2011-02-24,34.6,35.6,33.0,35.6,29.99,5200
2011-02-28,35.98,35.98,35.98,35.98,30.31,5000
2011-03-01,35.38,35.38,35.2,35.2,29.65,4750
2011-03-03,36.4,36.4,33.65,35.64,30.03,5425
2011-03-04,36.0,37.43,34.91,35.8,30.16,11950
2011-03-07,37.4,37.4,34.5,34.5,29.07,5180
2011-03-08,37.8,37.95,37.8,37.88,31.91,4800
2011-03-09,38.78,38.78,34.32,34.37,28.96,40380
2011-03-10,34.2,36.19,32.02,35.75,30.12,5490
2011-03-11,32.32,36.2,32.3,33.31,28.06,21770
2011-03-14,30.04,35.78,30.04,32.51,27.39,1185
2011-03-15,29.4,33.68,29.4,31.68,26.69,10180
2011-03-16,33.76,33.8,30.2,32.59,27.46,13020
2011-03-17,33.56,33.58,30.8,30.83,25.97,14595
2011-03-18,29.62,32.2,29.45,31.99,26.95,6060
2011-03-21,32.84,33.2,30.6,31.67,26.68,12655
2011-03-22,33.3,34.84,32.0,33.26,28.02,30170
2011-03-23,34.79,34.79,29.94,33.97,28.62,11900
2011-03-24,32.0,34.82,30.58,30.59,25.77,21090
2011-03-25,29.2,30.98,28.6,29.57,24.91,35645
2011-03-28,30.87,30.87,28.4,29.56,24.9,136160
2011-03-29,29.4,29.8,26.61,28.17,23.73,285270
2011-03-30,27.0,30.3,26.2,28.2,23.76,17960
2011-03-31,29.58,29.58,27.8,28.27,23.82,7275
2011-04-01,28.98,30.0,28.4,29.2,24.6,8995
2011-04-04,31.7,31.7,27.02,28.9,24.35,32370
2011-04-05,29.6,29.6,28.02,29.6,24.94,1570
2011-04-06,30.2,30.2,28.04,28.14,23.71,3215
