Date,Open,High,Low,Close,Adj Close,Volume
2012-03-02,13.65,13.95,12.85,13.0,10.37,39357
2012-03-05,13.05,13.4,12.5,12.6,10.05,31174
2012-03-06,13.4,13.4,12.35,12.45,9.93,54535
2012-03-07,12.85,12.85,12.25,12.6,10.05,37146
2012-03-09,12.0,13.2,12.0,12.6,10.05,20112
2012-03-12,13.45,13.45,12.3,12.45,9.93,67208
2012-03-13,12.5,13.15,12.2,12.3,9.82,26437
2012-03-14,12.95,12.95,12.5,12.55,10.01,32429
2012-03-15,12.0,12.9,12.0,12.75,10.17,10783
2012-03-16,12.0,12.95,12.0,12.5,9.97,12523
2012-03-19,12.05,12.8,12.05,12.4,9.9,17760
2012-03-20,12.25,12.55,12.0,12.35,9.86,8149
2012-03-21,12.35,12.6,12.35,12.45,9.93,50995
2012-03-22,12.15,13.0,12.15,12.25,9.78,64508
2012-03-23,12.85,12.85,12.05,12.1,9.66,14045
2012-03-26,12.0,12.15,11.7,11.95,9.54,10310
2012-03-27,12.0,12.0,11.85,11.85,9.46,11400
2012-03-28,12.4,12.4,11.15,11.2,8.94,63228
2012-03-29,11.95,11.95,9.2,11.2,8.94,10312
2012-03-30,10.95,11.85,10.95,11.6,9.26,4362
2012-04-02,11.9,11.95,11.5,11.95,9.54,2937
2012-04-03,11.55,12.3,11.0,11.85,9.46,6266
2012-04-04,12.35,12.95,12.3,12.3,9.82,3404
2012-04-09,13.35,13.35,11.95,12.2,9.74,25810
2012-04-10,12.05,12.5,10.0,11.95,9.54,41879
2012-04-11,12.25,12.25,11.6,11.9,9.5,50210
2012-04-12,12.4,12.4,11.7,11.8,9.42,17776
2012-04-13,11.9,12.2,11.9,11.9,9.5,6636
2012-04-16,12.4,12.4,11.65,12.05,9.62,5608
2012-04-17,12.25,12.25,11.65,11.75,9.38,9506
2012-04-18,11.8,11.95,11.55,11.9,9.5,73517
2012-04-19,12.25,12.25,10.15,11.45,9.14,157356
2012-04-20,11.4,11.6,11.2,11.55,9.22,9157
2012-04-23,11.9,11.9,11.15,11.45,9.14,200394
2012-04-24,12.45,12.45,11.2,11.4,9.1,112246
2012-04-25,11.5,11.8,10.75,11.7,9.34,59547
2012-04-26,11.9,11.9,11.1,11.8,9.42,164255
2012-04-27,11.7,11.9,11.1,11.4,9.1,75841
2012-04-30,11.75,11.85,11.1,11.75,9.38,4150
2012-05-02,11.75,11.75,11.25,11.5,9.18,3341
2012-05-03,11.7,11.7,11.3,11.5,9.18,7202
2012-05-04,11.1,11.7,11.0,11.15,8.9,33937
2012-05-07,10.75,11.35,10.75,10.9,8.7,21726
2012-05-08,10.95,11.2,10.7,11.2,8.94,53910
2012-05-09,9.5,11.0,9.15,10.55,8.42,28819
2012-05-10,10.0,10.95,9.7,10.55,8.42,26478
2012-05-11,10.5,10.7,10.25,10.3,8.22,10207
2012-05-14,10.85,10.85,10.1,10.2,8.14,12113
2012-05-15,10.1,10.75,10.1,10.25,8.18,58611
2012-05-16,10.05,10.7,10.05,10.65,8.5,9990
2012-05-17,10.75,10.75,10.3,10.3,8.22,3489
2012-05-18,10.5,10.7,9.55,10.1,8.06,12296
