Date,Open,High,Low,Close,Adj Close,Volume
2006-12-19,5.3,5.78,5.01,5.39,4.32,63443000
2006-12-20,5.36,5.53,5.18,5.2,4.17,12663000
2006-12-21,5.22,5.26,5.0,5.03,4.03,5408000
2006-12-22,5.07,5.09,4.83,4.89,3.92,3637000
2006-12-26,4.8,4.95,4.59,4.64,3.73,5168000
2006-12-27,4.7,4.93,4.6,4.72,3.79,7270000
2006-12-28,4.8,4.82,4.57,4.59,3.69,2149000
2006-12-29,4.65,4.8,4.53,4.73,3.79,3824000
2007-01-02,4.75,5.24,4.68,5.03,4.03,9498000
2007-01-03,5.05,5.15,4.89,5.03,4.04,4564000
2007-01-04,5.03,5.14,4.95,4.97,3.98,2702000
2007-01-05,4.86,5.05,4.82,4.86,3.9,1454000
2007-01-08,4.92,4.95,4.71,4.76,3.81,1906000
2007-01-09,4.82,4.84,4.68,4.72,3.79,851000
2007-01-10,4.74,4.85,4.67,4.7,3.77,1054000
2007-01-11,4.68,4.92,4.68,4.76,3.82,1922000
2007-01-12,4.8,5.06,4.76,4.98,3.99,3615000
2007-01-15,4.99,5.74,4.95,5.53,4.43,15101000
2007-01-16,5.57,5.64,5.25,5.28,4.24,5359000
2007-01-17,5.37,5.63,5.32,5.49,4.4,4532000
2007-01-18,5.58,5.65,5.33,5.36,4.3,2138000
2007-01-19,5.45,5.45,5.22,5.26,4.22,966000
2007-01-22,5.38,5.5,5.27,5.31,4.26,824000
2007-01-23,5.32,5.32,5.09,5.12,4.11,928000
2007-01-24,5.24,5.26,5.03,5.05,4.05,1124000
2007-01-25,5.1,5.3,5.07,5.18,4.16,929000
2007-01-29,5.2,5.3,5.12,5.18,4.16,704000
2007-01-31,5.14,5.25,5.1,5.14,4.13,502000
2007-02-01,5.2,5.2,5.03,5.03,4.04,441000
2007-02-02,5.03,5.19,5.03,5.05,4.05,560000
2007-02-05,5.12,5.43,5.05,5.32,4.27,2274000
2007-02-06,5.38,5.78,5.37,5.55,4.45,13020000
2007-02-07,5.59,5.69,5.32,5.36,4.3,3427000
2007-02-08,5.4,5.46,5.18,5.2,4.17,1130000
2007-02-09,5.24,5.25,5.01,5.03,4.04,1071000
2007-02-12,4.93,4.98,4.6,4.65,3.73,1272000
2007-02-13,4.65,4.8,4.61,4.69,3.76,898000
2007-02-14,4.7,4.7,4.47,4.61,3.69,1010000
2007-02-15,4.76,4.94,4.68,4.84,3.88,1176000
