Date,Open,High,Low,Close,Adj Close,Volume
2002-08-12,2.3,2.3,2.25,2.25,2.25,1200
2002-08-13,2.5,2.6,2.4,2.4,2.4,1700
2002-08-14,1.95,2.9,1.95,2.5,2.5,14600
2002-08-15,2.5,2.5,2.5,2.5,2.5,0
2002-08-16,2.6,2.8,2.4,2.4,2.4,1000
2002-08-19,2.85,2.85,2.35,2.35,2.35,1300
2002-08-20,2.8,2.8,2.4,2.65,2.65,7200
2002-08-21,3.1,3.1,2.25,2.7,2.7,2700
2002-08-22,3.1,3.1,2.4,2.4,2.4,25
2002-08-23,2.8,2.8,2.25,2.45,2.45,2700
2002-08-26,2.7,2.7,2.3,2.3,2.3,100
2002-08-27,2.8,2.8,2.3,2.35,2.35,1900
2002-08-28,2.8,2.8,2.3,2.3,2.3,500
2002-08-29,2.8,2.8,2.15,2.3,2.3,800
2002-08-30,2.65,2.65,2.1,2.4,2.4,1300
2002-09-02,2.8,2.8,2.35,2.35,2.35,500
2002-09-03,2.75,2.75,2.2,2.2,2.2,1600
2002-09-04,2.65,2.65,2.25,2.25,2.25,600
2002-09-05,2.6,2.6,2.15,2.25,2.25,1300
2002-09-06,2.4,2.4,2.05,2.05,2.05,600
2002-09-09,2.5,2.5,2.0,2.05,2.05,800
2002-09-10,2.05,2.05,2.05,2.05,2.05,0
2002-09-11,2.45,2.45,1.85,1.85,1.85,400
2002-09-12,1.9,2.0,1.9,1.95,1.95,300
2002-09-13,2.1,2.25,2.1,2.25,2.25,900
2002-09-16,2.15,2.15,2.0,2.05,2.05,2400
2002-09-17,2.15,2.15,2.0,2.0,2.0,3100
2002-09-18,2.0,2.0,1.95,2.0,2.0,4000
2002-09-19,1.9,2.0,1.9,2.0,2.0,900
2002-09-20,2.2,2.2,2.2,2.2,2.2,3
2002-09-23,2.3,2.4,2.25,2.4,2.4,1100
2002-09-24,1.95,2.05,1.95,1.95,1.95,1800
2002-09-25,2.05,2.05,1.85,1.85,1.85,200
2002-09-26,1.85,1.85,1.85,1.85,1.85,200
2002-09-27,2.2,2.2,1.7,1.7,1.7,2
2002-09-30,1.7,1.75,1.65,1.65,1.65,300
2002-10-01,1.95,2.0,1.4,1.6,1.6,1500
2002-10-02,1.6,1.6,1.6,1.6,1.6,0
2002-10-03,1.6,1.6,1.6,1.6,1.6,0
2002-10-04,1.8,1.8,1.8,1.8,1.8,1
2002-10-07,1.6,1.6,1.6,1.6,1.6,100
2002-10-08,1.95,1.95,1.7,1.95,1.95,1000
2002-10-09,1.75,1.95,1.7,1.7,1.7,1100
2002-10-10,1.95,2.05,1.95,2.05,2.05,300
2002-10-11,1.8,1.85,1.8,1.8,1.8,1000
2002-10-14,1.75,1.75,1.75,1.75,1.75,100
2002-10-15,1.75,1.75,1.75,1.75,1.75,0
2002-10-16,1.95,2.0,1.6,1.85,1.85,1000
2002-10-17,2.2,2.2,1.95,2.05,2.05,1000
2002-10-18,2.3,2.3,1.7,1.75,1.75,1200
2002-10-21,1.95,2.1,1.95,2.05,2.05,1000
2002-10-22,2.05,2.05,2.05,2.05,2.05,1
2002-10-23,2.05,2.05,2.05,2.05,2.05,0
2002-10-24,2.05,2.05,1.65,1.95,1.95,100
2002-10-25,2.05,2.05,1.65,1.65,1.65,600
2002-10-28,1.8,1.8,1.8,1.8,1.8,1
2002-10-29,2.0,2.05,1.5,1.95,1.95,700
2002-10-30,1.95,1.95,1.6,1.6,1.6,500
2002-10-31,1.95,1.95,1.9,1.9,1.9,100
2002-11-01,1.95,1.95,1.9,1.9,1.9,50
2002-11-04,1.9,1.9,1.9,1.9,1.9,0
2002-11-05,1.9,1.9,1.9,1.9,1.9,0
2002-11-06,1.9,1.9,1.9,1.9,1.9,0
2002-11-07,1.95,2.3,1.55,2.2,2.2,5700
2002-11-08,2.45,2.45,2.0,2.2,2.2,300
2002-11-11,1.85,2.15,1.8,2.0,2.0,7700
2002-11-12,1.8,2.05,1.8,2.0,2.0,500
2002-11-13,2.05,2.05,2.05,2.05,2.05,5
2002-11-14,2.15,2.15,2.15,2.15,2.15,5
2002-11-15,2.15,2.15,1.8,1.9,1.9,2600
2002-11-18,1.95,1.95,1.95,1.95,1.95,1000
2002-11-19,1.95,1.95,1.95,1.95,1.95,0
2002-11-20,2.15,2.15,1.7,1.7,1.7,1000
2002-11-21,1.75,1.85,1.75,1.85,1.85,4800
2002-11-22,2.0,2.0,1.8,1.85,1.85,3700
2002-11-25,1.9,1.9,1.8,1.8,1.8,1000
2002-11-26,1.9,2.0,1.9,1.9,1.9,5500
2002-11-27,1.95,2.05,1.95,2.05,2.05,2500
2002-11-28,2.3,2.3,1.8,2.0,2.0,2900
2002-11-29,2.0,2.0,2.0,2.0,2.0,0
2002-12-02,2.35,2.35,2.25,2.25,2.25,4600
2002-12-03,2.5,2.5,2.05,2.25,2.25,3700
2002-12-04,2.5,2.5,2.05,2.35,2.35,1300
2002-12-05,2.05,2.2,2.0,2.2,2.2,2000
2002-12-06,1.9,2.4,1.9,1.9,1.9,600
2002-12-09,1.9,2.2,1.9,1.9,1.9,400
2002-12-10,1.75,1.95,1.75,1.95,1.95,1200
2002-12-11,1.85,2.0,1.65,1.7,1.7,27700
2002-12-12,1.9,1.95,1.75,1.75,1.75,4300
2002-12-13,1.65,1.95,1.6,1.7,1.7,4800
2002-12-16,1.95,1.95,1.75,1.75,1.75,600
2002-12-17,1.95,2.1,1.65,1.7,1.7,6300
2002-12-18,1.7,2.0,1.7,1.85,1.85,8100
2002-12-19,1.9,2.0,1.85,2.0,2.0,4300
2002-12-20,1.7,2.0,1.65,1.95,1.95,2400
2002-12-23,2.35,2.35,1.6,1.6,1.6,3900
2002-12-24,1.6,1.9,1.6,1.75,1.75,19300
2002-12-25,1.75,1.75,1.75,1.75,1.75,0
2002-12-26,1.85,1.95,1.65,1.65,1.65,500
2002-12-27,1.65,1.65,1.6,1.65,1.65,5200
2002-12-30,1.95,1.95,1.65,1.8,1.8,1900
2002-12-31,1.9,1.9,1.9,1.9,1.9,5
2003-01-01,1.6,1.65,1.6,1.65,1.65,1100
2003-01-02,1.6,1.6,1.6,1.6,1.6,1100
2003-01-03,1.85,1.85,1.55,1.6,1.6,600
2003-01-06,1.6,1.6,1.6,1.6,1.6,0
2003-01-07,1.55,1.55,1.5,1.5,1.5,1100
2003-01-08,1.55,1.8,1.55,1.55,1.55,3600
2003-01-09,1.55,1.55,1.55,1.55,1.55,0
2003-01-10,1.5,1.5,1.5,1.5,1.5,400
2003-01-13,1.5,1.5,1.5,1.5,1.5,100
2003-01-14,1.45,1.45,1.4,1.4,1.4,2000
2003-01-15,1.4,1.4,1.35,1.35,1.35,1200
2003-01-16,1.4,1.45,1.35,1.4,1.4,1800
2003-01-17,1.5,1.5,1.4,1.5,1.5,2300
2003-01-20,1.8,1.8,1.45,1.45,1.45,700
2003-01-21,1.45,1.65,1.4,1.65,1.65,2600
2003-01-22,1.5,1.65,1.5,1.6,1.6,800
2003-01-23,1.45,1.6,1.45,1.5,1.5,2100
2003-01-24,1.5,1.7,1.5,1.5,1.5,2700
2003-01-27,1.55,1.55,1.5,1.5,1.5,5300
2003-01-28,1.4,1.5,1.4,1.45,1.45,3000
2003-01-29,1.45,1.45,1.45,1.45,1.45,0
2003-01-30,1.3,1.5,1.2,1.5,1.5,1700
2003-01-31,1.5,1.5,1.5,1.5,1.5,100
2003-02-03,1.5,1.5,1.35,1.5,1.5,1100
2003-02-04,1.25,1.25,1.25,1.25,1.25,300
2003-02-05,1.5,1.5,1.3,1.3,1.3,200
2003-02-06,1.15,1.15,1.15,1.15,1.15,200
2003-02-07,1.4,1.4,1.2,1.2,1.2,1000
2003-02-10,1.2,1.2,1.2,1.2,1.2,0
2003-02-11,1.3,1.3,1.25,1.25,1.25,900
2003-02-12,1.45,1.5,1.45,1.45,1.45,200
2003-02-13,1.45,1.45,1.45,1.45,1.45,0
2003-02-14,1.5,1.5,1.35,1.35,1.35,100
2003-02-17,1.25,1.55,1.25,1.55,1.55,800
2003-02-18,1.65,1.65,1.3,1.3,1.3,4700
2003-02-19,1.4,1.6,1.35,1.35,1.35,2900
2003-02-20,1.35,1.4,1.25,1.25,1.25,3400
2003-02-21,1.3,1.4,1.3,1.3,1.3,2000
2003-02-24,1.3,1.3,1.1,1.3,1.3,1000
2003-02-25,1.05,1.4,1.05,1.4,1.4,2200
2003-02-26,1.4,1.4,1.15,1.15,1.15,2700
2003-02-27,1.15,1.35,1.1,1.3,1.3,800
2003-02-28,1.1,1.4,1.1,1.4,1.4,1100
2003-03-03,1.35,1.4,1.35,1.4,1.4,1000
2003-03-04,1.45,1.55,1.25,1.45,1.45,11000
2003-03-05,1.35,1.35,1.3,1.3,1.3,5200
2003-03-06,1.3,1.3,1.3,1.3,1.3,0
2003-03-07,1.15,1.45,1.1,1.4,1.4,1100
2003-03-10,1.4,1.4,1.4,1.4,1.4,0
2003-03-11,1.4,1.4,1.4,1.4,1.4,0
2003-03-12,1.25,1.45,1.2,1.2,1.2,7000
2003-03-13,1.2,1.25,1.1,1.1,1.1,11100
2003-03-14,1.1,1.1,1.1,1.1,1.1,0
2003-03-17,1.35,1.35,1.0,1.0,1.0,1100
2003-03-18,1.0,1.0,1.0,1.0,1.0,0
2003-03-19,1.1,1.1,1.1,1.1,1.1,700
2003-03-20,1.0,1.2,1.0,1.2,1.2,2100
2003-03-21,1.2,1.2,1.2,1.2,1.2,0
2003-03-25,1.3,1.5,1.3,1.3,1.3,4500
2003-03-26,1.3,1.3,1.25,1.25,1.25,5100
2003-03-27,1.25,1.25,1.25,1.25,1.25,500
2003-03-28,1.25,1.25,1.25,1.25,1.25,0
2003-03-31,1.3,1.45,1.15,1.15,1.15,5900
2003-04-01,1.25,1.25,1.2,1.2,1.2,1200
2003-04-02,1.2,1.2,1.2,1.2,1.2,0
2003-04-03,1.1,1.1,1.1,1.1,1.1,200
2003-04-04,1.1,1.1,1.1,1.1,1.1,0
2003-04-07,1.25,1.25,1.25,1.25,1.25,900
2003-04-08,1.25,1.45,1.25,1.4,1.4,300
2003-04-09,1.2,1.2,1.2,1.2,1.2,100
2003-04-10,1.25,1.4,1.2,1.2,1.2,13600
2003-04-11,1.2,1.2,1.2,1.2,1.2,98
2003-04-14,1.2,1.2,1.2,1.2,1.2,0
2003-04-15,1.15,1.15,1.15,1.15,1.15,500
2003-04-16,1.1,1.25,1.05,1.1,1.1,6200
2003-04-17,1.2,1.2,1.2,1.2,1.2,200
