Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,11.5,12.2,11.25,12.1,12.1,3388
2002-07-02,11.95,11.95,11.0,11.0,11.0,1350
2002-07-03,10.95,12.0,10.7,10.7,10.7,1877
2002-07-04,10.95,11.8,10.95,11.4,11.4,974
2002-07-05,11.7,12.25,11.1,12.05,12.05,5202
2002-07-08,14.25,14.25,11.9,13.15,13.15,12651
2002-07-09,13.9,13.9,12.8,13.0,13.0,11756
2002-07-10,13.6,13.6,11.55,12.9,12.9,6906
2002-07-11,11.7,12.6,11.7,12.6,12.6,200
2002-07-12,12.7,12.8,10.65,12.5,12.5,898
2002-07-15,11.1,11.25,11.1,11.15,11.15,1500
2002-07-16,10.0,10.8,9.5,10.7,10.7,1900
2002-07-17,10.0,10.25,10.0,10.25,10.25,1100
2002-07-18,11.75,11.75,10.35,10.35,10.35,860
2002-07-19,10.35,11.25,10.35,11.2,11.2,1730
2002-07-22,10.55,10.55,10.55,10.55,10.55,1850
2002-07-23,10.5,10.5,10.5,10.5,10.5,400
2002-07-24,10.55,11.7,10.5,11.7,11.7,2519
2002-07-25,11.75,11.9,11.4,11.4,11.4,1650
2002-07-26,11.4,11.4,11.4,11.4,11.4,0
2002-07-29,10.75,10.8,10.2,10.2,10.2,1550
2002-07-30,9.8,10.7,9.8,10.7,10.7,540
2002-07-31,10.4,10.45,10.4,10.45,10.45,1000
2002-08-01,10.45,10.45,10.45,10.45,10.45,0
2002-08-02,11.4,11.4,8.75,9.0,9.0,5
2002-08-05,10.25,10.25,10.25,10.25,10.25,55
2002-08-06,10.25,10.25,10.25,10.25,10.25,0
2002-08-07,8.75,9.7,8.75,9.7,9.7,2583
2002-08-08,8.25,9.1,8.25,9.1,9.1,501
2002-08-09,9.95,9.95,9.1,9.1,9.1,597
2002-08-12,9.1,9.1,9.1,9.1,9.1,0
2002-08-13,8.25,10.7,8.25,9.3,9.3,234
2002-08-14,8.25,9.9,8.25,8.8,8.8,2400
2002-08-15,8.8,8.8,8.8,8.8,8.8,0
2002-08-16,8.3,9.95,8.3,9.6,9.6,31
2002-08-19,8.0,10.7,8.0,10.55,10.55,7
2002-08-20,8.6,10.95,8.6,9.0,9.0,12
