Date,Open,High,Low,Close,Adj Close,Volume
2016-12-29,369.0,369.0,350.79,358.84,354.48,1015
2016-12-30,359.99,360.01,346.4,355.45,351.13,2310
2017-01-02,345.0,364.0,345.0,363.91,359.48,360
2017-01-03,360.4,360.4,357.4,358.0,353.65,2180
2017-01-04,366.0,366.0,352.0,355.41,351.09,1330
2017-01-05,355.41,359.2,354.0,355.5,351.18,1190
2017-01-06,355.01,371.0,355.0,366.63,362.17,3255
2017-01-09,410.0,410.0,368.0,384.94,380.26,1475
2017-01-10,394.97,397.02,385.52,389.32,384.58,3830
2017-01-11,391.99,391.99,385.0,389.96,385.22,1240
2017-01-12,389.98,396.0,382.82,386.69,381.99,4040
2017-01-13,386.6,391.8,378.48,380.26,375.63,665
2017-01-16,385.0,387.99,377.6,387.94,383.22,1110
2017-01-17,394.0,409.8,394.0,402.49,397.59,2075
2017-01-18,403.0,419.8,402.4,411.95,406.94,8655
2017-01-19,404.0,425.0,404.0,413.49,408.46,5405
2017-01-20,402.01,422.0,402.01,418.22,413.13,2915
2017-01-23,420.0,428.99,410.8,417.18,412.11,760
2017-01-24,413.02,420.0,400.0,409.19,404.21,1100
2017-01-25,419.98,420.0,403.0,412.44,407.42,590
2017-01-27,401.04,417.6,395.94,398.75,393.9,1115
2017-01-30,396.4,404.0,391.2,395.59,390.78,1300
2017-01-31,391.6,405.0,390.0,394.75,389.95,2285
2017-02-01,390.88,401.98,387.01,392.14,387.37,1010
2017-02-02,400.0,400.0,380.8,391.7,386.94,5650
2017-02-03,363.11,398.99,363.11,378.76,374.15,7700
2017-02-06,371.18,387.74,371.18,373.81,369.26,5090
2017-02-07,379.79,379.8,359.6,360.26,355.88,1225
2017-02-08,358.2,369.2,358.2,363.0,358.58,695
2017-02-09,368.0,370.6,349.0,363.09,358.67,720
2017-02-10,365.0,393.6,365.0,379.91,375.29,3790
2017-02-13,391.3,402.7,377.99,378.0,373.4,880
2017-02-14,373.0,388.4,373.0,380.53,375.9,320
2017-02-15,383.75,383.75,377.9,378.58,373.98,915
2017-02-16,371.03,382.4,371.03,380.55,375.92,1090
2017-02-17,379.0,382.0,372.0,376.78,372.2,125
2017-02-20,374.21,392.6,365.0,368.67,364.19,3780
2017-02-21,375.99,376.0,364.25,366.29,361.83,1060
2017-02-22,373.4,379.6,365.16,374.18,369.63,1880
2017-02-23,379.0,396.64,370.02,378.0,373.4,1715
2017-02-27,377.99,390.98,375.0,384.35,379.68,695
2017-02-28,373.0,377.75,349.76,368.25,363.77,1400
2017-03-01,376.55,377.6,367.02,374.46,369.91,335
2017-03-02,377.98,391.8,366.86,366.98,362.52,1305
2017-03-03,361.02,368.8,361.0,364.78,360.34,865
2017-03-06,375.0,375.72,358.81,360.4,356.02,1925
2017-03-07,364.16,366.0,356.0,358.15,353.79,2700
2017-03-08,360.0,360.01,351.0,358.95,354.58,4620
2017-03-09,356.14,358.2,349.02,349.28,345.03,2165
2017-03-10,357.83,358.01,328.31,355.26,350.94,5620
2017-03-14,355.0,358.0,342.01,347.42,343.19,690
2017-03-15,347.5,349.8,342.99,349.62,345.37,10720
2017-03-16,342.62,350.0,342.62,345.16,340.96,6595
2017-03-17,347.0,359.59,340.46,341.51,337.36,4385
2017-03-20,348.84,356.99,344.99,353.74,349.44,6675
2017-03-21,350.0,352.39,345.99,346.15,341.94,5990
2017-03-22,342.2,355.0,339.95,342.32,338.16,7185
2017-03-23,351.59,351.6,340.0,345.12,340.92,765
2017-03-24,355.4,360.0,338.01,343.62,339.44,10095
2017-03-27,350.8,350.8,341.22,342.23,338.07,5705
2017-03-28,336.6,345.2,332.2,341.86,337.7,5650
2017-03-29,347.0,350.0,336.0,341.35,337.2,17205
2017-03-30,341.66,349.4,341.66,345.73,341.52,2485
2017-03-31,349.57,350.0,342.9,347.78,343.55,4970
2017-04-03,349.99,350.0,344.0,345.04,340.84,4005
2017-04-05,349.59,349.8,341.0,342.46,338.29,5580
