Date,Open,High,Low,Close,Adj Close,Volume
2004-04-01,21.52,22.16,20.51,20.94,19.68,45577
2004-04-02,21.91,21.91,20.15,20.55,19.31,75317
2004-04-05,21.19,22.13,20.87,21.16,19.89,62069
2004-04-06,21.55,21.55,20.19,21.05,19.79,23067
2004-04-07,21.23,21.59,20.87,21.23,19.95,15495
2004-04-08,20.94,22.27,20.91,21.98,20.67,44974
2004-04-09,21.98,21.98,21.98,21.98,20.67,0
2004-04-12,22.88,22.96,21.77,21.95,20.63,35544
2004-04-13,21.8,21.95,19.9,21.66,20.36,25513
2004-04-14,21.66,21.66,21.66,21.66,20.36,0
2004-04-15,21.88,22.31,21.59,22.06,20.73,37627
2004-04-16,22.31,23.64,22.31,23.21,21.82,79711
2004-04-19,23.78,24.76,22.7,22.85,21.48,66095
2004-04-20,23.03,23.39,21.8,22.38,21.04,29105
2004-04-21,22.02,22.85,21.95,22.6,21.24,28163
2004-04-22,22.45,22.99,22.24,22.88,21.51,42115
2004-04-23,24.32,24.32,22.67,22.74,21.38,48127
2004-04-27,22.34,22.96,21.01,21.3,20.02,49102
2004-04-28,20.73,21.48,20.55,21.12,19.85,36430
2004-04-29,22.7,22.7,21.16,21.55,20.26,22684
2004-04-30,21.23,21.88,21.19,21.41,20.12,21462
2004-05-03,21.55,21.59,20.15,20.58,19.35,36548
2004-05-04,20.87,21.77,20.87,21.59,20.29,21570
2004-05-05,21.12,22.31,21.08,21.88,20.56,25125
2004-05-06,22.31,22.67,21.95,22.38,21.04,37063
2004-05-07,23.75,23.75,22.09,22.34,21.0,40897
2004-05-10,21.73,22.31,21.62,22.24,20.9,20179
2004-05-11,21.91,21.95,21.05,21.08,19.82,32220
2004-05-12,21.59,21.77,20.58,21.08,19.82,28004
2004-05-13,21.05,21.95,18.06,21.52,20.23,27211
2004-05-14,22.02,24.97,18.71,19.32,18.16,54891
2004-05-17,18.78,18.78,16.95,17.77,16.71,16300
2004-05-18,18.35,20.08,18.35,19.39,18.23,18909
2004-05-19,20.51,20.51,18.06,19.61,18.43,21575
2004-05-20,19.79,20.04,19.11,19.29,18.13,25047
2004-05-21,19.07,19.21,18.35,18.82,17.69,21894
2004-05-24,19.21,19.79,19.21,19.29,18.13,23510
2004-05-25,18.78,19.61,18.78,19.25,18.09,23544
2004-05-26,18.71,19.65,18.71,19.07,17.93,14849
2004-05-27,18.42,19.18,18.42,18.96,17.82,12014
2004-05-28,19.03,19.03,18.21,18.31,17.22,13701
2004-05-31,18.71,18.71,16.55,17.13,16.1,39278
2004-06-01,17.34,18.31,17.34,17.81,16.74,19323
2004-06-02,18.42,18.42,17.67,17.85,16.78,11223
2004-06-03,18.17,18.39,17.02,17.24,16.2,16136
2004-06-04,17.49,17.81,16.91,17.09,16.07,39995
2004-06-07,16.77,17.92,16.77,17.74,16.67,15189
2004-06-08,17.38,18.13,17.38,17.99,16.91,12728
2004-06-09,17.99,18.28,17.99,18.13,17.05,11200
2004-06-10,18.17,18.35,18.03,18.24,17.15,13916
2004-06-11,18.35,18.35,17.59,17.67,16.61,18537
2004-06-14,17.13,17.99,17.13,17.81,16.74,33978
2004-06-15,16.62,18.03,16.62,17.52,16.47,17639
2004-06-16,17.99,17.99,17.7,17.85,16.78,11137
2004-06-17,17.92,17.99,17.45,17.59,16.54,3251
2004-06-18,17.34,17.99,17.31,17.52,16.47,8961
2004-06-21,16.91,17.77,16.91,17.34,16.3,9631
2004-06-22,17.27,17.77,17.27,17.56,16.51,31134
2004-06-23,17.45,17.45,16.91,16.98,15.96,5144
2004-06-24,16.95,17.27,16.77,16.91,15.9,9517
2004-06-25,17.27,17.74,16.98,17.41,16.37,5329
2004-06-28,17.85,17.85,17.13,17.59,16.54,5190
2004-06-29,17.59,17.99,17.56,17.95,16.88,6072
2004-06-30,17.99,18.13,17.7,17.7,16.64,3883
2004-07-01,17.27,17.27,16.91,17.02,16.33,8754
2004-07-02,17.09,17.59,16.91,17.2,16.5,10720
2004-07-05,15.11,16.91,14.54,16.01,15.36,25311
2004-07-06,16.41,16.62,16.16,16.34,15.67,9616
2004-07-07,17.63,17.74,16.55,16.59,15.92,6960
2004-07-08,16.7,16.91,15.47,15.9,15.26,8073
2004-07-09,15.47,15.83,15.11,15.58,14.95,48486
2004-07-12,15.4,15.65,15.36,15.47,14.85,7052
2004-07-13,15.47,16.01,15.36,15.94,15.29,11200
2004-07-14,16.19,16.19,15.83,16.08,15.43,3237
2004-07-15,16.01,16.01,15.72,15.8,15.16,1891
2004-07-16,15.98,16.55,15.83,16.34,15.67,8844
2004-07-19,17.81,17.81,16.37,16.59,15.92,12120
2004-07-20,16.44,16.7,16.19,16.41,15.74,4792
2004-07-21,16.19,16.7,15.83,16.41,15.74,4967
2004-07-22,16.48,17.2,16.48,16.8,16.12,12291
2004-07-23,16.48,16.84,16.44,16.73,16.05,2869
2004-07-26,14.9,16.23,14.9,15.98,15.33,15524
2004-07-27,16.05,16.19,15.47,15.47,14.85,35613
2004-07-28,14.46,15.72,14.46,15.47,14.85,19464
2004-07-29,15.8,16.19,14.93,14.97,14.36,18340
2004-07-30,15.0,15.72,14.97,15.11,14.5,14271
2004-08-02,15.18,15.18,13.46,13.92,13.36,54044
2004-08-03,13.92,13.92,13.46,13.71,13.15,45690
2004-08-04,13.67,13.85,13.67,13.71,13.15,15231
2004-08-05,14.14,14.14,13.31,13.64,13.08,17117
2004-08-06,13.71,14.39,13.71,14.14,13.57,24717
2004-08-09,13.78,14.03,13.46,13.82,13.26,16018
2004-08-10,13.78,14.03,13.74,13.74,13.19,12544
2004-08-11,14.54,14.54,13.49,13.6,13.05,18149
2004-08-12,14.36,14.39,13.42,13.46,12.91,13211
2004-08-13,13.82,13.82,13.13,13.21,12.67,13515
2004-08-16,13.28,13.31,12.95,13.03,12.5,24415
2004-08-17,12.95,13.13,12.95,12.95,12.43,18024
2004-08-18,12.77,13.03,12.74,12.88,12.36,10010
2004-08-19,12.88,12.99,12.59,12.85,12.32,14572
2004-08-20,12.59,12.59,12.23,12.45,11.95,23617
2004-08-23,12.31,12.31,11.87,11.98,11.5,20926
2004-08-24,11.84,12.2,11.69,12.05,11.57,16391
2004-08-25,11.87,12.23,11.66,11.84,11.36,19159
2004-08-26,12.09,12.41,12.05,12.09,11.6,28671
2004-08-27,11.95,12.38,11.95,12.16,11.67,19815
2004-08-30,12.23,13.28,12.23,12.92,12.39,42533
2004-08-31,13.39,13.46,12.63,13.39,12.84,30746
2004-09-01,13.03,13.6,13.03,13.35,12.81,11847
2004-09-02,13.49,13.92,13.21,13.74,13.19,25951
2004-09-03,13.67,14.03,13.53,13.78,13.22,17265
2004-09-06,13.56,14.68,13.56,14.07,13.5,29761
2004-09-07,14.1,15.04,14.03,14.14,13.57,25773
2004-09-08,13.1,14.86,13.1,14.43,13.84,36809
2004-09-09,14.1,14.36,13.74,14.25,13.67,28495
2004-09-10,14.25,14.28,13.6,14.18,13.6,21201
2004-09-13,14.32,14.46,14.03,14.21,13.64,24768
2004-09-14,13.67,14.03,13.53,13.92,13.36,11141
2004-09-15,14.03,14.25,14.03,14.03,13.46,16015
2004-09-16,13.89,14.32,13.89,14.25,13.67,9095
2004-09-17,13.89,14.57,13.67,14.39,13.81,22807
2004-09-20,14.03,14.54,14.03,14.39,13.81,27449
2004-09-21,14.9,14.9,14.14,14.21,13.64,18530
2004-09-22,13.96,14.64,13.96,14.54,13.95,13778
2004-09-23,14.39,14.97,14.39,14.5,13.91,18284
2004-09-24,14.46,14.46,14.39,14.43,13.84,13757
2004-09-27,14.68,14.68,14.32,14.46,13.88,5875
