Date,Open,High,Low,Close,Adj Close,Volume
2011-03-18,70.0,80.0,60.0,61.35,53.51,27984
2011-03-21,64.0,64.45,62.0,64.0,55.83,6399
2011-03-22,64.5,67.1,62.6,65.4,57.05,1433
2011-03-23,65.5,68.7,62.3,66.0,57.57,1943
2011-03-24,64.1,69.3,64.1,69.3,60.45,1748
2011-03-25,69.35,71.9,66.55,68.45,59.71,1666
2011-03-28,68.45,71.9,68.45,71.55,62.41,2376
2011-03-29,73.0,75.0,70.0,72.0,62.8,379
2011-03-30,69.75,71.9,69.2,69.3,60.45,281
2011-03-31,68.55,72.4,68.55,72.2,62.98,794
2011-04-01,75.0,79.9,73.5,76.2,66.47,1905
2011-04-04,79.5,84.7,79.5,83.75,73.05,2684
2011-04-05,68.0,95.0,68.0,93.55,81.6,4911
2011-04-06,100.0,103.5,93.5,97.65,85.18,6519
2011-04-07,98.5,98.5,88.0,92.65,80.82,2361
2011-04-08,92.65,92.65,92.65,92.65,80.82,0
2011-04-11,80.0,85.25,77.35,80.5,70.22,2331
2011-04-13,84.7,96.0,84.7,92.2,80.42,10824
2011-04-15,95.5,96.0,86.0,86.9,75.8,507
2011-04-18,94.8,94.8,86.0,86.0,75.02,1746
2011-04-19,83.1,89.9,83.0,89.8,78.33,816
2011-04-20,77.05,93.0,77.05,88.3,77.02,1975
2011-04-21,89.0,89.0,85.1,87.0,75.89,170
2011-04-25,89.75,90.0,83.0,90.0,78.51,2394
2011-04-26,86.0,89.9,86.0,86.8,75.71,1020
2011-04-27,88.0,90.0,83.05,85.3,74.41,2671
2011-04-28,88.0,90.0,78.55,82.9,72.31,6880
2011-04-29,88.0,90.5,71.5,73.6,64.2,21519
2011-05-02,76.6,86.0,64.0,79.75,69.56,8993
2011-05-03,75.7,78.8,66.0,69.25,60.41,3224
2011-05-04,69.95,70.0,61.3,65.65,57.27,7536
2011-05-05,59.0,67.95,59.0,65.25,56.92,1514
2011-05-06,68.0,68.9,60.1,64.05,55.87,615
2011-05-09,55.6,68.95,55.6,67.05,58.49,952
2011-05-10,64.1,69.75,64.05,65.1,56.79,1206
2011-05-11,72.4,72.4,64.55,65.0,56.7,250
2011-05-12,67.0,68.75,65.05,65.2,56.87,1037
2011-05-13,55.5,74.0,55.5,68.3,59.58,12761
2011-05-16,61.0,72.6,61.0,72.0,62.8,4692
2011-05-17,71.9,72.45,70.0,71.55,62.41,271
2011-05-18,62.6,75.0,62.6,71.0,61.93,1343
2011-05-19,71.1,74.8,70.0,70.0,61.06,192
2011-05-20,72.0,73.0,70.3,72.5,63.24,1461
2011-05-23,63.0,78.0,63.0,71.35,62.24,670
2011-05-24,71.0,71.1,69.05,69.4,60.54,503
2011-05-25,66.75,66.75,66.75,66.75,58.22,2
2011-05-26,68.5,68.5,68.5,68.5,59.75,5
2011-05-27,73.9,73.9,71.0,73.75,64.33,151
2011-05-30,70.8,70.8,70.8,70.8,61.76,15
2011-05-31,71.0,71.6,71.0,71.15,62.06,1433
2011-06-01,71.1,74.5,71.1,72.0,62.8,351
2011-06-02,72.0,72.0,72.0,72.0,62.8,0
2011-06-03,73.0,73.5,70.2,72.0,62.8,5050
2011-06-06,69.0,70.25,69.0,70.25,61.28,44
2011-06-07,67.0,73.95,67.0,73.8,64.37,281
2011-06-08,73.0,73.0,67.5,69.0,60.19,150
2011-06-09,69.25,69.25,69.25,69.25,60.41,25
2011-06-10,70.0,70.0,69.0,69.0,60.19,500
2011-06-13,69.0,69.0,69.0,69.0,60.19,0
2011-06-14,69.0,69.0,69.0,69.0,60.19,0
2011-06-15,70.25,70.25,70.0,70.0,61.06,176
2011-06-16,71.0,71.05,71.0,71.05,61.98,98
2011-06-17,69.1,70.6,69.1,70.6,61.58,50
2011-06-20,70.6,70.6,70.6,70.6,61.58,0
2011-06-21,67.5,74.8,66.0,67.5,58.88,1475
2011-06-22,66.3,66.3,66.3,66.3,57.83,75
2011-06-23,71.9,74.65,69.0,70.8,61.76,2274
2011-06-24,70.0,70.0,70.0,70.0,61.06,200
2011-06-27,70.0,70.0,70.0,70.0,61.06,0
2011-06-28,70.05,71.55,70.05,71.55,62.41,208
2011-06-29,72.0,75.0,72.0,72.0,62.8,700
2011-06-30,72.0,74.9,72.0,74.9,65.33,170
2011-07-01,74.0,74.0,72.0,74.0,64.55,452
2011-07-04,75.0,76.5,73.0,75.0,65.42,955
2011-07-05,75.0,75.0,74.1,74.1,64.64,339
2011-07-06,73.1,73.7,73.05,73.7,64.29,266
2011-07-07,73.7,75.0,73.6,73.75,64.33,613
2011-07-08,72.0,73.1,71.6,73.0,63.68,103
2011-07-11,73.0,73.0,73.0,73.0,63.68,0
2011-07-12,70.5,73.9,70.5,73.9,64.46,51
2011-07-13,74.0,74.0,74.0,74.0,64.55,50
2011-07-14,74.0,74.0,73.3,73.3,63.94,175
2011-07-15,73.5,73.5,73.5,73.5,64.11,125
2011-07-18,74.0,75.0,74.0,74.2,64.72,888
2011-07-19,74.9,75.5,74.9,75.5,65.86,67
2011-07-20,74.75,76.4,74.75,76.4,66.64,150
2011-07-21,73.8,76.9,73.8,75.0,65.42,711
2011-07-22,75.0,76.0,74.4,75.4,65.77,394
2011-07-25,79.15,79.15,76.2,79.15,69.04,376
2011-07-26,84.6,84.6,75.0,76.8,66.99,1256
2011-07-27,75.0,79.95,75.0,79.95,69.74,206
2011-07-28,77.0,77.0,74.25,74.25,64.77,780
2011-07-29,75.1,75.1,72.75,73.0,64.77,426
2011-08-01,73.0,73.0,73.0,73.0,64.77,0
2011-08-02,73.0,73.0,73.0,73.0,64.77,0
2011-08-03,74.0,87.8,62.5,78.95,70.05,113
2011-08-04,74.0,74.0,72.4,72.5,64.32,15
2011-08-05,72.0,75.0,72.0,75.0,66.54,150
2011-08-08,67.0,84.5,67.0,70.75,62.77,1430
2011-08-09,79.5,79.5,64.15,71.1,63.08,921
2011-08-10,72.0,74.0,72.0,73.55,65.25,363
2011-08-11,73.55,73.55,73.55,73.55,65.25,0
2011-08-12,73.55,73.55,73.55,73.55,65.25,0
2011-08-16,79.0,79.0,65.05,70.75,62.77,601
2011-08-17,70.0,70.0,66.5,70.0,62.11,41
2011-08-18,70.0,70.0,70.0,70.0,62.11,0
2011-08-19,68.05,79.9,67.0,73.05,64.81,370
2011-08-22,75.0,79.9,75.0,77.05,68.36,214
2011-08-23,75.3,75.3,75.25,75.3,66.81,50
2011-08-24,77.5,78.0,77.5,78.0,69.2,45
2011-08-25,78.0,78.0,78.0,78.0,69.2,0
2011-08-26,76.0,77.0,71.05,72.5,64.32,185
2011-08-29,72.5,72.5,72.5,72.5,64.32,0
2011-08-30,70.35,76.95,70.35,76.25,67.65,23
