Date,Open,High,Low,Close,Adj Close,Volume
2010-09-29,180.0004,191.6255,162.0379,184.5005,168.0937,285028
2010-09-30,186.6005,195.563,184.6505,189.113,172.2961,335605
2010-10-01,191.0255,197.2505,190.5005,194.063,176.8059,194966
2010-10-04,196.313,198.3755,189.038,190.613,173.6627,86233
2010-10-05,190.5005,191.213,187.163,188.9255,172.1253,44243
2010-10-06,191.4755,191.513,183.8255,186.563,169.9728,53146
2010-10-07,188.5505,188.5505,182.2505,183.0005,166.7271,39487
2010-10-08,183.7505,187.8755,181.5005,186.6755,170.0753,40151
2010-10-11,185.6255,196.1255,185.6255,191.8505,174.7901,113599
2010-10-12,191.2505,191.2505,185.963,187.688,170.9978,41729
2010-10-13,189.6005,191.1005,183.9755,185.4755,168.982,47613
2010-10-14,188.513,191.2505,182.4005,183.413,167.1029,114458
2010-10-15,184.5005,186.0005,179.2504,179.9254,163.9256,103394
2010-10-18,181.2005,183.0005,176.2504,181.3504,165.2238,87161
2010-10-19,181.5005,184.2005,175.6879,177.5254,161.739,60769
2010-10-20,177.9379,179.6254,170.4004,176.6629,160.9532,70533
2010-10-21,178.5004,183.0005,176.2504,178.9504,163.0372,39977
2010-10-22,180.0004,187.5005,177.0004,185.4005,168.9137,56119
2010-10-25,186.6755,190.2755,183.0005,188.288,171.5444,46973
2010-10-26,189.3755,194.2505,184.6505,187.763,171.0661,67395
2010-10-27,187.1255,187.313,179.2879,181.0504,164.9505,56707
2010-10-28,181.1629,187.838,181.1629,184.838,168.4012,69587
2010-10-29,185.2505,187.3505,173.3254,176.4004,160.714,135496
2010-11-01,179.963,183.0005,177.6754,180.6754,164.6089,39213
2010-11-02,180.6754,183.7505,175.5004,176.4004,160.714,59786
2010-11-03,177.1879,179.963,173.6254,174.7504,159.2107,58550
2010-11-04,177.6754,183.7505,176.7004,182.4754,166.2488,87403
2010-11-08,185.8505,190.5005,182.2505,185.3255,168.8454,95237
2010-11-09,187.5005,190.1255,184.5005,188.7005,171.9202,53401
2010-11-10,189.0005,190.463,181.5005,183.0755,166.7954,55630
2010-11-11,185.2505,185.5505,178.5004,179.8129,163.8231,68065
2010-11-12,181.838,183.0005,171.7879,173.6629,158.2199,41961
2010-11-15,176.2129,176.2129,165.7504,167.7004,152.7877,73651
2010-11-16,170.5504,170.6254,156.0004,159.7129,145.5104,185022
2010-11-18,159.7129,168.7504,158.5129,163.0129,148.517,84205
2010-11-19,165.0004,170.2504,161.4379,164.1004,149.5078,64723
2010-11-22,168.3004,169.0504,164.6254,167.9629,153.0268,61703
2010-11-23,166.5004,168.6754,159.3754,162.6754,148.2095,53506
2010-11-24,161.3629,165.0004,152.4379,156.9379,142.9822,64262
2010-11-25,158.1004,160.1254,153.7504,154.3129,140.5906,49573
2010-11-26,156.0004,156.0004,133.7628,142.5004,129.8285,122462
2010-11-29,138.0004,149.6254,138.0004,148.8379,135.6024,111142
2010-11-30,145.8754,155.1754,144.9379,153.1129,139.4973,67751
2010-12-01,154.9504,162.6754,153.1129,158.4379,144.3488,68198
2010-12-02,161.1754,162.3379,154.8754,156.9379,142.9822,56842
2010-12-03,156.0004,156.9379,139.8754,148.3879,135.1924,94701
2010-12-06,146.3254,152.5504,145.8004,147.7879,134.6458,103638
2010-12-07,149.5879,149.6254,145.7254,146.2879,133.2792,74726
2010-12-08,147.0004,147.7504,138.7504,139.5378,127.1294,104571
2010-12-09,143.9254,143.9254,128.4378,130.3878,118.7931,49574
2010-12-10,129.7878,138.0004,127.4628,133.4628,121.5946,79939
2010-12-13,135.2628,144.2254,135.2628,143.7004,130.9218,40034
2010-12-14,146.6629,152.1004,142.6879,150.8629,137.4474,42177
2010-12-15,152.6254,153.7504,147.7504,150.9379,137.5157,32821
2010-12-16,150.8254,156.6754,147.8254,153.0754,139.4631,20678
2010-12-20,154.4254,156.9379,147.8629,153.4879,139.8389,50819
2010-12-21,152.1754,156.3004,149.9254,153.9754,140.2831,89083
2010-12-22,156.6004,156.6004,150.8254,153.0004,139.3948,46907
2010-12-23,153.6004,155.8504,148.5754,151.1254,137.6865,67787
2010-12-24,150.0004,150.9754,147.3004,149.2879,136.0124,58446
2010-12-27,150.1879,150.4129,146.6629,147.1879,134.0992,38577
2010-12-28,147.7504,147.7504,140.4003,141.3379,128.7694,64717
2010-12-29,142.4629,147.6754,142.4629,144.7879,131.9126,50087
2010-12-30,145.9879,158.7004,144.8629,154.2754,140.5564,94322
2010-12-31,154.5004,162.7504,152.2504,159.5629,145.3737,63509
2011-01-03,162.7129,169.8754,159.0004,161.4379,147.082,167502
2011-01-04,163.5004,163.5004,155.2504,156.5629,142.6405,71747
2011-01-05,157.6129,164.2504,154.5004,161.2504,146.9112,77035
2011-01-06,162.0004,162.3754,151.7629,158.7004,144.5879,67374
2011-01-07,154.7254,159.6754,148.8754,151.8754,138.3698,128345
2011-01-10,151.8754,152.8129,145.5004,148.1254,134.9533,74981
2011-01-11,148.5004,152.2504,143.2504,145.0504,132.1517,57019
2011-01-12,145.8004,148.8379,144.8254,147.2629,134.1675,56621
2011-01-13,147.9754,150.0004,145.5004,146.0254,133.04,53167
2011-01-14,146.2504,148.5004,141.0753,143.5129,130.751,58167
2011-01-17,143.5129,146.2504,139.9503,141.1879,128.6327,51362
2011-01-18,143.6629,148.5004,138.0753,139.9128,127.4711,91442
2011-01-19,141.7504,145.5004,138.0753,139.3878,126.9928,64271
2011-01-20,139.4254,140.1754,135.1878,136.7628,124.6012,20531
2011-01-21,134.2503,138.3003,134.2503,137.2878,125.0795,43161
2011-01-24,138.7504,142.1254,136.6878,137.8503,125.592,31906
2011-01-25,138.0004,139.3503,136.5003,137.0253,124.8403,48215
2011-01-27,139.1254,139.1254,132.7503,134.8503,122.8588,43651
2011-01-28,135.0003,142.4254,127.5753,134.7753,122.7904,44670
2011-01-31,134.7753,135.3753,129.4128,132.8253,121.0138,18626
2011-02-01,134.2128,135.3753,130.5003,131.8878,120.1597,57285
2011-02-02,133.4628,135.6003,128.2503,130.9878,119.3397,63253
2011-02-03,129.7503,130.4253,127.6503,128.5503,117.119,49805
2011-02-04,131.1003,131.1003,120.7503,122.0253,111.1742,52574
2011-02-07,122.2503,127.5003,122.2503,124.9128,113.8049,25433
2011-02-08,126.1503,126.1503,116.4378,118.8753,108.3043,50234
2011-02-09,117.5628,117.5628,105.7503,108.0378,98.4305,74110
2011-02-10,108.7503,108.7503,96.7502,102.4878,93.374,102003
2011-02-11,101.2503,105.0003,99.0002,104.7003,95.3898,88547
2011-02-14,108.9753,109.4253,105.3753,108.5253,98.8746,112205
2011-02-15,111.0378,115.5003,108.1128,111.4878,101.5737,198890
2011-02-16,113.7753,123.3378,113.2503,121.6128,110.7984,194126
2011-02-17,122.7753,124.4253,119.2503,120.8628,110.1151,112582
2011-02-18,120.8628,122.9628,114.7503,115.8378,105.5369,79298
2011-02-21,116.6628,120.7503,115.5003,119.8878,109.2268,81749
2011-02-22,119.0253,121.8753,113.4378,114.7503,104.5461,60374
2011-02-23,114.7503,117.6378,112.7253,113.9628,103.8286,55695
2011-02-24,114.0003,114.7128,108.1878,109.9503,100.1729,74551
2011-02-25,114.3753,114.7503,107.2503,108.1128,98.4988,57135
2011-02-28,108.7878,112.5003,108.7503,109.3503,99.6263,47507
2011-03-01,111.3753,119.5878,109.9128,118.4253,107.8943,73727
2011-03-03,117.0003,118.9503,111.0753,116.2128,105.8786,93329
2011-03-04,114.3003,118.8753,112.5378,113.2878,103.2137,177851
2011-03-07,112.5003,115.5003,111.7503,115.0878,104.8536,46203
2011-03-08,115.5753,116.9253,113.5503,115.9128,105.6052,44366
2011-03-09,117.6003,117.8628,112.5003,113.0253,102.9745,46422
2011-03-10,112.9503,113.5878,110.1003,110.7378,100.8904,51619
2011-03-11,109.6878,113.0253,109.3878,111.0753,101.1979,73098
2011-03-14,111.0003,112.2378,105.0378,110.1378,100.3438,91041
2011-03-15,108.6378,110.6253,105.4503,108.9003,99.2163,63893
2011-03-16,110.1003,111.0003,108.7503,110.0253,100.2413,28310
2011-03-17,109.8003,110.1003,108.0003,108.5253,98.8746,36306
2011-03-18,108.5628,108.7503,102.0378,104.1378,94.8773,81603
2011-03-21,106.0503,106.0503,101.2503,102.2253,93.1349,51027
2011-03-22,102.0378,103.4628,101.0253,101.5878,92.554,32197
2011-03-23,101.2503,104.5128,101.2503,103.5378,94.3307,39539
2011-03-24,104.9628,105.5253,102.6753,103.5003,94.2965,96481
2011-03-25,103.8753,109.2003,103.5003,106.6128,97.1322,91655
2011-03-28,108.0003,110.1378,98.3627,107.1753,97.6447,65263
2011-03-29,107.9253,110.9628,106.8753,108.7878,99.1138,65771
2011-03-30,110.1003,116.2503,109.5003,114.2628,104.102,65695
2011-03-31,116.1003,121.5003,112.9128,115.3503,105.0928,45905
2011-04-01,116.8503,116.9628,114.0753,115.8003,105.5027,13270
2011-04-04,117.6003,122.6253,117.6003,121.8753,111.0375,54819
2011-04-05,123.0003,129.7503,122.2503,128.6628,117.2215,112917
2011-04-06,128.9628,133.5003,123.9378,128.4003,116.9823,181372
2011-04-07,128.4003,132.6003,127.9128,131.1753,119.5105,78753
2011-04-08,132.0003,135.7503,129.7503,131.1753,119.5105,92565
2011-04-11,131.1753,131.9253,127.5003,129.0753,117.5973,43838
2011-04-13,129.1503,130.9503,126.0753,128.3628,116.9481,39550
2011-04-15,124.7628,129.0003,124.7628,128.2878,116.8798,20649
2011-04-18,129.0003,132.6753,128.3253,130.8003,119.1689,85406
2011-04-19,133.5378,133.5378,127.5003,129.4503,117.9389,41694
2011-04-20,129.7503,130.2753,124.2753,126.1503,114.9324,58709
2011-04-21,126.3753,129.3003,126.1503,127.2378,115.9232,34897
