Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,89.95,90.7,88.1,88.25,64.38,2066
2002-07-02,90.5,90.75,88.6,88.9,64.85,1380
2002-07-03,90.9,91.0,89.1,89.3,65.14,851
2002-07-04,89.0,96.65,89.0,94.75,69.12,6359
2002-07-05,96.0,103.75,96.0,98.65,71.96,13335
2002-07-08,98.65,108.0,98.65,106.65,77.8,9685
2002-07-09,105.5,108.9,102.5,104.55,76.27,5332
2002-07-10,103.0,104.9,97.0,97.8,71.34,6947
2002-07-11,95.25,97.8,93.6,94.2,68.72,3827
2002-07-12,96.0,98.0,95.0,95.8,69.88,1757
2002-07-15,94.0,94.0,90.4,93.9,68.5,740
2002-07-16,90.0,92.0,90.0,91.0,66.38,1246
2002-07-17,90.6,90.6,87.0,89.0,64.92,1500
2002-07-18,89.5,91.0,88.7,89.35,65.18,1117
2002-07-19,90.1,92.8,89.5,90.85,66.27,384
2002-07-22,85.05,90.5,85.05,89.45,65.25,2487
2002-07-23,90.0,91.0,89.0,89.55,65.33,1278
2002-07-24,87.8,89.5,87.8,89.5,65.29,253
2002-07-25,90.1,91.0,89.0,90.15,65.76,1128
2002-07-26,85.25,87.25,83.05,85.6,62.44,876
2002-07-29,84.65,86.95,84.6,86.0,62.74,179
2002-07-30,83.0,85.9,83.0,84.25,61.46,700
2002-07-31,82.5,82.85,80.0,82.15,59.93,2830
2002-08-01,87.0,90.4,85.0,90.4,65.95,1719
2002-08-02,95.0,96.8,87.25,87.7,63.98,3430
2002-08-05,90.95,93.0,90.95,92.15,67.22,216
2002-08-06,93.05,94.65,90.0,92.75,67.66,2795
2002-08-07,94.5,94.5,92.0,92.0,67.11,1235
2002-08-08,91.95,92.9,90.0,90.2,65.8,401
2002-08-09,92.8,92.95,89.3,90.5,66.02,2272
2002-08-12,92.0,92.0,91.85,91.85,67.0,161
2002-08-13,90.35,91.25,88.2,88.2,64.34,1100
2002-08-14,90.0,92.45,90.0,91.8,66.97,1075
2002-08-15,91.8,91.8,91.8,91.8,66.97,0
2002-08-16,93.6,95.0,92.55,94.2,68.72,1820
2002-08-19,93.35,94.95,93.25,93.3,68.06,1155
2002-08-20,92.05,93.75,92.05,93.0,67.84,426
2002-08-21,92.8,93.95,90.25,92.0,67.11,452
2002-08-22,90.85,93.45,90.85,91.2,66.53,635
2002-08-23,92.9,92.9,92.9,92.9,67.77,100
2002-08-26,92.0,93.3,91.9,93.05,67.88,1217
2002-08-27,92.0,92.0,92.0,92.0,67.11,60
2002-08-28,91.1,92.0,91.05,91.6,66.82,1879
2002-08-29,91.5,92.5,91.05,91.15,66.49,1215
2002-08-30,92.1,92.1,90.85,91.4,66.67,538
2002-09-02,95.0,95.0,90.05,91.15,66.49,862
2002-09-03,90.15,92.0,90.05,90.95,66.35,3414
2002-09-04,91.5,91.95,91.5,91.9,67.04,200
2002-09-05,88.1,92.0,88.1,90.75,66.2,1200
2002-09-06,90.15,90.15,90.05,90.1,65.73,1100
2002-09-09,89.8,90.0,89.1,89.1,65.0,325
2002-09-10,89.1,89.1,89.1,89.1,65.0,0
2002-09-11,89.0,90.5,89.0,89.05,64.96,582
2002-09-12,89.2,90.0,89.2,89.6,65.36,205
2002-09-13,88.2,90.0,88.2,88.75,64.74,155
2002-09-16,83.1,91.0,83.1,90.2,65.8,890
2002-09-17,87.8,90.4,87.0,90.4,65.95,1295
2002-09-18,90.1,90.1,88.1,89.8,65.51,1150
2002-09-19,90.45,90.5,88.5,88.5,64.56,150
2002-09-20,90.1,90.1,88.25,89.55,65.33,152
2002-09-23,89.55,89.55,89.55,89.55,65.33,0
2002-09-24,88.2,88.2,88.0,88.0,64.19,422
2002-09-25,88.65,88.7,85.5,85.8,62.59,305
2002-09-26,87.95,87.95,84.7,85.05,62.04,170
2002-09-27,85.2,88.9,84.75,85.15,62.12,607
2002-09-30,85.0,85.0,83.65,83.65,61.02,1095
2002-10-01,83.5,86.3,83.5,86.3,62.95,200
2002-10-02,86.3,86.3,86.3,86.3,62.95,0
2002-10-03,82.5,84.0,82.4,84.0,61.28,620
2002-10-04,85.95,85.95,82.8,82.8,60.4,101
2002-10-07,85.0,85.0,85.0,85.0,62.01,200
2002-10-08,83.55,84.0,83.5,83.65,61.02,201
2002-10-09,83.65,83.8,83.65,83.8,61.13,100
2002-10-10,83.8,83.8,83.8,83.8,61.13,0
2002-10-11,85.0,85.0,84.1,84.1,61.35,380
2002-10-14,85.0,85.0,85.0,85.0,62.01,65
2002-10-15,85.0,85.0,85.0,85.0,62.01,0
2002-10-16,84.05,87.15,84.05,87.15,63.57,200
2002-10-17,84.0,86.7,84.0,85.65,62.48,608
2002-10-18,85.55,86.0,84.1,84.1,61.35,337
2002-10-21,84.1,84.1,84.1,84.1,61.35,0
2002-10-22,80.1,84.3,80.0,83.6,60.98,165
2002-10-23,82.6,84.5,82.0,84.5,61.64,128
2002-10-24,82.05,84.0,82.0,82.9,60.47,687
2002-10-25,84.0,87.5,84.0,87.1,63.54,1005
2002-10-28,86.0,87.0,86.0,86.85,63.36,917
2002-10-29,87.0,90.0,86.0,89.9,65.58,1406
2002-10-30,89.8,97.8,89.7,94.7,69.08,3445
2002-10-31,94.95,96.4,94.9,95.4,69.59,3989
2002-11-01,94.5,95.5,94.5,95.1,69.37,3862
2002-11-04,93.55,94.75,93.55,93.75,68.39,235
2002-11-05,98.5,99.0,97.0,97.35,71.02,3357
2002-11-06,97.35,97.35,97.35,97.35,71.02,0
2002-11-07,97.9,99.0,96.3,99.0,72.22,1825
2002-11-08,99.0,100.0,96.3,100.0,72.95,1989
2002-11-11,91.0,100.0,91.0,99.8,72.8,1942
2002-11-12,99.0,99.0,98.25,99.0,72.22,2062
2002-11-13,99.0,100.0,97.0,100.0,72.95,4109
2002-11-14,100.0,100.0,99.0,100.0,72.95,2573
2002-11-15,98.85,100.0,98.85,100.0,72.95,1804
2002-11-18,100.0,100.0,97.05,99.9,72.88,2083
2002-11-19,99.9,99.9,99.9,99.9,72.88,0
2002-11-20,99.0,100.0,97.4,97.7,71.27,1036
2002-11-21,98.0,100.0,98.0,100.0,72.95,1073
2002-11-22,97.55,100.0,97.55,98.75,72.04,2000
2002-11-25,99.0,100.0,98.2,100.0,72.95,414
2002-11-26,100.0,101.0,100.0,100.0,72.95,974
2002-11-27,100.0,101.5,100.0,100.25,73.13,533
2002-11-28,101.0,103.0,99.0,99.85,72.84,1425
2002-11-29,102.0,102.4,101.0,101.9,74.33,1000
2002-12-02,100.05,101.75,99.0,99.15,72.33,3228
2002-12-03,99.0,99.0,98.1,98.1,71.56,1027
2002-12-04,98.5,98.5,98.1,98.1,71.56,590
2002-12-05,98.3,98.3,98.3,98.3,71.71,100
2002-12-06,98.0,98.5,98.0,98.0,71.49,960
2002-12-09,98.2,98.6,98.2,98.55,71.89,405
2002-12-10,98.1,99.9,98.1,99.9,72.88,200
2002-12-11,98.1,99.35,98.0,98.2,71.64,511
2002-12-12,99.5,100.0,98.05,100.0,72.95,975
2002-12-13,101.0,110.0,98.0,107.45,78.38,18688
2002-12-16,106.9,107.0,102.65,104.0,75.87,695
2002-12-17,97.0,104.95,97.0,101.0,73.68,130
2002-12-18,101.05,101.05,98.3,100.0,72.95,901
2002-12-19,93.0,101.0,93.0,99.85,72.84,265
2002-12-20,105.0,105.0,98.5,100.0,72.95,821
2002-12-23,100.1,100.1,98.55,98.9,72.15,245
2002-12-24,99.0,99.5,99.0,99.05,72.26,385
2002-12-25,99.05,99.05,99.05,99.05,72.26,0
2002-12-26,98.25,103.0,98.25,101.5,74.04,1752
2002-12-27,102.0,102.0,98.7,99.1,72.29,950
2002-12-30,99.0,99.0,96.5,96.5,70.4,1537
2002-12-31,99.0,100.0,98.0,98.0,71.49,2145
2003-01-01,98.0,98.0,98.0,98.0,71.49,0
2003-01-02,98.25,101.0,98.0,98.05,71.53,329
2003-01-03,104.0,104.0,97.0,100.65,73.42,340
2003-01-06,91.05,97.0,91.05,96.4,70.32,68
2003-01-07,96.25,104.0,96.25,103.3,75.36,3410
2003-01-08,104.9,104.9,100.0,100.75,73.5,581
2003-01-09,100.0,101.9,100.0,101.15,73.79,1089
2003-01-10,101.5,110.0,101.5,105.95,77.29,23269
2003-01-13,103.3,103.3,100.15,102.0,74.41,405
2003-01-14,98.35,107.0,98.35,102.4,74.7,5516
2003-01-15,102.55,103.9,102.5,102.5,74.77,253
2003-01-16,101.75,105.0,101.75,103.05,75.17,1695
2003-01-17,101.15,110.0,101.1,109.5,79.88,9161
2003-01-20,105.35,107.45,104.5,105.0,76.6,1432
2003-01-21,103.55,105.7,103.0,104.25,76.05,1452
2003-01-22,99.0,104.95,99.0,104.95,76.56,850
2003-01-23,104.0,105.0,102.5,102.95,75.1,1125
2003-01-24,100.0,105.0,100.0,103.4,75.43,1590
2003-01-27,104.9,110.0,104.9,109.3,79.73,7759
2003-01-28,105.35,106.0,103.85,105.45,76.92,701
2003-01-29,105.4,110.4,105.4,109.45,79.84,5453
2003-01-30,109.5,109.85,105.4,105.4,76.89,612
2003-01-31,108.8,110.0,105.5,108.75,79.33,2855
2003-02-03,109.5,109.5,106.5,106.55,77.73,820
2003-02-04,105.05,108.5,105.05,106.25,77.51,886
2003-02-05,105.6,106.85,105.0,106.1,77.4,413
2003-02-06,105.0,106.9,105.0,105.5,76.96,413
2003-02-07,105.0,111.0,105.0,110.15,80.35,8330
2003-02-10,107.0,107.0,105.0,105.9,77.25,530
2003-02-11,105.5,106.0,105.0,105.7,77.11,1579
2003-02-12,105.0,110.5,105.0,107.25,78.24,4583
2003-02-13,107.25,107.25,107.25,107.25,78.24,0
2003-02-14,105.55,107.55,105.55,105.75,77.14,2080
2003-02-17,109.9,109.9,106.75,107.0,78.05,715
2003-02-18,106.3,106.9,106.3,106.9,77.98,325
2003-02-19,105.15,107.5,105.15,106.8,77.91,752
2003-02-20,105.2,109.7,105.2,106.45,77.65,285
2003-02-21,106.75,107.25,106.0,106.75,77.87,1218
2003-02-24,106.75,107.1,106.0,106.5,77.69,1178
2003-02-25,109.9,110.0,106.5,106.5,77.69,1428
2003-02-26,104.5,106.65,104.5,106.65,77.8,790
2003-02-27,106.25,106.25,104.8,105.15,76.71,310
2003-02-28,104.8,105.0,104.35,104.35,76.12,70
2003-03-03,105.5,105.5,103.05,103.2,75.28,228
2003-03-04,102.4,104.6,102.0,103.35,75.39,1710
2003-03-05,100.0,103.35,100.0,102.65,74.88,1752
2003-03-06,102.5,106.95,101.75,103.95,75.83,468
2003-03-07,104.0,104.0,102.0,102.6,74.85,1560
2003-03-10,102.25,103.5,101.1,102.5,74.77,1340
2003-03-11,103.4,103.4,102.0,103.4,75.43,1125
2003-03-12,103.0,103.6,103.0,103.0,75.14,525
2003-03-13,101.0,103.5,101.0,103.35,75.39,1447
2003-03-14,103.35,103.35,103.35,103.35,75.39,0
2003-03-17,101.8,101.8,100.5,100.5,73.31,100
2003-03-18,100.5,100.5,100.5,100.5,73.31,0
2003-03-19,102.0,102.0,101.4,101.4,73.97,500
2003-03-20,102.0,102.0,102.0,102.0,74.41,800
2003-03-21,101.0,102.5,101.0,102.5,74.77,181
2003-03-24,102.0,105.0,101.0,104.8,76.45,3109
2003-03-25,109.65,111.95,108.0,111.7,81.48,5398
2003-03-26,111.8,111.8,110.0,110.0,80.24,1325
2003-03-27,110.0,111.0,110.0,110.0,80.24,4075
2003-03-28,111.0,111.0,110.0,110.0,80.24,315
2003-03-31,108.0,110.0,107.5,108.45,79.11,982
2003-04-01,108.05,110.0,108.0,110.0,80.24,1313
2003-04-02,108.1,108.1,108.0,108.05,78.82,150
2003-04-03,110.0,110.0,110.0,110.0,80.24,2695
2003-04-04,110.0,110.0,110.0,110.0,80.24,1825
2003-04-07,110.0,110.0,110.0,110.0,80.24,350
2003-04-08,110.0,110.0,110.0,110.0,80.24,406
2003-04-09,107.7,107.7,107.3,107.3,78.27,76
2003-04-10,106.95,114.0,106.0,112.6,82.14,16544
2003-04-11,112.5,112.5,108.1,108.1,78.86,896
2003-04-15,107.0,114.0,107.0,112.25,81.88,1115
2003-04-16,110.3,110.3,110.0,110.0,80.24,665
2003-04-17,108.1,108.1,108.0,108.0,78.78,120
2003-04-18,108.0,108.0,108.0,108.0,78.78,0
2003-04-21,106.5,108.5,106.5,107.55,78.46,980
2003-04-22,106.8,106.8,106.7,106.7,77.84,40
2003-04-23,105.0,105.1,103.0,104.0,75.87,5459
2003-04-24,102.0,103.8,102.0,102.75,74.95,350
2003-04-25,102.75,105.0,102.0,102.6,74.85,10555
2003-04-28,109.85,112.9,108.55,110.9,80.9,16759
2003-04-29,106.25,108.55,105.05,105.7,77.11,752
2003-04-30,106.0,106.0,104.0,105.0,76.6,2903
2003-05-01,105.0,105.0,105.0,105.0,76.6,0
2003-05-02,104.0,106.05,103.05,103.4,75.43,6005
2003-05-05,103.1,105.95,103.1,104.4,76.16,401
2003-05-06,102.2,105.0,102.2,104.15,75.98,704
2003-05-07,103.1,114.0,103.0,112.0,81.7,11039
2003-05-08,108.3,110.0,108.3,109.9,80.17,1264
2003-05-09,113.75,113.75,105.05,107.7,78.57,188
2003-05-12,110.0,110.0,108.95,110.0,80.24,1720
2003-05-13,109.5,109.75,107.75,109.5,79.88,1687
2003-05-14,109.75,111.0,109.75,110.0,80.24,1483
2003-05-15,108.1,109.0,108.0,108.6,79.22,1340
2003-05-16,108.0,108.1,108.0,108.0,78.78,325
2003-05-19,108.0,108.0,107.6,107.6,78.49,105
2003-05-20,108.9,109.0,108.0,108.0,78.78,600
2003-05-21,109.9,109.9,106.9,107.15,78.16,811
2003-05-22,105.25,107.65,105.0,105.1,76.67,1725
2003-05-23,100.35,108.95,100.35,108.95,79.48,403
2003-05-26,105.0,108.0,105.0,106.0,77.33,1875
2003-05-27,105.15,107.55,105.15,107.5,78.42,134
2003-05-28,107.0,111.0,107.0,108.45,79.11,615
2003-05-29,107.0,108.0,106.75,107.3,78.27,760
2003-05-30,107.0,108.0,107.0,107.0,78.05,975
2003-06-02,106.0,107.0,104.65,105.75,77.14,1020
2003-06-03,108.05,108.05,105.55,105.55,77.0,52
2003-06-04,105.55,107.0,105.55,106.65,77.8,765
2003-06-05,107.0,108.0,106.25,106.55,77.73,604
2003-06-06,108.0,109.0,105.3,108.55,79.19,2066
2003-06-09,108.0,109.0,108.0,109.0,79.51,800
2003-06-10,107.0,108.8,106.5,107.0,78.05,1446
2003-06-11,106.5,107.1,106.5,107.1,78.13,150
2003-06-12,106.05,108.0,106.05,108.0,78.78,608
2003-06-13,103.25,106.7,103.2,106.3,80.14,805
2003-06-16,105.0,105.0,105.0,105.0,79.16,55
2003-06-17,105.0,105.0,103.5,103.85,78.29,805
2003-06-18,94.1,104.0,94.1,103.75,78.22,2053
2003-06-19,103.75,105.0,103.75,103.95,78.37,330
2003-06-20,104.85,104.9,102.0,103.05,77.69,190
2003-06-23,103.0,104.8,103.0,103.15,77.77,1262
2003-06-24,103.0,103.85,102.5,103.1,77.73,1175
2003-06-25,103.25,104.2,103.1,103.6,78.11,3033
2003-06-26,104.0,105.0,103.6,103.6,78.11,2812
2003-06-27,104.95,108.8,103.5,104.2,78.56,4435
2003-06-30,105.0,105.25,104.1,104.95,79.12,2951
2003-07-01,108.5,108.5,105.25,105.4,79.46,1775
2003-07-02,107.0,108.1,105.1,105.3,79.39,7700
2003-07-03,108.1,109.5,107.25,107.6,81.12,2225
2003-07-04,107.0,110.0,107.0,108.3,81.65,8633
2003-07-07,115.0,115.0,108.1,109.25,82.37,13385
2003-07-08,112.0,119.5,110.15,112.2,84.59,39019
2003-07-09,115.0,115.0,110.0,110.55,83.35,3254
2003-07-10,110.0,112.0,109.25,110.1,83.01,2260
2003-07-11,100.0,112.0,100.0,111.55,84.1,2589
2003-07-14,110.0,116.0,109.15,111.2,83.84,35655
2003-07-15,108.25,110.9,108.0,108.05,81.46,3112
2003-07-16,105.0,110.0,105.0,107.25,80.86,1878
2003-07-17,107.25,108.75,107.2,107.85,81.31,3963
2003-07-18,107.15,108.2,106.1,107.4,80.97,3106
2003-07-21,106.5,116.5,106.5,107.25,80.86,17869
2003-07-22,106.0,107.0,106.0,106.15,80.03,5775
2003-07-23,107.0,107.3,106.55,107.2,80.82,9638
2003-07-24,106.0,108.25,105.4,106.4,80.22,3707
2003-07-25,106.25,106.55,105.25,105.75,79.73,10826
2003-07-28,106.0,106.55,106.0,106.15,80.03,5336
2003-07-29,106.0,107.0,106.0,107.0,80.67,200
2003-07-30,107.0,116.0,107.0,108.45,81.76,34892
2003-07-31,108.55,113.35,107.55,108.7,81.95,2267
2003-08-01,112.5,112.5,108.05,111.4,83.99,2822
2003-08-04,110.0,113.0,110.0,110.1,83.01,790
2003-08-05,117.75,117.75,108.0,108.1,81.5,5300
2003-08-06,102.35,110.9,102.35,108.1,81.5,1876
2003-08-07,113.25,113.25,108.05,109.0,82.18,472
2003-08-08,109.5,110.25,108.2,108.7,81.95,1307
2003-08-11,108.0,112.0,107.4,110.15,83.04,1000
2003-08-12,112.0,112.0,110.0,110.95,83.65,1250
2003-08-13,102.0,111.8,102.0,110.95,83.65,226
2003-08-14,113.0,113.0,108.5,108.5,81.8,1903
2003-08-15,108.5,108.5,108.5,108.5,81.8,0
2003-08-18,108.3,111.4,108.1,110.25,83.12,1962
2003-08-19,104.0,114.5,104.0,108.95,82.14,4905
2003-08-20,103.0,112.4,102.0,108.0,81.42,13275
2003-08-21,114.9,114.9,106.75,107.0,80.67,4706
2003-08-22,108.1,108.1,107.0,107.0,80.67,1664
