Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,33.6,33.6,32.65,33.6,33.6,3400000
2017-10-24,36.0,37.3,33.75,34.5,34.5,3372000
2017-10-25,35.0,35.95,33.25,33.6,33.6,816000
2017-10-26,34.5,34.5,32.7,33.6,33.6,368000
2017-10-27,33.7,34.75,33.05,33.5,33.5,192000
2017-10-30,33.5,33.5,32.7,32.9,32.9,268000
2017-10-31,33.0,33.2,32.7,32.95,32.95,192000
2017-11-01,32.8,36.95,32.5,34.8,34.8,260000
2017-11-02,34.3,34.5,33.5,33.6,33.6,60000
2017-11-03,33.6,34.25,33.6,34.0,34.0,128000
2017-11-06,34.7,40.8,34.7,40.8,40.8,1184000
2017-11-07,41.6,44.85,38.5,39.85,39.85,684000
2017-11-08,41.75,42.7,39.8,41.3,41.3,300000
2017-11-09,41.7,43.15,41.4,42.6,42.6,160000
2017-11-10,40.25,48.25,40.25,45.8,45.8,608000
2017-11-13,48.25,51.0,47.0,48.75,48.75,588000
2017-11-14,50.75,54.0,49.0,53.1,53.1,728000
2017-11-15,53.1,58.0,53.1,56.15,56.15,540000
2017-11-16,57.5,61.75,51.25,55.35,55.35,844000
2017-11-17,57.45,57.9,53.9,56.0,56.0,324000
2017-11-20,56.0,59.3,56.0,57.5,57.5,196000
2017-11-21,58.0,58.0,56.0,56.3,56.3,156000
2017-11-22,56.95,56.95,53.4,54.15,54.15,136000
2017-11-23,54.45,59.55,54.45,57.3,57.3,408000
2017-11-24,57.6,57.85,56.45,56.9,56.9,76000
2017-11-27,58.45,58.95,57.2,57.45,57.45,84000
2017-11-28,57.75,57.85,56.1,56.5,56.5,64000
2017-11-29,56.55,56.55,54.1,54.3,54.3,80000
2017-11-30,54.0,54.8,53.6,53.7,53.7,32000
2017-12-01,54.0,55.65,53.0,53.25,53.25,112000
2017-12-04,53.0,54.0,52.75,52.75,52.75,40000
2017-12-05,53.0,53.85,53.0,53.05,53.05,56000
2017-12-06,52.5,53.25,52.0,52.15,52.15,112000
2017-12-07,51.5,53.0,50.2,52.45,52.45,84000
2017-12-08,52.1,57.5,52.1,56.5,56.5,128000
2017-12-11,53.25,55.95,53.25,55.95,55.95,20000
2017-12-12,55.75,56.0,55.0,55.6,55.6,36000
2017-12-13,56.0,58.0,56.0,56.5,56.5,60000
2017-12-14,57.9,57.9,53.5,55.05,55.05,76000
2017-12-15,55.05,55.1,55.05,55.1,55.1,8000
2017-12-18,54.8,55.25,54.75,55.25,55.25,16000
2017-12-19,54.75,54.75,53.55,54.2,54.2,44000
2017-12-20,54.75,55.7,54.75,54.8,54.8,20000
2017-12-21,65.75,65.75,57.45,63.9,63.9,340000
2017-12-22,64.0,70.5,64.0,70.0,70.0,308000
2017-12-26,72.75,84.0,72.7,83.8,83.8,420000
2017-12-27,87.1,89.0,76.05,78.05,78.05,592000
2017-12-28,79.85,80.65,77.25,79.55,79.55,100000
2017-12-29,81.0,81.5,77.8,78.75,78.75,76000
2018-01-01,80.0,84.4,79.3,79.65,79.65,152000
2018-01-02,78.35,78.35,76.75,77.5,77.5,24000
2018-01-03,78.95,80.75,78.0,79.95,79.95,84000
2018-01-04,80.0,80.0,78.15,78.65,78.65,40000
2018-01-05,77.6,78.7,75.75,76.85,76.85,44000
2018-01-08,78.95,84.5,78.95,80.95,80.95,132000
2018-01-09,81.0,81.0,78.05,79.2,79.2,44000
2018-01-10,77.05,80.0,77.0,79.95,79.95,32000
2018-01-11,80.0,81.95,79.55,80.2,80.2,72000
2018-01-12,80.75,80.95,78.1,80.95,80.95,16000
2018-01-15,80.95,80.95,80.95,80.95,80.95,0
2018-01-16,79.5,80.6,76.75,76.75,76.75,64000
