Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,4.6,4.6,4.2,4.47,3.5538,39785
2002-07-02,4.8,4.82,4.66,4.79,3.8082,31715
2002-07-03,4.9,5.15,4.84,5.0,3.9752,72175
2002-07-04,5.29,5.34,5.0,5.21,4.1422,44490
2002-07-05,5.2,5.4,5.14,5.3,4.2137,32200
2002-07-08,6.0,6.33,5.6,6.2,4.9292,98175
2002-07-09,6.62,6.64,5.62,6.06,4.8179,78935
2002-07-10,6.2,6.2,5.61,5.69,4.5238,34710
2002-07-11,5.65,5.85,5.5,5.59,4.4443,29130
2002-07-12,5.1,5.7,5.1,5.45,4.333,32270
2002-07-15,5.4,5.4,4.91,4.92,3.9116,12575
2002-07-16,5.0,5.0,4.8,4.85,3.8559,9000
2002-07-17,4.8,5.0,4.7,4.74,3.7685,14810
2002-07-18,4.7,4.96,4.64,4.83,3.84,5935
2002-07-19,5.08,5.08,4.9,5.0,3.9752,16300
2002-07-22,4.54,4.7,4.54,4.65,3.6969,4750
2002-07-23,5.0,5.0,4.74,4.79,3.8082,5885
2002-07-24,4.8,4.8,4.6,4.6,3.6572,5500
2002-07-25,4.75,4.94,4.52,4.63,3.681,25555
2002-07-26,4.5,4.5,4.31,4.31,3.4266,6750
2002-07-29,4.0,4.0,3.89,3.89,3.0927,7545
2002-07-30,4.01,4.01,3.9,3.98,3.1643,3505
2002-07-31,3.65,3.65,3.65,3.65,2.9019,1000
2002-08-01,3.8,3.8,3.8,3.8,3.0211,500
2002-08-02,3.97,3.99,3.91,3.99,3.1722,1500
2002-08-05,4.02,4.02,4.02,4.02,3.1961,500
2002-08-06,4.12,4.2,4.12,4.13,3.2835,4750
2002-08-07,4.22,4.22,4.21,4.21,3.3471,8000
2002-08-08,4.21,4.22,4.21,4.22,3.3551,6750
2002-08-09,4.3,4.38,4.2,4.21,3.3471,4750
2002-08-12,4.4,4.4,4.3,4.32,3.4346,1500
2002-08-13,3.83,4.05,3.83,4.05,3.2199,680
2002-08-14,4.2,4.2,4.02,4.14,3.2915,7250
2002-08-15,4.14,4.14,4.14,4.14,3.2915,0
2002-08-16,4.15,4.15,4.15,4.15,3.2994,750
2002-08-19,4.2,4.35,4.01,4.17,3.3153,8000
2002-08-20,4.03,4.03,4.03,4.03,3.204,250
2002-08-21,3.6,4.4,3.6,4.19,3.3312,5525
2002-08-22,3.65,4.1,3.65,4.09,3.2517,1005
2002-08-23,4.0,4.0,4.0,4.0,3.1802,10000
2002-08-26,3.53,4.26,3.53,4.26,3.3869,10
2002-08-27,3.81,4.08,3.7,3.71,2.9496,12530
2002-08-28,3.6,4.08,3.6,3.91,3.1086,2760
2002-08-29,4.3,4.3,3.61,3.75,2.9814,4630
2002-08-30,3.06,3.58,3.06,3.43,2.727,9780
2002-09-02,3.68,3.68,3.44,3.45,2.7429,3375
2002-09-03,3.99,3.99,3.44,3.47,2.7588,12155
2002-09-04,3.56,3.56,3.42,3.42,2.719,4000
2002-09-05,3.51,3.51,3.4,3.44,2.7349,3875
2002-09-06,4.08,4.08,3.42,3.5,2.7826,5300
2002-09-09,3.49,3.55,3.42,3.49,2.7747,3260
2002-09-10,3.49,3.49,3.49,3.49,2.7747,0
2002-09-11,3.49,3.49,3.49,3.49,2.9434,0
2002-09-12,3.36,3.49,3.3,3.3,2.7831,4755
2002-09-13,3.58,3.58,3.58,3.58,3.0193,5
2002-09-16,4.24,4.24,3.25,3.39,2.859,20
2002-09-17,4.06,4.06,3.31,3.53,2.9771,25
2002-09-18,4.22,4.22,3.5,3.63,3.0614,15
2002-09-19,4.34,4.34,3.2,3.2,2.6988,1015
2002-09-20,3.84,3.84,3.28,3.28,2.7663,940
2002-09-23,3.92,3.92,3.92,3.92,3.306,5
2002-09-24,4.7,4.7,3.2,3.45,2.9096,5680
2002-09-25,4.14,4.14,3.25,3.27,2.7578,1775
2002-09-26,2.63,3.53,2.63,3.53,2.9771,10
2002-09-27,3.01,3.01,3.01,3.01,2.5385,5
2002-09-30,3.01,3.01,3.01,3.01,2.5385,0
2002-10-01,3.2,3.2,3.2,3.2,2.6988,4705
2002-10-02,3.2,3.2,3.2,3.2,2.6988,0
2002-10-03,3.2,3.2,3.06,3.06,2.5807,8000
2002-10-04,2.61,3.34,2.61,2.96,2.4964,5535
2002-10-07,2.96,2.96,2.96,2.96,2.4964,0
2002-10-08,3.25,3.25,3.25,3.25,2.741,1970
2002-10-09,3.34,3.35,2.89,3.1,2.6144,11610
2002-10-10,3.28,3.28,3.0,3.0,2.5301,1000
2002-10-11,3.33,3.33,3.28,3.28,2.7663,350
2002-10-14,3.28,3.28,3.28,3.28,2.7663,0
2002-10-15,3.28,3.28,3.28,3.28,2.7663,0
2002-10-16,3.01,3.01,3.01,3.01,2.5385,500
2002-10-17,3.01,3.01,3.01,3.01,2.5385,0
2002-10-18,3.01,3.01,3.01,3.01,2.5385,0
2002-10-21,3.01,3.01,3.01,3.01,2.5385,0
2002-10-22,3.04,3.04,3.04,3.04,2.5638,375
2002-10-23,3.04,3.04,3.04,3.04,2.5638,0
2002-10-24,3.0,3.0,2.98,2.98,2.5132,1500
2002-10-25,2.93,3.14,2.93,3.14,2.6482,1505
2002-10-28,2.54,2.54,2.54,2.54,2.1422,5
2002-10-29,3.0,3.05,3.0,3.05,2.5723,2000
2002-10-30,3.16,3.18,2.82,3.01,2.5385,1510
2002-10-31,2.94,3.2,2.94,3.19,2.6904,270
2002-11-01,2.99,3.1,2.99,3.1,2.6144,505
2002-11-04,3.36,3.36,3.19,3.21,2.7072,20
2002-11-05,2.79,3.25,2.79,3.17,2.6735,15
2002-11-06,3.17,3.17,3.17,3.17,2.6735,0
2002-11-07,3.17,3.17,3.17,3.17,2.6735,0
2002-11-08,2.93,3.27,2.93,3.27,2.7578,1500
2002-11-11,3.3,3.3,2.95,3.08,2.5976,515
2002-11-12,3.1,3.28,3.03,3.2,2.6988,1010
2002-11-13,3.2,3.2,3.2,3.2,2.6988,0
2002-11-14,2.85,3.29,2.85,3.1,2.6144,3030
2002-11-15,3.72,3.72,2.9,2.9,2.4458,2515
2002-11-18,3.25,3.25,3.19,3.19,2.6904,10
2002-11-19,3.19,3.19,3.19,3.19,2.6904,0
2002-11-20,3.34,3.34,3.1,3.18,2.6819,2270
2002-11-21,3.2,3.2,3.2,3.2,2.6988,1000
2002-11-22,3.2,3.2,3.2,3.2,2.6988,0
2002-11-25,3.3,3.4,3.2,3.22,2.7157,2510
2002-11-26,3.22,3.22,3.22,3.22,2.7157,0
2002-11-27,3.27,3.27,3.0,3.2,2.6988,3580
2002-11-28,2.6,3.54,2.6,3.52,2.9687,860
