Date,Open,High,Low,Close,Adj Close,Volume
2008-04-08,157.15,157.15,124.08,139.15,113.92,11867
2008-04-09,138.1,139.81,132.82,135.31,110.77,2591
2008-04-10,136.4,144.18,136.31,144.18,118.03,891
2008-04-11,143.74,143.74,131.99,136.31,111.6,1186
2008-04-15,133.08,161.48,133.03,146.14,119.64,550
2008-04-16,142.43,161.65,136.4,151.47,124.01,3218
2008-04-17,155.53,159.9,152.91,157.37,128.84,1113
2008-04-21,145.92,159.9,145.92,157.5,128.94,1392
2008-04-22,161.65,161.65,155.1,156.63,128.23,685
2008-04-23,157.28,161.65,149.42,161.13,131.91,1397
2008-04-24,152.91,170.3,152.91,157.94,129.3,695
2008-04-25,169.52,169.52,151.03,158.33,129.62,838
2008-04-28,151.6,168.64,132.16,152.13,124.54,2827
2008-04-29,143.17,151.91,143.17,146.71,120.11,520
2008-04-30,143.39,164.27,139.89,149.29,122.22,4198
2008-05-02,166.02,166.02,152.48,162.96,133.42,3265
2008-05-05,187.86,187.86,153.0,153.0,125.26,1036
2008-05-06,176.51,176.51,152.39,156.28,127.94,1737
2008-05-07,158.94,162.52,148.54,158.64,129.87,2317
2008-05-08,159.9,165.15,152.96,154.01,126.08,1906
2008-05-09,151.25,152.91,144.61,145.05,118.75,382
2008-05-12,123.16,150.82,123.16,147.71,120.93,4981
2008-05-13,149.42,152.83,144.04,150.29,123.04,16418
2008-05-14,156.41,156.98,150.29,152.78,125.08,1263
2008-05-15,152.04,160.78,151.25,151.82,124.29,2439
2008-05-16,157.28,164.49,152.26,157.59,129.02,7340
2008-05-20,170.39,170.39,148.54,153.13,125.37,1487
2008-05-21,156.36,159.64,151.34,157.28,128.77,1042
2008-05-22,161.65,168.6,158.59,166.33,136.17,6827
2008-05-23,163.4,172.92,163.4,171.18,140.14,5452
2008-05-26,147.5,171.96,146.88,157.41,128.87,837
2008-05-27,162.26,162.26,153.87,154.09,126.15,352
2008-05-28,136.49,157.28,136.49,147.98,121.15,344
2008-05-29,145.4,165.15,145.4,159.69,130.73,4717
2008-05-30,180.87,180.87,154.88,166.33,136.17,3065
2008-06-02,166.02,167.68,159.25,165.32,135.35,2690
2008-06-03,149.85,164.97,146.88,162.44,132.99,1919
2008-06-04,165.15,165.15,151.17,157.24,128.73,1461
2008-06-05,142.38,159.9,142.38,149.16,122.11,167
2008-06-06,145.27,152.91,142.43,148.94,121.93,1094
2008-06-09,140.68,146.8,136.35,140.33,114.89,398
2008-06-10,135.66,146.27,135.66,136.44,111.7,500
2008-06-11,135.44,152.83,135.44,143.56,117.53,1170
2008-06-12,136.35,152.91,136.31,148.98,121.97,1092
2008-06-13,148.54,152.91,145.05,145.05,118.75,270
2008-06-16,140.42,155.49,140.42,147.32,120.61,450
2008-06-17,145.84,157.28,145.84,153.96,126.05,1749
2008-06-18,147.85,154.01,147.67,153.79,125.9,795
2008-06-19,152.04,153.35,147.19,153.35,125.55,19
2008-06-20,135.7,151.78,135.7,137.49,112.56,859
2008-06-23,139.81,139.81,122.42,127.35,104.26,1139
2008-06-24,123.64,125.61,113.68,118.44,96.97,891
2008-06-25,98.74,120.58,98.74,115.65,94.68,1005
2008-06-26,99.31,124.78,99.31,124.17,101.65,41
2008-06-27,104.94,125.78,104.94,110.93,90.82,1034
2008-06-30,104.85,113.55,104.85,109.35,89.53,542
2008-07-01,88.34,113.59,88.34,99.39,81.37,1448
2008-07-02,83.01,107.04,83.01,99.96,81.84,5296
2008-07-03,81.7,104.59,81.7,101.23,82.87,400
2008-07-04,86.55,102.89,86.55,102.58,83.98,2073
2008-07-07,88.25,117.96,88.25,111.67,91.42,3704
2008-07-08,96.12,113.59,96.12,111.19,91.03,1131
2008-07-09,92.05,119.93,92.05,110.05,90.1,4157
2008-07-10,92.23,115.56,92.23,111.19,91.03,3436
2008-07-11,95.46,113.37,95.46,105.25,86.17,3057
2008-07-14,90.87,105.95,90.87,100.75,82.48,2141
2008-07-15,83.88,103.11,83.88,102.89,84.23,1557
2008-07-16,91.75,105.64,91.75,99.87,81.77,897
2008-07-17,91.75,102.23,91.75,101.53,83.13,1177
2008-07-18,97.95,102.85,97.95,102.06,83.55,1288
2008-07-21,96.12,109.14,96.12,103.81,84.99,186
2008-07-22,96.29,106.6,96.29,104.42,85.49,355
