Date,Open,High,Low,Close,Adj Close,Volume
2005-12-15,201.0,230.9,198.6,201.95,185.56,2110402
2005-12-16,203.5,242.35,198.1,242.35,222.68,1845670
2005-12-19,250.0,288.9,248.0,277.2,254.7,2247810
2005-12-20,280.0,280.0,250.25,254.9,234.21,956003
2005-12-21,253.0,288.8,253.0,275.55,253.18,2118919
2005-12-22,273.0,283.5,268.2,271.15,249.14,606614
2005-12-23,272.05,277.8,267.6,268.8,246.98,412986
2005-12-26,269.7,270.8,248.3,255.55,234.8,494883
2005-12-27,257.0,270.4,252.0,266.9,245.23,437942
2005-12-28,268.0,291.3,265.6,285.9,262.69,840809
2005-12-29,286.0,291.75,278.65,280.7,257.91,390442
2005-12-30,282.0,285.6,275.2,279.25,256.58,209339
2006-01-02,280.0,283.45,275.3,277.05,254.56,72999
2006-01-03,278.0,283.55,277.0,278.8,256.17,68106
2006-01-04,280.25,297.3,277.9,292.15,268.43,266643
2006-01-05,294.0,303.95,289.25,292.35,268.62,335553
2006-01-06,294.4,297.5,289.0,290.45,266.87,93826
2006-01-09,292.3,295.4,287.1,289.9,266.37,40869
2006-01-10,290.0,347.4,290.0,339.55,311.99,1064162
2006-01-12,337.0,354.25,328.5,333.0,305.97,455909
2006-01-13,333.8,358.7,333.25,342.35,314.56,523938
2006-01-16,350.0,376.8,345.0,352.75,324.11,378982
2006-01-17,356.0,358.4,334.6,345.45,317.41,265580
2006-01-18,277.0,352.9,277.0,340.95,313.27,146490
2006-01-19,342.0,347.4,336.65,338.55,311.07,88598
2006-01-20,341.2,353.85,338.2,343.7,315.8,129628
2006-01-23,342.0,352.0,339.0,340.8,313.13,118055
2006-01-24,342.85,352.0,341.5,342.5,314.7,80125
2006-01-25,345.95,350.8,333.2,335.35,308.13,46364
2006-01-27,339.35,399.0,338.0,389.85,358.2,533399
2006-01-30,350.1,401.0,350.1,361.3,331.97,288289
2006-01-31,363.7,406.35,357.3,385.65,354.34,976953
2006-02-01,385.5,387.5,360.45,363.5,333.99,314347
2006-02-02,365.0,386.35,364.65,379.85,349.01,277142
2006-02-03,381.5,385.0,365.45,382.1,351.08,192099
2006-02-06,383.0,403.7,378.0,396.7,364.5,464507
2006-02-07,397.95,399.0,382.2,384.65,353.42,159085
2006-02-08,385.35,385.35,375.0,377.1,346.49,70702
2006-02-10,379.0,391.9,378.0,388.45,356.92,100489
2006-02-13,387.0,391.75,376.35,381.95,350.94,43368
2006-02-14,383.9,392.5,375.55,379.05,348.28,52239
2006-02-15,380.9,384.9,373.4,375.1,344.65,32277
2006-02-16,377.8,379.9,366.3,368.7,338.77,23019
2006-02-17,373.0,373.0,358.95,364.65,335.05,40045
2006-02-20,368.0,382.0,360.1,378.75,348.0,57451
2006-02-21,380.0,380.95,370.0,371.1,340.97,22885
2006-02-22,371.05,377.4,370.0,374.1,343.73,14481
2006-02-23,375.5,375.5,370.2,370.75,340.65,7234
2006-02-24,372.0,380.95,370.0,370.55,340.47,15521
2006-02-27,374.45,376.35,371.0,372.4,342.17,6272
2006-02-28,375.0,385.0,371.0,377.95,347.27,20996
2006-03-01,381.0,381.4,370.8,373.05,342.77,8611
2006-03-02,370.35,384.0,370.35,374.2,343.82,9272
2006-03-03,374.45,381.95,370.95,372.75,342.49,8193
2006-03-06,376.5,405.0,370.4,384.5,353.29,125615
2006-03-07,387.8,387.8,375.0,377.2,346.58,15803
2006-03-08,378.0,385.55,368.0,369.8,339.78,37340
2006-03-09,371.0,383.9,371.0,373.45,343.13,9730
2006-03-10,370.15,387.8,370.15,380.15,349.29,24170
2006-03-13,382.0,401.5,377.75,392.5,360.64,56123
2006-03-14,394.0,434.65,388.0,420.95,386.78,343049
2006-03-16,426.0,441.7,418.0,420.1,386.0,125405
2006-03-17,425.5,425.5,403.25,405.7,372.77,26237
2006-03-20,407.0,424.0,403.0,417.75,383.84,26003
2006-03-21,424.4,425.0,401.5,404.75,371.89,11664
2006-03-22,407.5,416.0,399.1,404.75,371.89,11831
2006-03-23,411.8,418.0,391.0,401.8,369.18,8606
2006-03-24,404.7,424.5,397.0,416.6,382.78,16330
2006-03-27,420.0,432.45,403.6,408.35,375.2,15848
2006-03-28,412.85,420.0,403.2,407.3,374.24,10141
2006-03-29,411.0,419.9,409.5,414.2,380.58,11391
2006-03-30,415.5,430.0,415.0,417.9,383.98,25122
2006-03-31,421.9,421.9,414.25,416.05,382.28,3689
2006-04-03,420.0,422.0,416.0,418.45,384.48,2884
2006-04-04,425.0,428.0,409.05,412.05,378.6,5049
2006-04-05,415.0,429.9,412.0,419.8,385.72,13040
2006-04-07,423.1,426.0,409.0,411.1,377.73,7627
2006-04-10,413.6,415.95,392.3,397.6,365.32,4410
2006-04-12,399.0,408.0,374.0,377.4,346.76,6378
2006-04-13,377.4,389.0,360.0,379.0,348.23,13006
2006-04-17,386.0,394.8,361.25,369.1,339.14,6079
2006-04-18,380.0,383.0,362.35,368.3,338.4,23706
2006-04-19,369.9,381.75,367.05,369.1,339.14,14363
2006-04-20,376.0,378.0,370.0,372.85,342.58,2771
2006-04-21,373.0,379.7,355.75,374.35,343.96,4138
2006-04-24,371.1,382.0,365.05,367.0,337.21,5073
2006-04-25,369.85,395.0,362.0,374.65,344.24,9828
2006-04-26,375.0,386.0,375.0,376.85,346.26,4156
2006-04-27,380.4,397.0,375.0,382.65,351.59,10632
2006-04-28,372.5,381.75,362.0,370.75,340.65,2772
2006-05-02,387.7,387.7,377.0,379.5,348.69,1817
2006-05-03,383.9,392.0,381.0,387.2,355.77,6465
2006-05-04,385.0,391.9,382.5,384.15,352.97,1124
2006-05-05,390.0,392.8,377.0,389.6,357.97,3265
2006-05-08,390.0,407.0,390.0,403.4,370.65,8435
2006-05-09,407.0,419.0,406.0,410.4,377.08,13623
2006-05-10,411.0,417.5,411.0,413.1,379.57,2286
2006-05-11,412.0,414.0,404.0,404.85,371.98,1900
2006-05-12,385.0,413.0,385.0,402.35,369.69,3285
2006-05-15,402.0,410.0,386.0,397.6,365.32,8324
2006-05-16,390.0,444.3,386.1,430.25,395.32,8741
2006-05-17,432.0,468.4,432.0,446.5,410.25,39690
2006-05-18,432.0,454.0,412.0,415.6,381.86,14311
2006-05-19,434.2,440.5,388.5,424.1,389.67,11994
2006-05-22,419.6,424.9,380.0,407.25,374.19,6566
2006-05-23,407.0,431.0,395.0,428.35,393.58,7232
2006-05-24,425.0,434.9,412.0,415.7,381.95,3554
2006-05-25,410.0,431.0,410.0,418.8,384.8,872
2006-05-26,420.0,434.8,418.0,421.7,387.47,2075
2006-05-29,424.0,428.25,419.1,423.55,389.17,4842
2006-05-30,422.0,427.9,401.0,424.4,389.95,1677
2006-05-31,398.0,414.9,398.0,403.95,371.16,2776
2006-06-01,410.0,414.0,380.4,391.25,359.49,2440
2006-06-02,371.1,400.0,345.0,384.45,353.24,4112
2006-06-05,390.05,397.8,368.0,370.1,340.06,1403
2006-06-06,345.5,360.0,325.0,333.35,306.29,2292
2006-06-07,340.0,340.0,326.0,337.15,309.78,9208
2006-06-08,325.0,325.0,274.0,298.15,273.95,1981
