Date,Open,High,Low,Close,Adj Close,Volume
2016-10-19,572.0,654.4,572.0,646.9,628.45,36506028
2016-10-20,660.0,674.5,608.0,613.45,595.96,8610390
2016-10-21,614.0,632.0,605.15,626.25,608.39,3193161
2016-10-24,631.9,634.0,620.05,627.4,609.51,942296
2016-10-25,627.4,634.45,618.75,626.4,608.54,633022
2016-10-26,622.55,627.45,607.0,615.15,597.61,514571
2016-10-27,615.0,617.95,605.0,612.05,594.6,359111
2016-10-28,612.05,628.7,612.05,624.4,606.59,401342
2016-11-01,618.0,621.75,606.1,608.65,591.29,214674
2016-11-02,604.9,614.4,588.2,601.9,584.73,644219
2016-11-03,599.1,619.4,599.1,604.55,587.31,354758
2016-11-04,605.1,608.75,582.0,594.05,577.11,322506
2016-11-07,603.0,621.85,598.0,614.35,596.83,532110
2016-11-08,615.0,632.0,606.25,624.3,606.5,398604
2016-11-09,548.0,646.95,526.0,633.3,615.24,685896
2016-11-10,644.4,648.25,624.0,632.35,614.32,341773
2016-11-11,620.0,629.0,588.0,595.4,578.42,337195
2016-11-15,599.95,599.95,548.5,586.45,569.73,552423
2016-11-16,595.1,598.7,558.5,567.05,550.88,260799
2016-11-17,567.05,573.0,543.3,547.8,532.18,382901
2016-11-18,547.9,554.0,527.0,542.4,526.93,472679
2016-11-21,538.75,538.75,518.75,522.95,508.04,514445
2016-11-22,527.85,534.7,522.0,529.75,514.64,268588
2016-11-23,534.25,550.3,528.0,545.45,529.89,264459
2016-11-24,543.0,548.0,534.0,540.6,525.18,174139
2016-11-25,548.0,555.0,541.3,545.4,529.85,165067
2016-11-28,548.9,576.85,542.45,562.65,546.6,246027
2016-11-29,564.4,594.85,559.2,583.7,567.05,520680
2016-11-30,584.0,601.75,580.3,593.2,576.28,309485
2016-12-01,596.0,597.55,577.1,584.45,567.78,92939
2016-12-02,584.45,586.3,565.1,572.9,556.56,98655
2016-12-05,570.0,583.75,559.0,566.35,550.2,151236
2016-12-06,569.45,574.45,563.5,566.55,550.39,103540
2016-12-07,571.0,600.45,569.95,590.45,573.61,586912
2016-12-08,593.9,600.75,582.1,584.1,567.44,193847
2016-12-09,585.4,590.85,577.0,579.25,562.73,43010
2016-12-12,575.3,582.5,568.55,571.85,555.54,70120
2016-12-13,571.0,580.0,568.1,569.25,553.02,35633
2016-12-14,573.95,578.0,567.0,570.2,553.94,75435
2016-12-15,566.65,574.45,562.6,564.55,548.45,35556
2016-12-16,565.25,580.5,565.25,573.15,556.8,115222
2016-12-19,576.95,583.85,568.1,574.0,557.63,81711
2016-12-20,575.0,576.5,566.0,569.65,553.4,20829
2016-12-21,574.0,574.9,563.5,567.75,551.56,68476
2016-12-22,569.0,570.0,554.2,558.1,542.18,29454
2016-12-23,562.1,568.0,556.0,561.45,545.44,26758
2016-12-26,560.9,561.0,536.5,542.55,527.08,22773
2016-12-27,535.1,552.9,535.1,548.45,532.81,32053
2016-12-28,549.5,578.8,547.3,570.25,553.99,88237
2016-12-29,565.0,577.8,565.0,569.8,553.55,41959
2016-12-30,565.05,589.7,559.05,576.75,560.3,100004
2017-01-02,580.0,587.3,573.0,578.55,562.05,29239
2017-01-03,581.9,583.95,570.9,572.75,556.42,22090
2017-01-04,568.0,579.8,568.0,571.3,555.01,14696
2017-01-05,573.9,586.0,570.55,573.55,557.19,42381
2017-01-06,573.55,578.1,561.15,562.85,546.8,31005
2017-01-09,560.0,572.4,558.0,563.7,547.62,22751
2017-01-10,564.85,567.9,555.55,558.15,542.23,77279
2017-01-11,579.5,592.0,570.1,574.2,557.82,208118
2017-01-12,577.8,608.0,568.95,600.25,583.13,475175
2017-01-13,602.0,605.9,584.0,587.05,570.31,88396
2017-01-16,586.2,589.55,580.0,584.25,567.59,46087
2017-01-17,586.3,597.4,578.25,583.25,566.62,568160
2017-01-18,585.3,604.0,585.3,594.0,577.06,88258
2017-01-19,596.0,609.8,590.55,601.35,584.2,111362
2017-01-20,595.1,600.35,582.5,586.35,569.63,27828
2017-01-23,586.0,592.5,581.0,584.3,567.64,36243
2017-01-24,580.2,603.9,580.2,596.55,579.54,66236
2017-01-25,599.9,617.45,598.05,612.2,594.74,217281
2017-01-27,614.0,619.45,605.05,608.9,591.54,62223
2017-01-30,601.65,630.0,601.65,625.65,607.81,95612
2017-01-31,627.0,633.7,596.0,614.9,597.36,219576
2017-02-01,620.0,635.0,608.0,633.05,615.0,88030
2017-02-02,630.0,644.4,625.0,640.7,622.43,76203
2017-02-03,639.7,643.9,631.35,634.1,616.02,97302
2017-02-06,630.1,645.7,630.1,639.8,621.55,54012
2017-02-07,638.85,644.75,633.0,638.0,619.81,42580
2017-02-08,639.95,645.0,628.0,631.55,613.54,55630
2017-02-09,634.0,635.05,615.8,620.05,602.37,230927
2017-02-10,624.0,648.75,620.0,640.6,622.33,302035
2017-02-13,638.0,658.8,633.05,655.8,637.1,141163
2017-02-14,655.1,681.9,652.35,675.35,656.09,302526
2017-02-15,676.5,679.7,650.1,664.35,645.4,89118
2017-02-16,667.4,671.4,655.7,661.5,642.63,23617
2017-02-17,662.55,667.0,653.05,663.8,644.87,176694
2017-02-20,660.55,675.0,656.6,671.85,652.69,98942
2017-02-21,671.6,680.0,666.0,672.55,653.37,72728
2017-02-22,672.05,676.0,664.0,668.8,649.73,32932
2017-02-23,673.0,703.95,673.0,690.85,671.15,186604
2017-02-27,695.0,721.0,689.35,715.6,695.19,168296
2017-02-28,720.0,724.7,703.2,705.9,685.77,51864
2017-03-01,701.25,721.25,701.25,715.7,695.29,51551
2017-03-02,719.95,729.0,700.0,701.85,681.83,67426
2017-03-03,704.4,708.0,685.1,688.05,668.43,53474
2017-03-06,697.9,704.3,685.7,691.25,671.54,33185
2017-03-07,691.0,712.85,687.0,700.1,680.13,66964
2017-03-08,697.75,707.95,686.0,702.1,682.08,31449
2017-03-09,697.15,708.4,691.15,699.35,679.41,14186
