Date,Open,High,Low,Close,Adj Close,Volume
2006-02-16,269.0,273.8,255.6,258.4,252.31,4601763
2006-02-17,261.0,262.4,241.15,243.2,237.47,2258499
2006-02-20,243.8,254.35,225.6,247.05,241.23,3964149
2006-02-21,247.05,247.05,247.05,247.05,241.23,0
2006-02-22,240.25,241.4,231.5,237.1,231.51,1732499
2006-02-23,236.0,246.4,232.5,239.1,233.47,1244219
2006-02-24,241.0,244.8,237.5,240.6,234.93,614549
2006-02-27,242.95,250.1,238.0,246.5,240.69,1494971
2006-02-28,245.1,245.1,230.55,234.6,229.07,387700
2006-03-01,234.7,235.0,223.8,226.15,220.82,355322
2006-03-02,228.0,235.8,224.0,226.0,220.67,447037
2006-03-03,226.0,231.85,221.5,222.55,217.31,259789
2006-03-06,223.0,224.75,220.25,221.1,215.89,130384
2006-03-07,223.0,228.45,220.5,224.7,219.41,133985
2006-03-08,224.0,231.0,222.25,224.0,218.72,309996
2006-03-09,225.0,225.7,221.05,222.35,217.11,76977
2006-03-10,223.0,236.5,223.0,233.55,228.05,320617
2006-03-13,234.55,235.95,225.0,226.6,221.26,91002
2006-03-14,228.0,228.0,222.0,222.5,217.26,46793
2006-03-16,223.8,233.5,218.0,224.9,219.6,167186
2006-03-17,225.5,228.0,223.5,224.35,219.06,123600
2006-03-20,227.0,238.0,224.1,234.35,228.83,429353
2006-03-21,238.25,239.4,229.1,233.95,228.44,226716
2006-03-22,234.1,237.0,221.55,224.1,218.82,238845
2006-03-23,226.2,233.7,226.2,231.4,225.95,85456
2006-03-24,232.0,234.6,227.05,227.95,222.58,45398
2006-03-27,228.15,232.0,225.5,227.85,222.48,79314
2006-03-28,227.0,230.0,221.0,222.45,217.21,91673
2006-03-29,222.45,222.45,222.45,222.45,217.21,0
2006-03-30,225.95,225.95,220.0,224.1,218.82,45730
2006-03-31,223.5,225.5,218.0,219.5,214.33,76070
2006-04-03,221.5,231.8,220.0,230.1,224.68,85152
2006-04-04,235.0,239.5,233.2,235.6,230.05,177502
2006-04-05,237.0,246.0,237.0,239.65,234.0,185682
2006-04-07,236.95,248.9,227.0,228.9,223.51,60826
2006-04-10,228.0,232.0,225.15,226.35,221.02,38277
2006-04-12,226.35,226.35,226.35,226.35,221.02,0
2006-04-13,222.0,223.1,197.0,213.2,208.18,87651
2006-04-17,220.0,220.0,212.25,213.7,208.66,36028
2006-04-18,215.0,222.0,214.0,217.9,212.77,40870
2006-04-19,222.1,245.0,221.0,222.35,217.11,37083
2006-04-20,227.95,236.0,225.05,230.9,225.46,141987
2006-04-21,235.2,244.9,231.6,232.95,227.46,362410
2006-04-24,233.5,234.9,218.35,219.6,214.43,85942
2006-04-25,221.0,263.55,217.5,263.55,257.34,686677
2006-04-26,268.0,276.0,254.0,264.95,258.71,1154810
2006-04-27,265.0,277.05,260.0,267.55,261.25,614864
2006-04-28,267.55,267.55,267.55,267.55,261.25,0
2006-05-02,260.1,275.0,260.1,267.1,260.81,263831
2006-05-03,269.7,275.05,265.55,267.2,260.9,107303
2006-05-04,270.55,270.55,260.0,261.8,255.63,56195
2006-05-05,265.95,273.0,260.5,270.5,264.13,97633
2006-05-08,270.05,283.8,265.15,267.1,260.81,126603
2006-05-09,267.5,269.8,263.05,264.7,258.46,30336
2006-05-10,265.0,270.0,263.0,266.15,259.88,40284
2006-05-11,265.5,265.5,258.4,263.65,257.44,30336
2006-05-12,255.1,269.0,250.0,255.3,249.28,20280
2006-05-15,257.0,259.0,235.3,240.65,234.98,28898
2006-05-16,241.0,244.45,225.0,242.0,236.3,23653
2006-05-17,257.95,260.0,241.15,258.25,252.16,43646
2006-05-18,242.0,255.0,219.0,244.95,239.18,38337
2006-05-19,260.1,270.0,235.1,239.6,233.95,77700
2006-05-22,225.0,250.0,202.0,241.7,236.0,115406
2006-05-23,225.1,245.0,225.0,232.05,226.58,16912
2006-05-24,235.0,243.0,222.05,223.5,218.23,14161
2006-05-25,224.9,228.4,218.0,223.95,218.67,9494
2006-05-26,232.0,235.0,228.0,232.55,227.07,63343
2006-05-29,232.0,237.9,221.0,225.95,220.63,8822
2006-05-30,227.8,230.0,222.05,224.05,218.77,9990
