Date,Open,High,Low,Close,Adj Close,Volume
2016-04-22,136.55,140.55,136.1,138.0,132.18,16016315
2016-04-25,138.7,139.45,135.3,136.05,130.31,6635973
2016-04-26,136.45,141.35,135.7,138.7,132.85,8740837
2016-04-27,138.7,143.3,138.1,141.85,135.87,12469123
2016-04-28,141.75,142.8,138.3,138.8,132.95,5001100
2016-04-29,138.8,141.85,137.25,140.15,134.24,4947987
2016-05-02,139.4,143.8,138.55,143.1,137.07,4984758
2016-05-03,144.4,146.8,140.35,140.85,134.91,6655538
2016-05-04,140.55,142.5,139.75,140.45,134.53,2130868
2016-05-05,141.0,146.75,140.7,145.5,139.36,6707180
2016-05-06,146.8,148.6,142.25,145.65,139.51,6663738
2016-05-09,146.0,146.7,141.6,142.95,136.92,3813982
2016-05-10,143.4,145.4,137.75,142.3,136.3,5933188
2016-05-11,139.5,143.95,139.2,142.95,136.92,2734500
2016-05-12,143.5,149.6,141.8,147.75,141.52,7384329
2016-05-13,148.15,148.4,144.5,145.5,139.36,3281584
2016-05-16,146.1,150.9,144.4,150.2,143.87,4810396
2016-05-17,150.5,151.3,147.2,148.1,141.86,2195450
2016-05-18,147.0,147.45,144.9,145.55,139.41,1878648
2016-05-19,146.0,150.8,145.5,148.45,142.19,3377203
2016-05-20,149.0,149.25,146.9,148.1,141.86,1504588
2016-05-23,148.2,148.9,146.0,146.65,140.47,842451
2016-05-24,145.1,146.35,143.9,144.6,138.5,690248
2016-05-25,145.75,150.4,145.5,149.25,142.96,1403337
2016-05-26,149.4,159.4,149.4,154.85,148.32,5852105
2016-05-27,154.9,157.7,152.5,154.9,148.37,1600647
2016-05-30,155.0,160.9,154.8,159.5,152.77,3339001
2016-05-31,159.4,163.45,156.5,161.55,154.74,3033954
2016-06-01,159.9,166.85,157.65,165.0,158.04,4961795
2016-06-02,165.0,167.5,163.9,167.0,159.96,2805265
2016-06-03,167.4,187.7,167.35,173.7,166.38,19710530
2016-06-06,174.0,177.4,163.2,174.7,167.33,7999021
2016-06-07,175.7,180.45,174.3,175.75,168.34,2811915
2016-06-08,176.3,179.4,175.0,177.45,169.97,1755424
2016-06-09,178.15,179.4,175.35,176.2,168.77,2031992
2016-06-10,176.0,184.0,174.0,179.0,171.45,4153381
2016-06-13,176.0,177.4,169.9,173.7,166.38,3042559
2016-06-14,174.6,176.0,169.4,171.2,163.98,3318343
2016-06-15,172.0,175.4,171.4,172.1,164.84,1480507
2016-06-16,172.0,177.4,171.2,172.15,164.89,2162224
2016-06-17,173.8,175.75,170.4,174.05,166.71,1693190
2016-06-20,171.6,180.8,171.25,179.95,172.36,3145514
2016-06-21,180.5,181.5,174.95,176.4,168.96,2936839
2016-06-22,177.5,182.3,176.05,176.75,169.3,2832447
2016-06-23,176.75,178.4,174.6,175.3,167.91,1510221
2016-06-24,169.05,175.9,162.3,174.85,167.48,2755287
2016-06-27,172.0,177.3,171.5,172.1,164.84,1773905
2016-06-28,172.95,174.25,168.8,170.15,162.98,1998162
2016-06-29,171.4,178.8,171.35,177.3,169.82,3314349
2016-06-30,178.8,181.2,176.35,177.7,170.21,2844685
2016-07-01,184.4,191.7,182.2,183.75,176.0,4938987
2016-07-04,184.8,192.4,183.7,188.75,180.79,4248176
2016-07-05,189.65,193.5,186.4,188.1,180.17,3153731
2016-07-07,188.0,190.95,184.1,184.8,177.01,1644513
2016-07-08,185.65,185.7,180.55,181.25,173.61,1181052
2016-07-11,183.45,185.3,182.15,182.9,175.19,1404624
2016-07-12,184.45,184.5,176.6,178.8,171.26,1175016
2016-07-13,179.8,179.9,170.1,174.45,167.09,1351154
2016-07-14,175.25,179.35,172.8,176.4,168.96,1305238
2016-07-15,177.4,178.2,173.25,177.15,169.68,1040195
2016-07-18,177.6,181.4,176.0,176.6,169.15,1069408
2016-07-19,177.0,177.75,173.1,173.7,166.38,985579
2016-07-20,174.25,176.15,173.2,174.9,167.53,702814
2016-07-21,175.0,177.4,172.85,173.65,166.33,746885
2016-07-22,175.0,184.0,173.2,182.05,174.37,3498713
2016-07-25,190.0,192.0,185.0,186.8,178.92,3889563
2016-07-26,188.1,199.5,187.5,194.25,186.06,6176633
2016-07-27,195.4,198.6,190.85,193.95,185.77,3891220
2016-07-28,195.0,206.25,194.75,200.9,192.43,6346808
2016-07-29,202.65,202.9,195.3,196.15,187.88,2313542
2016-08-01,197.5,200.65,193.5,195.05,186.83,1845306
2016-08-02,196.15,196.15,183.8,185.1,177.3,2031186
2016-08-03,185.0,185.0,175.1,176.55,169.11,2999553
2016-08-04,178.8,179.7,171.55,172.1,164.84,2738314
2016-08-05,173.9,181.8,173.5,180.4,172.79,2733525
2016-08-08,181.4,182.2,178.65,179.9,172.31,1071266
2016-08-09,180.4,184.1,178.0,180.65,173.03,1883534
2016-08-10,181.5,181.8,172.55,173.35,166.04,1752118
2016-08-11,174.1,175.35,168.85,169.85,162.69,2488052
2016-08-12,170.7,175.25,170.3,174.3,166.95,1432012
2016-08-16,174.7,177.9,174.0,176.25,168.82,888687
2016-08-17,175.8,176.8,174.6,175.2,167.81,728846
2016-08-18,177.0,181.7,177.0,179.8,172.22,1787145
2016-08-19,181.0,187.0,178.25,185.75,177.92,2151644
2016-08-22,186.55,187.4,183.25,185.05,177.25,1044898
2016-08-23,183.25,184.75,179.35,181.2,173.56,717416
2016-08-24,181.0,183.6,180.0,181.35,173.7,554093
2016-08-25,182.15,182.7,178.65,181.2,173.56,447990
2016-08-26,182.0,184.65,178.85,179.8,172.22,1026277
2016-08-29,180.2,180.25,175.0,177.4,169.92,717831
2016-08-30,178.5,181.9,177.4,178.35,170.83,1144670
2016-08-31,178.7,180.8,176.0,178.2,170.69,1328971
2016-09-01,178.3,181.05,176.8,179.35,171.79,822098
2016-09-02,179.75,182.95,178.85,180.0,172.41,1108089
2016-09-06,183.0,183.0,180.7,181.5,173.85,1165127
2016-09-07,182.4,183.0,179.25,181.6,173.94,770904
2016-09-08,182.35,186.85,181.2,185.1,177.3,1492596
2016-09-09,184.1,184.45,181.35,181.75,174.09,717149
2016-09-12,179.0,179.0,175.0,175.6,168.2,510513
2016-09-14,176.9,179.5,176.75,178.4,170.88,852135
2016-09-15,179.0,180.35,176.6,178.3,170.78,507846
2016-09-16,178.8,184.0,178.6,180.1,172.51,1026240
2016-09-19,180.6,182.7,178.5,179.9,172.31,774435
2016-09-20,180.8,181.3,175.2,176.45,169.01,867485
2016-09-21,176.8,179.5,176.65,178.5,170.97,381869
2016-09-22,180.0,189.2,178.1,188.2,180.26,3968967
2016-09-23,189.45,189.9,180.15,181.35,173.7,2702760
2016-09-26,181.45,183.3,177.0,178.35,170.83,1331094
2016-09-27,178.7,180.15,175.5,176.2,168.77,949806
2016-09-28,176.3,180.2,176.3,177.4,169.92,1067927
2016-09-29,178.7,180.0,149.95,169.65,162.5,2963053
2016-09-30,170.0,177.35,168.4,174.65,167.29,1156086
2016-10-03,177.0,184.5,176.45,183.65,175.91,1337727
2016-10-04,186.0,189.0,183.6,187.8,179.88,1993766
2016-10-05,189.35,189.6,185.0,186.35,178.49,879091
2016-10-06,186.95,188.4,183.0,185.0,177.2,678256
2016-10-07,185.9,185.95,178.55,180.25,172.65,1228741
2016-10-10,181.4,181.7,176.85,177.65,170.16,744599
2016-10-13,176.95,177.65,171.7,173.3,165.99,1020077
2016-10-14,173.75,178.0,172.0,175.1,167.72,919366
2016-10-17,176.85,182.25,175.6,180.15,172.55,1115846
2016-10-18,181.85,183.5,178.8,179.35,171.79,1099788
2016-10-19,180.55,181.2,177.25,178.5,170.97,727531
2016-10-20,179.75,183.9,179.55,182.5,174.8,1469707
2016-10-21,183.75,184.9,181.65,183.3,175.57,1052548
2016-10-24,183.8,183.8,175.5,176.35,168.91,1905677
2016-10-25,177.0,181.9,176.6,177.9,170.4,1446560
2016-10-26,177.65,178.8,175.5,176.5,169.06,967289
2016-10-27,176.25,178.95,175.1,177.5,170.02,785446
2016-10-28,178.0,180.0,177.5,178.6,171.07,623142
2016-11-01,181.45,182.0,177.9,178.9,171.36,824184
2016-11-02,176.5,177.6,175.1,175.75,168.34,547248
2016-11-03,176.4,180.6,176.0,177.8,170.3,747806
2016-11-04,178.8,178.8,170.6,172.35,165.08,803549
2016-11-07,174.4,176.0,170.05,170.85,163.65,699180
2016-11-08,171.8,174.25,169.0,170.35,163.17,831777
2016-11-09,150.1,170.05,138.35,167.35,160.29,5160932
2016-11-10,171.8,174.75,163.5,166.6,159.58,1341329
2016-11-11,162.0,165.85,158.7,161.85,155.03,1277383
2016-11-15,160.05,161.0,145.0,149.65,143.34,4000748
2016-11-16,157.0,160.0,152.1,157.6,150.95,1626456
2016-11-17,158.9,160.9,154.05,156.55,149.95,620364
2016-11-18,156.8,159.2,156.3,157.15,150.52,1322734
2016-11-21,157.5,157.95,149.5,150.1,143.77,1193826
2016-11-22,152.0,153.6,145.0,149.65,143.34,1441181
2016-11-23,150.65,153.8,148.55,153.05,146.6,916829
2016-11-24,151.9,155.25,150.1,154.05,147.55,1137380
2016-11-25,154.8,160.0,153.0,158.8,152.1,617235
2016-11-28,157.0,162.15,152.65,159.6,152.87,569474
2016-11-29,161.0,163.5,158.2,159.3,152.58,1151945
2016-11-30,160.4,162.5,157.2,160.65,153.88,1203960
2016-12-01,161.0,163.5,158.8,161.55,154.74,616166
2016-12-02,159.15,160.4,156.0,156.95,150.33,353978
2016-12-05,157.0,161.95,154.7,161.05,154.26,390822
2016-12-06,161.1,162.7,159.3,160.35,153.59,231951
2016-12-07,161.45,161.75,158.1,158.8,152.1,189625
2016-12-08,160.1,161.45,160.0,160.35,153.59,265463
2016-12-09,161.8,161.8,158.0,160.25,153.49,216675
2016-12-12,159.7,159.85,154.25,154.7,148.18,363085
2016-12-13,155.45,155.95,152.05,152.65,146.21,256278
2016-12-14,153.0,154.05,151.0,151.75,145.35,474911
2016-12-15,149.9,155.5,149.6,153.65,147.17,351906
2016-12-16,153.55,156.0,152.8,155.3,148.75,898339
