Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,26.1,27.5,26.1,27.5,16.59,3779
2002-07-02,28.85,28.9,28.85,28.9,17.43,1660
2002-07-03,30.35,30.35,30.35,30.35,18.3,1885
2002-07-04,31.9,31.9,31.9,31.9,19.24,3910
2002-07-05,33.5,33.5,33.5,33.5,20.2,3891
2002-07-08,33.25,35.2,31.95,35.2,21.23,41701
2002-07-09,36.0,36.0,33.5,33.9,20.44,8223
2002-07-10,34.45,34.45,31.35,31.95,19.27,7151
2002-07-11,30.6,32.5,30.6,31.95,19.27,8849
2002-07-12,31.5,33.9,31.5,32.2,19.42,2890
2002-07-15,34.75,34.75,31.7,33.0,19.9,4444
2002-07-16,32.2,33.25,32.2,32.9,19.84,1626
2002-07-17,30.7,31.5,30.55,31.4,18.94,2430
2002-07-18,31.25,31.5,30.0,30.15,18.18,1845
2002-07-19,30.2,30.9,30.05,30.2,18.21,514
2002-07-22,29.0,32.0,27.05,29.95,18.06,2432
2002-07-23,30.45,30.75,29.5,30.35,18.3,1734
2002-07-24,30.0,30.9,30.0,30.45,18.36,2555
2002-07-25,32.5,32.5,29.2,30.9,18.64,1446
2002-07-26,29.1,29.85,27.5,28.5,17.19,1680
2002-07-29,27.0,28.95,25.0,27.05,16.31,2949
2002-07-30,27.25,27.75,27.0,27.35,16.49,1450
2002-07-31,27.55,27.55,27.0,27.0,16.28,1332
2002-08-01,27.0,28.5,27.0,27.6,16.65,2275
2002-08-02,28.0,28.5,27.0,28.35,17.1,1025
2002-08-05,27.5,27.5,25.8,26.5,15.98,1780
2002-08-06,26.5,28.65,26.5,28.65,17.28,890
2002-08-07,32.75,32.75,28.15,28.15,16.98,655
2002-08-08,27.05,28.15,27.05,28.0,16.89,1450
2002-08-09,27.0,29.0,27.0,28.0,16.89,501
2002-08-12,26.5,26.5,26.5,26.5,15.98,125
2002-08-13,22.55,27.0,22.55,27.0,16.28,52
2002-08-14,27.0,27.9,27.0,27.1,16.34,1250
2002-08-15,27.1,27.1,27.1,27.1,16.34,0
2002-08-16,30.0,30.0,27.5,28.45,17.16,700
2002-08-19,27.0,27.0,27.0,27.0,16.28,130
2002-08-20,27.0,28.0,27.0,28.0,16.89,1550
2002-08-21,27.05,27.05,27.0,27.0,16.28,1300
2002-08-22,29.0,29.0,29.0,29.0,17.49,1
2002-08-23,27.25,28.0,27.25,28.0,16.89,204
2002-08-26,29.0,29.0,26.75,27.25,16.43,826
2002-08-27,27.25,27.55,27.25,27.25,16.43,235
2002-08-28,26.7,28.0,26.55,26.55,16.01,451
2002-08-29,26.55,26.55,26.55,26.55,16.01,0
2002-08-30,26.25,26.55,26.05,26.1,15.74,533
2002-09-02,27.95,27.95,26.6,26.6,16.04,76
2002-09-03,27.1,27.95,27.0,27.5,16.59,2375
2002-09-04,27.05,27.05,26.85,26.85,16.19,410
2002-09-05,27.0,27.0,27.0,27.0,16.28,400
2002-09-06,27.0,27.05,26.95,27.0,16.28,850
2002-09-09,27.0,27.0,27.0,27.0,16.28,0
2002-09-10,27.0,27.0,27.0,27.0,16.28,0
2002-09-11,26.25,26.25,26.25,26.25,15.83,100
2002-09-12,26.05,27.0,26.05,27.0,16.28,1450
2002-09-13,26.75,26.8,26.75,26.8,16.16,450
2002-09-16,26.65,26.75,26.65,26.75,16.13,302
2002-09-17,27.35,27.5,27.35,27.5,16.59,299
2002-09-18,29.35,29.35,26.45,28.0,16.89,405
2002-09-19,27.0,27.5,27.0,27.45,16.55,630
2002-09-20,26.8,27.4,26.8,26.9,16.22,500
2002-09-23,27.25,27.5,25.25,25.7,15.5,752
2002-09-24,25.7,27.0,25.7,26.15,15.77,103
2002-09-25,26.15,26.15,26.15,26.15,15.77,0
2002-09-26,25.1,25.85,25.05,25.85,15.59,125
2002-09-27,26.5,26.5,26.5,26.5,15.98,200
2002-09-30,26.25,26.9,26.25,26.9,16.22,2100
2002-10-01,26.9,26.9,26.9,26.9,16.22,0
